layer,head,source_position,dest_position,value
16,0,0,0,0.3262379765510559
16,0,0,1,0.000678171229083091
16,0,0,2,0.0
16,0,0,3,0.0
16,0,0,4,6.674274482065812e-05
16,0,0,5,6.305391252681147e-06
16,0,0,6,4.927547706756741e-06
16,0,0,7,0.00248858449049294
16,0,0,8,0.00019245555449742824
16,0,0,9,6.161527835502056e-06
16,0,0,10,0.0
16,0,0,11,0.000678171229083091
16,0,0,12,5.656359462591354e-06
16,0,0,13,0.0
16,0,1,0,0.32174086570739746
16,0,1,1,0.010866953991353512
16,0,1,2,0.0
16,0,1,3,0.0003859587595798075
16,0,1,4,6.853146624052897e-05
16,0,1,5,0.0
16,0,1,6,0.0
16,0,1,7,0.0024507008492946625
16,0,1,8,0.00019245555449742824
16,0,1,9,0.0
16,0,1,10,0.0
16,0,1,11,0.0007999999797903001
16,0,1,12,0.0
16,0,1,13,0.0
16,0,2,0,0.27150389552116394
16,0,2,1,0.004410733003169298
16,0,2,2,0.004618383944034576
16,0,2,3,0.001840455224737525
16,0,2,4,0.0006646339315921068
16,0,2,5,6.018670683261007e-05
16,0,2,6,7.086039840942249e-05
16,0,2,7,0.0018592136912047863
16,0,2,8,0.00015516186249442399
16,0,2,9,0.0
16,0,2,10,0.0
16,0,2,11,0.0
16,0,2,12,0.0
16,0,2,13,0.0
16,0,3,0,0.31406962871551514
16,0,3,1,0.00755356764420867
16,0,3,2,0.005534475203603506
16,0,3,3,0.013218886218965054
16,0,3,4,4.477484981180169e-05
16,0,3,5,1.3670251064468175e-05
16,0,3,6,0.00024881132412701845
16,0,3,7,0.0023961004335433245
16,0,3,8,0.00019245555449742824
16,0,3,9,1.3279938002597191e-06
16,0,3,10,0.0
16,0,3,11,0.0004938318161293864
16,0,3,12,1.3878287063562311e-05
16,0,3,13,5.193980541662313e-06
16,0,4,0,0.31259679794311523
16,0,4,1,0.01183044258505106
16,0,4,2,0.0041519165970385075
16,0,4,3,0.005758073180913925
16,0,4,4,0.004105792846530676
16,0,4,5,0.0001832082780310884
16,0,4,6,0.0
16,0,4,7,0.0
16,0,4,8,0.0
16,0,4,9,5.626195616059704e-06
16,0,4,10,0.0
16,0,4,11,0.0007690642378292978
16,0,4,12,1.4464733339991653e-06
16,0,4,13,0.0
16,0,5,0,0.30151528120040894
16,0,5,1,0.043532177805900574
16,0,5,2,0.0046995715238153934
16,0,5,3,0.006299436558037996
16,0,5,4,0.0025635960046201944
16,0,5,5,0.006872684694826603
16,0,5,6,0.0
16,0,5,7,0.00209463550709188
16,0,5,8,0.0001850803819252178
16,0,5,9,1.7259369997191243e-05
16,0,5,10,4.000703938800143e-06
16,0,5,11,0.0007494196179322898
16,0,5,12,1.5195639207377099e-05
16,0,5,13,0.0
16,0,6,0,0.30687618255615234
16,0,6,1,0.007928306236863136
16,0,6,2,0.008209681138396263
16,0,6,3,0.009325620718300343
16,0,6,4,0.0035027775447815657
16,0,6,5,0.0037305732257664204
16,0,6,6,0.012058011256158352
16,0,6,7,0.001946924952790141
16,0,6,8,0.0001871798885986209
16,0,6,9,2.1118517906870693e-05
16,0,6,10,2.870512844310724e-06
16,0,6,11,0.0007539572543464601
16,0,6,12,5.424806658993475e-06
16,0,6,13,1.3455115549732e-05
16,0,7,0,0.28562435507774353
16,0,7,1,0.03302355483174324
16,0,7,2,0.010208281688392162
16,0,7,3,0.016563519835472107
16,0,7,4,0.00642002047970891
16,0,7,5,0.0029229149222373962
16,0,7,6,0.01662157103419304
16,0,7,7,0.013024791143834591
16,0,7,8,0.010463380254805088
16,0,7,9,1.966000309039373e-05
16,0,7,10,0.0
16,0,7,11,0.0006482123280875385
16,0,7,12,7.122737770259846e-06
16,0,7,13,0.0
16,0,8,0,0.285488098859787
