layer,head,source_position,dest_position,value
0,0,0,0,0.3295237720012665
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2115240842103958
0,0,1,1,0.15886379778385162
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.12720753252506256
0,0,2,1,0.16356387734413147
0,0,2,2,0.064259372651577
0,0,2,3,0.01952018216252327
0,0,2,4,0.007307726889848709
0,0,2,5,0.00023739760217722505
0,0,2,6,0.0004674572846852243
0,0,2,7,0.00010405483044451103
0,0,2,8,0.00014017704233992845
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.15188764035701752
0,0,3,1,0.1680908203125
0,0,3,2,0.07496833056211472
0,0,3,3,0.07661505043506622
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.1321110874414444
0,0,4,1,0.11212485283613205
0,0,4,2,0.07192808389663696
0,0,4,3,0.10647264122962952
0,0,4,4,0.07595223188400269
0,0,4,5,0.00100500148255378
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.10523366928100586
0,0,5,1,0.09519682079553604
0,0,5,2,0.08079534769058228
0,0,5,3,0.10314007103443146
0,0,5,4,0.10489585250616074
0,0,5,5,0.029294800013303757
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.10150373727083206
0,0,6,1,0.07439189404249191
0,0,6,2,0.0544251874089241
0,0,6,3,0.056590329855680466
0,0,6,4,0.07407201826572418
0,0,6,5,0.08144767582416534
0,0,6,6,0.09020929038524628
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.09959527850151062
0,0,7,1,0.11602228134870529
0,0,7,2,0.07426150143146515
0,0,7,3,0.09441568702459335
0,0,7,4,0.06344006210565567
0,0,7,5,0.01631641387939453
0,0,7,6,0.15834102034568787
0,0,7,7,0.013242773711681366
0,0,7,8,0.013076228089630604
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.09952237457036972
0,0,8,1,0.11603984981775284
0,0,8,2,0.07425832003355026
0,0,8,3,0.09479540586471558
0,0,8,4,0.06365126371383667
0,0,8,5,0.01652761921286583
0,0,8,6,0.15577474236488342
0,0,8,7,0.013593665324151516
0,0,8,8,0.013748135417699814
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07893291115760803
0,0,9,1,0.0681234672665596
0,0,9,2,0.04519561305642128
0,0,9,3,0.05322127044200897
0,0,9,4,0.06514356285333633
0,0,9,5,0.0672440230846405
0,0,9,6,0.074373759329319
0,0,9,7,0.09686329215765
0,0,9,8,0.09679944813251495
0,0,9,9,0.07902931421995163
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.050531987100839615
0,0,10,1,0.06931712478399277
0,0,10,2,0.03407026827335358
0,0,10,3,0.04445904865860939
0,0,10,4,0.034338489174842834
0,0,10,5,0.026920389384031296
0,0,10,6,0.09204491972923279
0,0,10,7,0.034797780215740204
0,0,10,8,0.034815408289432526
0,0,10,9,0.09214572608470917
0,0,10,10,0.033891711384058
0,0,10,11,0.015112467110157013
0,0,10,12,0.008623271249234676
0,0,10,13,0.000804872193839401
0,0,11,0,0.07164403051137924
0,0,11,1,0.08080551773309708
0,0,11,2,0.04114329814910889
0,0,11,3,0.037245459854602814
0,0,11,4,0.04106582701206207
0,0,11,5,0.039509255439043045
0,0,11,6,0.08864161372184753
0,0,11,7,0.05403026565909386
0,0,11,8,0.05394047871232033
0,0,11,9,0.10499336570501328
0,0,11,10,0.0423244945704937
0,0,11,11,0.04609104245901108
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.062472015619277954
0,0,12,1,0.053720321506261826
0,0,12,2,0.03428125008940697
0,0,12,3,0.049379635602235794
0,0,12,4,0.05460972711443901
0,0,12,5,0.022578010335564613
0,0,12,6,0.07534492760896683
0,0,12,7,0.02433638833463192
0,0,12,8,0.02433638833463192
0,0,12,9,0.07644519209861755
0,0,12,10,0.04385270178318024
0,0,12,11,0.07004253566265106
0,0,12,12,0.050872039049863815
0,0,12,13,0.0
0,0,13,0,0.05058281496167183
0,0,13,1,0.04757186770439148
0,0,13,2,0.037775129079818726
0,0,13,3,0.04862039163708687
0,0,13,4,0.04989533871412277
0,0,13,5,0.012631603516638279
0,0,13,6,0.059540968388319016
0,0,13,7,0.027317214757204056
0,0,13,8,0.02797221951186657
0,0,13,9,0.0690537616610527
0,0,13,10,0.05444027855992317
0,0,13,11,0.07284066826105118
0,0,13,12,0.07732047140598297
0,0,13,13,0.018985144793987274
0,1,0,0,0.3295237720012665
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00017620377184357494
0,1,1,1,0.9993294477462769
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.0004822397604584694
0,1,2,1,0.003977004438638687
0,1,2,2,0.493826299905777
0,1,2,3,0.06517753005027771
