layer,head,source_position,dest_position,value
0,0,0,0,0.3176960051059723
0,0,0,1,0.0002912351628765464
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,6.36336044408381e-05
0,0,0,5,1.7242986359633505e-05
0,0,0,6,3.0235565645853058e-05
0,0,0,7,1.168983453680994e-05
0,0,0,8,0.0
0,0,0,9,9.383554424857721e-05
0,0,0,10,0.0
0,0,0,11,0.0002912351628765464
0,0,0,12,2.581423905212432e-05
0,0,0,13,0.0
0,0,1,0,0.2127196192741394
0,0,1,1,0.14507460594177246
0,0,1,2,0.0
0,0,1,3,0.0030657576862722635
0,0,1,4,7.330184598686174e-05
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0008144648745656013
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.11939109116792679
0,0,2,1,0.14589881896972656
0,0,2,2,0.0498453713953495
0,0,2,3,0.022818975150585175
0,0,2,4,0.008824913762509823
0,0,2,5,0.0012878269189968705
0,0,2,6,0.0017789771081879735
0,0,2,7,0.0004572475445456803
0,0,2,8,0.0006974443676881492
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.1440444141626358
0,0,3,1,0.14774629473686218
0,0,3,2,0.06700018048286438
0,0,3,3,0.0720151737332344
0,0,3,4,3.4066677471855655e-05
0,0,3,5,4.8109643103089184e-05
0,0,3,6,4.208500467939302e-05
0,0,3,7,3.0399552997550927e-05
0,0,3,8,0.0
0,0,3,9,2.2489772163680755e-05
0,0,3,10,0.0
0,0,3,11,8.727621025172994e-05
0,0,3,12,3.483271211734973e-05
0,0,3,13,2.1330382878659293e-05
0,0,4,0,0.12539111077785492
0,0,4,1,0.10494592785835266
0,0,4,2,0.06482306122779846
0,0,4,3,0.10449507087469101
0,0,4,4,0.06632333248853683
0,0,4,5,0.005579413380473852
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.00012556348519865423
0,0,4,10,0.0
0,0,4,11,0.0004169170861132443
0,0,4,12,1.96002765733283e-05
0,0,4,13,0.0
0,0,5,0,0.09875599294900894
0,0,5,1,0.0902472659945488
0,0,5,2,0.06910809874534607
0,0,5,3,0.1020047590136528
0,0,5,4,0.09720326215028763
0,0,5,5,0.03155117854475975
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,4.791211904375814e-05
0,0,5,10,0.0
0,0,5,11,0.00016878245514817536
0,0,5,12,3.1835170375416055e-05
0,0,5,13,0.0
0,0,6,0,0.09651156514883041
0,0,6,1,0.0734199732542038
0,0,6,2,0.05107361078262329
0,0,6,3,0.0670538991689682
