layer,head,source_position,dest_position,value
0,0,0,0,0.4734145402908325
0,0,0,1,0.000370091904187575
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,7.232212374219671e-05
0,0,0,5,1.558450640004594e-05
0,0,0,6,2.4299011784023605e-05
0,0,0,7,1.061493549059378e-05
0,0,0,8,0.0
0,0,0,9,0.00014619015564676374
0,0,0,10,0.0
0,0,0,11,0.000370091904187575
0,0,0,12,2.354498974455055e-05
0,0,0,13,0.0
0,0,1,0,0.3136166036128998
0,0,1,1,0.14021266996860504
0,0,1,2,0.0
0,0,1,3,0.002750333631411195
0,0,1,4,8.158059790730476e-05
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0008241305476985872
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.19621777534484863
0,0,2,1,0.13820673525333405
0,0,2,2,0.047801367938518524
0,0,2,3,0.015941061079502106
0,0,2,4,0.0027083607856184244
0,0,2,5,0.0010120794177055359
0,0,2,6,0.0013948959531262517
0,0,2,7,0.0002918437239713967
0,0,2,8,0.0002988135674968362
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.20833149552345276
0,0,3,1,0.14499741792678833
0,0,3,2,0.07514186948537827
0,0,3,3,0.07208504527807236
0,0,3,4,4.4865428208140656e-05
0,0,3,5,3.948712765122764e-05
0,0,3,6,3.752101110876538e-05
0,0,3,7,2.556223626015708e-05
0,0,3,8,0.0
0,0,3,9,7.500083302147686e-05
0,0,3,10,0.0
0,0,3,11,0.00016559349023737013
0,0,3,12,3.3215601433767006e-05
0,0,3,13,1.7771273633115925e-05
0,0,4,0,0.2377804070711136
0,0,4,1,0.08286140859127045
0,0,4,2,0.05344020202755928
0,0,4,3,0.08226320892572403
0,0,4,4,0.05412312224507332
0,0,4,5,0.004246113356202841
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0001694154052529484
0,0,4,10,0.0
0,0,4,11,0.0004945271066389978
0,0,4,12,1.70767743838951e-05
0,0,4,13,0.0
0,0,5,0,0.20627565681934357
0,0,5,1,0.07262059301137924
0,0,5,2,0.055213648825883865
0,0,5,3,0.08171982318162918
0,0,5,4,0.07646138966083527
0,0,5,5,0.025215821340680122
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.00013504692469723523
0,0,5,10,0.0
0,0,5,11,0.00027430636691860855
0,0,5,12,2.8501321139629e-05
0,0,5,13,0.0
0,0,6,0,0.14103078842163086
0,0,6,1,0.07343103736639023
0,0,6,2,0.051842860877513885
0,0,6,3,0.06597044318914413
0,0,6,4,0.06865432113409042
0,0,6,5,0.07074733078479767
0,0,6,6,0.08455485105514526
0,0,6,7,0.0
