layer,head,source_position,dest_position,value
0,0,0,0,0.9341890811920166
0,0,0,1,0.00034063338534906507
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,7.579934754176065e-05
0,0,0,5,2.1072022718726657e-05
0,0,0,6,3.532179835019633e-05
0,0,0,7,1.5392568457173184e-05
0,0,0,8,0.0
0,0,0,9,8.279253233922645e-05
0,0,0,10,0.0
0,0,0,11,0.00034063338534906507
0,0,0,12,2.6201967557426542e-05
0,0,0,13,0.0
0,0,1,0,0.5366809368133545
0,0,1,1,0.16630616784095764
0,0,1,2,0.0
0,0,1,3,0.003114235121756792
0,0,1,4,9.013438102556393e-05
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0008194034453481436
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.27089500427246094
0,0,2,1,0.18076270818710327
0,0,2,2,0.06232106685638428
0,0,2,3,0.011537275277078152
0,0,2,4,0.0012557943118736148
0,0,2,5,0.0012434638338163495
0,0,2,6,0.0016955954488366842
0,0,2,7,0.00017857282364275306
0,0,2,8,0.0001340901362709701
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.27443015575408936
0,0,3,1,0.1792234182357788
0,0,3,2,0.10007698833942413
0,0,3,3,0.08498543500900269
0,0,3,4,4.153220652369782e-05
0,0,3,5,4.742088640341535e-05
0,0,3,6,4.571165845845826e-05
0,0,3,7,3.151156488456763e-05
0,0,3,8,0.0
0,0,3,9,3.5692399251274765e-05
0,0,3,10,0.0
0,0,3,11,0.00012254567991476506
0,0,3,12,3.6942397855455056e-05
0,0,3,13,2.191708335885778e-05
0,0,4,0,0.29026952385902405
0,0,4,1,0.12204286456108093
0,0,4,2,0.07657011598348618
0,0,4,3,0.11382647603750229
0,0,4,4,0.06939135491847992
0,0,4,5,0.00591034023091197
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0001111876918002963
0,0,4,10,0.0
0,0,4,11,0.0004968453431501985
0,0,4,12,1.7621916413190775e-05
0,0,4,13,0.0
0,0,5,0,0.2287478893995285
0,0,5,1,0.1021396666765213
0,0,5,2,0.0751810148358345
0,0,5,3,0.10765291005373001
0,0,5,4,0.10182309150695801
0,0,5,5,0.03456898778676987
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,8.09455377748236e-05
0,0,5,10,0.0
0,0,5,11,0.00023301898909267038
0,0,5,12,3.2039068173617125e-05
0,0,5,13,0.0
0,0,6,0,0.21640905737876892
0,0,6,1,0.08087123930454254
0,0,6,2,0.05573201924562454
0,0,6,3,0.071250781416893
0,0,6,4,0.07329999655485153
0,0,6,5,0.07491681724786758
0,0,6,6,0.08815859258174896
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,9.072499233298004e-05
0,0,6,10,0.0
0,0,6,11,0.00028368920902721584
0,0,6,12,2.90186726488173e-05
0,0,6,13,0.0
0,0,7,0,0.21088381111621857
0,0,7,1,0.11949679255485535
0,0,7,2,0.0716596469283104
0,0,7,3,0.10690613836050034
0,0,7,4,0.06750655919313431
0,0,7,5,0.018663315102458
0,0,7,6,0.14374209940433502
0,0,7,7,0.014197660610079765
0,0,7,8,0.013536560349166393
0,0,7,9,3.8208348996704444e-05
0,0,7,10,0.0
0,0,7,11,0.0002813162573147565
0,0,7,12,2.9461862141033635e-05
0,0,7,13,0.0
0,0,8,0,0.21061846613883972
0,0,8,1,0.11724051088094711
0,0,8,2,0.07118459790945053
0,0,8,3,0.10438129305839539
0,0,8,4,0.06785088032484055
0,0,8,5,0.01920594647526741
0,0,8,6,0.13946953415870667
0,0,8,7,0.01548636145889759
0,0,8,8,0.016357995569705963
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.16512750089168549
0,0,9,1,0.06930407136678696
0,0,9,2,0.050123345106840134
0,0,9,3,0.06885795295238495
0,0,9,4,0.06043080613017082
0,0,9,5,0.06147284060716629
0,0,9,6,0.0842658057808876
0,0,9,7,0.08349480479955673
0,0,9,8,0.08346187323331833
0,0,9,9,0.07371818274259567
0,0,9,10,0.0
0,0,9,11,0.002546279225498438
0,0,9,12,9.201894499710761e-07
0,0,9,13,0.0
0,0,10,0,0.09718887507915497
0,0,10,1,0.06638087332248688
0,0,10,2,0.033494483679533005
0,0,10,3,0.0436965711414814
0,0,10,4,0.035726312547922134
0,0,10,5,0.0264583770185709
0,0,10,6,0.0742238387465477
0,0,10,7,0.03500031307339668
0,0,10,8,0.03560711815953255
0,0,10,9,0.0852455273270607
0,0,10,10,0.029143519699573517
0,0,10,11,0.01799134351313114
0,0,10,12,0.010125252418220043
0,0,10,13,0.0014302311465144157
0,0,11,0,0.11334824562072754
0,0,11,1,0.07835602015256882
0,0,11,2,0.04282749444246292
0,0,11,3,0.03710336983203888
0,0,11,4,0.04449915513396263
0,0,11,5,0.04125257208943367
0,0,11,6,0.08831322938203812
0,0,11,7,0.06041007116436958
0,0,11,8,0.0601770281791687
0,0,11,9,0.09421408176422119
0,0,11,10,0.041213225573301315
0,0,11,11,0.04618563875555992
0,0,11,12,0.0
0,0,11,13,1.5868301488808356e-05
0,0,12,0,0.1335340142250061
0,0,12,1,0.05182421952486038
0,0,12,2,0.031844694167375565
0,0,12,3,0.04797897860407829
0,0,12,4,0.04904118925333023
0,0,12,5,0.02133423462510109
0,0,12,6,0.06306707113981247
0,0,12,7,0.02338380739092827
0,0,12,8,0.023666003718972206
0,0,12,9,0.0696435496211052
0,0,12,10,0.03831591084599495
0,0,12,11,0.06898059695959091
0,0,12,12,0.042138393968343735
0,0,12,13,0.0
0,0,13,0,0.11220510303974152
0,0,13,1,0.047778479754924774
0,0,13,2,0.034084971994161606
0,0,13,3,0.049399055540561676
0,0,13,4,0.04616096243262291
0,0,13,5,0.013961226679384708
0,0,13,6,0.05453316122293472
0,0,13,7,0.024911150336265564
0,0,13,8,0.027593141421675682
0,0,13,9,0.06628625094890594
0,0,13,10,0.04875263571739197
0,0,13,11,0.07439686357975006
0,0,13,12,0.06873989850282669
0,0,13,13,0.021520599722862244
0,1,0,0,0.9341890811920166
0,1,0,1,4.31510379712563e-05
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,5.9771813539555296e-05
0,1,0,5,4.273122613085434e-05
0,1,0,6,4.265254392521456e-05
0,1,0,7,3.60166777682025e-05
0,1,0,8,0.0
0,1,0,9,4.7628771426388994e-05
0,1,0,10,0.0
0,1,0,11,4.31510379712563e-05
0,1,0,12,4.266624819138087e-05
0,1,0,13,0.0
0,1,1,0,0.0010843528434634209
0,1,1,1,0.9952288866043091
0,1,1,2,0.0
0,1,1,3,0.021428730338811874
0,1,1,4,9.013438102556393e-05
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0008194034453481436
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.000845198577735573
0,1,2,1,0.005375553388148546
0,1,2,2,0.4212743639945984
0,1,2,3,0.12162064760923386
0,1,2,4,0.006104450672864914
0,1,2,5,0.006197428330779076
0,1,2,6,0.005997329484671354
0,1,2,7,0.005741491913795471
0,1,2,8,0.002218706300482154
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.00026776871527545154
0,1,3,1,0.026421431452035904
0,1,3,2,0.12355075776576996
0,1,3,3,0.9892743825912476
0,1,3,4,1.392766222352293e-07
0,1,3,5,0.001486636814661324
0,1,3,6,0.000162938900757581
0,1,3,7,3.0782396720496763e-07
0,1,3,8,0.0
0,1,3,9,2.7666089863487286e-07
0,1,3,10,0.0
0,1,3,11,3.969174500184636e-08
0,1,3,12,2.0187435438856483e-05
0,1,3,13,0.0004535842454060912
0,1,4,0,0.0006212717853486538
0,1,4,1,0.001620664494112134
0,1,4,2,0.007064849138259888
0,1,4,3,0.0007672631763853133
