layer,head,source_position,dest_position,value
0,0,0,0,0.47364142537117004
0,0,0,1,0.00029546968289650977
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,7.11528118699789e-05
0,0,0,5,1.7211108570336364e-05
0,0,0,6,2.9359272957663052e-05
0,0,0,7,1.1878628356498666e-05
0,0,0,8,0.0
0,0,0,9,0.00016973813762888312
0,0,0,10,0.0
0,0,0,11,0.00029546968289650977
0,0,0,12,2.7521424271981232e-05
0,0,0,13,0.0
0,0,1,0,0.2948952317237854
0,0,1,1,0.15510646998882294
0,0,1,2,0.0
0,0,1,3,0.003123209113255143
0,0,1,4,8.172878006007522e-05
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0008256274741142988
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.1787727028131485
0,0,2,1,0.15067292749881744
0,0,2,2,0.05346525460481644
0,0,2,3,0.018021289259195328
0,0,2,4,0.003280617529526353
0,0,2,5,0.0011923564597964287
0,0,2,6,0.0016231314511969686
0,0,2,7,0.00035372262937016785
0,0,2,8,0.0003539522585924715
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.20181472599506378
0,0,3,1,0.1482221782207489
0,0,3,2,0.0759570449590683
0,0,3,3,0.07552245259284973
0,0,3,4,4.063719461555593e-05
0,0,3,5,4.3416748667368665e-05
0,0,3,6,4.1570096072973683e-05
0,0,3,7,2.868978845071979e-05
0,0,3,8,0.0
0,0,3,9,6.250216392800212e-05
0,0,3,10,0.0
0,0,3,11,0.00011094872024841607
0,0,3,12,3.6066892789676785e-05
0,0,3,13,1.9930837879655883e-05
0,0,4,0,0.19590158760547638
0,0,4,1,0.09968172758817673
0,0,4,2,0.06356140971183777
0,0,4,3,0.09890913218259811
0,0,4,4,0.06309972703456879
0,0,4,5,0.0051396372728049755
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0002204880875069648
