layer,head,source_position,dest_position,value
0,0,0,0,0.473836749792099
0,0,0,1,0.00032698942231945693
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,7.002764323260635e-05
0,0,0,5,1.8467271729605272e-05
0,0,0,6,3.224441752536222e-05
0,0,0,7,1.2820861229556613e-05
0,0,0,8,0.0
0,0,0,9,0.00010083269444294274
0,0,0,10,0.0
0,0,0,11,0.00032698942231945693
0,0,0,12,2.5746150640770793e-05
0,0,0,13,0.0
0,0,1,0,0.3003644049167633
0,0,1,1,0.15246516466140747
0,0,1,2,0.0
0,0,1,3,0.0031779780983924866
0,0,1,4,8.144635648932308e-05
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0008227743674069643
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.15984268486499786
0,0,2,1,0.16746780276298523
0,0,2,2,0.05701110512018204
0,0,2,3,0.01958257518708706
0,0,2,4,0.00354249170050025
0,0,2,5,0.0012423458974808455
0,0,2,6,0.001697430619969964
0,0,2,7,0.0003665316617116332
0,0,2,8,0.0003664500545710325
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.18418948352336884
0,0,3,1,0.16116760671138763
0,0,3,2,0.08013556152582169
0,0,3,3,0.07895313203334808
0,0,3,4,3.8376743759727105e-05
0,0,3,5,4.536185224424116e-05
0,0,3,6,4.355964847491123e-05
0,0,3,7,3.0111708838376217e-05
0,0,3,8,0.0
0,0,3,9,2.440968637529295e-05
0,0,3,10,0.0
0,0,3,11,0.00011526045273058116
0,0,3,12,3.562401980161667e-05
0,0,3,13,2.0911164028802887e-05
0,0,4,0,0.1782330572605133
0,0,4,1,0.10953433066606522
0,0,4,2,0.06859229505062103
0,0,4,3,0.10693269968032837
0,0,4,4,0.06540650874376297
0,0,4,5,0.005569691304117441
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.00012887181947007775
0,0,4,10,0.0
0,0,4,11,0.0004674091760534793
0,0,4,12,1.8445969544700347e-05
0,0,4,13,0.0
0,0,5,0,0.13699129223823547
0,0,5,1,0.09223826229572296
0,0,5,2,0.06930655241012573
0,0,5,3,0.10376738011837006
0,0,5,4,0.09833080321550369
0,0,5,5,0.032423458993434906
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,5.38760723429732e-05
0,0,5,10,0.0
0,0,5,11,0.00021984770137351006
0,0,5,12,3.125414878013544e-05
0,0,5,13,0.0
0,0,6,0,0.14231754839420319
0,0,6,1,0.07326972484588623
0,0,6,2,0.051806751638650894
0,0,6,3,0.06632818281650543
0,0,6,4,0.06868522614240646
0,0,6,5,0.07032211124897003
0,0,6,6,0.0850476548075676
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.00016701238928362727
0,0,6,10,0.0
0,0,6,11,0.00015709959552623332
0,0,6,12,3.433291203691624e-05
0,0,6,13,0.0
0,0,7,0,0.13874976336956024
0,0,7,1,0.10690317302942276
0,0,7,2,0.06135635823011398
0,0,7,3,0.09930188953876495
0,0,7,4,0.06272303313016891
0,0,7,5,0.01680871658027172
0,0,7,6,0.13430233299732208
0,0,7,7,0.01291017234325409
0,0,7,8,0.012311151251196861
0,0,7,9,6.857066910015419e-05
0,0,7,10,0.0
0,0,7,11,0.00028589603607542813
0,0,7,12,2.7836185836349614e-05
0,0,7,13,0.0
0,0,8,0,0.13831587135791779
0,0,8,1,0.10487633943557739
0,0,8,2,0.0612991526722908
0,0,8,3,0.0971795991063118
0,0,8,4,0.06316891312599182
0,0,8,5,0.017429841682314873
0,0,8,6,0.13056690990924835
0,0,8,7,0.014152714051306248
0,0,8,8,0.015028011053800583
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.11011210083961487
0,0,9,1,0.06392482668161392
0,0,9,2,0.046998098492622375
0,0,9,3,0.0655459314584732
0,0,9,4,0.05709614232182503
0,0,9,5,0.05822141841053963
0,0,9,6,0.0817742869257927
0,0,9,7,0.07945410162210464
0,0,9,8,0.0794098898768425
0,0,9,9,0.07192809134721756
0,0,9,10,0.0
0,0,9,11,0.0025646609719842672
0,0,9,12,1.3736960227106465e-06
0,0,9,13,0.0
0,0,10,0,0.06040927395224571
0,0,10,1,0.06311832368373871
0,0,10,2,0.030882975086569786
0,0,10,3,0.0427362397313118
0,0,10,4,0.03492547571659088
0,0,10,5,0.0255656149238348
0,0,10,6,0.07396535575389862
0,0,10,7,0.03399317339062691
0,0,10,8,0.03457409888505936
0,0,10,9,0.08459487557411194
0,0,10,10,0.028620004653930664
0,0,10,11,0.0176076740026474
0,0,10,12,0.00995941273868084
0,0,10,13,0.0013811850221827626
0,0,11,0,0.08081788569688797
0,0,11,1,0.07331614941358566
0,0,11,2,0.03924776613712311
0,0,11,3,0.03509821370244026
0,0,11,4,0.042346496134996414
0,0,11,5,0.03908965364098549
0,0,11,6,0.08651220798492432
0,0,11,7,0.05741184949874878
0,0,11,8,0.057219620794057846
0,0,11,9,0.09208179265260696
0,0,11,10,0.03947865590453148
0,0,11,11,0.044567715376615524
0,0,11,12,0.0
0,0,11,13,1.5957939467625692e-05
0,0,12,0,0.08282152563333511
0,0,12,1,0.0485663115978241
0,0,12,2,0.02918921411037445
0,0,12,3,0.04600958898663521
0,0,12,4,0.04760899022221565
0,0,12,5,0.020455699414014816
0,0,12,6,0.06137164682149887
0,0,12,7,0.022364282980561256
0,0,12,8,0.022635530680418015
0,0,12,9,0.06833895295858383
0,0,12,10,0.037469394505023956
0,0,12,11,0.06700396537780762
0,0,12,12,0.04136965796351433
0,0,12,13,0.0
0,0,13,0,0.06666558980941772
0,0,13,1,0.04468515142798424
0,0,13,2,0.03217877075076103
0,0,13,3,0.048243530094623566
0,0,13,4,0.0453510656952858
0,0,13,5,0.013384760357439518
0,0,13,6,0.053587883710861206
0,0,13,7,0.02447028085589409
0,0,13,8,0.02702854573726654
0,0,13,9,0.06518354266881943
0,0,13,10,0.04835965111851692
0,0,13,11,0.07255273312330246
0,0,13,12,0.06787903606891632
0,0,13,13,0.02090851217508316
0,1,0,0,0.473836749792099
0,1,0,1,4.13772213505581e-05
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,5.513002906809561e-05
0,1,0,5,4.0728838939685374e-05
0,1,0,6,4.0692200855119154e-05
0,1,0,7,3.491850657155737e-05
0,1,0,8,0.0
0,1,0,9,4.128214641241357e-05
0,1,0,10,0.0
0,1,0,11,4.13772213505581e-05
0,1,0,12,4.068913767696358e-05
0,1,0,13,0.0
0,1,1,0,0.0009701083763502538
0,1,1,1,0.9954723119735718
0,1,1,2,0.0
0,1,1,3,0.021848734468221664
0,1,1,4,8.144635648932308e-05
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0008227743674069643
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.001298696850426495
0,1,2,1,0.003930103965103626
0,1,2,2,0.3955613672733307
0,1,2,3,0.09633999317884445
0,1,2,4,0.03969801962375641
0,1,2,5,0.005361140705645084
0,1,2,6,0.005203917622566223
0,1,2,7,0.0050700632855296135
0,1,2,8,0.002594976918771863
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0004668652545660734
0,1,3,1,0.0257265567779541
0,1,3,2,0.09783334285020828
0,1,3,3,0.9905949831008911
0,1,3,4,1.3801920317746408e-07
0,1,3,5,0.0014850568259134889
0,1,3,6,0.00016379260341636837
0,1,3,7,3.227814318051969e-07
0,1,3,8,0.0
0,1,3,9,2.0310426407377236e-07
0,1,3,10,0.0
0,1,3,11,8.309952193030767e-08
0,1,3,12,1.8802271370077506e-05
0,1,3,13,0.00046278524678200483
0,1,4,0,0.0009309760062023997
0,1,4,1,0.0012335277860984206
0,1,4,2,0.04043144732713699
0,1,4,3,0.0006610040436498821
0,1,4,4,0.44025251269340515
0,1,4,5,0.06730873882770538
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,8.232951950049028e-05
0,1,4,10,0.0
0,1,4,11,8.23902664706111e-05
0,1,4,12,3.85300227208063e-05
0,1,4,13,0.0
0,1,5,0,0.0005522446008399129
0,1,5,1,0.00030258105834946036
0,1,5,2,0.007879291661083698
0,1,5,3,0.0013751689111813903
0,1,5,4,0.06967289000749588
0,1,5,5,0.9768324494361877
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,5.80853964038397e-07
0,1,5,10,0.0
0,1,5,11,1.7522415873827413e-07
0,1,5,12,4.285808972781524e-05
0,1,5,13,0.0
0,1,6,0,0.0003523303894326091
0,1,6,1,0.003547362983226776
0,1,6,2,0.005630717147141695
0,1,6,3,0.0007667655008845031
0,1,6,4,0.0002620058658067137
0,1,6,5,0.00025897377054207027
0,1,6,6,0.9927936792373657
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,3.2602804367343197e-07
0,1,6,10,0.0
0,1,6,11,1.34898385795168e-07
0,1,6,12,4.285951945348643e-05
0,1,6,13,0.0
0,1,7,0,0.0010378792649134994
0,1,7,1,0.0005898600211367011
0,1,7,2,0.008197573013603687
0,1,7,3,0.001680685207247734
0,1,7,4,0.005040963180363178
0,1,7,5,0.00365629093721509
0,1,7,6,0.0003848687920253724
0,1,7,7,0.9525575637817383
0,1,7,8,0.8973603248596191
0,1,7,9,3.707745008796337e-07
0,1,7,10,0.0
0,1,7,11,2.943156118817569e-07
0,1,7,12,4.285180693841539e-05
0,1,7,13,0.0
0,1,8,0,0.005413549952208996
0,1,8,1,0.0011176830157637596
0,1,8,2,0.005762252025306225
0,1,8,3,0.0017006027046591043
0,1,8,4,0.004978547338396311
0,1,8,5,0.003660723567008972
0,1,8,6,0.000544814916793257
0,1,8,7,0.897365152835846
0,1,8,8,0.8905039429664612
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,0.0003934628330171108
0,1,9,1,0.5182569622993469
0,1,9,2,0.0012148245004937053
0,1,9,3,0.012551693245768547
0,1,9,4,0.00022492585412692279
0,1,9,5,0.00012621810310520232
0,1,9,6,0.0008404040127061307
0,1,9,7,2.3414502720697783e-05
0,1,9,8,0.0004738172865472734
0,1,9,9,0.4729432463645935
0,1,9,10,0.0
0,1,9,11,0.010365352965891361
0,1,9,12,4.28117455157917e-05
0,1,9,13,0.0
0,1,10,0,0.00016808313375804573
0,1,10,1,0.0010279584676027298
0,1,10,2,0.17822906374931335
0,1,10,3,0.03172431141138077
0,1,10,4,0.028879232704639435
0,1,10,5,0.028972430154681206
0,1,10,6,0.000301689695334062
0,1,10,7,0.0012331120669841766
0,1,10,8,0.0012836712412536144
0,1,10,9,0.0008580563589930534
0,1,10,10,0.18639715015888214
0,1,10,11,0.03523912653326988
0,1,10,12,0.032353002578020096
0,1,10,13,0.03853340074419975
0,1,11,0,0.00017090029723476619
0,1,11,1,0.013392566703259945
0,1,11,2,0.04608820006251335
0,1,11,3,0.4822815954685211
0,1,11,4,0.00021486112382262945
0,1,11,5,0.0005238120211288333
0,1,11,6,0.0007765344344079494
0,1,11,7,0.0009472964447923005
0,1,11,8,0.0009678967180661857
0,1,11,9,0.011172140017151833
0,1,11,10,0.03563075140118599
0,1,11,11,0.5108615756034851
0,1,11,12,0.0
0,1,11,13,0.0007366230711340904
0,1,12,0,0.0003125676012132317
0,1,12,1,0.0002835906925611198
0,1,12,2,0.01469243224710226
0,1,12,3,0.00019904013606719673
0,1,12,4,0.17157192528247833
0,1,12,5,0.001534019596874714
0,1,12,6,0.00035571196349337697
0,1,12,7,0.002530280500650406
0,1,12,8,0.00248014647513628
0,1,12,9,0.00026640278520062566
0,1,12,10,0.032447781413793564
0,1,12,11,0.00017104714061133564
0,1,12,12,0.20285539329051971
0,1,12,13,0.0
0,1,13,0,0.0002035872166743502
0,1,13,1,9.407060861121863e-05
0,1,13,2,0.002993006259202957
0,1,13,3,0.0009596732561476529
0,1,13,4,0.028832264244556427
0,1,13,5,0.4266938865184784
0,1,13,6,5.900190080865286e-05
0,1,13,7,0.0009671975858509541
0,1,13,8,0.0009997532470151782
0,1,13,9,6.751264299964532e-05
0,1,13,10,0.03964381664991379
0,1,13,11,0.0008335217135027051
0,1,13,12,0.0011565085733309388
0,1,13,13,0.5543006062507629
0,2,0,0,0.473836749792099
0,2,0,1,0.00020994566148146987
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,6.752164335921407e-05
0,2,0,5,2.7223604774917476e-05
0,2,0,6,2.611879608593881e-05
0,2,0,7,2.0022926037199795e-05
0,2,0,8,0.0
0,2,0,9,5.7158031268045306e-05
