domain,ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win
Arts_and_Entertainment,"[(11, 2), (11, 3)]",13.35469913482666,23.540729522705078,-10.186030387878418,2.1787261962890625,3.6852896213531494,3.916722536087036,0.0,668.0
Autos_and_Vehicles,"[(11, 2), (11, 3)]",13.078357696533203,20.631057739257812,-7.552698612213135,1.5520352125167847,1.8650658130645752,2.4886679649353027,0.0,3755.0
Books_and_Literature,"[(11, 2), (11, 3)]",13.211549758911133,20.657384872436523,-7.445835590362549,2.1105587482452393,3.1279635429382324,3.146526575088501,0.0,27.0
Business_and_Industrial,"[(11, 2), (11, 3)]",12.237345695495605,21.461618423461914,-9.224273681640625,2.268160104751587,2.3742308616638184,3.2327942848205566,0.0,473.0
Computers_and_Electronics,"[(11, 2), (11, 3)]",13.84765911102295,20.800443649291992,-6.95278263092041,1.7273261547088623,2.369189977645874,2.484128713607788,14.0,2392.0
Finance,"[(11, 2), (11, 3)]",12.702287673950195,21.677833557128906,-8.975545883178711,2.285353183746338,2.395859956741333,3.492223024368286,1.0,35.0
Food_and_Drink,"[(11, 2), (11, 3)]",12.958145141601562,23.06157684326172,-10.103431701660156,2.544356107711792,2.855111837387085,4.776505470275879,0.0,12.0
Games,"[(11, 2), (11, 3)]",12.987981796264648,21.577163696289062,-8.589181900024414,2.1985414028167725,3.4134819507598877,4.190250396728516,1.0,266.0
Health,"[(11, 2), (11, 3)]",12.3494873046875,23.728113174438477,-11.378626823425293,2.4601686000823975,3.5231597423553467,4.445326328277588,0.0,33.0
Hobbies_and_Leisure,"[(11, 2), (11, 3)]",11.307815551757812,20.191720962524414,-8.883904457092285,1.7133264541625977,1.2615859508514404,2.969139814376831,0.0,3.0
Home_and_Garden,"[(11, 2), (11, 3)]",10.919631958007812,21.84200668334961,-10.922374725341797,,,,0.0,1.0
Internet_and_Telecom,"[(11, 2), (11, 3)]",13.38178539276123,20.579736709594727,-7.19795036315918,1.8773361444473267,2.348026752471924,2.6893863677978516,0.0,235.0
Jobs_and_Education,"[(11, 2), (11, 3)]",12.52112102508545,20.88713836669922,-8.366019248962402,2.18158221244812,2.6148364543914795,3.386669874191284,1.0,483.0
Law_and_Government,"[(11, 2), (11, 3)]",13.092082023620605,24.516643524169922,-11.424556732177734,2.300353527069092,3.5261566638946533,3.969243288040161,0.0,544.0
News,"[(11, 2), (11, 3)]",13.281940460205078,22.489166259765625,-9.20722484588623,2.3657875061035156,3.15480375289917,3.775184154510498,2.0,232.0
Online_Communities,"[(11, 2), (11, 3)]",14.085777282714844,20.890207290649414,-6.8044304847717285,1.432863712310791,2.4366111755371094,2.6309149265289307,0.0,42.0
People_and_Society,"[(11, 2), (11, 3)]",13.6752347946167,23.584875106811523,-9.909640312194824,2.4915053844451904,3.690462827682495,4.30513334274292,1.0,344.0
Real_Estate,"[(11, 2), (11, 3)]",13.449386596679688,21.999685287475586,-8.550296783447266,1.224045991897583,1.7288047075271606,1.0117628574371338,0.0,6.0
Science,"[(11, 2), (11, 3)]",12.699310302734375,21.2020320892334,-8.502720832824707,1.914001226425171,2.817378520965576,4.007403373718262,0.0,46.0
Sensitive_Subjects,"[(11, 2), (11, 3)]",11.222386360168457,24.32421112060547,-13.101823806762695,2.5932435989379883,2.8181891441345215,3.2308623790740967,0.0,86.0
Shopping,"[(11, 2), (11, 3)]",12.317008972167969,18.14988899230957,-5.832880020141602,1.5721815824508667,4.381730556488037,4.866571426391602,0.0,4.0
Sports,"[(11, 2), (11, 3)]",14.068708419799805,22.578685760498047,-8.509977340698242,2.7814955711364746,3.7378885746002197,4.865473747253418,3.0,189.0
Travel_and_Transportation,"[(11, 2), (11, 3)]",12.442471504211426,23.075958251953125,-10.633488655090332,2.441439390182495,2.924917221069336,3.057443141937256,0.0,99.0
