domain,ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win
Arts_and_Entertainment,"[(11, 2), (11, 3)]",15.15249252319336,19.755970001220703,-4.603477478027344,2.362165927886963,3.599734306335449,3.544464588165283,60.0,597.0
Autos_and_Vehicles,"[(11, 2), (11, 3)]",17.2961483001709,16.64917755126953,0.6469695568084717,2.1992862224578857,1.5174561738967896,2.6486799716949463,2647.0,1108.0
Books_and_Literature,"[(11, 2), (11, 3)]",14.72751235961914,16.950767517089844,-2.2232556343078613,1.653943657875061,3.289354085922241,3.544034481048584,5.0,19.0
Business_and_Industrial,"[(11, 2), (11, 3)]",15.14926815032959,17.53293800354004,-2.383668899536133,2.984581232070923,2.7788503170013428,4.268489837646484,156.0,310.0
Computers_and_Electronics,"[(11, 2), (11, 3)]",17.594017028808594,16.213375091552734,1.3806437253952026,2.5579655170440674,2.119572401046753,2.384229898452759,1779.0,601.0
Finance,"[(11, 2), (11, 3)]",15.51650333404541,17.060958862304688,-1.5444540977478027,2.353651762008667,2.7102057933807373,3.8840579986572266,11.0,23.0
Food_and_Drink,"[(11, 2), (11, 3)]",16.123947143554688,19.438634872436523,-3.3146884441375732,2.1566364765167236,3.1025338172912598,3.4735193252563477,2.0,10.0
Games,"[(11, 2), (11, 3)]",13.862140655517578,17.723066329956055,-3.8609225749969482,2.2782325744628906,3.2061049938201904,3.828437089920044,36.0,230.0
Health,"[(11, 2), (11, 3)]",15.338197708129883,19.982784271240234,-4.644586086273193,3.0114572048187256,4.1415205001831055,4.942934036254883,6.0,24.0
Hobbies_and_Leisure,"[(11, 2), (11, 3)]",14.368500709533691,14.764331817626953,-0.39583078026771545,0.6532502174377441,0.42505770921707153,0.22852888703346252,0.0,3.0
Home_and_Garden,"[(11, 2), (11, 3)]",17.419414520263672,15.670694351196289,1.7487201690673828,,,,1.0,0.0
Internet_and_Telecom,"[(11, 2), (11, 3)]",16.869644165039062,15.738680839538574,1.1309622526168823,2.7343456745147705,2.2785329818725586,2.8348464965820312,165.0,61.0
Jobs_and_Education,"[(11, 2), (11, 3)]",14.447541236877441,16.447044372558594,-1.9995036125183105,2.453357458114624,2.958818197250366,3.744093179702759,95.0,307.0
Law_and_Government,"[(11, 2), (11, 3)]",15.240442276000977,20.416889190673828,-5.176451206207275,2.393889904022217,3.5892677307128906,4.041590213775635,66.0,470.0
News,"[(11, 2), (11, 3)]",15.575613021850586,18.742225646972656,-3.166614294052124,2.7825546264648438,3.0185768604278564,4.050920486450195,65.0,167.0
Online_Communities,"[(11, 2), (11, 3)]",17.522058486938477,15.859855651855469,1.6622029542922974,2.1309783458709717,2.3958890438079834,2.385934829711914,32.0,10.0
People_and_Society,"[(11, 2), (11, 3)]",15.528450965881348,19.94892692565918,-4.420475482940674,2.496481418609619,3.9201507568359375,4.27412223815918,50.0,279.0
Real_Estate,"[(11, 2), (11, 3)]",14.469501495361328,17.828115463256836,-3.358614683151245,1.3214510679244995,1.1285773515701294,0.6620668768882751,0.0,6.0
Science,"[(11, 2), (11, 3)]",13.99667739868164,17.698665618896484,-3.7019882202148438,1.586614727973938,2.4829702377319336,2.9786202907562256,1.0,45.0
Sensitive_Subjects,"[(11, 2), (11, 3)]",12.375492095947266,20.572450637817383,-8.196958541870117,2.7663156986236572,2.601226329803467,3.0786399841308594,0.0,86.0
Shopping,"[(11, 2), (11, 3)]",17.272769927978516,15.638138771057129,1.6346304416656494,1.400139331817627,3.2074759006500244,2.645690679550171,3.0,1.0
Sports,"[(11, 2), (11, 3)]",16.32920265197754,18.80402946472168,-2.474828004837036,2.4827044010162354,3.7049970626831055,4.24159049987793,56.0,132.0
Travel_and_Transportation,"[(11, 2), (11, 3)]",15.436573028564453,18.87312889099121,-3.436555862426758,3.1240484714508057,3.0335941314697266,3.927400827407837,16.0,83.0
