domain,ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win
Arts_and_Entertainment,"[(10, 7), (11, 10)]",14.226996421813965,16.76566505432129,-2.5386693477630615,2.1344659328460693,3.3534159660339355,2.4121577739715576,71.0,538.0
Autos_and_Vehicles,"[(10, 7), (11, 10)]",14.034785270690918,13.296526908874512,0.7382577061653137,1.1384543180465698,1.4562045335769653,1.771354079246521,1170.0,558.0
Books_and_Literature,"[(10, 7), (11, 10)]",13.946179389953613,15.517441749572754,-1.5712614059448242,1.2616589069366455,2.5335729122161865,1.9070844650268555,1.0,14.0
Business_and_Industrial,"[(10, 7), (11, 10)]",13.394068717956543,15.026363372802734,-1.6322940587997437,2.018618106842041,2.6388628482818604,2.9692046642303467,71.0,191.0
Computers_and_Electronics,"[(10, 7), (11, 10)]",14.10233211517334,12.941847801208496,1.1604852676391602,1.36864173412323,1.6199885606765747,1.93497896194458,921.0,319.0
Finance,"[(10, 7), (11, 10)]",13.422860145568848,13.019599914550781,0.4032624661922455,1.5261876583099365,1.8670305013656616,2.600552558898926,10.0,6.0
Food_and_Drink,"[(10, 7), (11, 10)]",12.922651290893555,15.132633209228516,-2.2099814414978027,2.4006197452545166,3.5563483238220215,5.451014041900635,4.0,8.0
Games,"[(10, 7), (11, 10)]",12.984971046447754,13.587271690368652,-0.6023001670837402,1.751459002494812,2.543447732925415,3.0169410705566406,66.0,86.0
Health,"[(10, 7), (11, 10)]",12.366606712341309,17.422075271606445,-5.055469512939453,1.7715375423431396,3.1785547733306885,3.044661283493042,0.0,23.0
Internet_and_Telecom,"[(10, 7), (11, 10)]",14.250631332397461,13.396807670593262,0.8538235425949097,1.5936429500579834,2.0618083477020264,2.4490222930908203,120.0,61.0
Jobs_and_Education,"[(10, 7), (11, 10)]",13.662717819213867,15.907760620117188,-2.245043992996216,2.157320499420166,3.2682268619537354,2.7303342819213867,92.0,313.0
Law_and_Government,"[(10, 7), (11, 10)]",14.016458511352539,17.718278884887695,-3.7018210887908936,2.2987987995147705,3.128391981124878,2.720580577850342,39.0,438.0
News,"[(10, 7), (11, 10)]",13.999951362609863,15.883164405822754,-1.8832118511199951,2.1450860500335693,2.913264036178589,2.6810617446899414,37.0,126.0
Online_Communities,"[(10, 7), (11, 10)]",15.300300598144531,12.357503890991211,2.942796468734741,1.2046058177947998,2.571375608444214,2.262058734893799,17.0,3.0
People_and_Society,"[(10, 7), (11, 10)]",13.999170303344727,16.208377838134766,-2.2092080116271973,2.3133370876312256,3.1408824920654297,2.726295232772827,53.0,242.0
Real_Estate,"[(10, 7), (11, 10)]",12.868021965026855,14.462374687194824,-1.5943533182144165,0.60190749168396,0.08070908486843109,0.6461189389228821,0.0,3.0
Science,"[(10, 7), (11, 10)]",12.7606782913208,15.101839065551758,-2.3411614894866943,1.840283989906311,2.9606359004974365,3.5348823070526123,3.0,25.0
Sensitive_Subjects,"[(10, 7), (11, 10)]",11.981841087341309,18.257732391357422,-6.275894641876221,2.1204607486724854,2.3861758708953857,2.22739839553833,0.0,58.0
Sports,"[(10, 7), (11, 10)]",14.722879409790039,16.83633041381836,-2.113450288772583,2.0514979362487793,3.261995792388916,2.9138317108154297,42.0,128.0
Travel_and_Transportation,"[(10, 7), (11, 10)]",14.272497177124023,17.369239807128906,-3.0967414379119873,2.6360883712768555,2.837834358215332,3.1397764682769775,5.0,37.0
