layer,head,source_position,dest_position,value
0,0,0,0,0.32251402735710144
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.21439066529273987
0,0,1,1,0.14868289232254028
0,0,1,2,0.0
0,0,1,3,0.0016282228752970695
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.13238979876041412
0,0,2,1,0.12544991075992584
0,0,2,2,0.05138150975108147
0,0,2,3,0.035058990120887756
0,0,2,4,0.010990499518811703
0,0,2,5,0.00099370745010674
0,0,2,6,0.001225370797328651
0,0,2,7,0.0003144693037029356
0,0,2,8,0.0004683164006564766
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.13592571020126343
0,0,3,1,0.12664537131786346
0,0,3,2,0.0560918003320694
0,0,3,3,0.0640348494052887
0,0,3,4,0.0
0,0,3,5,8.079832332441583e-05
0,0,3,6,0.00011537324462551624
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.11112277209758759
0,0,4,1,0.1005956307053566
0,0,4,2,0.07110264897346497
0,0,4,3,0.11127281188964844
0,0,4,4,0.061518147587776184
0,0,4,5,0.0019439100287854671
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.08886484056711197
0,0,5,1,0.10175130516290665
0,0,5,2,0.07029925286769867
0,0,5,3,0.11084876954555511
0,0,5,4,0.08163054287433624
0,0,5,5,0.020770227536559105
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.0970849022269249
0,0,6,1,0.07969552278518677
0,0,6,2,0.05280262976884842
0,0,6,3,0.06917248666286469
0,0,6,4,0.05626450851559639
0,0,6,5,0.05430684611201286
0,0,6,6,0.061979349702596664
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.0766969844698906
0,0,7,1,0.10830152779817581
0,0,7,2,0.0681937038898468
0,0,7,3,0.11665338277816772
0,0,7,4,0.06284622848033905
0,0,7,5,0.015052704140543938
0,0,7,6,0.10511541366577148
0,0,7,7,0.011130934581160545
0,0,7,8,0.010692705400288105
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.07667897641658783
0,0,8,1,0.10657640546560287
0,0,8,2,0.06800209730863571
0,0,8,3,0.11466529220342636
0,0,8,4,0.06334071606397629
0,0,8,5,0.015546774491667747
0,0,8,6,0.10207908600568771
0,0,8,7,0.01194634847342968
0,0,8,8,0.012481184676289558
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07222746312618256
0,0,9,1,0.05836770310997963
0,0,9,2,0.04876992851495743
0,0,9,3,0.06441684812307358
0,0,9,4,0.05214735493063927
0,0,9,5,0.050014205276966095
0,0,9,6,0.08366388827562332
0,0,9,7,0.059938907623291016
0,0,9,8,0.06010689213871956
0,0,9,9,0.07221683859825134
0,0,9,10,0.0
0,0,9,11,0.0009677134803496301
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.053287312388420105
0,0,10,1,0.05224740505218506
0,0,10,2,0.03391273319721222
0,0,10,3,0.042858246713876724
0,0,10,4,0.03564092889428139
0,0,10,5,0.02378385327756405
0,0,10,6,0.05619664862751961
0,0,10,7,0.03450383245944977
0,0,10,8,0.03485018014907837
0,0,10,9,0.07301481068134308
0,0,10,10,0.028121573850512505
0,0,10,11,0.026977013796567917
0,0,10,12,0.013998627662658691
0,0,10,13,0.0011335827875882387
0,0,11,0,0.06313765048980713
0,0,11,1,0.06020108237862587
0,0,11,2,0.03471571207046509
0,0,11,3,0.029083605855703354
0,0,11,4,0.04085458070039749
0,0,11,5,0.03580058738589287
0,0,11,6,0.05449939891695976
0,0,11,7,0.058983076363801956
0,0,11,8,0.0584862194955349
0,0,11,9,0.07664915919303894
0,0,11,10,0.026551468297839165
0,0,11,11,0.0366116426885128
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.04907749965786934
0,0,12,1,0.04317871108651161
0,0,12,2,0.03090694174170494
0,0,12,3,0.04523542895913124
0,0,12,4,0.041021425276994705
0,0,12,5,0.01842074654996395
0,0,12,6,0.06920049339532852
0,0,12,7,0.023165591061115265
0,0,12,8,0.023345179855823517
0,0,12,9,0.06363195925951004
0,0,12,10,0.036889731884002686
0,0,12,11,0.06702163070440292
0,0,12,12,0.03834647312760353
0,0,12,13,0.0
0,0,13,0,0.04210219532251358
0,0,13,1,0.04878559708595276
0,0,13,2,0.03208153322339058
0,0,13,3,0.04989606514573097
0,0,13,4,0.037858542054891586
0,0,13,5,0.008154281415045261
0,0,13,6,0.047959987074136734
0,0,13,7,0.014768105931580067
0,0,13,8,0.01655336283147335
0,0,13,9,0.07255949079990387
0,0,13,10,0.045569997280836105
0,0,13,11,0.07492849975824356
0,0,13,12,0.05766472965478897
0,0,13,13,0.012788645923137665
0,1,0,0,0.32251402735710144
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.0011195099214091897
0,1,1,1,0.9927511215209961
0,1,1,2,0.0
0,1,1,3,0.013445421122014523
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.0011921776458621025
0,1,2,1,0.006401501130312681
0,1,2,2,0.2686317265033722
0,1,2,3,0.11895973235368729
0,1,2,4,0.07528804242610931
0,1,2,5,0.01058554369956255
0,1,2,6,0.003724815556779504
0,1,2,7,0.0036200503818690777
0,1,2,8,0.002382621169090271
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.00027826157747767866
0,1,3,1,0.017884792760014534
