layer,head,source_position,dest_position,value
0,0,0,0,0.28881022334098816
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.20017388463020325
0,0,1,1,0.13506515324115753
0,0,1,2,0.0
0,0,1,3,0.002919501857832074
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.1187100037932396
0,0,2,1,0.11213713884353638
0,0,2,2,0.04959914833307266
0,0,2,3,0.03922833874821663
0,0,2,4,0.01203867420554161
0,0,2,5,0.00529850646853447
0,0,2,6,0.006887286901473999
0,0,2,7,0.0017778179608285427
0,0,2,8,0.0026760739274322987
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.1264495551586151
0,0,3,1,0.11155886948108673
0,0,3,2,0.05161434784531593
0,0,3,3,0.06434882432222366
0,0,3,4,0.0
0,0,3,5,8.367504051420838e-05
0,0,3,6,0.00011948095925617963
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.10460402816534042
0,0,4,1,0.0972471535205841
0,0,4,2,0.0647248774766922
0,0,4,3,0.10809158533811569
0,0,4,4,0.05725419893860817
0,0,4,5,0.019366899505257607
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.08490754663944244
0,0,5,1,0.09720160067081451
0,0,5,2,0.06461934000253677
0,0,5,3,0.10491526126861572
0,0,5,4,0.08061724901199341
0,0,5,5,0.034562770277261734
0,0,5,6,0.0
