layer,head,source_position,dest_position,value
0,0,0,0,0.3333333134651184
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.20224466919898987
0,0,1,1,0.18838262557983398
0,0,1,2,0.0
0,0,1,3,8.045856520766392e-05
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.13315102458000183
0,0,2,1,0.20189444720745087
0,0,2,2,0.05807998776435852
0,0,2,3,0.012890204787254333
0,0,2,4,0.008308310061693192
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.14840105175971985
0,0,3,1,0.18594977259635925
0,0,3,2,0.08415640145540237
0,0,3,3,0.07522519677877426
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.13497833907604218
0,0,4,1,0.12462124228477478
0,0,4,2,0.06916116178035736
0,0,4,3,0.09441845118999481
0,0,4,4,0.07936917245388031
0,0,4,5,1.151343803940108e-05
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.1076597347855568
0,0,5,1,0.08988199383020401
0,0,5,2,0.08108943700790405
0,0,5,3,0.0952923521399498
0,0,5,4,0.11555518209934235
0,0,5,5,0.032099124044179916
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09539039433002472
0,0,6,1,0.07849863916635513
0,0,6,2,0.055755604058504105
0,0,6,3,0.05518360808491707
0,0,6,4,0.08409105986356735
0,0,6,5,0.08709128201007843
0,0,6,6,0.11050610989332199
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.10368403047323227
0,0,7,1,0.13065855205059052
0,0,7,2,0.06685348600149155
0,0,7,3,0.06876765191555023
0,0,7,4,0.06605557352304459
0,0,7,5,0.016710862517356873
0,0,7,6,0.17889809608459473
0,0,7,7,0.013592707924544811
0,0,7,8,0.013592707924544811
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.10368403047323227
0,0,8,1,0.13065855205059052
0,0,8,2,0.06685348600149155
0,0,8,3,0.06876765191555023
0,0,8,4,0.06605557352304459
0,0,8,5,0.016710862517356873
0,0,8,6,0.17889809608459473
0,0,8,7,0.013592707924544811
0,0,8,8,0.013592707924544811
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07349765300750732
0,0,9,1,0.07895390689373016
0,0,9,2,0.04149845987558365
0,0,9,3,0.04768729582428932
0,0,9,4,0.07037629932165146
0,0,9,5,0.06972938776016235
0,0,9,6,0.07127046585083008
0,0,9,7,0.11751117557287216
0,0,9,8,0.11751117557287216
0,0,9,9,0.0903068482875824
0,0,9,10,0.0
0,0,9,11,4.001595880254172e-05
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.05374749377369881
0,0,10,1,0.08687063306570053
0,0,10,2,0.030928922817111015
0,0,10,3,0.03709317371249199
0,0,10,4,0.038186214864254
0,0,10,5,0.026483453810214996
0,0,10,6,0.11156386137008667
0,0,10,7,0.031343549489974976
0,0,10,8,0.031343549489974976
0,0,10,9,0.11646055430173874
0,0,10,10,0.031260162591934204
0,0,10,11,0.009944292716681957
0,0,10,12,0.008925101719796658
0,0,10,13,0.0008847152930684388
0,0,11,0,0.06609323620796204
0,0,11,1,0.0840083435177803
0,0,11,2,0.041979290544986725
0,0,11,3,0.034349579364061356
0,0,11,4,0.04259056597948074
0,0,11,5,0.03667748346924782
0,0,11,6,0.1124984547495842
0,0,11,7,0.056668348610401154
0,0,11,8,0.056668348610401154
0,0,11,9,0.11235295981168747
0,0,11,10,0.04814516380429268
0,0,11,11,0.04434933140873909
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.0649745762348175
0,0,12,1,0.06087420508265495
0,0,12,2,0.03388797491788864
0,0,12,3,0.04538628086447716
0,0,12,4,0.059640515595674515
0,0,12,5,0.02407240867614746
0,0,12,6,0.07867342233657837
0,0,12,7,0.024482203647494316
0,0,12,8,0.024482203647494316
0,0,12,9,0.08683228492736816
0,0,12,10,0.04259157180786133
0,0,12,11,0.06381222605705261
0,0,12,12,0.05520724505186081
0,0,12,13,0.0
0,0,13,0,0.05127418041229248
0,0,13,1,0.044617924839258194
0,0,13,2,0.03713838756084442
0,0,13,3,0.044934164732694626
0,0,13,4,0.055075887590646744
0,0,13,5,0.013885780237615108
0,0,13,6,0.06304475665092468
0,0,13,7,0.031570106744766235
0,0,13,8,0.031570106744766235
0,0,13,9,0.0647868886590004
0,0,13,10,0.05423353239893913
0,0,13,11,0.06813108175992966
0,0,13,12,0.08778885751962662
0,0,13,13,0.02092469483613968
0,1,0,0,0.3333333134651184
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00014753802679479122
0,1,1,1,0.999494731426239
0,1,1,2,0.0
0,1,1,3,0.0002657813602127135
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.0004453515575733036
0,1,2,1,0.002990447450429201
0,1,2,2,0.5611633658409119
0,1,2,3,0.05718386173248291
0,1,2,4,0.055681854486465454
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0012615094892680645
0,1,3,1,0.00534431915730238
0,1,3,2,0.05779018998146057
0,1,3,3,0.989395022392273
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.00037821067962795496
0,1,4,1,0.0006466855411417782
0,1,4,2,0.05623190850019455
0,1,4,3,0.00048421361134387553
0,1,4,4,0.48122119903564453
0,1,4,5,0.00026539654936641455
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0004920021747238934
0,1,5,1,0.00016176032659132034
0,1,5,2,0.0001812951813917607
0,1,5,3,0.00019352468370925635
0,1,5,4,0.0005623230244964361
0,1,5,5,0.9961538314819336
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00014935070066712797
0,1,6,1,0.005507581867277622
0,1,6,2,0.00035624386509880424
0,1,6,3,0.0003842790611088276
0,1,6,4,0.00019700512348208576
0,1,6,5,0.00021265762916300446
0,1,6,6,0.992321789264679
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0002762997173704207
0,1,7,1,0.0005947529571130872
0,1,7,2,0.0009582951897755265
0,1,7,3,0.00041447175317443907
0,1,7,4,0.006659218575805426
0,1,7,5,0.003682441310957074
0,1,7,6,0.00045299550401978195
0,1,7,7,0.9617071151733398
0,1,7,8,0.9617071151733398
0,1,7,9,0.0
0,1,7,10,0.0
