layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.23803605139255524
0,0,1,1,0.13708795607089996
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.1511606127023697
0,0,2,1,0.10966788232326508
0,0,2,2,0.11154958605766296
0,0,2,3,0.015965038910508156
0,0,2,4,0.00507765170186758
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.15911243855953217
0,0,3,1,0.10940055549144745
0,0,3,2,0.07914094626903534
0,0,3,3,0.09634704887866974
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.11439113318920135
0,0,4,1,0.08798707276582718
0,0,4,2,0.13266414403915405
0,0,4,3,0.1232806146144867
0,0,4,4,0.0495297871530056
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09554348140954971
0,0,5,1,0.09008689969778061
0,0,5,2,0.10807086527347565
0,0,5,3,0.13476046919822693
0,0,5,4,0.08776120841503143
0,0,5,5,0.021425755694508553
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09827073663473129
0,0,6,1,0.07652603089809418
0,0,6,2,0.08289888501167297
0,0,6,3,0.09043505787849426
0,0,6,4,0.050791241228580475
0,0,6,5,0.05692353844642639
0,0,6,6,0.08066492527723312
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.07787390053272247
0,0,7,1,0.08678700029850006
0,0,7,2,0.12109147012233734
0,0,7,3,0.14350657165050507
0,0,7,4,0.05737380310893059
0,0,7,5,0.010653460398316383
0,0,7,6,0.12574145197868347
0,0,7,7,0.010568493977189064
0,0,7,8,0.010568493977189064
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.07787390053272247
0,0,8,1,0.08678700029850006
0,0,8,2,0.12109147012233734
0,0,8,3,0.14350657165050507
0,0,8,4,0.05737380310893059
0,0,8,5,0.010653460398316383
0,0,8,6,0.12574145197868347
0,0,8,7,0.010568493977189064
0,0,8,8,0.010568493977189064
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.0856388658285141
0,0,9,1,0.061717040836811066
0,0,9,2,0.07326561212539673
0,0,9,3,0.0862637460231781
0,0,9,4,0.042421646416187286
0,0,9,5,0.04129263386130333
0,0,9,6,0.091608427464962
0,0,9,7,0.05962035804986954
0,0,9,8,0.05962035804986954
0,0,9,9,0.07480253279209137
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.06184835731983185
0,0,10,1,0.047705620527267456
0,0,10,2,0.05972451716661453
0,0,10,3,0.05337979272007942
0,0,10,4,0.02917938306927681
0,0,10,5,0.04274136200547218
0,0,10,6,0.08390843123197556
0,0,10,7,0.049532655626535416
0,0,10,8,0.049532655626535416
0,0,10,9,0.05891207978129387
0,0,10,10,0.06115436926484108
0,0,10,11,0.016890594735741615
0,0,10,12,0.0071860793977975845
0,0,10,13,0.0005934541113674641
0,0,11,0,0.07565812766551971
0,0,11,1,0.05320971831679344
0,0,11,2,0.04069272056221962
0,0,11,3,0.041616279631853104
0,0,11,4,0.032777369022369385
0,0,11,5,0.03252982720732689
0,0,11,6,0.08073854446411133
0,0,11,7,0.0637342780828476
0,0,11,8,0.0637342780828476
0,0,11,9,0.0651056170463562
0,0,11,10,0.043569326400756836
0,0,11,11,0.05323454365134239
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.052874963730573654
0,0,12,1,0.04038287699222565
0,0,12,2,0.0644434317946434
0,0,12,3,0.055072035640478134
0,0,12,4,0.03908072039484978
0,0,12,5,0.016744455322623253
0,0,12,6,0.059595394879579544
0,0,12,7,0.020302755758166313
0,0,12,8,0.020302755758166313
0,0,12,9,0.05850125849246979
0,0,12,10,0.08570664376020432
0,0,12,11,0.08002091944217682
0,0,12,12,0.033706020563840866
0,0,12,13,0.0
0,0,13,0,0.045389801263809204
0,0,13,1,0.043014757335186005
0,0,13,2,0.050762295722961426
0,0,13,3,0.06075185164809227
0,0,13,4,0.040826696902513504
0,0,13,5,0.008512409403920174
0,0,13,6,0.055160656571388245
0,0,13,7,0.01663287729024887
0,0,13,8,0.01663287729024887
0,0,13,9,0.06385619193315506
0,0,13,10,0.07364428043365479
0,0,13,11,0.09389420598745346
0,0,13,12,0.06438618898391724
0,0,13,13,0.013212669640779495
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00036583805922418833
0,1,1,1,0.9986976385116577
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.0001696852850727737
0,1,2,1,0.000520536326803267
0,1,2,2,0.5514269471168518
0,1,2,3,0.07019980251789093
0,1,2,4,0.055245693773031235
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0001317603891948238
0,1,3,1,0.0006440502475015819
0,1,3,2,0.0707797035574913
0,1,3,3,0.9972294569015503
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0004671843198593706
0,1,4,1,0.002814666600897908
0,1,4,2,0.056739240884780884
0,1,4,3,0.0006265288684517145
0,1,4,4,0.38793596625328064
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0006484921323135495
0,1,5,1,0.0003930373059120029
0,1,5,2,0.006436966825276613
0,1,5,3,8.908425661502406e-05
0,1,5,4,0.004798417445272207
0,1,5,5,0.9400585889816284
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00017292505071964115
0,1,6,1,0.0015357347438111901
0,1,6,2,0.00166965217795223
0,1,6,3,0.0006325435824692249
0,1,6,4,0.00019468118262011558
0,1,6,5,5.9816786233568564e-05
0,1,6,6,0.9938763976097107
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.00024472366203553975
0,1,7,1,0.00010588246368570253
0,1,7,2,0.005284654442220926
0,1,7,3,0.0008346516988240182
0,1,7,4,0.0003512112598400563
0,1,7,5,0.0023961050901561975
0,1,7,6,0.00020306080114096403
0,1,7,7,0.9292955994606018
0,1,7,8,0.9292955994606018
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.00024472366203553975
0,1,8,1,0.00010588246368570253
0,1,8,2,0.005284654442220926
0,1,8,3,0.0008346516988240182
0,1,8,4,0.0003512112598400563
0,1,8,5,0.0023961050901561975
0,1,8,6,0.00020306080114096403
0,1,8,7,0.9292955994606018
0,1,8,8,0.9292955994606018
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,0.00013718067202717066
0,1,9,1,0.48043128848075867
0,1,9,2,0.0003038214927073568
0,1,9,3,0.00010011034464696422
0,1,9,4,0.0004549202276393771
0,1,9,5,0.0003409955825190991
0,1,9,6,0.0003791272174566984
0,1,9,7,1.2870470527559519e-05
0,1,9,8,1.2870470527559519e-05
0,1,9,9,0.516089677810669
0,1,9,10,0.0
0,1,9,11,0.0
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,6.952192052267492e-05
0,1,10,1,0.0004005254013463855
0,1,10,2,0.27383941411972046
0,1,10,3,0.027367185801267624
0,1,10,4,0.023964596912264824
0,1,10,5,0.023593846708536148
0,1,10,6,0.00013086078979540616
0,1,10,7,0.003585035912692547
0,1,10,8,0.003585035912692547
0,1,10,9,0.000544192036613822
0,1,10,10,0.2622714638710022
0,1,10,11,0.027596449479460716
0,1,10,12,0.030530886724591255
0,1,10,13,0.030091604217886925
0,1,11,0,3.544369974406436e-05
0,1,11,1,0.00019121842342428863
0,1,11,2,0.034933894872665405
0,1,11,3,0.49107372760772705
0,1,11,4,5.3558902436634526e-05
0,1,11,5,5.2605380915338174e-05
0,1,11,6,0.0003096144355367869
0,1,11,7,2.2742749933968298e-05
0,1,11,8,2.2742749933968298e-05
0,1,11,9,0.00012406424502842128
0,1,11,10,0.027718834578990936
0,1,11,11,0.507087767124176
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.00017391920846421272
0,1,12,1,0.0007727490155957639
0,1,12,2,0.024967918172478676
0,1,12,3,0.0002685878425836563
0,1,12,4,0.1774238497018814
0,1,12,5,0.002548538614064455
0,1,12,6,0.00019153402536176145
0,1,12,7,0.0001701469300314784
0,1,12,8,0.0001701469300314784
0,1,12,9,0.0010926033137366176
0,1,12,10,0.030786631628870964
0,1,12,11,0.00025178672512993217
0,1,12,12,0.21107177436351776
0,1,12,13,0.0
0,1,13,0,0.00025107080000452697
0,1,13,1,0.00012945353228133172
0,1,13,2,0.0021966013591736555
0,1,13,3,4.102893217350356e-05
0,1,13,4,0.0018268092535436153
0,1,13,5,0.403310626745224
0,1,13,6,1.6611094906693324e-05
0,1,13,7,0.0009588011307641864
0,1,13,8,0.0009588011307641864
0,1,13,9,0.00010816741996677592
0,1,13,10,0.03242291882634163
0,1,13,11,3.741853652172722e-05
0,1,13,12,0.0023098369129002094
0,1,13,13,0.5442551970481873
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.22604571282863617
0,2,1,1,0.16057808697223663
0,2,1,2,0.0
0,2,1,3,0.0
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.15900297462940216
0,2,2,1,0.11743093281984329
0,2,2,2,0.07050924003124237
0,2,2,3,0.011524992994964123
0,2,2,4,0.010923588648438454
0,2,2,5,0.0
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.16338613629341125
0,2,3,1,0.09446393698453903
0,2,3,2,0.07221609354019165
0,2,3,3,0.10114739835262299
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.10660608857870102
0,2,4,1,0.07007712870836258
0,2,4,2,0.06272782385349274
0,2,4,3,0.06804091483354568
0,2,4,4,0.08569889515638351
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.08331957459449768
0,2,5,1,0.0458357147872448
0,2,5,2,0.042860109359025955
0,2,5,3,0.04364167898893356
0,2,5,4,0.09310770034790039
0,2,5,5,0.1526849865913391
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.10700731724500656
0,2,6,1,0.04906056821346283
0,2,6,2,0.05677643418312073
0,2,6,3,0.04725918918848038
0,2,6,4,0.046916183084249496
0,2,6,5,0.056275445967912674
0,2,6,6,0.17922614514827728
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.071256622672081
0,2,7,1,0.043843649327754974
0,2,7,2,0.04294596612453461
0,2,7,3,0.03788101673126221
0,2,7,4,0.11146559566259384
0,2,7,5,0.07561612874269485
0,2,7,6,0.030595267191529274
0,2,7,7,0.04854705184698105
0,2,7,8,0.04854705184698105
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.071256622672081
0,2,8,1,0.043843649327754974
0,2,8,2,0.04294596612453461
0,2,8,3,0.03788101673126221
0,2,8,4,0.11146559566259384
0,2,8,5,0.07561612874269485
0,2,8,6,0.030595267191529274
0,2,8,7,0.04854705184698105
0,2,8,8,0.04854705184698105
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.07570627331733704
0,2,9,1,0.08743811398744583
0,2,9,2,0.06356757134199142
0,2,9,3,0.1315685659646988
0,2,9,4,0.04248642921447754
0,2,9,5,0.052890654653310776
0,2,9,6,0.0891893208026886
0,2,9,7,0.05832994729280472
0,2,9,8,0.05832994729280472
0,2,9,9,0.08164788782596588
0,2,9,10,0.0
0,2,9,11,0.0
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.06141597777605057
0,2,10,1,0.06005600467324257
0,2,10,2,0.04873492196202278
0,2,10,3,0.047597531229257584
0,2,10,4,0.03833110257983208
0,2,10,5,0.05101194977760315
0,2,10,6,0.09140564501285553
0,2,10,7,0.05133343115448952
0,2,10,8,0.05133343115448952
0,2,10,9,0.05825868621468544
0,2,10,10,0.03956737369298935
0,2,10,11,0.007651015650480986
0,2,10,12,0.010413027368485928
0,2,10,13,0.005433928687125444
0,2,11,0,0.07525421679019928
0,2,11,1,0.052485156804323196
0,2,11,2,0.04410937428474426
0,2,11,3,0.05760060250759125
0,2,11,4,0.037031140178442
0,2,11,5,0.05947628244757652
0,2,11,6,0.05350574478507042
0,2,11,7,0.06415759027004242
0,2,11,8,0.06415759027004242
0,2,11,9,0.049308352172374725
0,2,11,10,0.036809246987104416
0,2,11,11,0.05820596590638161
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.04314734414219856
0,2,12,1,0.03537946566939354
0,2,12,2,0.03432628512382507
0,2,12,3,0.03361079841852188
0,2,12,4,0.0649041086435318
0,2,12,5,0.06677760928869247
0,2,12,6,0.0630970150232315
0,2,12,7,0.07225993275642395
0,2,12,8,0.07225993275642395
0,2,12,9,0.037906624376773834
0,2,12,10,0.032780930399894714
0,2,12,11,0.03747434914112091
0,2,12,12,0.05133825168013573
0,2,12,13,0.0
0,2,13,0,0.038245782256126404
0,2,13,1,0.02470986545085907
0,2,13,2,0.02307063341140747
0,2,13,3,0.024037672206759453
0,2,13,4,0.049410730600357056
0,2,13,5,0.07458613812923431
0,2,13,6,0.028037967160344124
0,2,13,7,0.09913185983896255
0,2,13,8,0.09913185983896255
0,2,13,9,0.026709439232945442
0,2,13,10,0.030849313363432884
0,2,13,11,0.027126731351017952
0,2,13,12,0.06075208634138107
0,2,13,13,0.09465645998716354
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.00786842405796051
0,3,1,1,0.9595217704772949
0,3,1,2,0.0
0,3,1,3,0.0
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.0032787162344902754
0,3,2,1,0.008275358006358147
0,3,2,2,0.5428940057754517
0,3,2,3,0.061119332909584045
0,3,2,4,0.05445525422692299
0,3,2,5,0.0
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.0023813839070498943
0,3,3,1,0.008855612017214298
0,3,3,2,0.11794319748878479
0,3,3,3,0.8803619146347046
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.0026821529027074575
0,3,4,1,0.0028650984168052673
0,3,4,2,0.059232328087091446
0,3,4,3,0.006843512877821922
0,3,4,4,0.3795228898525238
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.000796267413534224
0,3,5,1,0.0017753503052517772
0,3,5,2,0.006630341988056898
0,3,5,3,0.0038444141391664743
0,3,5,4,0.05577400326728821
0,3,5,5,0.802673876285553
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,0.0004317624552641064
0,3,6,1,0.00011025395360775292
0,3,6,2,0.0002456575748510659
0,3,6,3,0.00014184827159624547
0,3,6,4,0.0006175654707476497
0,3,6,5,0.0001462450309190899
0,3,6,6,0.9958710670471191
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.0038447666447609663
0,3,7,1,0.00261302781291306
0,3,7,2,0.00984879955649376
0,3,7,3,0.009697817265987396
0,3,7,4,0.049252986907958984
0,3,7,5,0.12377437949180603
0,3,7,6,0.2228487730026245
0,3,7,7,0.48797833919525146
0,3,7,8,0.48797833919525146
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.0038447666447609663
0,3,8,1,0.00261302781291306
0,3,8,2,0.00984879955649376
0,3,8,3,0.009697817265987396
0,3,8,4,0.049252986907958984
0,3,8,5,0.12377437949180603
0,3,8,6,0.2228487730026245
0,3,8,7,0.48797833919525146
0,3,8,8,0.48797833919525146
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.00038127281004562974
0,3,9,1,0.0020780819468200207
0,3,9,2,8.403220272157341e-05
0,3,9,3,6.861315341666341e-05
0,3,9,4,0.0002605606277938932
0,3,9,5,0.0008452439215034246
0,3,9,6,0.0031117380131036043
0,3,9,7,0.0017390783177688718
0,3,9,8,0.0017390783177688718
0,3,9,9,0.9898691773414612
0,3,9,10,0.0
0,3,9,11,0.0
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,0.0001732524106046185
0,3,10,1,2.0911687897751108e-05
0,3,10,2,0.0024942730087786913
0,3,10,3,0.00034437142312526703
0,3,10,4,0.00020973999926354736
0,3,10,5,0.000549879448954016
0,3,10,6,0.0025135939940810204
0,3,10,7,0.0020060772076249123
0,3,10,8,0.0020060772076249123
0,3,10,9,0.006752049550414085
0,3,10,10,0.5297734141349792
0,3,10,11,0.049342330545186996
0,3,10,12,0.05600195750594139
0,3,10,13,0.04542824253439903
0,3,11,0,0.00018992570403497666
0,3,11,1,9.733415936352685e-05
0,3,11,2,0.0008961398270912468
0,3,11,3,0.006262433715164661
0,3,11,4,8.393145981244743e-05
0,3,11,5,3.311629916424863e-05
0,3,11,6,0.005003372672945261
0,3,11,7,7.343270408455282e-05
0,3,11,8,7.343270408455282e-05
0,3,11,9,0.009874318726360798
0,3,11,10,0.10570421814918518
0,3,11,11,0.8811538219451904
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.0003085325879510492
0,3,12,1,2.3781698473612778e-05
0,3,12,2,8.250936662079766e-05
0,3,12,3,3.465301779215224e-05
0,3,12,4,0.001372635830193758
0,3,12,5,0.0009971114341169596
0,3,12,6,0.0007836759323254228
0,3,12,7,0.002810999285429716
0,3,12,8,0.002810999285429716
0,3,12,9,0.002314291661605239
0,3,12,10,0.05641840398311615
0,3,12,11,0.0048010582104325294
0,3,12,12,0.38229402899742126
0,3,12,13,0.0
0,3,13,0,9.56030999077484e-05
0,3,13,1,2.0156929167569615e-05
0,3,13,2,2.308151852048468e-05
0,3,13,3,2.7148758817929775e-05
0,3,13,4,0.0002895483048632741
0,3,13,5,0.001627200050279498
0,3,13,6,0.0009502521133981645
0,3,13,7,0.0017162621952593327
0,3,13,8,0.0017162621952593327
0,3,13,9,0.0015763312112540007
0,3,13,10,0.05522844195365906
0,3,13,11,0.0033117900602519512
0,3,13,12,0.05578272417187691
0,3,13,13,0.8021016120910645
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.04567151144146919
0,4,1,1,0.8400334119796753
0,4,1,2,0.0
0,4,1,3,0.0
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.01687507890164852
0,4,2,1,0.03431271016597748
0,4,2,2,0.5117794871330261
0,4,2,3,0.058252811431884766
0,4,2,4,0.03983398899435997
0,4,2,5,0.0
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.019608192145824432
0,4,3,1,0.05117596685886383
0,4,3,2,0.13184724748134613
0,4,3,3,0.7361193895339966
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.03273944556713104
0,4,4,1,0.035642530769109726
0,4,4,2,0.08752108365297318
0,4,4,3,0.05228286609053612
0,4,4,4,0.27385005354881287
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
0,4,4,12,0.0
0,4,4,13,0.0
0,4,5,0,0.028955746442079544
