layer,head,source_position,dest_position,value
0,0,0,0,0.3233082890510559
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2340313196182251
0,0,1,1,0.09521636366844177
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.1400076150894165
0,0,2,1,0.09061647951602936
0,0,2,2,0.08372439444065094
0,0,2,3,0.03388308361172676
0,0,2,4,0.007114200387150049
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.14724989235401154
0,0,3,1,0.09366534650325775
0,0,3,2,0.06317415088415146
0,0,3,3,0.0705401599407196
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.10885594040155411
0,0,4,1,0.09068386256694794
0,0,4,2,0.08591288328170776
0,0,4,3,0.12657763063907623
0,0,4,4,0.04155094176530838
0,0,4,5,0.0020853430032730103
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.08545892685651779
0,0,5,1,0.09495033323764801
0,0,5,2,0.0878773182630539
0,0,5,3,0.15029799938201904
0,0,5,4,0.07570075988769531
0,0,5,5,0.021059397608041763
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09717123955488205
0,0,6,1,0.05677987262606621
0,0,6,2,0.06057664752006531
0,0,6,3,0.10053575783967972
0,0,6,4,0.05030999332666397
0,0,6,5,0.055047981441020966
0,0,6,6,0.07404937595129013
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.07125958800315857
0,0,7,1,0.10707264393568039
0,0,7,2,0.08344771713018417
0,0,7,3,0.15704858303070068
0,0,7,4,0.05208241939544678
0,0,7,5,0.011069702915847301
0,0,7,6,0.09653821587562561
0,0,7,7,0.0101015605032444
0,0,7,8,0.00966443121433258
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.07117100805044174
0,0,8,1,0.10155726224184036
0,0,8,2,0.08344771713018417
0,0,8,3,0.1533757448196411
0,0,8,4,0.05269812420010567
0,0,8,5,0.011685403995215893
0,0,8,6,0.09615680575370789
0,0,8,7,0.011031857691705227
0,0,8,8,0.011772694997489452
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07919187098741531
0,0,9,1,0.039834070950746536
0,0,9,2,0.05701911449432373
0,0,9,3,0.08115311712026596
0,0,9,4,0.04795479774475098
0,0,9,5,0.044362496584653854
0,0,9,6,0.08442112058401108
0,0,9,7,0.06301338225603104
0,0,9,8,0.06291323155164719
0,0,9,9,0.04838833585381508
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.057212408632040024
0,0,10,1,0.04038131982088089
0,0,10,2,0.0520743727684021
0,0,10,3,0.05319208279252052
0,0,10,4,0.028907179832458496
0,0,10,5,0.03353308513760567
0,0,10,6,0.04830092191696167
0,0,10,7,0.03947393596172333
0,0,10,8,0.03947393596172333
0,0,10,9,0.05445319041609764
0,0,10,10,0.04884909465909004
0,0,10,11,0.031553979963064194
0,0,10,12,0.01076764427125454
0,0,10,13,0.0009175438317470253
0,0,11,0,0.06947100162506104
0,0,11,1,0.04555925726890564
0,0,11,2,0.03433256223797798
0,0,11,3,0.030767349526286125
0,0,11,4,0.0343516580760479
0,0,11,5,0.03533918038010597
0,0,11,6,0.061677172780036926
0,0,11,7,0.056284476071596146
0,0,11,8,0.05571029707789421
0,0,11,9,0.05701379477977753
0,0,11,10,0.030623335391283035
0,0,11,11,0.03914150968194008
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.047901615500450134
0,0,12,1,0.03812682256102562
0,0,12,2,0.04050421714782715
0,0,12,3,0.05242733657360077
0,0,12,4,0.032746925950050354
0,0,12,5,0.015081214718520641
0,0,12,6,0.046597693115472794
0,0,12,7,0.019191769883036613
0,0,12,8,0.019191769883036613
0,0,12,9,0.05754527449607849
0,0,12,10,0.04988472908735275
0,0,12,11,0.08014973253011703
0,0,12,12,0.026935452595353127
0,0,12,13,0.0
0,0,13,0,0.040028445422649384
0,0,13,1,0.04613026976585388
0,0,13,2,0.0392141230404377
0,0,13,3,0.06681880354881287
0,0,13,4,0.03408468887209892
0,0,13,5,0.008291858248412609
0,0,13,6,0.040313150733709335
0,0,13,7,0.014716570265591145
0,0,13,8,0.017078666016459465
0,0,13,9,0.07046523690223694
0,0,13,10,0.05599195882678032
0,0,13,11,0.10505320876836777
0,0,13,12,0.05371653288602829
0,0,13,13,0.013351283967494965
0,1,0,0,0.3233082890510559
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00022691008052788675
0,1,1,1,0.9990398287773132
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.00028287331224419177
0,1,2,1,0.0006479110452346504
0,1,2,2,0.3187975585460663
0,1,2,3,0.10840940475463867
0,1,2,4,0.07905536890029907
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0002169968793168664
0,1,3,1,0.000832497316878289
0,1,3,2,0.10893023759126663
0,1,3,3,0.996333658695221
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.00042350569856353104
0,1,4,1,0.003471827832981944
0,1,4,2,0.08052504807710648
0,1,4,3,0.00042301471694372594
0,1,4,4,0.3958008289337158
0,1,4,5,0.05210452154278755
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.000614974822383374
0,1,5,1,0.00039812480099499226
0,1,5,2,0.009178661741316319
0,1,5,3,0.00013231900811661035
0,1,5,4,0.055451951920986176
0,1,5,5,0.9298996329307556
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.0002450174652040005
0,1,6,1,0.0011472816113382578
0,1,6,2,0.0006750836037099361
0,1,6,3,0.0004358360602054745
0,1,6,4,0.00021274069149512798
0,1,6,5,6.518320878967643e-05
0,1,6,6,0.9944048523902893
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.00035764268250204623
0,1,7,1,0.000118977390229702
0,1,7,2,0.007520853541791439
0,1,7,3,0.001124424859881401
0,1,7,4,0.0005244486383162439
0,1,7,5,0.002035026205703616
0,1,7,6,0.00017268532246816903
0,1,7,7,0.9091178774833679
0,1,7,8,0.8705536723136902
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.0030411314219236374
0,1,8,1,0.00011499816901050508
0,1,8,2,0.007520853541791439
0,1,8,3,0.001123554538935423
0,1,8,4,0.0005231855320744216
0,1,8,5,0.002033763099461794
0,1,8,6,0.00017427216516807675
0,1,8,7,0.8705557584762573
0,1,8,8,0.865883469581604
