layer,head,source_position,dest_position,value
0,0,0,0,0.3329809308052063
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.21538971364498138
0,0,1,1,0.1650489717721939
0,0,1,2,0.0
0,0,1,3,0.014723467640578747
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.10833898186683655
0,0,2,1,0.09323108941316605
0,0,2,2,0.04247770085930824
0,0,2,3,0.01907961629331112
0,0,2,4,0.0073553468100726604
0,0,2,5,3.7069387417432154e-06
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.15183869004249573
0,0,3,1,0.13586929440498352
0,0,3,2,0.05052346736192703
0,0,3,3,0.07073044031858444
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.1281617283821106
0,0,4,1,0.10124590992927551
0,0,4,2,0.059043947607278824
0,0,4,3,0.10099345445632935
0,0,4,4,0.05099041387438774
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.10045654326677322
0,0,5,1,0.10267222672700882
0,0,5,2,0.05832844227552414
0,0,5,3,0.09303437918424606
0,0,5,4,0.08037114888429642
0,0,5,5,0.02600192278623581
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.10030195862054825
0,0,6,1,0.08064229786396027
0,0,6,2,0.04310842230916023
0,0,6,3,0.0694805458188057
0,0,6,4,0.05577419698238373
0,0,6,5,0.061734896153211594
0,0,6,6,0.07455133646726608
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.09338919073343277
0,0,7,1,0.11813683807849884
0,0,7,2,0.0537634901702404
0,0,7,3,0.0856286808848381
0,0,7,4,0.06643910706043243
0,0,7,5,0.01414888072758913
0,0,7,6,0.1087634414434433
0,0,7,7,0.013259880244731903
0,0,7,8,0.013241438195109367
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.09336753189563751
0,0,8,1,0.11810142546892166
0,0,8,2,0.0537634901702404
0,0,8,3,0.08559326082468033
0,0,8,4,0.06638035923242569
0,0,8,5,0.014169594272971153
0,0,8,6,0.10876906663179398
0,0,8,7,0.0132845314219594
0,0,8,8,0.01332036778330803
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07454505562782288
