layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.21561294794082642
0,0,1,1,0.15692225098609924
0,0,1,2,0.0
0,0,1,3,0.008204979822039604
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.11675191670656204
0,0,2,1,0.08941304683685303
0,0,2,2,0.04473573714494705
0,0,2,3,0.021363727748394012
0,0,2,4,0.008090335875749588
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.1477980613708496
0,0,3,1,0.12680962681770325
0,0,3,2,0.05192657932639122
0,0,3,3,0.0706402137875557
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.1256074160337448
0,0,4,1,0.09421335160732269
0,0,4,2,0.06292574852705002
0,0,4,3,0.09848996251821518
0,0,4,4,0.051989439874887466
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09818300604820251
0,0,5,1,0.09429293125867844
0,0,5,2,0.06240313500165939
0,0,5,3,0.09333375841379166
0,0,5,4,0.08128076046705246
0,0,5,5,0.02564755454659462
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09948328882455826
0,0,6,1,0.07496502995491028
0,0,6,2,0.045672982931137085
0,0,6,3,0.0654982402920723
0,0,6,4,0.05582761764526367
0,0,6,5,0.06141917407512665
0,0,6,6,0.07495904713869095
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.09021256119012833
0,0,7,1,0.11615411192178726
0,0,7,2,0.058255549520254135
0,0,7,3,0.0880834311246872
0,0,7,4,0.06492742151021957
0,0,7,5,0.013973342254757881
0,0,7,6,0.10693439841270447
0,0,7,7,0.012847389094531536
0,0,7,8,0.012847389094531536
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.09021256119012833
0,0,8,1,0.11615411192178726
0,0,8,2,0.058255549520254135
0,0,8,3,0.0880834311246872
0,0,8,4,0.06492742151021957
0,0,8,5,0.013973342254757881
0,0,8,6,0.10693439841270447
0,0,8,7,0.012847389094531536
0,0,8,8,0.012847389094531536
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07044591009616852
0,0,9,1,0.06358024477958679
0,0,9,2,0.045516375452280045
0,0,9,3,0.06803538650274277
0,0,9,4,0.051940493285655975
0,0,9,5,0.051583945751190186
0,0,9,6,0.08234044164419174
0,0,9,7,0.06507669389247894
0,0,9,8,0.06507669389247894
0,0,9,9,0.07939623296260834
0,0,9,10,0.0
0,0,9,11,0.004258307162672281
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.04507565498352051
0,0,10,1,0.03771722689270973
0,0,10,2,0.028994468972086906
0,0,10,3,0.032422903925180435
0,0,10,4,0.028863204643130302
0,0,10,5,0.022907404229044914
0,0,10,6,0.04444838687777519
0,0,10,7,0.029509415850043297
0,0,10,8,0.029509415850043297
0,0,10,9,0.05405346304178238
0,0,10,10,0.024814199656248093
0,0,10,11,0.01954956352710724
0,0,10,12,0.01225612498819828
0,0,10,13,0.0009267168352380395
0,0,11,0,0.06686180084943771
0,0,11,1,0.05958089977502823
0,0,11,2,0.029788855463266373
0,0,11,3,0.03155006468296051
0,0,11,4,0.03775278478860855
0,0,11,5,0.04226559028029442
0,0,11,6,0.0731094628572464
0,0,11,7,0.061144936829805374
0,0,11,8,0.061144936829805374
0,0,11,9,0.07666003704071045
0,0,11,10,0.025133132934570312
0,0,11,11,0.03952009975910187
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.059341758489608765
0,0,12,1,0.04511209949851036
0,0,12,2,0.029566969722509384
0,0,12,3,0.0445723682641983
0,0,12,4,0.0410742349922657
0,0,12,5,0.02164212055504322
0,0,12,6,0.054043062031269073
0,0,12,7,0.025242267176508904
0,0,12,8,0.025242267176508904
0,0,12,9,0.06741983443498611
0,0,12,10,0.03453105688095093
0,0,12,11,0.06694111227989197
0,0,12,12,0.037627559155225754
0,0,12,13,0.0
0,0,13,0,0.04732898622751236
0,0,13,1,0.04642394557595253
0,0,13,2,0.027886858209967613
0,0,13,3,0.043549250811338425
0,0,13,4,0.037135541439056396
0,0,13,5,0.01038084551692009
0,0,13,6,0.0529608353972435
0,0,13,7,0.019301526248455048
0,0,13,8,0.019301526248455048
0,0,13,9,0.0687921866774559
0,0,13,10,0.0393042229115963
0,0,13,11,0.0660981833934784
0,0,13,12,0.060308150947093964
0,0,13,13,0.016532186418771744
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00018764946435112506
0,1,1,1,0.9992853403091431
0,1,1,2,0.0
0,1,1,3,0.03926783427596092
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.00042043114081025124
0,1,2,1,0.0014999553095549345
0,1,2,2,0.24281199276447296
0,1,2,3,0.09299870580434799
0,1,2,4,0.05258911848068237
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0003580747579690069
0,1,3,1,0.041163377463817596
0,1,3,2,0.09377746284008026
0,1,3,3,0.9917226433753967
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.00046412344090640545
0,1,4,1,0.0012681435327976942
0,1,4,2,0.05350232124328613
0,1,4,3,0.000991169479675591
0,1,4,4,0.31707367300987244
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0005341693176887929
0,1,5,1,0.000381682300940156
0,1,5,2,0.007055364549160004
0,1,5,3,0.00023802154464647174
0,1,5,4,0.00807025097310543
0,1,5,5,0.9433203339576721
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00017369762645103037
0,1,6,1,0.0025837186258286238
0,1,6,2,0.0002661470789462328
0,1,6,3,0.0006061032763682306
0,1,6,4,0.00024687391123734415
0,1,6,5,0.00020384711388032883
0,1,6,6,0.9943252801895142
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.00023560305999126285
0,1,7,1,0.0007283755694516003
0,1,7,2,0.001288519473746419
0,1,7,3,0.0036985469050705433
0,1,7,4,0.0018096360145136714
0,1,7,5,0.00369284488260746
0,1,7,6,0.00028184973052702844
0,1,7,7,0.9693821668624878
0,1,7,8,0.9693821668624878
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.00023560305999126285
0,1,8,1,0.0007283755694516003
0,1,8,2,0.001288519473746419
0,1,8,3,0.0036985469050705433
0,1,8,4,0.0018096360145136714
0,1,8,5,0.00369284488260746
0,1,8,6,0.00028184973052702844
0,1,8,7,0.9693821668624878
0,1,8,8,0.9693821668624878
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,6.859675340820104e-05
0,1,9,1,0.4843772351741791
0,1,9,2,0.00015322689432650805
0,1,9,3,0.0214911550283432
0,1,9,4,0.00012893383973278105
0,1,9,5,0.00016321495058946311
0,1,9,6,0.000574700883589685
0,1,9,7,1.7589931303518824e-05
0,1,9,8,1.7589931303518824e-05
0,1,9,9,0.5127739906311035
0,1,9,10,0.0
0,1,9,11,0.01842627115547657
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,0.00012427133333403617
0,1,10,1,0.0003192075528204441
0,1,10,2,0.10107653588056564
0,1,10,3,0.02951160818338394
0,1,10,4,0.026709532365202904
0,1,10,5,0.028944311663508415
0,1,10,6,0.0004795239947270602
0,1,10,7,0.0007499170023947954
0,1,10,8,0.0007499170023947954
0,1,10,9,0.00025508474209345877
0,1,10,10,0.1092740073800087
0,1,10,11,0.03374767303466797
0,1,10,12,0.037064094096422195
0,1,10,13,0.03694804757833481
0,1,11,0,9.313076589023694e-05
0,1,11,1,0.02131192944943905
0,1,11,2,0.043402161449193954
0,1,11,3,0.47261565923690796
0,1,11,4,0.00016903967480175197
0,1,11,5,6.613176810787991e-05
0,1,11,6,0.00045637221774086356
0,1,11,7,0.002321686828508973
0,1,11,8,0.002321686828508973
0,1,11,9,0.01880531758069992
0,1,11,10,0.03390401601791382
0,1,11,11,0.5191956758499146
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.00017192811355926096
0,1,12,1,0.00034274428617209196
0,1,12,2,0.022750498726963997
0,1,12,3,0.0003446877235546708
0,1,12,4,0.14038029313087463
0,1,12,5,0.003962683025747538
0,1,12,6,0.0007436274318024516
0,1,12,7,0.0009824377484619617
0,1,12,8,0.0009824377484619617
0,1,12,9,0.00029403483495116234
0,1,12,10,0.036981601268053055
0,1,12,11,0.00030321956728585064
0,1,12,12,0.1767328977584839
0,1,12,13,0.0
0,1,13,0,0.00021409059991128743
0,1,13,1,0.0001267502666451037
0,1,13,2,0.0025263726711273193
0,1,13,3,0.0001037444599205628
0,1,13,4,0.002959270030260086
0,1,13,5,0.3909180164337158
0,1,13,6,6.378891703207046e-05
0,1,13,7,0.001807634369470179
0,1,13,8,0.001807634369470179
0,1,13,9,0.00010957453196169809
0,1,13,10,0.04127049446105957
0,1,13,11,0.00011758305481635034
0,1,13,12,0.004162035882472992
0,1,13,13,0.5596435070037842
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.21346861124038696
0,2,1,1,0.17867106199264526
0,2,1,2,0.0
0,2,1,3,0.01043999195098877
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.11532679945230484
0,2,2,1,0.08728262782096863
0,2,2,2,0.042674317955970764
0,2,2,3,0.023412156850099564
0,2,2,4,0.009669866412878036
0,2,2,5,0.0
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.14778301119804382
0,2,3,1,0.14758452773094177
0,2,3,2,0.050294291228055954
0,2,3,3,0.11313120275735855
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.10302431136369705
0,2,4,1,0.08077768236398697
0,2,4,2,0.05197141692042351
0,2,4,3,0.06758791208267212
0,2,4,4,0.07375195622444153
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.08094725012779236
0,2,5,1,0.05309649929404259
0,2,5,2,0.038799889385700226
0,2,5,3,0.0420716218650341
0,2,5,4,0.08462229371070862
0,2,5,5,0.12909603118896484
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.10366293042898178
0,2,6,1,0.05067086219787598
0,2,6,2,0.03395082429051399
0,2,6,3,0.04667925834655762
0,2,6,4,0.04644515737891197
0,2,6,5,0.04546143114566803
0,2,6,6,0.19750311970710754
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.06595319509506226
0,2,7,1,0.03821432963013649
0,2,7,2,0.04390088468790054
0,2,7,3,0.030928287655115128
0,2,7,4,0.09282001107931137
0,2,7,5,0.07809708267450333
0,2,7,6,0.028321299701929092
0,2,7,7,0.04576427489519119
0,2,7,8,0.04576427489519119
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.06595319509506226
0,2,8,1,0.03821432963013649
0,2,8,2,0.04390088468790054
0,2,8,3,0.030928287655115128
0,2,8,4,0.09282001107931137
0,2,8,5,0.07809708267450333
0,2,8,6,0.028321299701929092
0,2,8,7,0.04576427489519119
0,2,8,8,0.04576427489519119
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.07273176312446594
0,2,9,1,0.10080273449420929
0,2,9,2,0.03643400967121124
0,2,9,3,0.08091897517442703
0,2,9,4,0.04407928138971329
0,2,9,5,0.04984264075756073
0,2,9,6,0.07676529884338379
0,2,9,7,0.04788423702120781
0,2,9,8,0.04788423702120781
0,2,9,9,0.09624958783388138
0,2,9,10,0.0
0,2,9,11,0.0060728685930371284
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.04045690968632698
0,2,10,1,0.04099125415086746
0,2,10,2,0.02783954329788685
0,2,10,3,0.02700084261596203
0,2,10,4,0.031034881249070168
0,2,10,5,0.037005167454481125
0,2,10,6,0.04467425495386124
0,2,10,7,0.04735605791211128
0,2,10,8,0.04735605791211128
0,2,10,9,0.04460062459111214
0,2,10,10,0.021038733422756195
0,2,10,11,0.013670586049556732
0,2,10,12,0.012918669730424881
0,2,10,13,0.004852100741118193
0,2,11,0,0.06113225221633911
0,2,11,1,0.08229047805070877
0,2,11,2,0.03155113011598587
0,2,11,3,0.06248825788497925
0,2,11,4,0.0379275307059288
0,2,11,5,0.039926689118146896
0,2,11,6,0.07339246571063995
0,2,11,7,0.044324856251478195
0,2,11,8,0.044324856251478195
0,2,11,9,0.08165378868579865
0,2,11,10,0.021181154996156693
0,2,11,11,0.06456044316291809
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.04216370731592178
0,2,12,1,0.041880372911691666
0,2,12,2,0.0254364013671875
0,2,12,3,0.03370865806937218
0,2,12,4,0.052975431084632874
0,2,12,5,0.055745698511600494
0,2,12,6,0.05590436980128288
0,2,12,7,0.0775778517127037
0,2,12,8,0.0775778517127037
0,2,12,9,0.0461077019572258
0,2,12,10,0.025130441412329674
0,2,12,11,0.0386812761425972
0,2,12,12,0.04358464479446411
0,2,12,13,0.0
0,2,13,0,0.03699754178524017
0,2,13,1,0.02867567166686058
0,2,13,2,0.020030079409480095
0,2,13,3,0.022229807451367378
0,2,13,4,0.04324234649538994
0,2,13,5,0.062107011675834656
0,2,13,6,0.03174549341201782
0,2,13,7,0.08868393301963806
0,2,13,8,0.08868393301963806
0,2,13,9,0.03201861307024956
0,2,13,10,0.029379121959209442
0,2,13,11,0.025272438302636147
0,2,13,12,0.05453500151634216
0,2,13,13,0.08101905882358551
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.007226293440908194
0,3,1,1,0.9722828269004822
0,3,1,2,0.0
0,3,1,3,0.03868265450000763
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.0022601857781410217
0,3,2,1,0.013398829847574234
0,3,2,2,0.23308666050434113
0,3,2,3,0.08455191552639008
0,3,2,4,0.05094539001584053
0,3,2,5,0.0
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.0033159509766846895
0,3,3,1,0.06539841741323471
0,3,3,2,0.09957531094551086
0,3,3,3,0.8777983784675598
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.003104213625192642
0,3,4,1,0.004080645274370909
0,3,4,2,0.059987831860780716
0,3,4,3,0.01079605333507061
0,3,4,4,0.3055412173271179
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.0008824776741676033
0,3,5,1,0.0011999650159850717
0,3,5,2,0.008474372327327728
0,3,5,3,0.004593564197421074
0,3,5,4,0.06833823770284653
0,3,5,5,0.7654673457145691
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,0.00037292507477104664
0,3,6,1,0.00021469558123499155
0,3,6,2,9.70061810221523e-05
0,3,6,3,0.0003408864140510559
0,3,6,4,0.0005162063171155751
0,3,6,5,0.0005292548448778689
0,3,6,6,0.9959567189216614
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.0033037953544408083
0,3,7,1,0.003099593799561262
0,3,7,2,0.0076904757879674435
0,3,7,3,0.009130247868597507
0,3,7,4,0.047408927232027054
0,3,7,5,0.12341630458831787
0,3,7,6,0.21164478361606598
0,3,7,7,0.4815603494644165
0,3,7,8,0.4815603494644165
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.0033037953544408083
0,3,8,1,0.003099593799561262
0,3,8,2,0.0076904757879674435
0,3,8,3,0.009130247868597507
0,3,8,4,0.047408927232027054
0,3,8,5,0.12341630458831787
0,3,8,6,0.21164478361606598
0,3,8,7,0.4815603494644165
0,3,8,8,0.4815603494644165
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.00043129094410687685
0,3,9,1,0.002761725103482604
0,3,9,2,6.312019104370847e-05
0,3,9,3,0.0003453705576248467
0,3,9,4,0.00023290653189178556
0,3,9,5,0.00042721693171188235
0,3,9,6,0.011205594055354595
0,3,9,7,0.0011189300566911697
0,3,9,8,0.0011189300566911697
0,3,9,9,0.9820994734764099
0,3,9,10,0.0
0,3,9,11,0.03897300735116005
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,0.00015776173677295446
0,3,10,1,4.213447027723305e-05
0,3,10,2,0.001185236033052206
0,3,10,3,0.0002759803319349885
0,3,10,4,0.00027045304886996746
0,3,10,5,0.0012491458328440785
0,3,10,6,0.0019930440466850996
0,3,10,7,0.003548337845131755
0,3,10,8,0.003548337845131755
0,3,10,9,0.008659793995320797
0,3,10,10,0.20443196594715118
0,3,10,11,0.05669372156262398
0,3,10,12,0.06647703796625137
0,3,10,13,0.04813910275697708
0,3,11,0,0.00031623998074792325
0,3,11,1,0.0004661480779759586
0,3,11,2,0.00036225462099537253
0,3,11,3,0.004582822322845459
0,3,11,4,0.00015584263019263744
0,3,11,5,0.00015575149154756218
0,3,11,6,0.003153157187625766
0,3,11,7,0.0005809388239867985
0,3,11,8,0.0005809388239867985
0,3,11,9,0.06683039665222168
0,3,11,10,0.0697512999176979
0,3,11,11,0.8779540657997131
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.00035325807402841747
0,3,12,1,3.899402872775681e-05
0,3,12,2,7.286763866432011e-05
0,3,12,3,5.4419797379523516e-05
0,3,12,4,0.0014082766138017178
0,3,12,5,0.0014541266718879342
0,3,12,6,0.001057391637004912
0,3,12,7,0.004313776269555092
0,3,12,8,0.004313776269555092
0,3,12,9,0.0033151886891573668
0,3,12,10,0.06473687291145325
0,3,12,11,0.008587975054979324
0,3,12,12,0.30831941962242126
0,3,12,13,0.0
0,3,13,0,0.00012298488582018763
0,3,13,1,2.1643363652401604e-05
0,3,13,2,1.6858437447808683e-05
0,3,13,3,5.924407741986215e-05
0,3,13,4,0.0002511623315513134
0,3,13,5,0.0017307803500443697
0,3,13,6,0.00037906086072325706
0,3,13,7,0.0018104210030287504
0,3,13,8,0.0018104210030287504
0,3,13,9,0.0010838763555511832
0,3,13,10,0.06409791111946106
0,3,13,11,0.004625319037586451
0,3,13,12,0.06680705398321152
0,3,13,13,0.7639898061752319
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.043339911848306656
0,4,1,1,0.8544191718101501
0,4,1,2,0.0
0,4,1,3,0.03693995997309685
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.02365477755665779
0,4,2,1,0.08398158848285675
0,4,2,2,0.1690293252468109
0,4,2,3,0.07777204364538193
0,4,2,4,0.036777250468730927
0,4,2,5,0.0
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.01697484962642193
0,4,3,1,0.11014275252819061
0,4,3,2,0.10862735658884048
0,4,3,3,0.7054572105407715
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.029719458892941475
0,4,4,1,0.050255484879016876
0,4,4,2,0.07240190356969833
0,4,4,3,0.06464600563049316
0,4,4,4,0.22056806087493896
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
0,4,4,12,0.0
0,4,4,13,0.0
