layer,head,source_position,dest_position,value
0,0,0,0,0.33238857984542847
0,0,0,1,0.0011866535060107708
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0002699305769056082
0,0,0,5,6.991343252593651e-05
0,0,0,6,0.0001230739726452157
0,0,0,7,4.7781853936612606e-05
0,0,0,8,0.0
0,0,0,9,0.00037960175541229546
0,0,0,10,0.0
0,0,0,11,0.0011866535060107708
0,0,0,12,0.00011049526801798493
0,0,0,13,0.0
0,0,1,0,0.22901339828968048
0,0,1,1,0.12686936557292938
0,0,1,2,0.0
0,0,1,3,0.002900578547269106
0,0,1,4,0.0003117207088507712
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.003325020894408226
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.11582620441913605
0,0,2,1,0.1532544642686844
0,0,2,2,0.05413435399532318
0,0,2,3,0.022242123261094093
0,0,2,4,0.008363829925656319
0,0,2,5,2.0869001673418097e-06
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.15957732498645782
0,0,3,1,0.17017799615859985
0,0,3,2,0.06880439817905426
0,0,3,3,0.08279861509799957
0,0,3,4,0.00014776999887544662
0,0,3,5,5.524677180801518e-05
0,0,3,6,0.00011614945105975494
0,0,3,7,0.00012987466470804065
0,0,3,8,0.0
0,0,3,9,9.773502824828029e-05
0,0,3,10,0.0
0,0,3,11,0.000376586482161656
0,0,3,12,0.00014766529784537852
0,0,3,13,8.922049892134964e-05
0,0,4,0,0.1436544507741928
0,0,4,1,0.09414013475179672
0,0,4,2,0.0668681263923645
0,0,4,3,0.11592046171426773
0,0,4,4,0.0750950425863266
0,0,4,5,1.7026766727212816e-05
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0005054526263847947
0,0,4,10,0.0
0,0,4,11,0.001699390122666955
0,0,4,12,8.3970429841429e-05
0,0,4,13,0.0
0,0,5,0,0.10942351818084717
