layer,head,source_position,dest_position,value
0,0,0,0,0.3333333134651184
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.23646126687526703
0,0,1,1,0.10197634249925613
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.18061251938343048
0,0,2,1,0.1302829533815384
0,0,2,2,0.07648070156574249
0,0,2,3,0.019075732678174973
0,0,2,4,0.006649414077401161
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.14232635498046875
0,0,3,1,0.15770739316940308
0,0,3,2,0.11263588070869446
0,0,3,3,0.07242006063461304
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.12517544627189636
0,0,4,1,0.1465359479188919
0,0,4,2,0.08514159172773361
0,0,4,3,0.0858919769525528
0,0,4,4,0.05052214115858078
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.10312041640281677
0,0,5,1,0.12226208299398422
0,0,5,2,0.07991315424442291
0,0,5,3,0.0654512420296669
0,0,5,4,0.11316246539354324
0,0,5,5,0.02014130726456642
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.10219860076904297
0,0,6,1,0.0883408784866333
0,0,6,2,0.06224672123789787
0,0,6,3,0.06615965813398361
0,0,6,4,0.0680515319108963
0,0,6,5,0.05375741422176361
0,0,6,6,0.08210505545139313
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.09208796918392181
0,0,7,1,0.08825719356536865
0,0,7,2,0.07143620401620865
0,0,7,3,0.0613815113902092
0,0,7,4,0.12389608472585678
0,0,7,5,0.012617796659469604
0,0,7,6,0.11645911633968353
0,0,7,7,0.012526224367320538
0,0,7,8,0.012526224367320538
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.09208796918392181
0,0,8,1,0.08825719356536865
0,0,8,2,0.07143620401620865
0,0,8,3,0.0613815113902092
0,0,8,4,0.12389608472585678
0,0,8,5,0.012617796659469604
0,0,8,6,0.11645911633968353
0,0,8,7,0.012526224367320538
0,0,8,8,0.012526224367320538
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.08052439242601395
0,0,9,1,0.04262715205550194
0,0,9,2,0.06073061749339104
0,0,9,3,0.0939914658665657
0,0,9,4,0.06586415320634842
0,0,9,5,0.05020548030734062
0,0,9,6,0.09069015085697174
0,0,9,7,0.07912645488977432
0,0,9,8,0.07912645488977432
0,0,9,9,0.04731716215610504
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.07417210191488266
0,0,10,1,0.0575641393661499
0,0,10,2,0.046325817704200745
0,0,10,3,0.06165044754743576
0,0,10,4,0.053342558443546295
0,0,10,5,0.026399394497275352
0,0,10,6,0.08246637880802155
0,0,10,7,0.040107905864715576
0,0,10,8,0.040107905864715576
0,0,10,9,0.07516057044267654
0,0,10,10,0.0445975586771965
0,0,10,11,0.013268046081066132
0,0,10,12,0.010946054011583328
0,0,10,13,0.0006996570737101138
0,0,11,0,0.06412811577320099
0,0,11,1,0.07591790705919266
0,0,11,2,0.0613122321665287
0,0,11,3,0.03239662945270538
0,0,11,4,0.054758623242378235
0,0,11,5,0.027137048542499542
0,0,11,6,0.059192247688770294
0,0,11,7,0.05111011862754822
0,0,11,8,0.05111011862754822
0,0,11,9,0.09304024279117584
0,0,11,10,0.06270307302474976
0,0,11,11,0.041324738413095474
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.05668950825929642
0,0,12,1,0.06718726456165314
0,0,12,2,0.0427376925945282
0,0,12,3,0.037877365946769714
0,0,12,4,0.0541202574968338
0,0,12,5,0.0188734270632267
0,0,12,6,0.061095211654901505
0,0,12,7,0.030473513528704643
0,0,12,8,0.030473513528704643
0,0,12,9,0.09975389391183853
0,0,12,10,0.05233116075396538
0,0,12,11,0.05674521252512932
0,0,12,12,0.03412875160574913
0,0,12,13,0.0
0,0,13,0,0.04801931232213974
0,0,13,1,0.05893716588616371
0,0,13,2,0.036889225244522095
0,0,13,3,0.02887803688645363
0,0,13,4,0.05271284282207489
0,0,13,5,0.007944677025079727
0,0,13,6,0.060483209788799286
0,0,13,7,0.016891632229089737
0,0,13,8,0.016891632229089737
0,0,13,9,0.08869274705648422
0,0,13,10,0.054103557020425797
0,0,13,11,0.044894445687532425
0,0,13,12,0.08437521010637283
0,0,13,13,0.012529624626040459
0,1,0,0,0.3333333134651184
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.0001166830406873487
0,1,1,1,0.9995197653770447
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.00036263547372072935
0,1,2,1,0.006096794269979
0,1,2,2,0.5745627880096436
0,1,2,3,0.08081051707267761
0,1,2,4,0.06510552763938904
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.00030737396446056664
0,1,3,1,0.0027694227173924446
0,1,3,2,0.08105902373790741
0,1,3,3,0.9946019649505615
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.00033059463021345437
0,1,4,1,0.0012698487844318151
0,1,4,2,0.06665834784507751
0,1,4,3,0.0009204921079799533
0,1,4,4,0.38580262660980225
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0007218003738671541
0,1,5,1,0.00024111923994496465
0,1,5,2,0.0037202048115432262
0,1,5,3,0.00011116705718450248
0,1,5,4,0.0015705241821706295
0,1,5,5,0.9816379547119141
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00013179500820115209
0,1,6,1,0.0019489317201077938
0,1,6,2,0.0005217669531702995
0,1,6,3,0.0005103459116071463
0,1,6,4,0.000492385181132704
0,1,6,5,0.00011226798960706219
0,1,6,6,0.9943839311599731
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0002546072064433247
0,1,7,1,0.0006724067497998476
0,1,7,2,0.0043710642494261265
0,1,7,3,0.0003067051584366709
0,1,7,4,0.0017649965593591332
0,1,7,5,0.00235699862241745
0,1,7,6,0.00023256076383404434
0,1,7,7,0.9674884080886841
0,1,7,8,0.9674884080886841
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
