layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.23407240211963654
0,0,1,1,0.11219611018896103
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.17428739368915558
0,0,2,1,0.14439433813095093
0,0,2,2,0.06091604754328728
0,0,2,3,0.023661965504288673
0,0,2,4,0.008572826161980629
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.14644868671894073
0,0,3,1,0.17907579243183136
0,0,3,2,0.09959888458251953
0,0,3,3,0.07443543523550034
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.12761907279491425
0,0,4,1,0.13955220580101013
0,0,4,2,0.08334014564752579
0,0,4,3,0.07872596383094788
0,0,4,4,0.05167827010154724
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.10001683235168457
0,0,5,1,0.11798781156539917
0,0,5,2,0.08525948971509933
0,0,5,3,0.05763198435306549
0,0,5,4,0.13103340566158295
0,0,5,5,0.0190975870937109
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.1043342724442482
0,0,6,1,0.09747665375471115
0,0,6,2,0.05840190872550011
0,0,6,3,0.06388676166534424
0,0,6,4,0.06885822862386703
0,0,6,5,0.05139909312129021
0,0,6,6,0.09154468774795532
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.084943987429142
0,0,7,1,0.08495970815420151
0,0,7,2,0.07421049475669861
0,0,7,3,0.0593227781355381
0,0,7,4,0.1535307914018631
0,0,7,5,0.011687490157783031
0,0,7,6,0.11114049702882767
0,0,7,7,0.011435273103415966
0,0,7,8,0.011435273103415966
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.084943987429142
0,0,8,1,0.08495970815420151
0,0,8,2,0.07421049475669861
0,0,8,3,0.0593227781355381
0,0,8,4,0.1535307914018631
0,0,8,5,0.011687490157783031
0,0,8,6,0.11114049702882767
0,0,8,7,0.011435273103415966
0,0,8,8,0.011435273103415966
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.0802123174071312
0,0,9,1,0.047735393047332764
0,0,9,2,0.06153222918510437
0,0,9,3,0.07620663940906525
0,0,9,4,0.0757778212428093
0,0,9,5,0.05189596489071846
0,0,9,6,0.07089388370513916
0,0,9,7,0.07939976453781128
0,0,9,8,0.07939976453781128
0,0,9,9,0.05336949601769447
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.06847076863050461
0,0,10,1,0.062204111367464066
0,0,10,2,0.04145264998078346
0,0,10,3,0.05858883634209633
0,0,10,4,0.060117606073617935
0,0,10,5,0.025499507784843445
0,0,10,6,0.08609580993652344
0,0,10,7,0.038930878043174744
0,0,10,8,0.038930878043174744
0,0,10,9,0.08194760978221893
0,0,10,10,0.03421750292181969
0,0,10,11,0.01570911519229412
0,0,10,12,0.01470541674643755
0,0,10,13,0.0009188993717543781
0,0,11,0,0.065154530107975
0,0,11,1,0.08470911532640457
0,0,11,2,0.061685528606176376
0,0,11,3,0.033105846494436264
0,0,11,4,0.06567919999361038
0,0,11,5,0.027259936556220055
0,0,11,6,0.05814315006136894
0,0,11,7,0.04999622702598572
0,0,11,8,0.04999622702598572
0,0,11,9,0.10536577552556992
0,0,11,10,0.05443985387682915
0,0,11,11,0.042369138449430466
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.056856174021959305
0,0,12,1,0.0634579285979271
0,0,12,2,0.04416683316230774
0,0,12,3,0.03441009297966957
0,0,12,4,0.0624975748360157
0,0,12,5,0.020921597257256508
0,0,12,6,0.06157820299267769
0,0,12,7,0.034626614302396774
0,0,12,8,0.034626614302396774
0,0,12,9,0.09335610270500183
0,0,12,10,0.049265917390584946
0,0,12,11,0.05056053400039673
0,0,12,12,0.03430236503481865
0,0,12,13,0.0
0,0,13,0,0.045526597648859024
0,0,13,1,0.05645361170172691
0,0,13,2,0.039003271609544754
0,0,13,3,0.024983547627925873
0,0,13,4,0.061419714242219925
0,0,13,5,0.007409504149109125
0,0,13,6,0.05615393817424774
0,0,13,7,0.016312627121806145
0,0,13,8,0.016312627121806145
0,0,13,9,0.08569198846817017
0,0,13,10,0.05693826451897621
0,0,13,11,0.03867208957672119
0,0,13,12,0.09815124422311783
0,0,13,13,0.011682096868753433
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00011913713387912139
0,1,1,1,0.9995214343070984
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.00033517993870191276
0,1,2,1,0.008666991256177425
0,1,2,2,0.4722104072570801
0,1,2,3,0.10533734411001205
0,1,2,4,0.08408558368682861
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0003244875115342438
0,1,3,1,0.003201756626367569
0,1,3,2,0.10553111881017685
0,1,3,3,0.9948167204856873
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.00027986112399958074
0,1,4,1,0.0009355800575576723
0,1,4,2,0.08556967228651047
0,1,4,3,0.0006399216945283115
0,1,4,4,0.4059840142726898
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0007349897059611976
0,1,5,1,0.0002258173917653039
0,1,5,2,0.0028937039896845818
0,1,5,3,8.923676796257496e-05
0,1,5,4,0.0004931797739118338
0,1,5,5,0.9862087368965149
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00010117125202668831
0,1,6,1,0.0008306927047669888
0,1,6,2,0.00041731272358447313
0,1,6,3,0.0009923895122483373
0,1,6,4,0.0006238687201403081
0,1,6,5,9.072233660845086e-05
0,1,6,6,0.9958851933479309
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0002556611143518239
0,1,7,1,0.0007227308233268559
0,1,7,2,0.0057355985045433044
0,1,7,3,0.00017216695414390415
0,1,7,4,0.0023276249412447214
0,1,7,5,0.0023791210260242224
0,1,7,6,0.00022121064830571413
0,1,7,7,0.9638264775276184
0,1,7,8,0.9638264775276184
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.0002556611143518239
0,1,8,1,0.0007227308233268559
0,1,8,2,0.0057355985045433044
0,1,8,3,0.00017216695414390415
0,1,8,4,0.0023276249412447214
0,1,8,5,0.0023791210260242224
0,1,8,6,0.00022121064830571413
0,1,8,7,0.9638264775276184
0,1,8,8,0.9638264775276184
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,3.675397965707816e-05
0,1,9,1,0.5006892085075378
0,1,9,2,0.00030945625621825457
0,1,9,3,0.0002807820856105536
0,1,9,4,0.00016938314365688711
0,1,9,5,9.896303527057171e-05
0,1,9,6,0.0005745686357840896
0,1,9,7,1.739392064337153e-05
0,1,9,8,1.739392064337153e-05
0,1,9,9,0.4970567226409912
0,1,9,10,0.0
0,1,9,11,0.0
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,0.00012913149839732796
0,1,10,1,0.003636324079707265
0,1,10,2,0.2197149246931076
0,1,10,3,0.0393376350402832
0,1,10,4,0.03679852560162544
0,1,10,5,0.03767147287726402
0,1,10,6,0.0003584898076951504
0,1,10,7,0.0008415405754931271
0,1,10,8,0.0008415405754931271
0,1,10,9,0.002799983834847808
0,1,10,10,0.22631317377090454
0,1,10,11,0.04135284945368767
0,1,10,12,0.043799418956041336
0,1,10,13,0.047358378767967224
0,1,11,0,0.00013963344099465758
0,1,11,1,0.0011832235613837838
0,1,11,2,0.05132828280329704
0,1,11,3,0.4872337579727173
0,1,11,4,0.00019882373453583568
0,1,11,5,5.206028072279878e-05
0,1,11,6,0.001416867016814649
0,1,11,7,1.5859872291912325e-05
0,1,11,8,1.5859872291912325e-05
0,1,11,9,0.0008760106284171343
0,1,11,10,0.04138405993580818
0,1,11,11,0.5077347755432129
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.00010406327055534348
0,1,12,1,0.0003111140104010701
0,1,12,2,0.03841661289334297
0,1,12,3,0.00021995588031131774
0,1,12,4,0.18929529190063477
0,1,12,5,0.0004977788194082677
0,1,12,6,0.0004150540044065565
0,1,12,7,0.0012912004021927714
0,1,12,8,0.0012912004021927714
0,1,12,9,0.0002180765732191503
0,1,12,10,0.044089075177907944
0,1,12,11,0.00018070083751808852
0,1,12,12,0.21793685853481293
0,1,12,13,0.0
0,1,13,0,0.00027277227491140366
0,1,13,1,7.621540135005489e-05
0,1,13,2,0.0008335344609804451
0,1,13,3,3.146320523228496e-05
0,1,13,4,0.00019263495050836354
0,1,13,5,0.41709259152412415
0,1,13,6,3.558066600817256e-05
0,1,13,7,0.00045006690197624266
0,1,13,8,0.00045006690197624266
0,1,13,9,6.069017399568111e-05
0,1,13,10,0.04813522472977638
0,1,13,11,2.750639214355033e-05
0,1,13,12,0.0002041852567344904
0,1,13,13,0.5746095180511475
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.21888233721256256
0,2,1,1,0.17664146423339844
0,2,1,2,0.0
0,2,1,3,0.0
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.15377618372440338
0,2,2,1,0.09497735649347305
0,2,2,2,0.07567066699266434
0,2,2,3,0.034974705427885056
0,2,2,4,0.015217918902635574
0,2,2,5,0.0
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.16073663532733917
0,2,3,1,0.08658359199762344
0,2,3,2,0.06494917720556259
0,2,3,3,0.2154449224472046
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.0965648889541626
0,2,4,1,0.09960474818944931
0,2,4,2,0.08669432997703552
0,2,4,3,0.06754155457019806
0,2,4,4,0.07317508012056351
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.06664743274450302
0,2,5,1,0.04161781445145607
0,2,5,2,0.07478728145360947
0,2,5,3,0.03462332487106323
0,2,5,4,0.09161189943552017
0,2,5,5,0.1822652667760849
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.09735190123319626
0,2,6,1,0.06458502262830734
0,2,6,2,0.06328299641609192
0,2,6,3,0.07514896243810654
0,2,6,4,0.051195453852415085
0,2,6,5,0.04948541894555092
0,2,6,6,0.17241902649402618
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.06816304475069046
0,2,7,1,0.03226936236023903
0,2,7,2,0.06182386353611946
0,2,7,3,0.0271473228931427
0,2,7,4,0.12684540450572968
0,2,7,5,0.058910537511110306
0,2,7,6,0.025712862610816956
0,2,7,7,0.046200718730688095
0,2,7,8,0.046200718730688095
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.06816304475069046
0,2,8,1,0.03226936236023903
0,2,8,2,0.06182386353611946
0,2,8,3,0.0271473228931427
0,2,8,4,0.12684540450572968
0,2,8,5,0.058910537511110306
0,2,8,6,0.025712862610816956
0,2,8,7,0.046200718730688095
0,2,8,8,0.046200718730688095
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.07042526453733444
0,2,9,1,0.0984213724732399
0,2,9,2,0.06390466541051865
0,2,9,3,0.19101035594940186
0,2,9,4,0.04253063723444939
0,2,9,5,0.047202229499816895
0,2,9,6,0.06359069794416428
0,2,9,7,0.0384160540997982
0,2,9,8,0.0384160540997982
0,2,9,9,0.09207607060670853
0,2,9,10,0.0
0,2,9,11,0.0
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.0548836924135685
0,2,10,1,0.0505656860768795
0,2,10,2,0.04841765761375427
0,2,10,3,0.0822143629193306
0,2,10,4,0.052271198481321335
0,2,10,5,0.06439334154129028
0,2,10,6,0.035177964717149734
0,2,10,7,0.06796462088823318
0,2,10,8,0.06796462088823318
0,2,10,9,0.051226552575826645
0,2,10,10,0.03739531710743904
0,2,10,11,0.021155452355742455
0,2,10,12,0.013802953995764256
0,2,10,13,0.008755461312830448
0,2,11,0,0.07723957300186157
0,2,11,1,0.05143682286143303
0,2,11,2,0.045334819704294205
0,2,11,3,0.13570217788219452
0,2,11,4,0.046507954597473145
0,2,11,5,0.029265617951750755
0,2,11,6,0.029101073741912842
0,2,11,7,0.03638264164328575
0,2,11,8,0.03638264164328575
0,2,11,9,0.04531217738986015
0,2,11,10,0.03251558914780617
0,2,11,11,0.13772566616535187
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.04141654074192047
0,2,12,1,0.05480450764298439
0,2,12,2,0.04612134397029877
0,2,12,3,0.036015961319208145
0,2,12,4,0.05223705992102623
0,2,12,5,0.05202227830886841
0,2,12,6,0.029587216675281525
0,2,12,7,0.0817398950457573
0,2,12,8,0.0817398950457573
0,2,12,9,0.06091156601905823
0,2,12,10,0.044351086020469666
0,2,12,11,0.04083990305662155
0,2,12,12,0.04451049864292145
0,2,12,13,0.0
0,2,13,0,0.028586536645889282
0,2,13,1,0.022228553891181946
0,2,13,2,0.03787640854716301
0,2,13,3,0.01790236122906208
0,2,13,4,0.04685037210583687
0,2,13,5,0.08508985489606857
0,2,13,6,0.026562221348285675
0,2,13,7,0.09662550687789917
0,2,13,8,0.09662550687789917
0,2,13,9,0.02545812539756298
0,2,13,10,0.05253708362579346
0,2,13,11,0.02159028686583042
0,2,13,12,0.059571098536252975
0,2,13,13,0.11217319220304489
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.015111789107322693
0,3,1,1,0.9542953372001648
0,3,1,2,0.0
0,3,1,3,0.0
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.011031477712094784
0,3,2,1,0.06489207595586777
0,3,2,2,0.42889249324798584
0,3,2,3,0.10929107666015625
0,3,2,4,0.07865174859762192
0,3,2,5,0.0
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.0037764431908726692
0,3,3,1,0.0029351988341659307
0,3,3,2,0.10563582181930542
0,3,3,3,0.9784199595451355
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.0027734546456485987
0,3,4,1,0.0038553529884666204
0,3,4,2,0.09020805358886719
0,3,4,3,0.01982598565518856
0,3,4,4,0.3863929510116577
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.0007762417662888765
0,3,5,1,0.0009953774278983474
0,3,5,2,0.015148074366152287
0,3,5,3,0.0044522457756102085
0,3,5,4,0.0718025490641594
0,3,5,5,0.8169760704040527
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,0.00035735961864702404
0,3,6,1,0.0003379492845851928
0,3,6,2,0.00027042898000217974
0,3,6,3,0.0005698756431229413
0,3,6,4,0.0008352894219569862
0,3,6,5,8.768818952376023e-05
0,3,6,6,0.9959964752197266
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.003924077842384577
0,3,7,1,0.0034216567873954773
0,3,7,2,0.01849030889570713
0,3,7,3,0.015837514773011208
0,3,7,4,0.07426396757364273
0,3,7,5,0.12077027559280396
0,3,7,6,0.1666211634874344
0,3,7,7,0.478879451751709
0,3,7,8,0.478879451751709
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.003924077842384577
0,3,8,1,0.0034216567873954773
0,3,8,2,0.01849030889570713
0,3,8,3,0.015837514773011208
0,3,8,4,0.07426396757364273
0,3,8,5,0.12077027559280396
0,3,8,6,0.1666211634874344
0,3,8,7,0.478879451751709
0,3,8,8,0.478879451751709
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.0009454155224375427
0,3,9,1,0.0033754033502191305
0,3,9,2,6.84002079651691e-05
0,3,9,3,0.0001183457497972995
0,3,9,4,0.0002594982215669006
0,3,9,5,2.8004194973618723e-05
0,3,9,6,0.006188091356307268
0,3,9,7,6.567180389538407e-05
0,3,9,8,6.567180389538407e-05
0,3,9,9,0.9865419864654541
0,3,9,10,0.0
0,3,9,11,0.0
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,0.0007815058925189078
0,3,10,1,0.00031761176069267094
0,3,10,2,0.002156596863642335
0,3,10,3,0.0004635651421267539
0,3,10,4,0.0016180138336494565
0,3,10,5,0.004101473372429609
0,3,10,6,0.005880671087652445
0,3,10,7,0.01484972145408392
0,3,10,8,0.01484972145408392
0,3,10,9,0.04860556125640869
0,3,10,10,0.41762110590934753
0,3,10,11,0.08401479572057724
0,3,10,12,0.08038775622844696
0,3,10,13,0.06899634003639221
0,3,11,0,0.00031457984005101025
0,3,11,1,2.1554022168857045e-05
0,3,11,2,0.00022978735796641558
0,3,11,3,0.0038787282537668943
0,3,11,4,8.093615906545892e-05
0,3,11,5,5.608835181192262e-06
0,3,11,6,0.00123241962864995
0,3,11,7,1.3416577530733775e-05
0,3,11,8,1.3416577530733775e-05
0,3,11,9,0.003130284370854497
0,3,11,10,0.08167517930269241
0,3,11,11,0.983436107635498
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.00027345449780113995
0,3,12,1,3.646223194664344e-05
0,3,12,2,0.00020718052110169083
0,3,12,3,6.144142389530316e-05
0,3,12,4,0.0017666914500296116
0,3,12,5,0.001078385510481894
0,3,12,6,0.0013115658657625318
0,3,12,7,0.0036783087998628616
0,3,12,8,0.0036783087998628616
0,3,12,9,0.0035488083958625793
0,3,12,10,0.0849199891090393
0,3,12,11,0.01563643477857113
0,3,12,12,0.3894580900669098
0,3,12,13,0.0
0,3,13,0,9.121283073909581e-05
0,3,13,1,1.3169075828045607e-05
0,3,13,2,4.313333556638099e-05
0,3,13,3,2.0814075469388627e-05
0,3,13,4,0.00033897292451001704
0,3,13,5,0.001405977294780314
0,3,13,6,0.00025396369164809585
0,3,13,7,0.0012536023277789354
0,3,13,8,0.0012536023277789354
0,3,13,9,0.0007920645293779671
0,3,13,10,0.08184968680143356
0,3,13,11,0.0036776522174477577
0,3,13,12,0.063033327460289
0,3,13,13,0.8350017070770264
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.042313531041145325
0,4,1,1,0.8684431910514832
0,4,1,2,0.0
0,4,1,3,0.0
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.04262983426451683
0,4,2,1,0.19909994304180145
0,4,2,2,0.2634550631046295
0,4,2,3,0.11588583141565323
0,4,2,4,0.05462278053164482
0,4,2,5,0.0
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.014160417951643467
0,4,3,1,0.022406384348869324
0,4,3,2,0.11922105401754379
0,4,3,3,0.9057586789131165
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.02253894694149494
0,4,4,1,0.035904157906770706
0,4,4,2,0.1060272827744484
0,4,4,3,0.08192969858646393
0,4,4,4,0.27946212887763977
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
0,4,4,12,0.0
0,4,4,13,0.0
0,4,5,0,0.02617243491113186
