layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2098359316587448
0,0,1,1,0.12218735367059708
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.14031042158603668
0,0,2,1,0.10714259743690491
0,0,2,2,0.0705525130033493
0,0,2,3,0.060505226254463196
0,0,2,4,0.020528359338641167
0,0,2,5,0.0003069467784371227
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.11423059552907944
0,0,3,1,0.13102616369724274
0,0,3,2,0.07333987951278687
0,0,3,3,0.07282397896051407
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.12213783711194992
0,0,4,1,0.0924905315041542
0,0,4,2,0.08279278129339218
0,0,4,3,0.1138477548956871
0,0,4,4,0.05796181038022041
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.10268024355173111
0,0,5,1,0.07020793855190277
0,0,5,2,0.0981055274605751
0,0,5,3,0.1004367247223854
0,0,5,4,0.12014921754598618
0,0,5,5,0.01935533620417118
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.08542928099632263
0,0,6,1,0.14083226025104523
0,0,6,2,0.07359128445386887
0,0,6,3,0.08126478642225266
0,0,6,4,0.05713235214352608
0,0,6,5,0.04342171549797058
0,0,6,6,0.0735694169998169
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.0763351246714592
0,0,7,1,0.11399813741445541
0,0,7,2,0.09692130237817764
0,0,7,3,0.10884362459182739
0,0,7,4,0.13380704820156097
0,0,7,5,0.010465174913406372
0,0,7,6,0.094518281519413
0,0,7,7,0.01052884105592966
0,0,7,8,0.01052884105592966
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.0763351246714592
0,0,8,1,0.11399813741445541
0,0,8,2,0.09692130237817764
0,0,8,3,0.10884362459182739
0,0,8,4,0.13380704820156097
0,0,8,5,0.010465174913406372
0,0,8,6,0.094518281519413
0,0,8,7,0.01052884105592966
0,0,8,8,0.01052884105592966
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.0635945200920105
0,0,9,1,0.04322170093655586
0,0,9,2,0.0704309269785881
0,0,9,3,0.0900016650557518
0,0,9,4,0.06684859842061996
0,0,9,5,0.06074298545718193
0,0,9,6,0.07367390394210815
0,0,9,7,0.09341727942228317
0,0,9,8,0.09341727942228317
0,0,9,9,0.05187775567173958
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.060427915304899216
0,0,10,1,0.04661918058991432
0,0,10,2,0.051618341356515884
0,0,10,3,0.04798855260014534
0,0,10,4,0.04855978861451149
0,0,10,5,0.021592915058135986
0,0,10,6,0.06511159986257553
0,0,10,7,0.03239233419299126
0,0,10,8,0.03239233419299126
0,0,10,9,0.05956370010972023
0,0,10,10,0.039009299129247665
0,0,10,11,0.04791076108813286
0,0,10,12,0.02783958613872528
0,0,10,13,0.0017751456471160054
0,0,11,0,0.05357564613223076
0,0,11,1,0.06422708183526993
0,0,11,2,0.04774963855743408
0,0,11,3,0.035089392215013504
0,0,11,4,0.03344337269663811
0,0,11,5,0.027110621333122253
0,0,11,6,0.06930225342512131
0,0,11,7,0.051908716559410095
0,0,11,8,0.051908716559410095
0,0,11,9,0.07626409083604813
0,0,11,10,0.033310677856206894
0,0,11,11,0.04494848474860191
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.05500556156039238
0,0,12,1,0.04130126163363457
0,0,12,2,0.047793786972761154
0,0,12,3,0.05213332548737526
0,0,12,4,0.05766639485955238
0,0,12,5,0.018748676404356956
0,0,12,6,0.07115065306425095
0,0,12,7,0.03119412623345852
0,0,12,8,0.03119412623345852
0,0,12,9,0.05851944163441658
0,0,12,10,0.04381870850920677
0,0,12,11,0.07854420691728592
0,0,12,12,0.039571817964315414
0,0,12,13,0.0
0,0,13,0,0.047888536006212234
0,0,13,1,0.03274564817547798
0,0,13,2,0.04551239684224129
0,0,13,3,0.047033000737428665
0,0,13,4,0.057251106947660446
0,0,13,5,0.007512447889894247
0,0,13,6,0.05747409537434578
0,0,13,7,0.016079116612672806
0,0,13,8,0.016079116612672806
0,0,13,9,0.04782690107822418
0,0,13,10,0.062380630522966385
0,0,13,11,0.07400675863027573
0,0,13,12,0.09178131818771362
0,0,13,13,0.012068268842995167
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00014542120334226638
0,1,1,1,0.9994847178459167
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.00037704731221310794
0,1,2,1,0.001003933954052627
0,1,2,2,0.19178150594234467
0,1,2,3,0.1923069804906845
0,1,2,4,0.15663787722587585
0,1,2,5,0.013834971934556961
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.00040032961987890303
0,1,3,1,0.00026791912387125194
0,1,3,2,0.19211840629577637
0,1,3,3,0.9962056279182434
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.00033343545510433614
0,1,4,1,0.0026563380379229784
0,1,4,2,0.15717311203479767
0,1,4,3,0.0013794986298307776
0,1,4,4,0.4445183277130127
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0007421475020237267
0,1,5,1,0.0003173758741468191
0,1,5,2,0.01410706713795662
0,1,5,3,0.0001482617371948436
0,1,5,4,0.0013744173338636756
0,1,5,5,0.9899813532829285
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,8.678207086632028e-05
0,1,6,1,0.0006152139976620674
0,1,6,2,0.00025212104083038867
0,1,6,3,8.70216972543858e-05
0,1,6,4,0.0003443385649006814
0,1,6,5,9.25152562558651e-05
0,1,6,6,0.9975965619087219
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.00025443753111176193
0,1,7,1,0.000273096258752048
0,1,7,2,0.0011520233238115907
0,1,7,3,0.0002213384141214192
0,1,7,4,0.0013868067180737853
0,1,7,5,0.0022975525353103876
0,1,7,6,0.00020859534561168402
0,1,7,7,0.9742352366447449
0,1,7,8,0.9742352366447449
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.00025443753111176193
0,1,8,1,0.000273096258752048
0,1,8,2,0.0011520233238115907
0,1,8,3,0.0002213384141214192
0,1,8,4,0.0013868067180737853
0,1,8,5,0.0022975525353103876
0,1,8,6,0.00020859534561168402
0,1,8,7,0.9742352366447449
0,1,8,8,0.9742352366447449
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,6.16812685620971e-05
0,1,9,1,0.4935639798641205
0,1,9,2,0.00016610957391094416
0,1,9,3,3.182379805366509e-05
0,1,9,4,0.0002972677175421268
0,1,9,5,0.000259097054367885
0,1,9,6,0.0005689030513167381
0,1,9,7,1.51971280502039e-05
0,1,9,8,1.51971280502039e-05
0,1,9,9,0.5033871531486511
0,1,9,10,0.0
0,1,9,11,0.0
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,0.0001420038315700367
0,1,10,1,0.000458173657534644
0,1,10,2,0.07051229476928711
0,1,10,3,0.07317835092544556
0,1,10,4,0.06902538985013962
0,1,10,5,0.06202743947505951
0,1,10,6,0.00034260679967701435
0,1,10,7,0.0004793518746737391
0,1,10,8,0.0004793518746737391
0,1,10,9,0.0006074203993193805
0,1,10,10,0.07993928343057632
0,1,10,11,0.07624111324548721
0,1,10,12,0.07988971471786499
0,1,10,13,0.08693670481443405
0,1,11,0,0.00011885954154422507
0,1,11,1,6.960637983866036e-05
0,1,11,2,0.09399064630270004
0,1,11,3,0.48555347323417664
0,1,11,4,0.0005665945936925709
0,1,11,5,9.663696255302057e-05
0,1,11,6,0.00032512485631741583
0,1,11,7,1.4191256013873499e-05
0,1,11,8,1.4191256013873499e-05
0,1,11,9,4.401679689181037e-05
0,1,11,10,0.07609006762504578
0,1,11,11,0.5107715129852295
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.00012727091962005943
0,1,12,1,0.0006759213865734637
0,1,12,2,0.0732666477560997
0,1,12,3,0.0005617666756734252
0,1,12,4,0.20809435844421387
0,1,12,5,0.0007796972058713436
0,1,12,6,0.00041204612352885306
0,1,12,7,0.0007762472960166633
0,1,12,8,0.0007762472960166633
0,1,12,9,0.0010903810616582632
0,1,12,10,0.07992248237133026
0,1,12,11,0.0004681520804297179
0,1,12,12,0.23705537617206573
0,1,12,13,0.0
0,1,13,0,0.00027140890597365797
0,1,13,1,9.750002209329978e-05
0,1,13,2,0.005958444904536009
0,1,13,3,5.5209417041623965e-05
0,1,13,4,0.0004921352374367416
0,1,13,5,0.409453421831131
0,1,13,6,6.280283560045063e-05
0,1,13,7,0.0005520635168068111
0,1,13,8,0.0005520635168068111
0,1,13,9,8.239370072260499e-05
0,1,13,10,0.08726692944765091
0,1,13,11,5.134230377734639e-05
0,1,13,12,0.0006952013936825097
0,1,13,13,0.5830399394035339
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.22456641495227814
0,2,1,1,0.1402982920408249
0,2,1,2,0.0
0,2,1,3,0.0
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.15139901638031006
0,2,2,1,0.10078039020299911
0,2,2,2,0.0545925609767437
0,2,2,3,0.037053849548101425
0,2,2,4,0.02896195836365223
0,2,2,5,0.0029623613227158785
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.16643798351287842
0,2,3,1,0.07609399408102036
0,2,3,2,0.047835808247327805
0,2,3,3,0.06942539662122726
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.10060557723045349
0,2,4,1,0.08199088275432587
0,2,4,2,0.079557865858078
0,2,4,3,0.06996151804924011
0,2,4,4,0.08053261041641235
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.07415089756250381
0,2,5,1,0.0430477112531662
0,2,5,2,0.059738826006650925
0,2,5,3,0.03568023815751076
0,2,5,4,0.10700235515832901
0,2,5,5,0.19769112765789032
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.11006191372871399
0,2,6,1,0.0750364288687706
0,2,6,2,0.04982321336865425
0,2,6,3,0.049583081156015396
0,2,6,4,0.04906390234827995
0,2,6,5,0.050130445510149
0,2,6,6,0.17779667675495148
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.07114758342504501
0,2,7,1,0.031690679490566254
0,2,7,2,0.06537172943353653
0,2,7,3,0.023333659395575523
0,2,7,4,0.13975214958190918
0,2,7,5,0.06209908425807953
0,2,7,6,0.027562782168388367
0,2,7,7,0.04884444549679756
0,2,7,8,0.04884444549679756
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.07114758342504501
0,2,8,1,0.031690679490566254
0,2,8,2,0.06537172943353653
0,2,8,3,0.023333659395575523
0,2,8,4,0.13975214958190918
0,2,8,5,0.06209908425807953
0,2,8,6,0.027562782168388367
0,2,8,7,0.04884444549679756
0,2,8,8,0.04884444549679756
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.07618308812379837
0,2,9,1,0.08173369616270065
0,2,9,2,0.052747663110494614
0,2,9,3,0.03732909634709358
0,2,9,4,0.03789582476019859
0,2,9,5,0.04626962170004845
0,2,9,6,0.15229326486587524
0,2,9,7,0.051931142807006836
0,2,9,8,0.051931142807006836
0,2,9,9,0.07078269869089127
0,2,9,10,0.0
0,2,9,11,0.0
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.05823430046439171
0,2,10,1,0.04515829309821129
0,2,10,2,0.04703039303421974
0,2,10,3,0.03870631754398346
0,2,10,4,0.054226357489824295
0,2,10,5,0.05663702264428139
0,2,10,6,0.05369687080383301
0,2,10,7,0.07073656469583511
0,2,10,8,0.07073656469583511
0,2,10,9,0.04581618309020996
0,2,10,10,0.03111143410205841
0,2,10,11,0.025198036804795265
0,2,10,12,0.02804715931415558
0,2,10,13,0.01882227510213852
0,2,11,0,0.07578619569540024
0,2,11,1,0.04174220561981201
0,2,11,2,0.04745965078473091
0,2,11,3,0.04223933443427086
0,2,11,4,0.04947667196393013
0,2,11,5,0.04505465552210808
0,2,11,6,0.10504379123449326
0,2,11,7,0.04039348289370537
0,2,11,8,0.04039348289370537
0,2,11,9,0.03917386010289192
0,2,11,10,0.02243579924106598
0,2,11,11,0.04340818524360657
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.041794415563344955
0,2,12,1,0.04142852872610092
0,2,12,2,0.04718694090843201
0,2,12,3,0.03864973410964012
0,2,12,4,0.05803094804286957
0,2,12,5,0.05436888337135315
0,2,12,6,0.03463571518659592
0,2,12,7,0.08234398066997528
0,2,12,8,0.08234398066997528
0,2,12,9,0.04452447220683098
0,2,12,10,0.04032282158732414
0,2,12,11,0.04402816295623779
0,2,12,12,0.049144014716148376
0,2,12,13,0.0
0,2,13,0,0.031870149075984955
0,2,13,1,0.02194836176931858
0,2,13,2,0.031048087403178215
0,2,13,3,0.020392129197716713
0,2,13,4,0.055335883051157
0,2,13,5,0.09226489067077637
0,2,13,6,0.03103511594235897
0,2,13,7,0.10373642295598984
0,2,13,8,0.10373642295598984
0,2,13,9,0.024678463116288185
0,2,13,10,0.05414062365889549
0,2,13,11,0.02422306127846241
0,2,13,12,0.07163245230913162
0,2,13,13,0.12264169007539749
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.0047112442553043365
0,3,1,1,0.9692267775535583
0,3,1,2,0.0
0,3,1,3,0.0
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.009191436693072319
0,3,2,1,0.007673754822462797
0,3,2,2,0.18504969775676727
0,3,2,3,0.14596085250377655
0,3,2,4,0.1515270471572876
0,3,2,5,0.01260681077837944
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.022268444299697876
0,3,3,1,0.009603808633983135
0,3,3,2,0.1771651953458786
0,3,3,3,0.730689525604248
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.0021388812456279993
0,3,4,1,0.001655425876379013
0,3,4,2,0.1577807515859604
0,3,4,3,0.012678463011980057
0,3,4,4,0.4314955174922943
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.000737293332349509
0,3,5,1,0.0006835660897195339
0,3,5,2,0.035172928124666214
0,3,5,3,0.0038058850914239883
0,3,5,4,0.06058434769511223
0,3,5,5,0.842484176158905
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,0.00037422263994812965
0,3,6,1,0.00016154209151864052
0,3,6,2,0.0004803439078386873
0,3,6,3,0.0005396010237745941
0,3,6,4,0.0008383197709918022
0,3,6,5,0.00015672575682401657
0,3,6,6,0.9958324432373047
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.003738084575161338
0,3,7,1,0.0031245320569723845
0,3,7,2,0.028051597997546196
0,3,7,3,0.012697432190179825
0,3,7,4,0.0723617672920227
0,3,7,5,0.11780747026205063
0,3,7,6,0.17375878989696503
0,3,7,7,0.4837404191493988
0,3,7,8,0.4837404191493988
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.003738084575161338
0,3,8,1,0.0031245320569723845
0,3,8,2,0.028051597997546196
0,3,8,3,0.012697432190179825
0,3,8,4,0.0723617672920227
0,3,8,5,0.11780747026205063
0,3,8,6,0.17375878989696503
0,3,8,7,0.4837404191493988
0,3,8,8,0.4837404191493988
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.00023645313922315836
0,3,9,1,0.002445612335577607
0,3,9,2,0.00012702849926427007
0,3,9,3,5.1208699005655944e-05
0,3,9,4,0.00033045149757526815
0,3,9,5,0.000820151821244508
0,3,9,6,0.0017391458386555314
0,3,9,7,0.001631443272344768
0,3,9,8,0.001631443272344768
0,3,9,9,0.9914886355400085
0,3,9,10,0.0
0,3,9,11,0.0
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,0.0009067126666195691
0,3,10,1,5.166855771676637e-05
0,3,10,2,0.0007209330797195435
0,3,10,3,0.0007474658195860684
0,3,10,4,0.0006654819007962942
0,3,10,5,0.0006535937427543104
0,3,10,6,0.0010652708588168025
0,3,10,7,0.001437951228581369
0,3,10,8,0.001437951228581369
0,3,10,9,0.006484057288616896
0,3,10,10,0.14691048860549927
0,3,10,11,0.11592648178339005
0,3,10,12,0.1530671864748001
0,3,10,13,0.12874682247638702
0,3,11,0,0.0033132145181298256
0,3,11,1,0.00010451509297126904
0,3,11,2,0.001175462850369513
0,3,11,3,0.004422968719154596
0,3,11,4,0.00021606295194942504
0,3,11,5,3.635061511886306e-05
0,3,11,6,0.0033535135444253683
0,3,11,7,4.585163333103992e-05
0,3,11,8,4.585163333103992e-05
0,3,11,9,0.01250374224036932
0,3,11,10,0.14460013806819916
0,3,11,11,0.7512137293815613
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.00020523772400338203
0,3,12,1,1.1682386684697121e-05
0,3,12,2,0.00048479714314453304
0,3,12,3,4.167901715845801e-05
0,3,12,4,0.0013763658935204148
0,3,12,5,0.0007541142404079437
0,3,12,6,0.0005290016997605562
0,3,12,7,0.0023249511141330004
0,3,12,8,0.0023249511141330004
0,3,12,9,0.0016915608430281281
0,3,12,10,0.1480770856142044
0,3,12,11,0.00888321828097105
0,3,12,12,0.4347864091396332
0,3,12,13,0.0
0,3,13,0,8.691938273841515e-05
0,3,13,1,9.168609722109977e-06
0,3,13,2,0.0001011485219351016
0,3,13,3,1.6736679754103534e-05
0,3,13,4,0.00017172314983326942
0,3,13,5,0.0011307261884212494
0,3,13,6,0.00011188616190338507
0,3,13,7,0.0010965088149532676
0,3,13,8,0.0010965088149532676
0,3,13,9,0.0006029168725945055
0,3,13,10,0.14885854721069336
0,3,13,11,0.0027510144282132387
0,3,13,12,0.05270591378211975
0,3,13,13,0.8581113219261169
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.015226629562675953
0,4,1,1,0.9454964995384216
0,4,1,2,0.0
0,4,1,3,0.0
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.024263933300971985
0,4,2,1,0.06068525090813637
0,4,2,2,0.1651976853609085
0,4,2,3,0.1325051337480545
0,4,2,4,0.11122411489486694
0,4,2,5,0.0036989974323660135
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.026936447247862816
0,4,3,1,0.05817676708102226
0,4,3,2,0.1647615283727646
0,4,3,3,0.5251581072807312
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.02007332444190979
0,4,4,1,0.044113676995038986
0,4,4,2,0.15044982731342316
0,4,4,3,0.07707221060991287
0,4,4,4,0.3148082494735718
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
0,4,4,12,0.0
0,4,4,13,0.0
