layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.21274018287658691
0,0,1,1,0.12427757680416107
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.14741063117980957
0,0,2,1,0.10515051335096359
0,0,2,2,0.0685083419084549
0,0,2,3,0.05585097894072533
0,0,2,4,0.018949255347251892
0,0,2,5,0.0002833354810718447
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.11708394438028336
0,0,3,1,0.12865251302719116
0,0,3,2,0.07716690748929977
0,0,3,3,0.07774177938699722
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.1252099573612213
0,0,4,1,0.09599925577640533
0,0,4,2,0.08179797232151031
0,0,4,3,0.11241558194160461
0,0,4,4,0.05753399804234505
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.10596367716789246
0,0,5,1,0.07616234570741653
0,0,5,2,0.09624188393354416
0,0,5,3,0.0974201038479805
0,0,5,4,0.11793319880962372
0,0,5,5,0.019840730354189873
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.08535841852426529
0,0,6,1,0.1454721838235855
0,0,6,2,0.07295748591423035
0,0,6,3,0.08082127571105957
0,0,6,4,0.05773107707500458
0,0,6,5,0.04451264813542366
0,0,6,6,0.07099179178476334
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.08153773844242096
0,0,7,1,0.11366228014230728
0,0,7,2,0.0933087170124054
0,0,7,3,0.10836464911699295
0,0,7,4,0.12887313961982727
0,0,7,5,0.01106339879333973
0,0,7,6,0.09492521733045578
0,0,7,7,0.011137668043375015
0,0,7,8,0.011137668043375015
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.08153773844242096
0,0,8,1,0.11366228014230728
0,0,8,2,0.0933087170124054
0,0,8,3,0.10836464911699295
0,0,8,4,0.12887313961982727
0,0,8,5,0.01106339879333973
0,0,8,6,0.09492521733045578
0,0,8,7,0.011137668043375015
0,0,8,8,0.011137668043375015
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.06922256201505661
0,0,9,1,0.04618522897362709
0,0,9,2,0.06747687608003616
0,0,9,3,0.0921335220336914
0,0,9,4,0.0645972415804863
0,0,9,5,0.060083288699388504
0,0,9,6,0.07024742662906647
0,0,9,7,0.09008605778217316
0,0,9,8,0.09008605778217316
0,0,9,9,0.05449838191270828
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.06358479708433151
0,0,10,1,0.045617975294589996
0,0,10,2,0.048946697264909744
0,0,10,3,0.05081813782453537
0,0,10,4,0.052440889179706573
0,0,10,5,0.02572724036872387
0,0,10,6,0.06649652868509293
0,0,10,7,0.03565333038568497
0,0,10,8,0.03565333038568497
0,0,10,9,0.057663943618535995
0,0,10,10,0.0373510979115963
0,0,10,11,0.04422531649470329
0,0,10,12,0.02569807879626751
0,0,10,13,0.0016385960625484586
0,0,11,0,0.05525895208120346
0,0,11,1,0.06290756165981293
0,0,11,2,0.04844823107123375
0,0,11,3,0.03808353468775749
0,0,11,4,0.03556632623076439
0,0,11,5,0.03077659197151661
0,0,11,6,0.06690166890621185
0,0,11,7,0.053575415164232254
0,0,11,8,0.053575415164232254
0,0,11,9,0.07399226725101471
0,0,11,10,0.03540400043129921
0,0,11,11,0.047895703464746475
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.05773172155022621
0,0,12,1,0.04383064806461334
0,0,12,2,0.04666674882173538
0,0,12,3,0.05229916423559189
0,0,12,4,0.05709613859653473
0,0,12,5,0.018512774258852005
0,0,12,6,0.06889574229717255
0,0,12,7,0.03175220638513565
0,0,12,8,0.03175220638513565
0,0,12,9,0.06247091293334961
0,0,12,10,0.04388449713587761
0,0,12,11,0.07855069637298584
0,0,12,12,0.03966077044606209
0,0,12,13,0.0
0,0,13,0,0.05048114061355591
0,0,13,1,0.03630659729242325
0,0,13,2,0.044736504554748535
0,0,13,3,0.04605409875512123
0,0,13,4,0.05671096220612526
0,0,13,5,0.00788055919110775
0,0,13,6,0.056461818516254425
0,0,13,7,0.01689116097986698
0,0,13,8,0.01689116097986698
0,0,13,9,0.0529526025056839
0,0,13,10,0.06134102866053581
0,0,13,11,0.07214992493391037
0,0,13,12,0.09065297245979309
0,0,13,13,0.012496898882091045
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00016281871648970991
0,1,1,1,0.999423086643219
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.00035813788417726755
0,1,2,1,0.0009930743835866451
0,1,2,2,0.2538452446460724
0,1,2,3,0.17751413583755493
0,1,2,4,0.14458881318569183
0,1,2,5,0.012770743109285831
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0003751138865482062
0,1,3,1,0.0002874282072298229
0,1,3,2,0.17738625407218933
0,1,3,3,0.9963873624801636
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.00033797978539951146
0,1,4,1,0.0024654206354171038
0,1,4,2,0.1451190561056137
0,1,4,3,0.0013052092399448156
0,1,4,4,0.4486432373523712
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0007475312449969351
0,1,5,1,0.00030281266663223505
0,1,5,2,0.013027588836848736
0,1,5,3,0.00014182334416545928
0,1,5,4,0.0013275959063321352
0,1,5,5,0.9903458952903748
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,8.995872485684231e-05
0,1,6,1,0.0006728098960593343
0,1,6,2,0.0002496469533070922
0,1,6,3,0.0002423270489089191
0,1,6,4,0.0003301122924312949
0,1,6,5,9.183891961583868e-05
0,1,6,6,0.9974325895309448
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0002576584229245782
0,1,7,1,0.0002639070153236389
0,1,7,2,0.0010984026594087481
0,1,7,3,0.000214702682569623
0,1,7,4,0.0013081033248454332
0,1,7,5,0.002330533228814602
0,1,7,6,0.0002199605223722756
0,1,7,7,0.9742841720581055
0,1,7,8,0.9742841720581055
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.0002576584229245782
0,1,8,1,0.0002639070153236389
0,1,8,2,0.0010984026594087481
0,1,8,3,0.000214702682569623
0,1,8,4,0.0013081033248454332
0,1,8,5,0.002330533228814602
0,1,8,6,0.0002199605223722756
0,1,8,7,0.9742841720581055
0,1,8,8,0.9742841720581055
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,6.316333747236058e-05
0,1,9,1,0.4941250681877136
0,1,9,2,0.00015713809989392757
0,1,9,3,4.813793202629313e-05
0,1,9,4,0.000282085791695863
0,1,9,5,0.00025948340771719813
0,1,9,6,0.0005465437425300479
0,1,9,7,1.6484493244206533e-05
0,1,9,8,1.6484493244206533e-05
0,1,9,9,0.5029566287994385
0,1,9,10,0.0
0,1,9,11,0.0
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,0.0001339803566224873
0,1,10,1,0.00044609932228922844
0,1,10,2,0.10347824543714523
0,1,10,3,0.0676049068570137
0,1,10,4,0.06372654438018799
0,1,10,5,0.05726532265543938
0,1,10,6,0.0003540998150128871
0,1,10,7,0.0004447178216651082
0,1,10,8,0.0004447178216651082
0,1,10,9,0.0005760274943895638
0,1,10,10,0.11214681714773178
0,1,10,11,0.07037641108036041
0,1,10,12,0.07374434918165207
0,1,10,13,0.08024926483631134
0,1,11,0,0.00011160267604282126
0,1,11,1,8.052158227656037e-05
0,1,11,2,0.08678018301725388
0,1,11,3,0.4867016077041626
0,1,11,4,0.0005329980631358922
0,1,11,5,9.719595982460305e-05
0,1,11,6,0.0003484851913526654
0,1,11,7,1.3668685824086424e-05
0,1,11,8,1.3668685824086424e-05
0,1,11,9,5.115079693496227e-05
0,1,11,10,0.07025086134672165
0,1,11,11,0.5097611546516418
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.0001285904145333916
0,1,12,1,0.0006292114849202335
0,1,12,2,0.06764575839042664
0,1,12,3,0.0005312425782904029
0,1,12,4,0.21024802327156067
0,1,12,5,0.0007699729176238179
0,1,12,6,0.000393673253711313
0,1,12,7,0.0007237211684696376
0,1,12,8,0.0007237211684696376
0,1,12,9,0.0010099050123244524
0,1,12,10,0.07378628849983215
0,1,12,11,0.00044298270950093865
0,1,12,12,0.2390211969614029
0,1,12,13,0.0
0,1,13,0,0.00027329850126989186
0,1,13,1,9.409209451405331e-05
0,1,13,2,0.005502345971763134
0,1,13,3,5.292737114359625e-05
0,1,13,4,0.0004779732262250036
0,1,13,5,0.41220444440841675
0,1,13,6,6.033628960722126e-05
0,1,13,7,0.0005456149810925126
0,1,13,8,0.0005456149810925126
0,1,13,9,7.890646520536393e-05
0,1,13,10,0.08055579662322998
0,1,13,11,4.910424104309641e-05
0,1,13,12,0.0006638428894802928
0,1,13,13,0.5806264877319336
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.22617186605930328
0,2,1,1,0.13920556008815765
0,2,1,2,0.0
0,2,1,3,0.0
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.15848326683044434
0,2,2,1,0.0970098078250885
0,2,2,2,0.05576227232813835
0,2,2,3,0.03420355170965195
0,2,2,4,0.026734115555882454
0,2,2,5,0.002734487410634756
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.1637915074825287
0,2,3,1,0.07563888281583786
0,2,3,2,0.04656694456934929
0,2,3,3,0.0878525823354721
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.10298997908830643
0,2,4,1,0.08139936625957489
0,2,4,2,0.07664890587329865
0,2,4,3,0.07202699035406113
0,2,4,4,0.08138053864240646
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.07420928031206131
0,2,5,1,0.041847165673971176
0,2,5,2,0.057292547076940536
0,2,5,3,0.03656037524342537
0,2,5,4,0.11018617451190948
0,2,5,5,0.19790680706501007
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.10897794365882874
0,2,6,1,0.07282888144254684
0,2,6,2,0.04855503514409065
0,2,6,3,0.05202585086226463
0,2,6,4,0.0488295815885067
0,2,6,5,0.049768105149269104
0,2,6,6,0.18750371038913727
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.07131695002317429
0,2,7,1,0.03198295459151268
0,2,7,2,0.061821065843105316
0,2,7,3,0.025578750297427177
0,2,7,4,0.14197874069213867
0,2,7,5,0.06174071878194809
0,2,7,6,0.02791883796453476
0,2,7,7,0.04883818328380585
0,2,7,8,0.04883818328380585
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.07131695002317429
0,2,8,1,0.03198295459151268
0,2,8,2,0.061821065843105316
0,2,8,3,0.025578750297427177
0,2,8,4,0.14197874069213867
0,2,8,5,0.06174071878194809
0,2,8,6,0.02791883796453476
0,2,8,7,0.04883818328380585
0,2,8,8,0.04883818328380585
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.07928769290447235
0,2,9,1,0.0823395773768425
0,2,9,2,0.050094928592443466
0,2,9,3,0.03993469104170799
0,2,9,4,0.039085566997528076
0,2,9,5,0.04733604937791824
0,2,9,6,0.14754660427570343
0,2,9,7,0.052758120000362396
0,2,9,8,0.052758120000362396
0,2,9,9,0.0716731920838356
0,2,9,10,0.0
0,2,9,11,0.0
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.060992833226919174
0,2,10,1,0.04363947734236717
0,2,10,2,0.045677103102207184
0,2,10,3,0.04801975190639496
0,2,10,4,0.05403735488653183
0,2,10,5,0.057413723319768906
0,2,10,6,0.05955761298537254
0,2,10,7,0.07266366481781006
0,2,10,8,0.07266366481781006
0,2,10,9,0.044029273092746735
0,2,10,10,0.0308033786714077
0,2,10,11,0.023259727284312248
0,2,10,12,0.0258896853774786
0,2,10,13,0.01737440750002861
0,2,11,0,0.07555638253688812
0,2,11,1,0.042274851351976395
0,2,11,2,0.04520398750901222
0,2,11,3,0.05464765056967735
0,2,11,4,0.048118386417627335
0,2,11,5,0.04377796873450279
0,2,11,6,0.09946255385875702
0,2,11,7,0.03992924839258194
0,2,11,8,0.03992924839258194
0,2,11,9,0.03913729637861252
0,2,11,10,0.021850986406207085
0,2,11,11,0.0547163300216198
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.04250216484069824
0,2,12,1,0.04106916859745979
0,2,12,2,0.04484700784087181
0,2,12,3,0.03904871642589569
0,2,12,4,0.059571702033281326
0,2,12,5,0.055234991014003754
0,2,12,6,0.044092316180467606
0,2,12,7,0.08252794295549393
0,2,12,8,0.08252794295549393
0,2,12,9,0.04393833130598068
0,2,12,10,0.038531944155693054
0,2,12,11,0.04436251148581505
0,2,12,12,0.0492149256169796
0,2,12,13,0.0
0,2,13,0,0.03192772716283798
0,2,13,1,0.02140623703598976
0,2,13,2,0.02962532266974449
0,2,13,3,0.02056073769927025
0,2,13,4,0.05706457421183586
0,2,13,5,0.09253047406673431
0,2,13,6,0.03213490545749664
0,2,13,7,0.10413217544555664
0,2,13,8,0.10413217544555664
0,2,13,9,0.023983584716916084
0,2,13,10,0.05104178190231323
0,2,13,11,0.024401890113949776
0,2,13,12,0.07356320321559906
0,2,13,13,0.12229229509830475
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.004603936802595854
0,3,1,1,0.9708074331283569
0,3,1,2,0.0
0,3,1,3,0.0
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.009541800245642662
0,3,2,1,0.017921745777130127
0,3,2,2,0.23359979689121246
0,3,2,3,0.13473309576511383
0,3,2,4,0.13987112045288086
0,3,2,5,0.01163705624639988
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.020785612985491753
0,3,3,1,0.008953060954809189
0,3,3,2,0.1636069416999817
0,3,3,3,0.7505521178245544
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.0021792345214635134
0,3,4,1,0.0018289006548002362
0,3,4,2,0.14587749540805817
0,3,4,3,0.012519062496721745
0,3,4,4,0.43548619747161865
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.0007691910141147673
0,3,5,1,0.0007105037802830338
0,3,5,2,0.03262936323881149
0,3,5,3,0.003661366878077388
0,3,5,4,0.06486353278160095
0,3,5,5,0.8359489440917969
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,0.00037523588980548084
0,3,6,1,0.00015002611326053739
0,3,6,2,0.0004456362803466618
0,3,6,3,0.000531394558493048
0,3,6,4,0.000791751139331609
0,3,6,5,0.00015296577475965023
0,3,6,6,0.9959827065467834
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.003790860529989004
0,3,7,1,0.003236461663618684
0,3,7,2,0.026533128693699837
0,3,7,3,0.013071103021502495
0,3,7,4,0.07257232815027237
0,3,7,5,0.11609414964914322
0,3,7,6,0.18437625467777252
0,3,7,7,0.4768856465816498
0,3,7,8,0.4768856465816498
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.003790860529989004
0,3,8,1,0.003236461663618684
0,3,8,2,0.026533128693699837
0,3,8,3,0.013071103021502495
0,3,8,4,0.07257232815027237
0,3,8,5,0.11609414964914322
0,3,8,6,0.18437625467777252
0,3,8,7,0.4768856465816498
0,3,8,8,0.4768856465816498
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.0002476278168614954
0,3,9,1,0.002868606010451913
0,3,9,2,0.00011901419202331454
0,3,9,3,5.286456143949181e-05
0,3,9,4,0.00030626036459580064
0,3,9,5,0.0007583840051665902
0,3,9,6,0.0016132013406604528
0,3,9,7,0.0015099586453288794
0,3,9,8,0.0015099586453288794
0,3,9,9,0.9914210438728333
0,3,9,10,0.0
0,3,9,11,0.0
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,0.0009902893798425794
0,3,10,1,0.00018137742881663144
0,3,10,2,0.0018483386375010014
0,3,10,3,0.0007548382272943854
0,3,10,4,0.0006279562367126346
0,3,10,5,0.0006174331065267324
0,3,10,6,0.002904575550928712
0,3,10,7,0.0013917756732553244
0,3,10,8,0.0013917756732553244
0,3,10,9,0.015362631529569626
0,3,10,10,0.1992848962545395
0,3,10,11,0.10700906068086624
0,3,10,12,0.1412927806377411
0,3,10,13,0.11884322762489319
0,3,11,0,0.0030950941145420074
0,3,11,1,9.729170415084809e-05
0,3,11,2,0.0010859380709007382
0,3,11,3,0.004901595413684845
0,3,11,4,0.0002002954570343718
0,3,11,5,3.412433579796925e-05
0,3,11,6,0.0034615199547261
0,3,11,7,4.3898871808778495e-05
0,3,11,8,4.3898871808778495e-05
0,3,11,9,0.011605875566601753
0,3,11,10,0.13353058695793152
0,3,11,11,0.7689329385757446
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.00020871279411949217
0,3,12,1,1.2598989997059107e-05
0,3,12,2,0.0004492399166338146
0,3,12,3,4.246821845299564e-05
0,3,12,4,0.0014259684830904007
0,3,12,5,0.0008110086782835424
0,3,12,6,0.0006568949320353568
0,3,12,7,0.002488149795681238
0,3,12,8,0.002488149795681238
0,3,12,9,0.0017858780920505524
0,3,12,10,0.13685765862464905
0,3,12,11,0.008811203762888908
0,3,12,12,0.43879514932632446
0,3,12,13,0.0
0,3,13,0,9.12942923605442e-05
0,3,13,1,9.404683623870369e-06
0,3,13,2,9.551884431857616e-05
0,3,13,3,1.6625026546535082e-05
0,3,13,4,0.0002024554123636335
0,3,13,5,0.0012637806357815862
0,3,13,6,0.00017576877144165337
0,3,13,7,0.0012167779495939612
0,3,13,8,0.0012167779495939612
0,3,13,9,0.0006224106764420867
0,3,13,10,0.137559175491333
0,3,13,11,0.002654439304023981
0,3,13,12,0.056738633662462234
0,3,13,13,0.8518944382667542
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.01810254342854023
0,4,1,1,0.9368245005607605
0,4,1,2,0.0
0,4,1,3,0.0
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.0271170511841774
0,4,2,1,0.07225912064313889
0,4,2,2,0.19885919988155365
0,4,2,3,0.12231243401765823
0,4,2,4,0.1026684120297432
0,4,2,5,0.0034144592937082052
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.025555359199643135
0,4,3,1,0.05402892455458641
0,4,3,2,0.15232551097869873
0,4,3,3,0.5589706301689148
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.02080138772726059
0,4,4,1,0.04495321959257126
0,4,4,2,0.14084818959236145
0,4,4,3,0.08165561407804489
0,4,4,4,0.3161527216434479
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
0,4,4,12,0.0
0,4,4,13,0.0
