layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2281874120235443
0,0,1,1,0.15920624136924744
0,0,1,2,0.0
0,0,1,3,0.005591010209172964
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.1312204748392105
0,0,2,1,0.10261373966932297
0,0,2,2,0.043387144804000854
0,0,2,3,0.0228168535977602
0,0,2,4,0.01133316196501255
0,0,2,5,0.00011130343045806512
0,0,2,6,0.00021000162814743817
0,0,2,7,1.2394360965117812e-05
0,0,2,8,1.2394360965117812e-05
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.14866210520267487
0,0,3,1,0.14074914157390594
0,0,3,2,0.0792090892791748
0,0,3,3,0.064997099339962
0,0,3,4,0.0
0,0,3,5,0.0005737252649851143
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.13118810951709747
0,0,4,1,0.09439343214035034
0,0,4,2,0.06834900379180908
0,0,4,3,0.11457686871290207
0,0,4,4,0.07807862013578415
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.1064816415309906
0,0,5,1,0.09137950092554092
0,0,5,2,0.07262735068798065
0,0,5,3,0.1150120422244072
0,0,5,4,0.09683065116405487
0,0,5,5,0.028780026361346245
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.10418751090765
0,0,6,1,0.08301062136888504
0,0,6,2,0.05809003859758377
0,0,6,3,0.08779780566692352
0,0,6,4,0.061907414346933365
0,0,6,5,0.06699438393115997
0,0,6,6,0.07541137933731079
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.10577350854873657
0,0,7,1,0.1004643589258194
0,0,7,2,0.062224071472883224
0,0,7,3,0.1221519485116005
0,0,7,4,0.06642866134643555
0,0,7,5,0.016474079340696335
0,0,7,6,0.12344254553318024
0,0,7,7,0.014122978784143925
0,0,7,8,0.014122978784143925
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.10577350854873657
0,0,8,1,0.1004643589258194
0,0,8,2,0.062224071472883224
0,0,8,3,0.1221519485116005
0,0,8,4,0.06642866134643555
0,0,8,5,0.016474079340696335
0,0,8,6,0.12344254553318024
0,0,8,7,0.014122978784143925
0,0,8,8,0.014122978784143925
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07764280587434769
0,0,9,1,0.065714530646801
0,0,9,2,0.055068645626306534
0,0,9,3,0.1061333641409874
0,0,9,4,0.051036711782217026
0,0,9,5,0.053951069712638855
0,0,9,6,0.10820997506380081
0,0,9,7,0.05369291454553604
0,0,9,8,0.05369291454553604
0,0,9,9,0.07873542606830597
0,0,9,10,0.0
0,0,9,11,0.002811012091115117
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.054838284850120544
0,0,10,1,0.04457109421491623
0,0,10,2,0.02795145846903324
0,0,10,3,0.04628900811076164
0,0,10,4,0.038233574479818344
0,0,10,5,0.02843065932393074
0,0,10,6,0.06103040650486946
0,0,10,7,0.043711964040994644
0,0,10,8,0.043711964040994644
0,0,10,9,0.05824970453977585
0,0,10,10,0.024363435804843903
0,0,10,11,0.01965293101966381
0,0,10,12,0.012257562018930912
0,0,10,13,0.0010033375583589077
0,0,11,0,0.06815262883901596
0,0,11,1,0.0666518434882164
0,0,11,2,0.04174739494919777
0,0,11,3,0.03132166340947151
0,0,11,4,0.043046534061431885
0,0,11,5,0.0438120998442173
0,0,11,6,0.08747399598360062
0,0,11,7,0.05659870430827141
0,0,11,8,0.05659870430827141
0,0,11,9,0.08287607133388519
0,0,11,10,0.04521969333291054
0,0,11,11,0.03777265176177025
0,0,11,12,0.0
0,0,11,13,0.00039799450314603746
0,0,12,0,0.06366527825593948
0,0,12,1,0.04657025262713432
0,0,12,2,0.034147292375564575
0,0,12,3,0.05712643638253212
0,0,12,4,0.05917596444487572
0,0,12,5,0.02048593759536743
0,0,12,6,0.054587941616773605
0,0,12,7,0.021234562620520592
0,0,12,8,0.021234562620520592
0,0,12,9,0.0645899549126625
0,0,12,10,0.042147524654865265
0,0,12,11,0.08325237035751343
0,0,12,12,0.05514807626605034
0,0,12,13,0.0
0,0,13,0,0.05148637294769287
0,0,13,1,0.045611947774887085
0,0,13,2,0.03423395752906799
0,0,13,3,0.05712420865893364
0,0,13,4,0.046811025589704514
0,0,13,5,0.012287159450352192
0,0,13,6,0.04305984452366829
0,0,13,7,0.027213992550969124
0,0,13,8,0.027213992550969124
0,0,13,9,0.06723205745220184
0,0,13,10,0.05031124874949455
0,0,13,11,0.08763504028320312
0,0,13,12,0.07403068989515305
0,0,13,13,0.018913201987743378
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.0003797411045525223
0,1,1,1,0.9983360767364502
0,1,1,2,0.0
0,1,1,3,0.01871136575937271
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.00020965786825399846
0,1,2,1,0.0012459132121875882
0,1,2,2,0.4056137800216675
0,1,2,3,0.07716599106788635
0,1,2,4,0.06167495250701904
0,1,2,5,0.0014955946244299412
0,1,2,6,0.001607796410098672
0,1,2,7,0.0015518433647230268
0,1,2,8,0.0015518433647230268
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.00016417211736552417
0,1,3,1,0.019552556797862053
0,1,3,2,0.07736986130475998
0,1,3,3,0.9945831894874573
0,1,3,4,0.0
0,1,3,5,0.027813488617539406
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.000392627582186833
0,1,4,1,0.0013548145070672035
0,1,4,2,0.06226273998618126
0,1,4,3,0.0007315766997635365
0,1,4,4,0.40704992413520813
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0005408003926277161
0,1,5,1,0.00041905755642801523
0,1,5,2,0.004456306342035532
0,1,5,3,0.02808399684727192
0,1,5,4,0.0009797578677535057
0,1,5,5,0.9731557369232178
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00020428132847882807
0,1,6,1,0.0005973252700641751
0,1,6,2,0.0018351002363488078
0,1,6,3,0.0005231620161794126
0,1,6,4,0.00023040430096443743
0,1,6,5,0.0002854551712516695
0,1,6,6,0.9969311952590942
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.00025797649868763983
0,1,7,1,0.0004620373365469277
0,1,7,2,0.00634025689214468
0,1,7,3,0.0283544659614563
0,1,7,4,0.005771236959844828
0,1,7,5,0.003133046440780163
0,1,7,6,0.00038008062983863056
0,1,7,7,0.934100329875946
0,1,7,8,0.934100329875946
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.00025797649868763983
0,1,8,1,0.0004620373365469277
0,1,8,2,0.00634025689214468
0,1,8,3,0.0283544659614563
0,1,8,4,0.005771236959844828
0,1,8,5,0.003133046440780163
0,1,8,6,0.00038008062983863056
0,1,8,7,0.934100329875946
0,1,8,8,0.934100329875946
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,0.00015448829799424857
0,1,9,1,0.48940181732177734
0,1,9,2,0.0006348328897729516
0,1,9,3,0.011026287451386452
0,1,9,4,0.00019419683667365462
0,1,9,5,0.0004799041198566556
0,1,9,6,0.0002525235468056053
0,1,9,7,8.858145156409591e-05
0,1,9,8,8.858145156409591e-05
0,1,9,9,0.5062998533248901
0,1,9,10,0.0
0,1,9,11,0.008014109916985035
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,7.568907312816009e-05
0,1,10,1,0.0004199044778943062
0,1,10,2,0.19133415818214417
0,1,10,3,0.027280239388346672
0,1,10,4,0.025481905788183212
0,1,10,5,0.026523787528276443
0,1,10,6,0.0002530317578930408
0,1,10,7,0.0024292278103530407
0,1,10,8,0.0024292278103530407
0,1,10,9,0.0004946563858538866
0,1,10,10,0.19717559218406677
0,1,10,11,0.031132647767663002
0,1,10,12,0.03235757723450661
0,1,10,13,0.03367443010210991
0,1,11,0,5.6751065130811185e-05
0,1,11,1,0.010967828333377838
0,1,11,2,0.03484964370727539
0,1,11,3,0.4723251461982727
0,1,11,4,6.4166757510975e-05
0,1,11,5,0.009808610193431377
0,1,11,6,0.00017108011525124311
0,1,11,7,0.019944481551647186
0,1,11,8,0.019944481551647186
0,1,11,9,0.008201664313673973
0,1,11,10,0.031217793002724648
0,1,11,11,0.5041645169258118
0,1,11,12,0.0
0,1,11,13,0.01837659440934658
0,1,12,0,0.0001326997298747301
0,1,12,1,0.0003580477205105126
0,1,12,2,0.02731579914689064
0,1,12,3,0.00022388450452126563
0,1,12,4,0.18574784696102142
0,1,12,5,0.0007563240942545235
0,1,12,6,0.0003148217510897666
0,1,12,7,0.00290648452937603
0,1,12,8,0.00290648452937603
0,1,12,9,0.0004013068974018097
0,1,12,10,0.03245082497596741
0,1,12,11,0.00020188391499686986
0,1,12,12,0.22254818677902222
0,1,12,13,0.0
0,1,13,0,0.00020726978254970163
0,1,13,1,0.00012676788901444525
0,1,13,2,0.0015269867144525051
0,1,13,3,0.00976139958947897
0,1,13,4,0.0003899637667927891
0,1,13,5,0.42878127098083496
0,1,13,6,4.100938167539425e-05
0,1,13,7,0.0005448635201901197
0,1,13,8,0.0005448635201901197
0,1,13,9,0.000104971019027289
0,1,13,10,0.03480314463376999
0,1,13,11,0.018478000536561012
0,1,13,12,0.00044107023859396577
0,1,13,13,0.5485448837280273
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.20964078605175018
0,2,1,1,0.13261215388774872
0,2,1,2,0.0
0,2,1,3,0.003724463516846299
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.11871300637722015
0,2,2,1,0.095042884349823
0,2,2,2,0.08233360946178436
0,2,2,3,0.0221141055226326
0,2,2,4,0.012401534244418144
0,2,2,5,0.0003020636213477701
0,2,2,6,0.0002212006802437827
0,2,2,7,4.932080992148258e-05
0,2,2,8,4.932080992148258e-05
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.15527498722076416
0,2,3,1,0.125902459025383
0,2,3,2,0.05925319716334343
0,2,3,3,0.1090037003159523
0,2,3,4,0.0
0,2,3,5,0.002335243858397007
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.09824461489915848
0,2,4,1,0.09828520566225052
0,2,4,2,0.057907458394765854
0,2,4,3,0.08267516642808914
0,2,4,4,0.09022542089223862
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.0786457434296608
0,2,5,1,0.03936569392681122
0,2,5,2,0.05363599210977554
0,2,5,3,0.05539894104003906
0,2,5,4,0.10320109128952026
0,2,5,5,0.14710813760757446
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.10475797206163406
0,2,6,1,0.09501703083515167
0,2,6,2,0.04069768264889717
0,2,6,3,0.06409096717834473
0,2,6,4,0.04459343105554581
0,2,6,5,0.060051728039979935
0,2,6,6,0.1743302345275879
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.07226622849702835
0,2,7,1,0.05267364904284477
0,2,7,2,0.03664882853627205
0,2,7,3,0.03758101165294647
0,2,7,4,0.10412891209125519
0,2,7,5,0.08697041124105453
0,2,7,6,0.035965628921985626
0,2,7,7,0.048881445080041885
0,2,7,8,0.048881445080041885
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.07226622849702835
0,2,8,1,0.05267364904284477
0,2,8,2,0.03664882853627205
0,2,8,3,0.03758101165294647
0,2,8,4,0.10412891209125519
0,2,8,5,0.08697041124105453
0,2,8,6,0.035965628921985626
0,2,8,7,0.048881445080041885
0,2,8,8,0.048881445080041885
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.07754499465227127
0,2,9,1,0.07249550521373749
0,2,9,2,0.08409444987773895
0,2,9,3,0.08128147572278976
0,2,9,4,0.04113985225558281
0,2,9,5,0.053335804492235184
0,2,9,6,0.07725811004638672
0,2,9,7,0.053544484078884125
0,2,9,8,0.053544484078884125
0,2,9,9,0.0665733814239502
0,2,9,10,0.0
0,2,9,11,0.0025198340881615877
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.05047641694545746
0,2,10,1,0.051819924265146255
0,2,10,2,0.059274133294820786
0,2,10,3,0.05197277292609215
0,2,10,4,0.02998359128832817
0,2,10,5,0.03879495710134506
0,2,10,6,0.028285011649131775
0,2,10,7,0.046783197671175
0,2,10,8,0.046783197671175
0,2,10,9,0.04921405017375946
0,2,10,10,0.048847343772649765
0,2,10,11,0.014979545027017593
0,2,10,12,0.010694371536374092
0,2,10,13,0.005377253983169794
0,2,11,0,0.07367252558469772
0,2,11,1,0.0727568119764328
0,2,11,2,0.039026517421007156
0,2,11,3,0.06671696901321411
0,2,11,4,0.041320327669382095
0,2,11,5,0.04663966968655586
0,2,11,6,0.08184890449047089
0,2,11,7,0.046554580330848694
0,2,11,8,0.046554580330848694
0,2,11,9,0.06888236850500107
0,2,11,10,0.029704047366976738
0,2,11,11,0.06496511399745941
0,2,11,12,0.0
0,2,11,13,0.0015985663048923016
0,2,12,0,0.04085145518183708
0,2,12,1,0.05110730975866318
0,2,12,2,0.030079059302806854
0,2,12,3,0.04384330287575722
0,2,12,4,0.058945830911397934
0,2,12,5,0.05831074342131615
0,2,12,6,0.06660693138837814
0,2,12,7,0.08293189108371735
0,2,12,8,0.08293189108371735
0,2,12,9,0.05416189879179001
0,2,12,10,0.028544707223773003
0,2,12,11,0.04882904514670372
0,2,12,12,0.05117344856262207
0,2,12,13,0.0
0,2,13,0,0.03594635799527168
0,2,13,1,0.020756375044584274
0,2,13,2,0.02813567779958248
0,2,13,3,0.029575226828455925
0,2,13,4,0.05467933788895607
0,2,13,5,0.0732174664735794
0,2,13,6,0.025601569563150406
0,2,13,7,0.10338901728391647
0,2,13,8,0.10338901728391647
0,2,13,9,0.02252463810145855
0,2,13,10,0.03714951500296593
0,2,13,11,0.03454063460230827
0,2,13,12,0.06650835275650024
0,2,13,13,0.09179521352052689
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.010729883797466755
0,3,1,1,0.917569637298584
0,3,1,2,0.0
0,3,1,3,0.018712090328335762
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.005987163633108139
0,3,2,1,0.027918672189116478
0,3,2,2,0.371045857667923
0,3,2,3,0.07460670918226242
0,3,2,4,0.05717984214425087
0,3,2,5,0.0014410994481295347
0,3,2,6,0.0019485745579004288
0,3,2,7,0.0008089767070487142
0,3,2,8,0.0008089767070487142
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.005209086462855339
0,3,3,1,0.035680994391441345
0,3,3,2,0.08056856691837311
0,3,3,3,0.9304918050765991
0,3,3,4,0.0
0,3,3,5,0.022962208837270737
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.004732436500489712
0,3,4,1,0.009918982163071632
0,3,4,2,0.06455475836992264
0,3,4,3,0.018530333414673805
0,3,4,4,0.38074299693107605
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.0008272311533801258
0,3,5,1,0.0014347393298521638
0,3,5,2,0.013311989605426788
0,3,5,3,0.025892429053783417
0,3,5,4,0.09163413196802139
0,3,5,5,0.7607463002204895
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,0.000653246883302927
0,3,6,1,0.0001635752123547718
0,3,6,2,0.0018523165490478277
0,3,6,3,0.0003880102885887027
0,3,6,4,0.0007529681897722185
0,3,6,5,0.0001899919006973505
0,3,6,6,0.9952449798583984
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.004471662454307079
0,3,7,1,0.004635946825146675
0,3,7,2,0.012202482670545578
0,3,7,3,0.01674022525548935
0,3,7,4,0.04770614206790924
0,3,7,5,0.1285542994737625
0,3,7,6,0.23140907287597656
0,3,7,7,0.4765302538871765
0,3,7,8,0.4765302538871765
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.004471662454307079
0,3,8,1,0.004635946825146675
0,3,8,2,0.012202482670545578
0,3,8,3,0.01674022525548935
0,3,8,4,0.04770614206790924
0,3,8,5,0.1285542994737625
0,3,8,6,0.23140907287597656
0,3,8,7,0.4765302538871765
0,3,8,8,0.4765302538871765
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.0009361592819914222
0,3,9,1,0.004308674950152636
0,3,9,2,0.000639291072729975
0,3,9,3,0.0016056544845923781
0,3,9,4,0.0010850460967049003
0,3,9,5,0.0022511330898851156
0,3,9,6,0.007374258246272802
0,3,9,7,0.005074868910014629
0,3,9,8,0.005074868910014629
0,3,9,9,0.9732126593589783
0,3,9,10,0.0
0,3,9,11,0.018629470840096474
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,0.00044733542017638683
0,3,10,1,0.00014725358050782233
0,3,10,2,0.0023630838841199875
0,3,10,3,0.0004643299907911569
0,3,10,4,0.00045344000682234764
0,3,10,5,0.0009037855779752135
0,3,10,6,0.0012923061149194837
0,3,10,7,0.002721597906202078
0,3,10,8,0.002721597906202078
0,3,10,9,0.0261028241366148
0,3,10,10,0.3640986979007721
0,3,10,11,0.057553160935640335
0,3,10,12,0.05915665253996849
0,3,10,13,0.04688018932938576
0,3,11,0,0.0006355924415402114
0,3,11,1,0.00023020118533167988
0,3,11,2,0.0005409411387518048
0,3,11,3,0.006991363130509853
0,3,11,4,0.0005685826763510704
0,3,11,5,0.0010051216231659055
0,3,11,6,0.003443896071985364
0,3,11,7,0.004360144026577473
0,3,11,8,0.004360144026577473
0,3,11,9,0.033144235610961914
0,3,11,10,0.06278688460588455
0,3,11,11,0.9360194802284241
0,3,11,12,0.0
0,3,11,13,0.023081082850694656
0,3,12,0,0.000583726679906249
0,3,12,1,8.769237319938838e-05
0,3,12,2,0.00024212157586589456
0,3,12,3,0.00011852628085762262
0,3,12,4,0.0028188000433146954
0,3,12,5,0.002135682851076126
0,3,12,6,0.002098666736856103
0,3,12,7,0.008456521667540073
0,3,12,8,0.008456521667540073
0,3,12,9,0.009109320119023323
0,3,12,10,0.059009894728660583
0,3,12,11,0.014608890749514103
0,3,12,12,0.38562148809432983
0,3,12,13,0.0
0,3,13,0,9.542336192680523e-05
0,3,13,1,1.8048256606562063e-05
0,3,13,2,3.379803820280358e-05
0,3,13,3,1.9458009774098173e-05
0,3,13,4,0.000465927820187062
0,3,13,5,0.002207512501627207
0,3,13,6,0.0003196882316842675
0,3,13,7,0.0016804189654067159
0,3,13,8,0.0016804189654067159
0,3,13,9,0.0012105589266866446
0,3,13,10,0.06007174402475357
0,3,13,11,0.02572295069694519
0,3,13,12,0.08635298907756805
0,3,13,13,0.7703170776367188
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.06913316994905472
0,4,1,1,0.7568429708480835
0,4,1,2,0.0
0,4,1,3,0.01836942508816719
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.01903788186609745
0,4,2,1,0.15588690340518951
0,4,2,2,0.2527957260608673
0,4,2,3,0.0752013698220253
0,4,2,4,0.03474169597029686
0,4,2,5,0.0008273129351437092
0,4,2,6,0.0016191917238757014
0,4,2,7,0.0005858748918399215
0,4,2,8,0.0005858748918399215
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.02264201082289219
0,4,3,1,0.11596840620040894
0,4,3,2,0.11057358980178833
0,4,3,3,0.7151309251785278
0,4,3,4,0.0
0,4,3,5,0.007690697442740202
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.044174496084451675
0,4,4,1,0.07523477077484131
0,4,4,2,0.07226205617189407
0,4,4,3,0.09554840624332428
