layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.23275071382522583
0,0,1,1,0.15887212753295898
0,0,1,2,0.0
0,0,1,3,0.011273214593529701
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.14989641308784485
0,0,2,1,0.10928409546613693
0,0,2,2,0.044057317078113556
0,0,2,3,0.021614406257867813
0,0,2,4,0.012311501428484917
0,0,2,5,0.0001573048357386142
0,0,2,6,0.0002870418829843402
0,0,2,7,1.708162199065555e-05
0,0,2,8,1.708162199065555e-05
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.144440695643425
0,0,3,1,0.13940919935703278
0,0,3,2,0.07950646430253983
0,0,3,3,0.06357640027999878
0,0,3,4,0.0
0,0,3,5,0.0008138410048559308
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.1288963109254837
0,0,4,1,0.08045653253793716
0,0,4,2,0.07608626782894135
0,0,4,3,0.10600346326828003
0,0,4,4,0.07995307445526123
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.10119441896677017
0,0,5,1,0.08796100318431854
0,0,5,2,0.078468456864357
0,0,5,3,0.10296856611967087
0,0,5,4,0.098587766289711
0,0,5,5,0.030284473672509193
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09986437857151031
0,0,6,1,0.08063805848360062
0,0,6,2,0.06305152177810669
0,0,6,3,0.08053102344274521
0,0,6,4,0.06108409911394119
0,0,6,5,0.07062629610300064
0,0,6,6,0.08028296381235123
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.10218849778175354
0,0,7,1,0.08961240202188492
0,0,7,2,0.06959466636180878
0,0,7,3,0.1132458746433258
0,0,7,4,0.0641694962978363
0,0,7,5,0.016526471823453903
0,0,7,6,0.1324617862701416
0,0,7,7,0.013729461468756199
0,0,7,8,0.013729461468756199
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.10218849778175354
0,0,8,1,0.08961240202188492
0,0,8,2,0.06959466636180878
0,0,8,3,0.1132458746433258
0,0,8,4,0.0641694962978363
0,0,8,5,0.016526471823453903
0,0,8,6,0.1324617862701416
0,0,8,7,0.013729461468756199
0,0,8,8,0.013729461468756199
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07774554193019867
0,0,9,1,0.06530361622571945
0,0,9,2,0.056384533643722534
0,0,9,3,0.0901978611946106
0,0,9,4,0.05010903626680374
0,0,9,5,0.05868230387568474
0,0,9,6,0.10643178969621658
0,0,9,7,0.052105557173490524
0,0,9,8,0.052105557173490524
0,0,9,9,0.07860668003559113
0,0,9,10,0.0
0,0,9,11,0.005714777857065201
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.06339528411626816
0,0,10,1,0.04846876487135887
0,0,10,2,0.0281287282705307
0,0,10,3,0.04575815796852112
0,0,10,4,0.04238440468907356
0,0,10,5,0.031832724809646606
0,0,10,6,0.06913729757070541
0,0,10,7,0.051433779299259186
0,0,10,8,0.051433779299259186
0,0,10,9,0.06379673629999161
0,0,10,10,0.02492237091064453
0,0,10,11,0.018392756581306458
0,0,10,12,0.01290187705308199
0,0,10,13,0.00114604237023741
0,0,11,0,0.06504886597394943
0,0,11,1,0.06573333591222763
0,0,11,2,0.04201811924576759
0,0,11,3,0.029764683917164803
0,0,11,4,0.0429435558617115
0,0,11,5,0.03825419768691063
0,0,11,6,0.09090670943260193
0,0,11,7,0.053496748208999634
0,0,11,8,0.053496748208999634
0,0,11,9,0.08244629949331284
0,0,11,10,0.04514142870903015
0,0,11,11,0.03695259243249893
0,0,11,12,0.0
0,0,11,13,0.0005708459648303688
0,0,12,0,0.06215285137295723
0,0,12,1,0.040067024528980255
0,0,12,2,0.03768979758024216
0,0,12,3,0.05236649513244629
0,0,12,4,0.059189874678850174
0,0,12,5,0.021380916237831116
0,0,12,6,0.05544920265674591
0,0,12,7,0.02165195159614086
0,0,12,8,0.02165195159614086
0,0,12,9,0.05527442321181297
0,0,12,10,0.046321801841259
0,0,12,11,0.07671865075826645
0,0,12,12,0.05642496794462204
0,0,12,13,0.0
0,0,13,0,0.047996886074543
0,0,13,1,0.04352056607604027
0,0,13,2,0.036394741386175156
0,0,13,3,0.0499994233250618
0,0,13,4,0.04678170010447502
0,0,13,5,0.012739847414195538
0,0,13,6,0.04472147673368454
0,0,13,7,0.02836107276380062
0,0,13,8,0.02836107276380062
0,0,13,9,0.06501217186450958
0,0,13,10,0.05365211144089699
0,0,13,11,0.07741245627403259
0,0,13,12,0.07501465082168579
0,0,13,13,0.019865287467837334
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.000296071550110355
0,1,1,1,0.9985945820808411
0,1,1,2,0.0
0,1,1,3,0.04163777455687523
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.00023503738339059055
0,1,2,1,0.00124042306561023
0,1,2,2,0.4663960635662079
0,1,2,3,0.08065613359212875
0,1,2,4,0.06317347288131714
0,1,2,5,0.0021880303975194693
0,1,2,6,0.0022249475587159395
0,1,2,7,0.0021431930363178253
0,1,2,8,0.0021431930363178253
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.00020421149383764714
0,1,3,1,0.04272691532969475
0,1,3,2,0.0807667002081871
0,1,3,3,0.9945268034934998
0,1,3,4,0.0
0,1,3,5,0.04081173613667488
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0003938375157304108
0,1,4,1,0.0015180895570665598
0,1,4,2,0.06367901712656021
0,1,4,3,0.000812673824839294
0,1,4,4,0.39915648102760315
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0004833949205931276
0,1,5,1,0.00020683497132267803
0,1,5,2,0.005286579020321369
0,1,5,3,0.04115685820579529
0,1,5,4,0.0013669691979885101
0,1,5,5,0.9748675227165222
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00020249081717338413
0,1,6,1,0.0007302101003006101
0,1,6,2,0.0025036977604031563
0,1,6,3,0.0005147162009961903
0,1,6,4,0.00025231530889868736
0,1,6,5,0.00030624642386101186
0,1,6,6,0.9966254234313965
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0002495790249668062
0,1,7,1,0.0004870902339462191
0,1,7,2,0.007569946814328432
0,1,7,3,0.04494510218501091
0,1,7,4,0.004504785407334566
0,1,7,5,0.0031805741600692272
0,1,7,6,0.0003555813163984567
0,1,7,7,0.9207810759544373
0,1,7,8,0.9207810759544373
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.0002495790249668062
0,1,8,1,0.0004870902339462191
0,1,8,2,0.007569946814328432
0,1,8,3,0.04494510218501091
0,1,8,4,0.004504785407334566
0,1,8,5,0.0031805741600692272
0,1,8,6,0.0003555813163984567
0,1,8,7,0.9207810759544373
0,1,8,8,0.9207810759544373
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,0.0001329852093476802
0,1,9,1,0.4879353940486908
0,1,9,2,0.0007096041808836162
0,1,9,3,0.023241762071847916
0,1,9,4,0.00021022478176746517
0,1,9,5,0.000319519080221653
0,1,9,6,0.00033332829480059445
0,1,9,7,0.00010276691318722442
0,1,9,8,0.00010276691318722442
0,1,9,9,0.5075532793998718
0,1,9,10,0.0
0,1,9,11,0.018732884898781776
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,8.243370393756777e-05
0,1,10,1,0.0004409144457895309
0,1,10,2,0.22130562365055084
0,1,10,3,0.02801535278558731
0,1,10,4,0.02642604522407055
0,1,10,5,0.027396397665143013
0,1,10,6,0.0003569655236788094
0,1,10,7,0.002791525097563863
0,1,10,8,0.002791525097563863
0,1,10,9,0.0005722972564399242
0,1,10,10,0.2271072119474411
0,1,10,11,0.03236078843474388
0,1,10,12,0.03325331211090088
0,1,10,13,0.03494700416922569
0,1,11,0,6.84894184814766e-05
0,1,11,1,0.023260828107595444
0,1,11,2,0.036026109009981155
0,1,11,3,0.46441227197647095
0,1,11,4,8.594969403930008e-05
0,1,11,5,0.014363722875714302
0,1,11,6,0.00020261752069927752
0,1,11,7,0.03181089833378792
0,1,11,8,0.03181089833378792
0,1,11,9,0.018978189677000046
0,1,11,10,0.03237554430961609
0,1,11,11,0.5008799433708191
0,1,11,12,0.0
0,1,11,13,0.026796307414770126
0,1,12,0,0.0001347655925201252
0,1,12,1,0.00040306930895894766
0,1,12,2,0.028101546689867973
0,1,12,3,0.0002652404655236751
0,1,12,4,0.18202798068523407
0,1,12,5,0.0009086228092201054
0,1,12,6,0.00038844518712721765
0,1,12,7,0.002287756884470582
0,1,12,8,0.002287756884470582
0,1,12,9,0.0004934337339363992
0,1,12,10,0.03333169221878052
0,1,12,11,0.00023895257618278265
0,1,12,12,0.21817368268966675
0,1,12,13,0.0
0,1,13,0,0.00018729045405052602
0,1,13,1,6.622058572247624e-05
0,1,13,2,0.0018665780080482364
0,1,13,3,0.014297032728791237
0,1,13,4,0.0005341112846508622
0,1,13,5,0.42785173654556274
0,1,13,6,3.8210448110476136e-05
0,1,13,7,0.0005670878454111516
0,1,13,8,0.0005670878454111516
0,1,13,9,4.986016210750677e-05
0,1,13,10,0.0360151045024395
0,1,13,11,0.026934131979942322
0,1,13,12,0.000624333624728024
0,1,13,13,0.5508626103401184
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.2117358148097992
0,2,1,1,0.12695954740047455
0,2,1,2,0.0
0,2,1,3,0.007134339772164822
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.1332959085702896
0,2,2,1,0.11411435157060623
0,2,2,2,0.09099642187356949
0,2,2,3,0.021072516217827797
0,2,2,4,0.011996595188975334
0,2,2,5,0.0004296211991459131
0,2,2,6,0.00030382428667508066
0,2,2,7,6.886732444399968e-05
0,2,2,8,6.886732444399968e-05
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.1475515514612198
0,2,3,1,0.13794903457164764
0,2,3,2,0.060219623148441315
0,2,3,3,0.10345196723937988
0,2,3,4,0.0
0,2,3,5,0.0033976652193814516
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.09509488195180893
0,2,4,1,0.11357875168323517
0,2,4,2,0.06065232306718826
0,2,4,3,0.07838104665279388
0,2,4,4,0.08490697294473648
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.07906205207109451
0,2,5,1,0.033690743148326874
0,2,5,2,0.06083311513066292
0,2,5,3,0.0625748485326767
0,2,5,4,0.10182413458824158
0,2,5,5,0.13658149540424347
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.10163840651512146
0,2,6,1,0.10645057260990143
0,2,6,2,0.041941478848457336
0,2,6,3,0.06225648894906044
0,2,6,4,0.04406948387622833
0,2,6,5,0.06184842064976692
0,2,6,6,0.16011156141757965
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.07033813744783401
0,2,7,1,0.047623343765735626
0,2,7,2,0.0417449064552784
0,2,7,3,0.0411708690226078
0,2,7,4,0.10503140836954117
0,2,7,5,0.0922272652387619
0,2,7,6,0.03701606020331383
0,2,7,7,0.04782409965991974
0,2,7,8,0.04782409965991974
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.07033813744783401
0,2,8,1,0.047623343765735626
0,2,8,2,0.0417449064552784
0,2,8,3,0.0411708690226078
0,2,8,4,0.10503140836954117
0,2,8,5,0.0922272652387619
0,2,8,6,0.03701606020331383
0,2,8,7,0.04782409965991974
0,2,8,8,0.04782409965991974
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.07793160527944565
0,2,9,1,0.06956642866134644
0,2,9,2,0.07598373293876648
0,2,9,3,0.06642455607652664
0,2,9,4,0.03798426315188408
0,2,9,5,0.05475359782576561
0,2,9,6,0.08609232306480408
0,2,9,7,0.052397795021533966
0,2,9,8,0.052397795021533966
0,2,9,9,0.06309769302606583
0,2,9,10,0.0
0,2,9,11,0.004765051417052746
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.05825919285416603
0,2,10,1,0.06408504396677017
0,2,10,2,0.06435354799032211
0,2,10,3,0.04276004433631897
0,2,10,4,0.033029936254024506
0,2,10,5,0.04228389263153076
0,2,10,6,0.031040798872709274
0,2,10,7,0.05212978646159172
0,2,10,8,0.05212978646159172
0,2,10,9,0.061037637293338776
0,2,10,10,0.05447954684495926
0,2,10,11,0.013843425549566746
0,2,10,12,0.01092849113047123
0,2,10,13,0.005242550279945135
0,2,11,0,0.06878753006458282
0,2,11,1,0.07883396744728088
0,2,11,2,0.039801351726055145
0,2,11,3,0.06268233060836792
0,2,11,4,0.04473276808857918
0,2,11,5,0.04537126421928406
0,2,11,6,0.06900224834680557
0,2,11,7,0.046312570571899414
0,2,11,8,0.046312570571899414
0,2,11,9,0.07700428366661072
0,2,11,10,0.030084023252129555
0,2,11,11,0.062426794320344925
0,2,11,12,0.0
0,2,11,13,0.0023158567491918802
0,2,12,0,0.03882636874914169
0,2,12,1,0.05930227413773537
0,2,12,2,0.031182153150439262
0,2,12,3,0.0398261658847332
0,2,12,4,0.05684599280357361
0,2,12,5,0.05890869349241257
0,2,12,6,0.06324106454849243
0,2,12,7,0.07788990437984467
0,2,12,8,0.07788990437984467
0,2,12,9,0.06346581131219864
0,2,12,10,0.029486048966646194
0,2,12,11,0.0447891540825367
0,2,12,12,0.048442523926496506
0,2,12,13,0.0
0,2,13,0,0.03628002479672432
0,2,13,1,0.017690744251012802
0,2,13,2,0.03200357407331467
0,2,13,3,0.032646603882312775
0,2,13,4,0.05419966205954552
0,2,13,5,0.06817876547574997
0,2,13,6,0.025303034111857414
0,2,13,7,0.10177987068891525
0,2,13,8,0.10177987068891525
0,2,13,9,0.019031936302781105
0,2,13,10,0.041317470371723175
0,2,13,11,0.03854745253920555
0,2,13,12,0.06591227650642395
0,2,13,13,0.08533532172441483
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.011285245418548584
0,3,1,1,0.9274744987487793
0,3,1,2,0.0
0,3,1,3,0.041544754058122635
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.007590227294713259
0,3,2,1,0.03000892885029316
0,3,2,2,0.4249441921710968
0,3,2,3,0.07641560584306717
0,3,2,4,0.0595884770154953
0,3,2,5,0.0020851700101047754
0,3,2,6,0.002673060167580843
0,3,2,7,0.0011342997895553708
0,3,2,8,0.0011342997895553708
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.005996846593916416
0,3,3,1,0.055991098284721375
0,3,3,2,0.08161509782075882
0,3,3,3,0.921237051486969
0,3,3,4,0.0
0,3,3,5,0.03342580422759056
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.0042623612098395824
0,3,4,1,0.007237503305077553
0,3,4,2,0.06661471724510193
0,3,4,3,0.017738446593284607
0,3,4,4,0.3773953914642334
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.0007097425987012684
0,3,5,1,0.0009435152751393616
0,3,5,2,0.014539748430252075
0,3,5,3,0.03648104518651962
0,3,5,4,0.0941237285733223
0,3,5,5,0.7559600472450256
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,0.0005567063926719129
0,3,6,1,0.0002254289574921131
0,3,6,2,0.002447810722514987
0,3,6,3,0.0002786620461847633
0,3,6,4,0.0006240972434170544
0,3,6,5,0.00021095456031616777
0,3,6,6,0.995758593082428
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.004194286651909351
0,3,7,1,0.004012794699519873
0,3,7,2,0.013251510448753834
0,3,7,3,0.019161896780133247
0,3,7,4,0.0479000024497509
0,3,7,5,0.13114050030708313
0,3,7,6,0.2285776138305664
0,3,7,7,0.47582611441612244
0,3,7,8,0.47582611441612244
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.004194286651909351
0,3,8,1,0.004012794699519873
0,3,8,2,0.013251510448753834
0,3,8,3,0.019161896780133247
0,3,8,4,0.0479000024497509
0,3,8,5,0.13114050030708313
0,3,8,6,0.2285776138305664
0,3,8,7,0.47582611441612244
0,3,8,8,0.47582611441612244
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.0008821055525913835
0,3,9,1,0.003447141731157899
0,3,9,2,0.0005905195139348507
0,3,9,3,0.0019089275738224387
0,3,9,4,0.0007333324756473303
0,3,9,5,0.0018895597895607352
0,3,9,6,0.006470808759331703
0,3,9,7,0.0038516148924827576
0,3,9,8,0.0038516148924827576
0,3,9,9,0.9774035215377808
0,3,9,10,0.0
0,3,9,11,0.04145442321896553
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,0.0005665150820277631
0,3,10,1,0.0001455902383895591
0,3,10,2,0.002635579090565443
0,3,10,3,0.00047885466483421624
0,3,10,4,0.0003981340560130775
0,3,10,5,0.0008204675978049636
0,3,10,6,0.0015754394698888063
0,3,10,7,0.0022079215850681067
0,3,10,8,0.0022079215850681067
0,3,10,9,0.0280032716691494
0,3,10,10,0.420851469039917
0,3,10,11,0.05904960632324219
0,3,10,12,0.062375254929065704
0,3,10,13,0.04851142689585686
0,3,11,0,0.000704428181052208
0,3,11,1,0.0002991724177263677
0,3,11,2,0.0005326038226485252
0,3,11,3,0.00516161834821105
0,3,11,4,0.0009548782254569232
0,3,11,5,0.0017402172088623047
0,3,11,6,0.005504973698407412
0,3,11,7,0.007410901132971048
0,3,11,8,0.007410901132971048
0,3,11,9,0.05382593348622322
0,3,11,10,0.06302770972251892
0,3,11,11,0.9273175001144409
0,3,11,12,0.0
0,3,11,13,0.03371645137667656
0,3,12,0,0.0005210947711020708
0,3,12,1,5.8364712458569556e-05
0,3,12,2,0.0002300627966178581
0,3,12,3,9.73170026554726e-05
0,3,12,4,0.0023041055537760258
0,3,12,5,0.001652248902246356
0,3,12,6,0.001772113493643701
0,3,12,7,0.00655757961794734
0,3,12,8,0.00655757961794734
0,3,12,9,0.006241428200155497
0,3,12,10,0.06166528910398483
0,3,12,11,0.013979075476527214
0,3,12,12,0.3822229504585266
0,3,12,13,0.0
0,3,13,0,7.747158815618604e-05
0,3,13,1,1.1531704330991488e-05
0,3,13,2,3.37196615873836e-05
0,3,13,3,1.78143527591601e-05
0,3,13,4,0.00044594783685170114
0,3,13,5,0.0018629201222211123
0,3,13,6,0.00023966484877746552
0,3,13,7,0.0013828022638335824
0,3,13,8,0.0013828022638335824
0,3,13,9,0.0007453699363395572
0,3,13,10,0.06268090009689331
0,3,13,11,0.03647097945213318
0,3,13,12,0.0880112498998642
0,3,13,13,0.7679058909416199
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.07595361769199371
0,4,1,1,0.7372578382492065
0,4,1,2,0.0
0,4,1,3,0.037757739424705505
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.020040899515151978
0,4,2,1,0.1779075562953949
0,4,2,2,0.29061999917030334
0,4,2,3,0.07540727406740189
0,4,2,4,0.03645944967865944
0,4,2,5,0.0011853536125272512
0,4,2,6,0.0022335839457809925
0,4,2,7,0.0008035916835069656
0,4,2,8,0.0008035916835069656
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.022480642423033714
0,4,3,1,0.11785518378019333
0,4,3,2,0.11824000626802444
0,4,3,3,0.7031309008598328
0,4,3,4,0.0
0,4,3,5,0.011211941950023174
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.04054484888911247
0,4,4,1,0.06280416250228882
0,4,4,2,0.07868153601884842
