layer,head,source_position,dest_position,value
0,0,0,0,0.3102453052997589
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.21551160514354706
0,0,1,1,0.1168525442481041
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.11709928512573242
0,0,2,1,0.12634634971618652
0,0,2,2,0.04691660776734352
0,0,2,3,0.02650410495698452
0,0,2,4,0.007699088659137487
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.11502491682767868
0,0,3,1,0.09628861397504807
0,0,3,2,0.048814598470926285
0,0,3,3,0.03072725236415863
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.0850018858909607
0,0,4,1,0.08054015040397644
0,0,4,2,0.07029066234827042
0,0,4,3,0.11620638519525528
0,0,4,4,0.0461638905107975
0,0,4,5,0.005391658283770084
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.0737379640340805
0,0,5,1,0.07042340934276581
0,0,5,2,0.07485538721084595
0,0,5,3,0.09201117604970932
0,0,5,4,0.08797848969697952
0,0,5,5,0.018145134672522545
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.07829392701387405
0,0,6,1,0.07844443619251251
0,0,6,2,0.05229659005999565
