layer,head,source_position,dest_position,value
0,0,0,0,0.2936508059501648
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.20835822820663452
0,0,1,1,0.1305762678384781
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.11438220739364624
0,0,2,1,0.11310277134180069
0,0,2,2,0.04588724300265312
0,0,2,3,0.033854465931653976
0,0,2,4,0.011683449149131775
0,0,2,5,0.004903640132397413
0,0,2,6,0.008639656938612461
0,0,2,7,0.0021925221662968397
0,0,2,8,0.0034119568299502134
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.11682318896055222
0,0,3,1,0.05852756276726723
0,0,3,2,0.046706363558769226
0,0,3,3,0.023361993953585625
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.08150174468755722
0,0,4,1,0.07934959977865219
0,0,4,2,0.06488818675279617
0,0,4,3,0.115760438144207
0,0,4,4,0.03683023154735565
0,0,4,5,0.0075245201587677
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.07321074604988098
0,0,5,1,0.06568117439746857
0,0,5,2,0.069902203977108
0,0,5,3,0.08309763669967651
0,0,5,4,0.07955686002969742
0,0,5,5,0.019162200391292572
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.08008142560720444
0,0,6,1,0.09204220771789551
0,0,6,2,0.0508115291595459
0,0,6,3,0.04466573894023895
0,0,6,4,0.05117174610495567
0,0,6,5,0.04634113982319832
0,0,6,6,0.06648633629083633
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.059647198766469955
0,0,7,1,0.07470785826444626
0,0,7,2,0.07192374020814896
0,0,7,3,0.09634395688772202
0,0,7,4,0.08267232030630112
0,0,7,5,0.012866503559052944
0,0,7,6,0.08141589909791946
0,0,7,7,0.009357195347547531
0,0,7,8,0.007814756594598293
0,0,7,9,0.0
0,0,7,10,0.0
