layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.195830836892128
0,0,1,1,0.21183378994464874
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.15166203677654266
0,0,2,1,0.08303578943014145
0,0,2,2,0.05627477169036865
0,0,2,3,0.058930590748786926
0,0,2,4,0.01579093001782894
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.11728202551603317
0,0,3,1,0.018573038280010223
0,0,3,2,0.09766951948404312
0,0,3,3,0.10399875044822693
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.11605915427207947
0,0,4,1,0.10015484690666199
0,0,4,2,0.07687652856111526
0,0,4,3,0.12479239702224731
0,0,4,4,0.047372788190841675
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09304509311914444
0,0,5,1,0.11017441749572754
0,0,5,2,0.09150922298431396
0,0,5,3,0.1544680893421173
0,0,5,4,0.06296206265687943
0,0,5,5,0.0167417973279953
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.10747811943292618
0,0,6,1,0.0793444886803627
0,0,6,2,0.0568203330039978
0,0,6,3,0.09021040052175522
0,0,6,4,0.04590277746319771
0,0,6,5,0.06298597157001495
0,0,6,6,0.0990472212433815
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.0737997516989708
0,0,7,1,0.11698416620492935
0,0,7,2,0.09103239327669144
0,0,7,3,0.159720778465271
0,0,7,4,0.04134884104132652
0,0,7,5,0.010038032196462154
0,0,7,6,0.0804937407374382
0,0,7,7,0.009834173135459423
0,0,7,8,0.009834173135459423
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.0737997516989708
0,0,8,1,0.11698416620492935
0,0,8,2,0.09103239327669144
0,0,8,3,0.159720778465271
0,0,8,4,0.04134884104132652
0,0,8,5,0.010038032196462154
0,0,8,6,0.0804937407374382
0,0,8,7,0.009834173135459423
0,0,8,8,0.009834173135459423
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.06441598385572433
0,0,9,1,0.08490324765443802
0,0,9,2,0.057488638907670975
0,0,9,3,0.04698837175965309
0,0,9,4,0.061802174896001816
0,0,9,5,0.045051321387290955
0,0,9,6,0.08919370919466019
0,0,9,7,0.07468730211257935
0,0,9,8,0.07468730211257935
0,0,9,9,0.09402694553136826
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.06806618720293045
0,0,10,1,0.044213175773620605
0,0,10,2,0.041798997670412064
0,0,10,3,0.060351546853780746
0,0,10,4,0.02735714055597782
0,0,10,5,0.028095625340938568
0,0,10,6,0.06571637839078903
0,0,10,7,0.04567622020840645
0,0,10,8,0.04567622020840645
0,0,10,9,0.06033588573336601
0,0,10,10,0.03553543984889984
0,0,10,11,0.05061216652393341
0,0,10,12,0.016466274857521057
0,0,10,13,0.0014982059365138412
0,0,11,0,0.056826382875442505
0,0,11,1,0.00958284456282854
0,0,11,2,0.053863730281591415
0,0,11,3,0.0511750690639019
0,0,11,4,0.020289761945605278
0,0,11,5,0.02535492368042469
0,0,11,6,0.013657256960868835
0,0,11,7,0.03271752595901489
0,0,11,8,0.03271752595901489
0,0,11,9,0.011048298329114914
0,0,11,10,0.05623795464634895
0,0,11,11,0.0686667338013649
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.055043358355760574
0,0,12,1,0.05023464933037758
0,0,12,2,0.038179561495780945
0,0,12,3,0.0573563277721405
0,0,12,4,0.03255220875144005
0,0,12,5,0.00976580660790205
0,0,12,6,0.0788472518324852
0,0,12,7,0.028453579172492027
0,0,12,8,0.028453579172492027
0,0,12,9,0.07606637477874756
0,0,12,10,0.04603041335940361
0,0,12,11,0.08878425508737564
0,0,12,12,0.03418656438589096
0,0,12,13,0.0
0,0,13,0,0.042501430958509445
0,0,13,1,0.055836718529462814
0,0,13,2,0.040083110332489014
0,0,13,3,0.06880830973386765
0,0,13,4,0.027955537661910057
0,0,13,5,0.006426196079701185
0,0,13,6,0.05442582443356514
0,0,13,7,0.014187383465468884
0,0,13,8,0.014187383465468884
0,0,13,9,0.08622261881828308
0,0,13,10,0.05655122920870781
0,0,13,11,0.1080498918890953
0,0,13,12,0.04689079523086548
0,0,13,13,0.010487441904842854
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,2.3972488634171896e-06
0,1,1,1,0.9999820590019226
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.00036573255783878267
0,1,2,1,0.0017925439169630408
0,1,2,2,0.16610711812973022
0,1,2,3,0.164126917719841
0,1,2,4,0.16583698987960815
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0003917937574442476
0,1,3,1,0.002801802009344101
0,1,3,2,0.16599765419960022
0,1,3,3,0.9843771457672119
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0003614542947616428
0,1,4,1,0.0018983575282618403
0,1,4,2,0.1659475713968277
0,1,4,3,0.00019216006330680102
0,1,4,4,0.49751099944114685
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0007665660232305527
0,1,5,1,4.840003020945005e-05
0,1,5,2,0.000331077171722427
0,1,5,3,0.00014635558181907982
0,1,5,4,0.0006681806407868862
0,1,5,5,0.9946870803833008
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00015028139750938863
0,1,6,1,0.0008167544729076326
0,1,6,2,7.58866299293004e-05
0,1,6,3,0.00013870916154701263
0,1,6,4,4.8410594899905846e-05
0,1,6,5,0.00014418257342185825
0,1,6,6,0.9980482459068298
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.00023978255921974778
0,1,7,1,0.02078736200928688
0,1,7,2,0.00018267236009705812
0,1,7,3,0.0002107731852447614
0,1,7,4,0.0002823752583935857
0,1,7,5,0.0020964934956282377
0,1,7,6,0.000184712975169532
0,1,7,7,0.9594346880912781
0,1,7,8,0.9594346880912781
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.00023978255921974778
0,1,8,1,0.02078736200928688
0,1,8,2,0.00018267236009705812
0,1,8,3,0.0002107731852447614
0,1,8,4,0.0002823752583935857
0,1,8,5,0.0020964934956282377
0,1,8,6,0.000184712975169532
0,1,8,7,0.9594346880912781
0,1,8,8,0.9594346880912781
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,1.002551812234742e-06
0,1,9,1,0.5258619785308838
0,1,9,2,9.013861017592717e-06
0,1,9,3,4.562425147014437e-06
0,1,9,4,2.381088279435062e-06
0,1,9,5,9.142153345464976e-08
0,1,9,6,3.6202670798957115e-06
0,1,9,7,2.553552121753455e-06
0,1,9,8,2.553552121753455e-06
0,1,9,9,0.474069207906723
0,1,9,10,0.0
0,1,9,11,0.0
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,0.00014062032278161496
0,1,10,1,0.0003280815144535154
0,1,10,2,0.06882348656654358
0,1,10,3,0.07449965924024582
0,1,10,4,0.06462107598781586
0,1,10,5,0.05991029739379883
0,1,10,6,0.00011034798808395863
0,1,10,7,9.429300553165376e-05
0,1,10,8,9.429300553165376e-05
0,1,10,9,0.00024341374228242785
0,1,10,10,0.0751124694943428
0,1,10,11,0.06674438714981079
0,1,10,12,0.07793766260147095
0,1,10,13,0.08262410759925842
0,1,11,0,0.0001581068499945104
0,1,11,1,0.0008190348744392395
0,1,11,2,0.08773577213287354
0,1,11,3,0.5210116505622864
0,1,11,4,3.94983944715932e-05
0,1,11,5,5.3660114645026624e-05
0,1,11,6,0.00048075709491968155
0,1,11,7,4.5822985157428775e-06
0,1,11,8,4.5822985157428775e-06
0,1,11,9,0.000530762190464884
0,1,11,10,0.06731552630662918
0,1,11,11,0.4670215845108032
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.00013875083823222667
0,1,12,1,0.0004056226462125778
0,1,12,2,0.07537779957056046
0,1,12,3,6.990384281380102e-05
0,1,12,4,0.22599659860134125
0,1,12,5,0.0005601873272098601
0,1,12,6,3.1771898648003116e-05
0,1,12,7,8.764240919845179e-05
0,1,12,8,8.764240919845179e-05
0,1,12,9,0.0003437704872339964
0,1,12,10,0.07792695611715317
0,1,12,11,6.36447366559878e-05
0,1,12,12,0.27262505888938904
0,1,12,13,0.0
0,1,13,0,0.00029072785400785506
0,1,13,1,1.0375603778811637e-05
0,1,13,2,0.0001435828598914668
0,1,13,3,5.948973193881102e-05
0,1,13,4,0.0002799764333758503
0,1,13,5,0.4181573688983917
0,1,13,6,2.8181879315525293e-05
0,1,13,7,0.00047576651559211314
0,1,13,8,0.00047576651559211314
0,1,13,9,8.315378181578126e-06
0,1,13,10,0.08275368809700012
0,1,13,11,6.180717173265293e-05
0,1,13,12,0.00031358690466731787
0,1,13,13,0.5783687829971313
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.16282027959823608
0,2,1,1,0.3772960603237152
0,2,1,2,0.0
0,2,1,3,0.0
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.16346441209316254
0,2,2,1,0.11784994602203369
0,2,2,2,0.03915022313594818
0,2,2,3,0.012827672995626926
0,2,2,4,0.026641353964805603
0,2,2,5,0.0
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.20167602598667145
0,2,3,1,0.05031141638755798
0,2,3,2,0.04634181782603264
0,2,3,3,0.017607927322387695
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.10441657155752182
0,2,4,1,0.17353476583957672
0,2,4,2,0.05760001763701439
0,2,4,3,0.029679054394364357
0,2,4,4,0.07992406189441681
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.06388881057500839
0,2,5,1,0.0863267108798027
0,2,5,2,0.06496121734380722
0,2,5,3,0.023770621046423912
0,2,5,4,0.14062649011611938
0,2,5,5,0.1847144365310669
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.10540812462568283
0,2,6,1,0.03875375911593437
0,2,6,2,0.05832093954086304
0,2,6,3,0.03481347858905792
0,2,6,4,0.05752061679959297
0,2,6,5,0.05175479128956795
0,2,6,6,0.15718673169612885
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.06722233444452286
0,2,7,1,0.04260851442813873
0,2,7,2,0.07310333102941513
0,2,7,3,0.021532459184527397
0,2,7,4,0.1709856390953064
0,2,7,5,0.0564957819879055
0,2,7,6,0.03178177773952484
0,2,7,7,0.04577955603599548
0,2,7,8,0.04577955603599548
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.06722233444452286
0,2,8,1,0.04260851442813873
0,2,8,2,0.07310333102941513
0,2,8,3,0.021532459184527397
0,2,8,4,0.1709856390953064
0,2,8,5,0.0564957819879055
0,2,8,6,0.03178177773952484
0,2,8,7,0.04577955603599548
0,2,8,8,0.04577955603599548
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.0512668751180172
0,2,9,1,0.2150762528181076
0,2,9,2,0.03954210504889488
0,2,9,3,0.037812042981386185
0,2,9,4,0.02076849527657032
0,2,9,5,0.04074534401297569
0,2,9,6,0.06196640059351921
0,2,9,7,0.036318738013505936
0,2,9,8,0.036318738013505936
0,2,9,9,0.21053661406040192
0,2,9,10,0.0
0,2,9,11,0.0
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.06751748919487
0,2,10,1,0.06937383860349655
0,2,10,2,0.03849933668971062
0,2,10,3,0.029060840606689453
0,2,10,4,0.0506572388112545
0,2,10,5,0.06491391360759735
0,2,10,6,0.04967677593231201
0,2,10,7,0.07272327691316605
0,2,10,8,0.07272327691316605
0,2,10,9,0.074878990650177
0,2,10,10,0.02381029911339283
0,2,10,11,0.008961894549429417
0,2,10,12,0.027303868904709816
0,2,10,13,0.015868039801716805
0,2,11,0,0.1036297082901001
0,2,11,1,0.034421321004629135
0,2,11,2,0.03721766546368599
0,2,11,3,0.011155142448842525
0,2,11,4,0.027331238612532616
0,2,11,5,0.06605007499456406
0,2,11,6,0.06432301551103592
0,2,11,7,0.0569603256881237
0,2,11,8,0.0569603256881237
0,2,11,9,0.03484608605504036
0,2,11,10,0.02501162327826023
0,2,11,11,0.011823929846286774
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.0433155857026577
0,2,12,1,0.10050195455551147
0,2,12,2,0.037904348224401474
0,2,12,3,0.015042933635413647
0,2,12,4,0.06825926154851913
0,2,12,5,0.05636078119277954
0,2,12,6,0.031656790524721146
0,2,12,7,0.07078298181295395
0,2,12,8,0.07078298181295395
0,2,12,9,0.11533721536397934
0,2,12,10,0.02851763553917408
0,2,12,11,0.01772095263004303
0,2,12,12,0.048338066786527634
0,2,12,13,0.0
0,2,13,0,0.0263874102383852
0,2,13,1,0.048917680978775024
0,2,13,2,0.032403409481048584
0,2,13,3,0.012260973453521729
0,2,13,4,0.07130872458219528
0,2,13,5,0.08304893970489502
0,2,13,6,0.016259334981441498
0,2,13,7,0.09052186459302902
0,2,13,8,0.09052186459302902
0,2,13,9,0.06175164878368378
0,2,13,10,0.05179367586970329
0,2,13,11,0.015467424876987934
0,2,13,12,0.0944509506225586
0,2,13,13,0.11107627302408218
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.008641122840344906
0,3,1,1,0.9738469123840332
0,3,1,2,0.0
0,3,1,3,0.0
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.0007297305855900049
0,3,2,1,0.0023575611412525177
0,3,2,2,0.16579465568065643
0,3,2,3,0.1328973025083542
0,3,2,4,0.16247983276844025
0,3,2,5,0.0
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.000465414923382923
0,3,3,1,0.00022132454614620656
0,3,3,2,0.16639670729637146
0,3,3,3,0.7790145874023438
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.0012702029198408127
0,3,4,1,0.0018747452413663268
0,3,4,2,0.165397047996521
0,3,4,3,0.009184639900922775
0,3,4,4,0.48743948340415955
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.0006122507038526237
0,3,5,1,0.0011232442921027541
0,3,5,2,0.03711981326341629
0,3,5,3,0.0031354131642729044
0,3,5,4,0.1078551784157753
0,3,5,5,0.7738303542137146
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,0.0002487710735294968
0,3,6,1,6.504118937300518e-05
0,3,6,2,7.183659909060225e-05
0,3,6,3,9.636118920752779e-05
0,3,6,4,5.51154553249944e-05
0,3,6,5,6.742333789588884e-05
0,3,6,6,0.9986886978149414
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.00319063663482666
0,3,7,1,0.001312635256908834
0,3,7,2,0.03750687465071678
0,3,7,3,0.011898405849933624
0,3,7,4,0.0932568907737732
0,3,7,5,0.11626394838094711
0,3,7,6,0.19182240962982178
0,3,7,7,0.45390620827674866
0,3,7,8,0.45390620827674866
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.00319063663482666
0,3,8,1,0.001312635256908834
0,3,8,2,0.03750687465071678
0,3,8,3,0.011898405849933624
0,3,8,4,0.0932568907737732
0,3,8,5,0.11626394838094711
0,3,8,6,0.19182240962982178
0,3,8,7,0.45390620827674866
0,3,8,8,0.45390620827674866
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.000442981137894094
0,3,9,1,0.0037535044830292463
0,3,9,2,0.00013970090367365628
0,3,9,3,6.114581628935412e-05
0,3,9,4,9.650455467635766e-05
0,3,9,5,4.41465963376686e-05
0,3,9,6,0.005455448757857084
0,3,9,7,9.799266263144091e-05
0,3,9,8,9.799266263144091e-05
0,3,9,9,0.9884811043739319
0,3,9,10,0.0
0,3,9,11,0.0
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,5.869775122846477e-05
0,3,10,1,1.7005550034809858e-05
0,3,10,2,0.0005021435208618641
0,3,10,3,0.0006497300346381962
0,3,10,4,0.00020287766528781503
0,3,10,5,0.00022573235037270933
0,3,10,6,0.000248786062002182
0,3,10,7,0.0004657316021621227
0,3,10,8,0.0004657316021621227
0,3,10,9,0.0021589864045381546
0,3,10,10,0.14195533096790314
0,3,10,11,0.0992916002869606
0,3,10,12,0.15327836573123932
0,3,10,13,0.11606740951538086
0,3,11,0,3.649142672657035e-05
0,3,11,1,1.8565928030511714e-06
0,3,11,2,0.0008427422144450247
0,3,11,3,0.004174972418695688
0,3,11,4,4.052596977999201e-06
0,3,11,5,6.212001721905835e-07
0,3,11,6,3.507837755023502e-05
0,3,11,7,4.192731012153672e-06
0,3,11,8,4.192731012153672e-06
0,3,11,9,0.000445362034952268
0,3,11,10,0.14204956591129303
0,3,11,11,0.6812947392463684
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.00012010248610749841
0,3,12,1,1.394017363054445e-05
0,3,12,2,0.00021387089509516954
0,3,12,3,2.803416282404214e-05
0,3,12,4,0.0006168890395201743
0,3,12,5,0.0003971368132624775
0,3,12,6,0.00024773579207248986
0,3,12,7,0.0012496387353166938
0,3,12,8,0.0012496387353166938
0,3,12,9,0.0016385548515245318
0,3,12,10,0.14211267232894897
0,3,12,11,0.005954034626483917
0,3,12,12,0.4914993941783905
0,3,12,13,0.0
0,3,13,0,6.998131721047685e-05
0,3,13,1,1.4970438314776402e-05
0,3,13,2,5.596779737970792e-05
0,3,13,3,1.2143355888838414e-05
0,3,13,4,0.00015234710008371621
0,3,13,5,0.000739307317417115
0,3,13,6,6.427749030990526e-05
0,3,13,7,0.0006820990820415318
0,3,13,8,0.0006820990820415318
0,3,13,9,0.0008829948492348194
0,3,13,10,0.14243727922439575
0,3,13,11,0.0018384003778919578
0,3,13,12,0.08994978666305542
0,3,13,13,0.812471866607666
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.009808109141886234
0,4,1,1,0.9682633280754089
0,4,1,2,0.0
0,4,1,3,0.0
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.02264207787811756
0,4,2,1,0.06265995651483536
0,4,2,2,0.14356932044029236
0,4,2,3,0.057094573974609375
0,4,2,4,0.13050848245620728
0,4,2,5,0.0
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.0018047546036541462
0,4,3,1,0.003178797895088792
0,4,3,2,0.1652040332555771
0,4,3,3,0.24772675335407257
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.019608771428465843
0,4,4,1,0.0307879988104105
0,4,4,2,0.1488654613494873
0,4,4,3,0.04742034897208214
0,4,4,4,0.39152541756629944
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
0,4,4,12,0.0
