layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2423735111951828
0,0,1,1,0.12862244248390198
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.2031315565109253
0,0,2,1,0.11169532686471939
0,0,2,2,0.09706797450780869
0,0,2,3,0.0
0,0,2,4,0.0
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.12851572036743164
0,0,3,1,0.07402413338422775
0,0,3,2,0.3354390859603882
0,0,3,3,0.04966003820300102
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.14074502885341644
0,0,4,1,0.08174912631511688
0,0,4,2,0.12284573167562485
0,0,4,3,0.08580299466848373
0,0,4,4,0.06201307475566864
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09093308448791504
0,0,5,1,0.08655239641666412
0,0,5,2,0.13451413810253143
0,0,5,3,0.08208289742469788
0,0,5,4,0.18121440708637238
0,0,5,5,0.01605503261089325
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.08653906732797623
0,0,6,1,0.05015262961387634
0,0,6,2,0.054423410445451736
0,0,6,3,0.0565018430352211
0,0,6,4,0.1676255613565445
0,0,6,5,0.09834951907396317
0,0,6,6,0.07249350100755692
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.053419213742017746
0,0,7,1,0.11139635741710663
0,0,7,2,0.12558016180992126
0,0,7,3,0.052296098321676254
0,0,7,4,0.2165198028087616
0,0,7,5,0.006768663413822651
0,0,7,6,0.09266481548547745
0,0,7,7,0.006843419745564461
0,0,7,8,0.006843419745564461
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.053419213742017746
0,0,8,1,0.11139635741710663
0,0,8,2,0.12558016180992126
0,0,8,3,0.052296098321676254
0,0,8,4,0.2165198028087616
0,0,8,5,0.006768663413822651
0,0,8,6,0.09266481548547745
0,0,8,7,0.006843419745564461
0,0,8,8,0.006843419745564461
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.10103648900985718
0,0,9,1,0.07290434092283249
0,0,9,2,0.05821609869599342
0,0,9,3,0.04137038439512253
0,0,9,4,0.08387567102909088
0,0,9,5,0.05961678922176361
0,0,9,6,0.06369808316230774
0,0,9,7,0.0915459468960762
0,0,9,8,0.0915459468960762
0,0,9,9,0.07420352846384048
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.08875718712806702
0,0,10,1,0.058345288038253784
0,0,10,2,0.04488157480955124
0,0,10,3,0.11216761916875839
0,0,10,4,0.06927526742219925
0,0,10,5,0.08397558331489563
0,0,10,6,0.04298530891537666
0,0,10,7,0.060896724462509155
0,0,10,8,0.060896724462509155
0,0,10,9,0.06379064917564392
0,0,10,10,0.04849480465054512
0,0,10,11,0.0
0,0,10,12,0.0
0,0,10,13,0.0
0,0,11,0,0.05770091712474823
0,0,11,1,0.03835611790418625
0,0,11,2,0.16475488245487213
0,0,11,3,0.022424042224884033
0,0,11,4,0.04737745225429535
0,0,11,5,0.023301580920815468
0,0,11,6,0.08216656744480133
0,0,11,7,0.05048811435699463
0,0,11,8,0.05048811435699463
0,0,11,9,0.044401247054338455
0,0,11,10,0.2074539065361023
0,0,11,11,0.025797633454203606
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.06543409824371338
0,0,12,1,0.04072883352637291
0,0,12,2,0.057865675538778305
0,0,12,3,0.03984516113996506
0,0,12,4,0.08810953795909882
0,0,12,5,0.03303870931267738
0,0,12,6,0.039210010319948196
0,0,12,7,0.05786624550819397
0,0,12,8,0.05786624550819397
0,0,12,9,0.05235881358385086
0,0,12,10,0.08083166182041168
0,0,12,11,0.05339856073260307
0,0,12,12,0.04311469942331314
0,0,12,13,0.0
0,0,13,0,0.04090753570199013
0,0,13,1,0.04125753045082092
0,0,13,2,0.06155009940266609
0,0,13,3,0.03629675880074501
0,0,13,4,0.08801614493131638
0,0,13,5,0.006165734026581049
0,0,13,6,0.0456356406211853
0,0,13,7,0.013354198075830936
0,0,13,8,0.013354198075830936
0,0,13,9,0.05750071629881859
0,0,13,10,0.09030850976705551
0,0,13,11,0.052938155829906464
0,0,13,12,0.13424983620643616
0,0,13,13,0.008844299241900444
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,6.734475755365565e-05
0,1,1,1,0.9997933506965637
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,6.765165835531661e-06
0,1,2,1,4.530581009021262e-06
0,1,2,2,0.9999736547470093
0,1,2,3,0.0
0,1,2,4,0.0
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,6.265965203056112e-05
0,1,3,1,0.0004951779847033322
0,1,3,2,0.00048412306932732463
0,1,3,3,0.9986211061477661
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.000282396242255345
0,1,4,1,0.0003763320855796337
0,1,4,2,0.0006733225309289992
0,1,4,3,0.001989249140024185
0,1,4,4,0.49744632840156555
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0008118030964396894
0,1,5,1,0.0004023279179818928
0,1,5,2,0.0007597472285851836
0,1,5,3,0.0001005910016829148
0,1,5,4,0.0004722755984403193
0,1,5,5,0.9943122863769531
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,4.7822421038290486e-05
0,1,6,1,0.0016116235638037324
0,1,6,2,0.00019772574887610972
0,1,6,3,0.00014381218352355063
0,1,6,4,7.992173050297424e-05
0,1,6,5,1.915810389618855e-05
0,1,6,6,0.9977172613143921
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.00029619596898555756
0,1,7,1,0.0010893467115238309
0,1,7,2,0.00010656323138391599
0,1,7,3,0.00024195447622332722
0,1,7,4,0.0002758378686849028
0,1,7,5,0.002725261030718684
0,1,7,6,0.00021836847008671612
0,1,7,7,0.9744998812675476
0,1,7,8,0.9744998812675476
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.00029619596898555756
0,1,8,1,0.0010893467115238309
0,1,8,2,0.00010656323138391599
0,1,8,3,0.00024195447622332722
0,1,8,4,0.0002758378686849028
0,1,8,5,0.002725261030718684
0,1,8,6,0.00021836847008671612
0,1,8,7,0.9744998812675476
0,1,8,8,0.9744998812675476
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,1.6858062735991552e-05
0,1,9,1,0.47188884019851685
0,1,9,2,1.2272777212274377e-06
0,1,9,3,2.2683463612338528e-05
0,1,9,4,9.444649549550377e-06
0,1,9,5,1.6241670891758986e-05
0,1,9,6,0.00040021477616392076
0,1,9,7,1.6672250922056264e-06
0,1,9,8,1.6672250922056264e-06
0,1,9,9,0.5275985598564148
0,1,9,10,0.0
0,1,9,11,0.0
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,2.317586904609925e-06
0,1,10,1,1.3155221267879824e-06
0,1,10,2,0.4924837052822113
0,1,10,3,2.1441010176204145e-05
0,1,10,4,1.4290236322267447e-05
0,1,10,5,1.1556800018297508e-05
0,1,10,6,1.8249233107781038e-05
0,1,10,7,3.042123353225179e-07
0,1,10,8,3.042123353225179e-07
0,1,10,9,7.194483373496041e-07
0,1,10,10,0.5074267387390137
0,1,10,11,0.0
0,1,10,12,0.0
0,1,10,13,0.0
0,1,11,0,2.186678466387093e-05
0,1,11,1,0.0001581678370712325
0,1,11,2,0.00016142638924065977
0,1,11,3,0.4866328835487366
0,1,11,4,0.00037527273525483906
0,1,11,5,3.1610044970875606e-05
0,1,11,6,7.40640825824812e-05
0,1,11,7,2.5601499146432616e-05
0,1,11,8,2.5601499146432616e-05
0,1,11,9,9.972334373742342e-05
0,1,11,10,0.00010662186105037108
0,1,11,11,0.5118300914764404
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.0001079097855836153
0,1,12,1,0.00012562124175019562
0,1,12,2,0.00025763819576241076
0,1,12,3,0.0007677813991904259
0,1,12,4,0.2432134449481964
0,1,12,5,0.0005434955819509923
0,1,12,6,0.0003362737479619682
0,1,12,7,5.005587809137069e-05
0,1,12,8,5.005587809137069e-05
0,1,12,9,7.689684571232647e-05
0,1,12,10,0.0001717899285722524
0,1,12,11,0.0005843572434969246
0,1,12,12,0.25497323274612427
0,1,12,13,0.0
0,1,13,0,0.0002959617704618722
0,1,13,1,0.0001321847812505439
0,1,13,2,0.0002660350000951439
0,1,13,3,3.321355688967742e-05
0,1,13,4,0.00017326379020232707
0,1,13,5,0.44519931077957153
0,1,13,6,1.09847605926916e-05
0,1,13,7,0.00046821474097669125
0,1,13,8,0.00046821474097669125
0,1,13,9,9.478830179432407e-05
0,1,13,10,0.00022758718114346266
0,1,13,11,2.7553549443837255e-05
0,1,13,12,0.0001560016826260835
0,1,13,13,0.551643431186676
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.2004285454750061
0,2,1,1,0.1714344024658203
0,2,1,2,0.0
0,2,1,3,0.0
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.2063174992799759
0,2,2,1,0.12370992451906204
0,2,2,2,0.1210797131061554
0,2,2,3,0.0
0,2,2,4,0.0
0,2,2,5,0.0
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.11509352177381516
0,2,3,1,0.26102781295776367
0,2,3,2,0.25524628162384033
0,2,3,3,0.06566528230905533
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.12118177860975266
0,2,4,1,0.17337337136268616
0,2,4,2,0.05439971014857292
0,2,4,3,0.07161851972341537
0,2,4,4,0.08411052823066711
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.08530968427658081
0,2,5,1,0.04431043192744255
0,2,5,2,0.04253976792097092
0,2,5,3,0.03577878326177597
0,2,5,4,0.09662846475839615
0,2,5,5,0.2283298820257187
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.10958608239889145
0,2,6,1,0.022417372092604637
0,2,6,2,0.10419416427612305
0,2,6,3,0.053511422127485275
0,2,6,4,0.05731785297393799
0,2,6,5,0.0418223962187767
0,2,6,6,0.22994595766067505
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.07991046458482742
0,2,7,1,0.03252139315009117
0,2,7,2,0.027171403169631958
0,2,7,3,0.02669064700603485
0,2,7,4,0.1548050343990326
0,2,7,5,0.0625784769654274
0,2,7,6,0.034016553312540054
0,2,7,7,0.05312502756714821
0,2,7,8,0.05312502756714821
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.07991046458482742
0,2,8,1,0.03252139315009117
0,2,8,2,0.027171403169631958
0,2,8,3,0.02669064700603485
0,2,8,4,0.1548050343990326
0,2,8,5,0.0625784769654274
0,2,8,6,0.034016553312540054
0,2,8,7,0.05312502756714821
0,2,8,8,0.05312502756714821
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.08183754235506058
0,2,9,1,0.10825955122709274
0,2,9,2,0.14981140196323395
0,2,9,3,0.07798386365175247
0,2,9,4,0.04768527299165726
0,2,9,5,0.06274765729904175
0,2,9,6,0.022219233214855194
0,2,9,7,0.04460134729743004
0,2,9,8,0.04460134729743004
0,2,9,9,0.09151412546634674
0,2,9,10,0.0
0,2,9,11,0.0
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.10183882713317871
0,2,10,1,0.08160185068845749
0,2,10,2,0.0918482318520546
0,2,10,3,0.026192985475063324
0,2,10,4,0.05120198428630829
0,2,10,5,0.05459107086062431
0,2,10,6,0.054843902587890625
0,2,10,7,0.06051672250032425
0,2,10,8,0.06051672250032425
0,2,10,9,0.07308173179626465
0,2,10,10,0.08282236754894257
0,2,10,11,0.0
0,2,10,12,0.0
0,2,10,13,0.0
0,2,11,0,0.04372349753975868
0,2,11,1,0.13447068631649017
0,2,11,2,0.15309719741344452
0,2,11,3,0.03533626347780228
0,2,11,4,0.030531570315361023
0,2,11,5,0.015922965481877327
0,2,11,6,0.08939934521913528
0,2,11,7,0.015733424574136734
0,2,11,8,0.015733424574136734
0,2,11,9,0.13667060434818268
0,2,11,10,0.1641821414232254
0,2,11,11,0.035330355167388916
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.05343387648463249
0,2,12,1,0.10661730170249939
0,2,12,2,0.03388901427388191
0,2,12,3,0.045279428362846375
0,2,12,4,0.06257658451795578
0,2,12,5,0.05691123008728027
0,2,12,6,0.01924477145075798
0,2,12,7,0.07755795866250992
0,2,12,8,0.07755795866250992
0,2,12,9,0.11197452992200851
0,2,12,10,0.03551096096634865
0,2,12,11,0.04893157631158829
0,2,12,12,0.05244143307209015
0,2,12,13,0.0
0,2,13,0,0.03838805854320526
0,2,13,1,0.025710593909025192
0,2,13,2,0.02560465969145298
0,2,13,3,0.021470503881573677
0,2,13,4,0.0524771586060524
0,2,13,5,0.11264744400978088
0,2,13,6,0.02717284858226776
0,2,13,7,0.1281396597623825
0,2,13,8,0.1281396597623825
0,2,13,9,0.02651209570467472
0,2,13,10,0.029397446662187576
0,2,13,11,0.024095160886645317
0,2,13,12,0.06361663341522217
0,2,13,13,0.1389884203672409
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.003143071895465255
0,3,1,1,0.9904566407203674
0,3,1,2,0.0
0,3,1,3,0.0
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.007505000103265047
0,3,2,1,0.0004424711805768311
0,3,2,2,0.9769758582115173
0,3,2,3,0.0
0,3,2,4,0.0
0,3,2,5,0.0
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.007232727017253637
0,3,3,1,0.010150176472961903
0,3,3,2,0.19155019521713257
0,3,3,3,0.7762160301208496
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.00291926390491426
0,3,4,1,0.003597200382500887
0,3,4,2,0.006112236995249987
0,3,4,3,0.006449985783547163
0,3,4,4,0.48372775316238403
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.0012724637053906918
0,3,5,1,0.007255800999701023
0,3,5,2,0.006815677974373102
0,3,5,3,0.0005330547573976219
0,3,5,4,0.07156453281641006
0,3,5,5,0.8367663621902466
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,3.935263885068707e-05
0,3,6,1,4.150258973822929e-05
0,3,6,2,1.2134468306612689e-05
0,3,6,3,2.120482713507954e-05
0,3,6,4,0.0003310696629341692
0,3,6,5,4.347026788309449e-06
0,3,6,6,0.9991405010223389
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.005611499305814505
0,3,7,1,0.0073773968033492565
0,3,7,2,0.007120687048882246
0,3,7,3,0.02226141467690468
0,3,7,4,0.0863097757101059
0,3,7,5,0.12117311358451843
0,3,7,6,0.14683383703231812
0,3,7,7,0.5005359053611755
0,3,7,8,0.5005359053611755
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.005611499305814505
0,3,8,1,0.0073773968033492565
0,3,8,2,0.007120687048882246
0,3,8,3,0.02226141467690468
0,3,8,4,0.0863097757101059
0,3,8,5,0.12117311358451843
0,3,8,6,0.14683383703231812
0,3,8,7,0.5005359053611755
0,3,8,8,0.5005359053611755
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.0001124198897741735
0,3,9,1,0.004224811214953661
0,3,9,2,0.00011091617489000782
0,3,9,3,1.4978040780988522e-05
0,3,9,4,0.0003322379488963634
0,3,9,5,1.0927758012257982e-05
0,3,9,6,0.02383214607834816
0,3,9,7,4.32557899330277e-05
0,3,9,8,4.32557899330277e-05
0,3,9,9,0.9707608819007874
0,3,9,10,0.0
0,3,9,11,0.0
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,0.0010108755668625236
0,3,10,1,4.2657952690206e-06
0,3,10,2,0.011428633704781532
0,3,10,3,6.294323247857392e-05
0,3,10,4,0.00031278544338420033
0,3,10,5,1.0394318451290019e-05
0,3,10,6,0.0018671067664399743
0,3,10,7,2.5368020942551084e-05
0,3,10,8,2.5368020942551084e-05
0,3,10,9,0.000267934228759259
0,3,10,10,0.9826744198799133
0,3,10,11,0.0
0,3,10,12,0.0
0,3,10,13,0.0
0,3,11,0,0.0011560407001525164
0,3,11,1,0.00013339196448214352
0,3,11,2,0.002332284115254879
0,3,11,3,0.008481987752020359
0,3,11,4,0.0008215211564674973
0,3,11,5,4.378142693894915e-05
0,3,11,6,0.0005062845884822309
0,3,11,7,0.000156157577293925
0,3,11,8,0.000156157577293925
0,3,11,9,0.00978961493819952
0,3,11,10,0.1792069673538208
0,3,11,11,0.7942322492599487
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.0002751043066382408
0,3,12,1,2.7443942599347793e-05
0,3,12,2,3.9541857404401526e-05
0,3,12,3,2.8465326977311634e-05
0,3,12,4,0.003153285477310419
0,3,12,5,0.0014859482180327177
0,3,12,6,0.0022835684940218925
0,3,12,7,0.0044331117533147335
0,3,12,8,0.0044331117533147335
0,3,12,9,0.002530002500861883
0,3,12,10,0.004153771325945854
0,3,12,11,0.0035741727333515882
0,3,12,12,0.4871132969856262
0,3,12,13,0.0
0,3,13,0,0.00015918748977128416
0,3,13,1,0.00011278576130280271
0,3,13,2,8.05109302746132e-05
0,3,13,3,3.858830496028531e-06
0,3,13,4,0.0005615088739432395
0,3,13,5,0.0031666697468608618
0,3,13,6,0.00018406898016110063
0,3,13,7,0.002944784937426448
0,3,13,8,0.002944784937426448
0,3,13,9,0.006902620196342468
0,3,13,10,0.005820377264171839
0,3,13,11,0.00034974937443621457
0,3,13,12,0.059143781661987305
0,3,13,13,0.8605086207389832
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.004941268358379602
0,4,1,1,0.9845467209815979
0,4,1,2,0.0
0,4,1,3,0.0
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.014698353596031666
0,4,2,1,0.00422517117112875
0,4,2,2,0.9512481093406677
0,4,2,3,0.0
0,4,2,4,0.0
0,4,2,5,0.0
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.009883728809654713
0,4,3,1,0.16690108180046082
0,4,3,2,0.11571826785802841
0,4,3,3,0.6868449449539185
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.022967785596847534
0,4,4,1,0.05689393728971481
0,4,4,2,0.06752490252256393
0,4,4,3,0.08686688542366028
0,4,4,4,0.34817755222320557
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
0,4,4,12,0.0
0,4,4,13,0.0
0,4,5,0,0.02982212044298649
0,4,5,1,0.02094358578324318
0,4,5,2,0.054567646235227585
0,4,5,3,0.07072525471448898
0,4,5,4,0.2824200391769409
