layer,head,source_position,dest_position,value
0,0,0,0,0.3333333134651184
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.23037998378276825
0,0,1,1,0.13567610085010529
0,0,1,2,0.0
0,0,1,3,0.018679581582546234
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.09739919751882553
0,0,2,1,0.095087431371212
0,0,2,2,0.052913080900907516
0,0,2,3,0.008103244937956333
0,0,2,4,0.004240760579705238
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.15787500143051147
0,0,3,1,0.18698793649673462
0,0,3,2,0.07404784858226776
0,0,3,3,0.10037811845541
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.15235814452171326
0,0,4,1,0.09204145520925522
0,0,4,2,0.0629703626036644
0,0,4,3,0.1011340543627739
0,0,4,4,0.0787682831287384
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.11432646214962006
0,0,5,1,0.08933749794960022
0,0,5,2,0.05766408517956734
0,0,5,3,0.0949898436665535
0,0,5,4,0.11508454382419586
0,0,5,5,0.03301042690873146
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.1110767126083374
0,0,6,1,0.06779273599386215
0,0,6,2,0.03691348060965538
0,0,6,3,0.08102401345968246
0,0,6,4,0.07381492853164673
0,0,6,5,0.081373430788517
0,0,6,6,0.09024094045162201
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.11292291432619095
0,0,7,1,0.11408200114965439
0,0,7,2,0.058581020683050156
0,0,7,3,0.10503906011581421
0,0,7,4,0.06792508065700531
0,0,7,5,0.01763923466205597
0,0,7,6,0.1359429657459259
0,0,7,7,0.01477486826479435
0,0,7,8,0.01477486826479435
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.11292291432619095
0,0,8,1,0.11408200114965439
0,0,8,2,0.058581020683050156
0,0,8,3,0.10503906011581421
0,0,8,4,0.06792508065700531
0,0,8,5,0.01763923466205597
0,0,8,6,0.1359429657459259
0,0,8,7,0.01477486826479435
0,0,8,8,0.01477486826479435
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.09543251991271973
0,0,9,1,0.07108266651630402
0,0,9,2,0.039912495762109756
0,0,9,3,0.07309799641370773
0,0,9,4,0.05451508238911629
0,0,9,5,0.05720978602766991
0,0,9,6,0.07928458601236343
0,0,9,7,0.07792412489652634
0,0,9,8,0.07792412489652634
0,0,9,9,0.08217167109251022
0,0,9,10,0.0
0,0,9,11,0.012661329470574856
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.04032687842845917
0,0,10,1,0.04380272328853607
0,0,10,2,0.02711384929716587
0,0,10,3,0.026192547753453255
0,0,10,4,0.029649430885910988
0,0,10,5,0.026972264051437378
0,0,10,6,0.035433199256658554
0,0,10,7,0.03157077357172966
0,0,10,8,0.03157077357172966
0,0,10,9,0.0555901825428009
0,0,10,10,0.02827484905719757
0,0,10,11,0.006879044696688652
0,0,10,12,0.005566169507801533
0,0,10,13,0.0005401921807788312
0,0,11,0,0.06794963032007217
0,0,11,1,0.0900341123342514
0,0,11,2,0.034807153046131134
0,0,11,3,0.0502629317343235
0,0,11,4,0.0437057688832283
0,0,11,5,0.04171277955174446
0,0,11,6,0.10502295196056366
0,0,11,7,0.0536658838391304
0,0,11,8,0.0536658838391304
0,0,11,9,0.11286772042512894
0,0,11,10,0.041229959577322006
0,0,11,11,0.059926703572273254
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.07539622485637665
0,0,12,1,0.04734658822417259
0,0,12,2,0.03025340661406517
0,0,12,3,0.05351093038916588
0,0,12,4,0.06373411417007446
0,0,12,5,0.02586984820663929
0,0,12,6,0.05975654721260071
0,0,12,7,0.026325648650527
0,0,12,8,0.026325648650527
0,0,12,9,0.06536827981472015
0,0,12,10,0.039368774741888046
0,0,12,11,0.07465673983097076
0,0,12,12,0.05494372919201851
0,0,12,13,0.0
0,0,13,0,0.055941130965948105
0,0,13,1,0.04516157507896423
0,0,13,2,0.02675761841237545
0,0,13,3,0.049854859709739685
0,0,13,4,0.05592910572886467
0,0,13,5,0.014561975374817848
0,0,13,6,0.05863083899021149
0,0,13,7,0.031852707266807556
0,0,13,8,0.031852707266807556
0,0,13,9,0.06436629593372345
0,0,13,10,0.038531284779310226
0,0,13,11,0.07279620319604874
0,0,13,12,0.08572231978178024
0,0,13,13,0.02144961804151535
0,1,0,0,0.3333333134651184
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00012488577340263873
0,1,1,1,0.9994933009147644
0,1,1,2,0.0
0,1,1,3,0.1063462570309639
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.0002899313985835761
0,1,2,1,0.0014707918744534254
0,1,2,2,0.38918429613113403
0,1,2,3,0.037491727620363235
0,1,2,4,0.0282062329351902
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.00030691546271555126
0,1,3,1,0.10990844666957855
0,1,3,2,0.03967205435037613
0,1,3,3,0.9889141917228699
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0004166311409790069
0,1,4,1,0.000808516691904515
0,1,4,2,0.02860882878303528
0,1,4,3,0.00039763105451129377
0,1,4,4,0.4153030812740326
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0005127612967044115
0,1,5,1,0.00019016531587112695
0,1,5,2,0.0006745900609530509
0,1,5,3,0.0002380645164521411
0,1,5,4,0.0018751602619886398
0,1,5,5,0.9872369170188904
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00018532453395891935
0,1,6,1,0.003351174760609865
0,1,6,2,0.0012126765213906765
0,1,6,3,0.000875096651725471
0,1,6,4,0.00023011518351268023
0,1,6,5,0.0003398694680072367
0,1,6,6,0.9927351474761963
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.000273536512395367
0,1,7,1,0.0008926361915655434
0,1,7,2,0.014294086955487728
0,1,7,3,0.00038775906432420015
0,1,7,4,0.004369583446532488
0,1,7,5,0.003617755137383938
0,1,7,6,0.0004935033502988517
0,1,7,7,0.9458324909210205
0,1,7,8,0.9458324909210205
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
