layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2347915917634964
0,0,1,1,0.12812432646751404
0,0,1,2,0.0
0,0,1,3,0.0019761098083108664
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.11456374824047089
0,0,2,1,0.11282852292060852
0,0,2,2,0.06759262830018997
0,0,2,3,0.011036859825253487
0,0,2,4,0.005434597376734018
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.14785780012607574
0,0,3,1,0.18256191909313202
0,0,3,2,0.08627968281507492
0,0,3,3,0.09487006813287735
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.14418959617614746
0,0,4,1,0.09113089740276337
0,0,4,2,0.07939625531435013
0,0,4,3,0.09806200861930847
0,0,4,4,0.06971804052591324
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.10741212964057922
0,0,5,1,0.08642508089542389
0,0,5,2,0.07308509945869446
0,0,5,3,0.09312845021486282
0,0,5,4,0.10544363409280777
0,0,5,5,0.031135978177189827
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.10660934448242188
0,0,6,1,0.06375405937433243
0,0,6,2,0.043402791023254395
0,0,6,3,0.07836458086967468
0,0,6,4,0.07193378359079361
0,0,6,5,0.07725034654140472
0,0,6,6,0.08694810420274734
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.10636858642101288
0,0,7,1,0.11108154058456421
0,0,7,2,0.07482383400201797
0,0,7,3,0.09691371023654938
0,0,7,4,0.06373331695795059
0,0,7,5,0.016713947057724
0,0,7,6,0.125229611992836
0,0,7,7,0.014207303524017334
0,0,7,8,0.014207303524017334
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.10636858642101288
0,0,8,1,0.11108154058456421
0,0,8,2,0.07482383400201797
0,0,8,3,0.09691371023654938
0,0,8,4,0.06373331695795059
0,0,8,5,0.016713947057724
0,0,8,6,0.125229611992836
0,0,8,7,0.014207303524017334
0,0,8,8,0.014207303524017334
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.09491574019193649
0,0,9,1,0.06407196819782257
0,0,9,2,0.0495804138481617
0,0,9,3,0.059040240943431854
0,0,9,4,0.05492072552442551
0,0,9,5,0.054362230002880096
0,0,9,6,0.07529663294553757
0,0,9,7,0.08232191950082779
0,0,9,8,0.08232191950082779
0,0,9,9,0.07511747628450394
0,0,9,10,0.0
0,0,9,11,0.001273211557418108
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.04694710671901703
0,0,10,1,0.05085109546780586
0,0,10,2,0.03464842215180397
0,0,10,3,0.03003585897386074
0,0,10,4,0.03428234905004501
0,0,10,5,0.03370574861764908
0,0,10,6,0.04086805507540703
0,0,10,7,0.03974069654941559
0,0,10,8,0.03974069654941559
0,0,10,9,0.0641137957572937
0,0,10,10,0.03614181652665138
0,0,10,11,0.009485107846558094
0,0,10,12,0.007258567493408918
0,0,10,13,0.0007026783423498273
0,0,11,0,0.061301007866859436
0,0,11,1,0.08360543102025986
0,0,11,2,0.04049888998270035
0,0,11,3,0.04472190886735916
0,0,11,4,0.0422036349773407
0,0,11,5,0.037031594663858414
0,0,11,6,0.10204177349805832
0,0,11,7,0.05033918097615242
0,0,11,8,0.05033918097615242
0,0,11,9,0.10768133401870728
0,0,11,10,0.04750956594944
0,0,11,11,0.05536236986517906
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.069606252014637
0,0,12,1,0.044671814888715744
0,0,12,2,0.03804207965731621
0,0,12,3,0.050118330866098404
0,0,12,4,0.05685774236917496
0,0,12,5,0.023230288177728653
0,0,12,6,0.05598115921020508
0,0,12,7,0.024531841278076172
0,0,12,8,0.024531841278076172
0,0,12,9,0.06413555145263672
0,0,12,10,0.04969406500458717
0,0,12,11,0.07238106429576874
0,0,12,12,0.048802584409713745
0,0,12,13,0.0
0,0,13,0,0.0516105517745018
0,0,13,1,0.04230687767267227
0,0,13,2,0.0339713953435421
0,0,13,3,0.04805715009570122
0,0,13,4,0.04987574741244316
0,0,13,5,0.013320693746209145
0,0,13,6,0.05121656134724617
0,0,13,7,0.028949391096830368
0,0,13,8,0.028949391096830368
0,0,13,9,0.0618654228746891
0,0,13,10,0.04917445033788681
0,0,13,11,0.07185186445713043
0,0,13,12,0.07852968573570251
0,0,13,13,0.02028733119368553
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00013040118210483342
0,1,1,1,0.9994617700576782
0,1,1,2,0.0
0,1,1,3,0.010862105526030064
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.00036424779682420194
0,1,2,1,0.001993519486859441
0,1,2,2,0.4504581093788147
0,1,2,3,0.0495649054646492
0,1,2,4,0.03647375479340553
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.000301697087706998
0,1,3,1,0.014964794740080833
0,1,3,2,0.0522589273750782
0,1,3,3,0.9866966605186462
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0004261440481059253
0,1,4,1,0.0009096423746086657
0,1,4,2,0.036979977041482925
0,1,4,3,0.00037682760739699006
0,1,4,4,0.39229658246040344
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0005092724459245801
0,1,5,1,0.0001943523093359545
0,1,5,2,0.0002496024244464934
0,1,5,3,0.0002622712345328182
0,1,5,4,0.0024035456590354443
0,1,5,5,0.984861433506012
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.0001829421380534768
0,1,6,1,0.0034828693605959415
0,1,6,2,0.0015507914358749986
0,1,6,3,0.0005027615115977824
0,1,6,4,0.00022765265021007508
0,1,6,5,0.0002999519638251513
0,1,6,6,0.9919643998146057
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.000265395559836179
0,1,7,1,0.0007459382759407163
0,1,7,2,0.005361122079193592
0,1,7,3,0.00034220443922095
0,1,7,4,0.004743480589240789
0,1,7,5,0.003353498876094818
0,1,7,6,0.00046157254837453365
0,1,7,7,0.9528303742408752
0,1,7,8,0.9528303742408752
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.000265395559836179
0,1,8,1,0.0007459382759407163
0,1,8,2,0.005361122079193592
0,1,8,3,0.00034220443922095
0,1,8,4,0.004743480589240789
0,1,8,5,0.003353498876094818
0,1,8,6,0.00046157254837453365
0,1,8,7,0.9528303742408752
0,1,8,8,0.9528303742408752
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,5.5768607126083225e-05
0,1,9,1,0.5091609358787537
0,1,9,2,0.009825299493968487
0,1,9,3,0.006389619316905737
0,1,9,4,9.445762407267466e-05
0,1,9,5,0.00018012999498751014
0,1,9,6,0.0005085495649836957
0,1,9,7,2.8323172955424525e-05
0,1,9,8,2.8323172955424525e-05
0,1,9,9,0.4773985743522644
0,1,9,10,0.0
0,1,9,11,0.005306115839630365
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,9.774928912520409e-05
0,1,10,1,0.0005723434151150286
0,1,10,2,0.2195959985256195
0,1,10,3,0.017115158960223198
0,1,10,4,0.01611391082406044
0,1,10,5,0.015598485246300697
0,1,10,6,0.00015940508455969393
0,1,10,7,0.0008397971978411078
0,1,10,8,0.0008397971978411078
0,1,10,9,0.0004133391776122153
0,1,10,10,0.2185337096452713
0,1,10,11,0.01976943574845791
0,1,10,12,0.021044796332716942
0,1,10,13,0.021344196051359177
0,1,11,0,8.899637759895995e-05
0,1,11,1,0.0068331528455019
0,1,11,2,0.023883115500211716
0,1,11,3,0.4862232506275177
0,1,11,4,5.4856336646480486e-05
0,1,11,5,0.00011313460709061474
0,1,11,6,0.0002848873846232891
0,1,11,7,3.446974733378738e-05
0,1,11,8,3.446974733378738e-05
0,1,11,9,0.0062553901225328445
0,1,11,10,0.020454425364732742
0,1,11,11,0.5041861534118652
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.00015044526662677526
0,1,12,1,0.00021121838653925806
0,1,12,2,0.016097567975521088
0,1,12,3,0.00011986042227363214
0,1,12,4,0.17959250509738922
0,1,12,5,0.001263377838768065
0,1,12,6,0.0003560034674592316
0,1,12,7,0.0024507243651896715
0,1,12,8,0.0024507243651896715
0,1,12,9,0.00017800377099774778
0,1,12,10,0.021101297810673714
0,1,12,11,0.00010835022840183228
0,1,12,12,0.21350745856761932
0,1,12,13,0.0
0,1,13,0,0.00019695771334227175
0,1,13,1,5.7852732425089926e-05
0,1,13,2,9.175539889838547e-05
0,1,13,3,0.00011087827442679554
0,1,13,4,0.0008939608233049512
0,1,13,5,0.43658408522605896
0,1,13,6,3.093176201218739e-05
0,1,13,7,0.0007430258556269109
0,1,13,8,0.0007430258556269109
0,1,13,9,3.869898500852287e-05
0,1,13,10,0.02171633206307888
0,1,13,11,0.00011891312897205353
0,1,13,12,0.001156116952188313
0,1,13,13,0.5512583255767822
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.19016237556934357
0,2,1,1,0.27156493067741394
0,2,1,2,0.0
0,2,1,3,0.004421214573085308
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.08135052025318146
0,2,2,1,0.19820749759674072
0,2,2,2,0.08165328949689865
0,2,2,3,0.011896364390850067
0,2,2,4,0.007331834640353918
0,2,2,5,0.0
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.14162619411945343
0,2,3,1,0.2185448408126831
0,2,3,2,0.0591161772608757
0,2,3,3,0.10251928120851517
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.09821075946092606
0,2,4,1,0.1347920298576355
0,2,4,2,0.05570068210363388
0,2,4,3,0.0744706466794014
0,2,4,4,0.08849415928125381
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.08496258407831192
0,2,5,1,0.06227840483188629
0,2,5,2,0.04231617599725723
0,2,5,3,0.05590038746595383
0,2,5,4,0.0965704694390297
0,2,5,5,0.13267497718334198
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.10556650161743164
0,2,6,1,0.06042255461215973
0,2,6,2,0.048616357147693634
0,2,6,3,0.07054964452981949
0,2,6,4,0.04943614825606346
0,2,6,5,0.06113984435796738
0,2,6,6,0.18054823577404022
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.07267802953720093
0,2,7,1,0.04246782884001732
0,2,7,2,0.042922407388687134
0,2,7,3,0.03698167949914932
0,2,7,4,0.0997038334608078
0,2,7,5,0.09393292665481567
0,2,7,6,0.0353899709880352
0,2,7,7,0.049063049256801605
0,2,7,8,0.049063049256801605
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.07267802953720093
0,2,8,1,0.04246782884001732
0,2,8,2,0.042922407388687134
0,2,8,3,0.03698167949914932
0,2,8,4,0.0997038334608078
0,2,8,5,0.09393292665481567
0,2,8,6,0.0353899709880352
0,2,8,7,0.049063049256801605
0,2,8,8,0.049063049256801605
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.06364839524030685
0,2,9,1,0.1391495317220688
0,2,9,2,0.11597921699285507
0,2,9,3,0.057027582079172134
0,2,9,4,0.03586200252175331
0,2,9,5,0.03962115943431854
0,2,9,6,0.04350176453590393
0,2,9,7,0.031161852180957794
0,2,9,8,0.031161852180957794
0,2,9,9,0.12445937842130661
0,2,9,10,0.0
0,2,9,11,0.002489611739292741
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.028430864214897156
0,2,10,1,0.10567588359117508
0,2,10,2,0.04578876122832298
0,2,10,3,0.02228209190070629
0,2,10,4,0.02679884433746338
0,2,10,5,0.032158013433218
0,2,10,6,0.02849358506500721
0,2,10,7,0.03571708872914314
0,2,10,8,0.03571708872914314
0,2,10,9,0.1060653030872345
0,2,10,10,0.0417298786342144
0,2,10,11,0.007359405513852835
0,2,10,12,0.007117431610822678
0,2,10,13,0.0025936346501111984
0,2,11,0,0.061364755034446716
0,2,11,1,0.12323027104139328
0,2,11,2,0.03586259111762047
0,2,11,3,0.05713865906000137
0,2,11,4,0.037832364439964294
0,2,11,5,0.04572034999728203
0,2,11,6,0.08074605464935303
0,2,11,7,0.043538663536310196
0,2,11,8,0.043538663536310196
0,2,11,9,0.12240228801965714
0,2,11,10,0.030444515869021416
0,2,11,11,0.05828668922185898
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.040430281311273575
0,2,12,1,0.0681874081492424
0,2,12,2,0.028548074886202812
0,2,12,3,0.036858636885881424
0,2,12,4,0.057363856583833694
0,2,12,5,0.06325390934944153
0,2,12,6,0.05837370082736015
0,2,12,7,0.08684669435024261
0,2,12,8,0.08684669435024261
0,2,12,9,0.07366461306810379
0,2,12,10,0.029221277683973312
0,2,12,11,0.040465690195560455
0,2,12,12,0.050711940973997116
0,2,12,13,0.0
0,2,13,0,0.039819080382585526
0,2,13,1,0.03375290334224701
0,2,13,2,0.022533193230628967
0,2,13,3,0.03046461008489132
0,2,13,4,0.05154101923108101
0,2,13,5,0.06771136075258255
0,2,13,6,0.02578391693532467
0,2,13,7,0.10425636917352676
0,2,13,8,0.10425636917352676
0,2,13,9,0.03677428141236305
0,2,13,10,0.028057754039764404
0,2,13,11,0.03432657569646835
0,2,13,12,0.06162508204579353
0,2,13,13,0.08290915936231613
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.005598765332251787
0,3,1,1,0.981512725353241
0,3,1,2,0.0
0,3,1,3,0.010831727646291256
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.002904125489294529
0,3,2,1,0.01666591688990593
0,3,2,2,0.4310329258441925
0,3,2,3,0.05153806135058403
0,3,2,4,0.033884115517139435
0,3,2,5,0.0
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.002891138894483447
0,3,3,1,0.02225477248430252
0,3,3,2,0.06276126950979233
0,3,3,3,0.9545052647590637
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.005371971521526575
0,3,4,1,0.014898375608026981
0,3,4,2,0.043559759855270386
0,3,4,3,0.028664687648415565
0,3,4,4,0.35990017652511597
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.0007488423143513501
0,3,5,1,0.0013198434608057141
0,3,5,2,0.007614579051733017
0,3,5,3,0.004826507065445185
0,3,5,4,0.11338455975055695
0,3,5,5,0.7083231806755066
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,0.0005003121914342046
0,3,6,1,0.000643238250631839
0,3,6,2,0.0001696268591331318
0,3,6,3,0.00035954589839093387
0,3,6,4,0.0005013932823203504
0,3,6,5,0.00021833606297150254
0,3,6,6,0.9956116676330566
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.004445130005478859
0,3,7,1,0.00525855366140604
0,3,7,2,0.00936829298734665
0,3,7,3,0.01290343888103962
0,3,7,4,0.046263258904218674
0,3,7,5,0.1276620775461197
0,3,7,6,0.2376430332660675
0,3,7,7,0.4687669575214386
0,3,7,8,0.4687669575214386
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.004445130005478859
0,3,8,1,0.00525855366140604
0,3,8,2,0.00936829298734665
0,3,8,3,0.01290343888103962
0,3,8,4,0.046263258904218674
0,3,8,5,0.1276620775461197
0,3,8,6,0.2376430332660675
0,3,8,7,0.4687669575214386
0,3,8,8,0.4687669575214386
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.0005944263539277017
0,3,9,1,0.003804645501077175
0,3,9,2,0.00011824276589322835
0,3,9,3,0.0002625732449814677
0,3,9,4,0.00019578215142246336
0,3,9,5,0.0001080970250768587
0,3,9,6,0.011032280512154102
0,3,9,7,0.00019473313295748085
0,3,9,8,0.00019473313295748085
0,3,9,9,0.9822496175765991
0,3,9,10,0.0
0,3,9,11,0.010679194703698158
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,0.00020734366262331605
0,3,10,1,8.17211257526651e-05
0,3,10,2,0.0024068390484899282
0,3,10,3,0.000324566091876477
0,3,10,4,0.0004117841017432511
0,3,10,5,0.000450378778623417
0,3,10,6,0.0016300163697451353
0,3,10,7,0.002361206104978919
0,3,10,8,0.002361206104978919
0,3,10,9,0.013038993813097477
0,3,10,10,0.4222109317779541
0,3,10,11,0.038115836679935455
0,3,10,12,0.038716625422239304
0,3,10,13,0.02769298665225506
0,3,11,0,0.0003822420258074999
0,3,11,1,0.00023154453083407134
0,3,11,2,0.00020008199498988688
0,3,11,3,0.0061635407619178295
0,3,11,4,0.0001427409442840144
0,3,11,5,9.136225708061829e-05
0,3,11,6,0.002898014849051833
0,3,11,7,0.00032488483702763915
0,3,11,8,0.00032488483702763915
0,3,11,9,0.020123569294810295
0,3,11,10,0.04750675708055496
0,3,11,11,0.9577502608299255
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.0006950292736291885
0,3,12,1,0.0001201573177240789
0,3,12,2,0.00012984428030904382
0,3,12,3,0.0001842708297772333
0,3,12,4,0.002726521110162139
0,3,12,5,0.002281714463606477
0,3,12,6,0.0027539192233234644
0,3,12,7,0.009019183926284313
0,3,12,8,0.009019183926284313
0,3,12,9,0.010615251958370209
0,3,12,10,0.0406869500875473
0,3,12,11,0.023046359419822693
0,3,12,12,0.3675916790962219
0,3,12,13,0.0
0,3,13,0,8.53452438605018e-05
0,3,13,1,1.6460655388073064e-05
0,3,13,2,1.8328233636566438e-05
0,3,13,3,3.953328632633202e-05
0,3,13,4,0.0006293523474596441
0,3,13,5,0.002199359005317092
0,3,13,6,0.0004245437739882618
0,3,13,7,0.001668497221544385
0,3,13,8,0.001668497221544385
0,3,13,9,0.0010067233815789223
0,3,13,10,0.03751649707555771
0,3,13,11,0.004444479010999203
0,3,13,12,0.1080671101808548
0,3,13,13,0.7179165482521057
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.055252667516469955
0,4,1,1,0.8172516226768494
0,4,1,2,0.0
0,4,1,3,0.008385741151869297
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.023852750658988953
0,4,2,1,0.07442715764045715
0,4,2,2,0.3452918529510498
0,4,2,3,0.03651696816086769
0,4,2,4,0.022301357239484787
0,4,2,5,0.0
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.04029243439435959
0,4,3,1,0.09223198890686035
0,4,3,2,0.1269383430480957
0,4,3,3,0.6206153035163879
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.042929757386446
0,4,4,1,0.06166350468993187
0,4,4,2,0.06304717808961868
0,4,4,3,0.11791443824768066
0,4,4,4,0.23068106174468994
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
0,4,4,12,0.0
0,4,4,13,0.0
0,4,5,0,0.043739475309848785
