layer,head,source_position,dest_position,value
0,0,0,0,0.24601532518863678
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.17733462154865265
0,0,1,1,0.11412878334522247
0,0,1,2,0.0
0,0,1,3,0.0229741632938385
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.08100681751966476
0,0,2,1,0.07500762492418289
0,0,2,2,0.031552258878946304
0,0,2,3,0.022471273317933083
0,0,2,4,0.007794548757374287
0,0,2,5,0.0038842891808599234
0,0,2,6,0.006616182625293732
0,0,2,7,0.0016271022614091635
0,0,2,8,0.0022689111065119505
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.12959212064743042
0,0,3,1,0.10631851106882095
0,0,3,2,0.03712501749396324
0,0,3,3,0.0722053274512291
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.11111615598201752
0,0,4,1,0.09136407822370529
0,0,4,2,0.041242487728595734
0,0,4,3,0.10227040946483612
0,0,4,4,0.051081061363220215
0,0,4,5,0.024320757016539574
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09647355228662491
0,0,5,1,0.0926709920167923
0,0,5,2,0.041812825947999954
0,0,5,3,0.1008429154753685
0,0,5,4,0.06687210500240326
0,0,5,5,0.03729180246591568
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09306280314922333
0,0,6,1,0.07882958650588989
0,0,6,2,0.031920306384563446
0,0,6,3,0.08210042864084244
0,0,6,4,0.05633231997489929
0,0,6,5,0.056669771671295166
0,0,6,6,0.07952273637056351
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.08386724442243576
0,0,7,1,0.09185069054365158
0,0,7,2,0.041254814714193344
0,0,7,3,0.09669909626245499
0,0,7,4,0.0555497370660305
0,0,7,5,0.02220487967133522
0,0,7,6,0.13205450773239136
0,0,7,7,0.012504645623266697
0,0,7,8,0.00841011106967926
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.08090601116418839
0,0,8,1,0.08566589653491974
0,0,8,2,0.041275087743997574
0,0,8,3,0.09016001969575882
0,0,8,4,0.05974359065294266
0,0,8,5,0.026398738846182823
0,0,8,6,0.09716333448886871
0,0,8,7,0.02068023569881916
0,0,8,8,0.024335496127605438
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.06961096078157425
0,0,9,1,0.047535788267850876
0,0,9,2,0.03149684891104698
0,0,9,3,0.06176905706524849
0,0,9,4,0.039488524198532104
0,0,9,5,0.03948092833161354
0,0,9,6,0.08703505992889404
0,0,9,7,0.06038198620080948
0,0,9,8,0.058529455214738846
0,0,9,9,0.06036219373345375
0,0,9,10,0.0
0,0,9,11,0.014352124184370041
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.03336450457572937
0,0,10,1,0.03201077878475189
0,0,10,2,0.0230884812772274
0,0,10,3,0.03073067031800747
0,0,10,4,0.02052096463739872
0,0,10,5,0.01623973622918129
0,0,10,6,0.03585056588053703
0,0,10,7,0.02363288588821888
0,0,10,8,0.024309953674674034
0,0,10,9,0.04583372920751572
0,0,10,10,0.018722815439105034
0,0,10,11,0.015474696643650532
0,0,10,12,0.006246716249734163
0,0,10,13,0.0015256227925419807
0,0,11,0,0.06337910890579224
0,0,11,1,0.05167170986533165
0,0,11,2,0.0238758847117424
0,0,11,3,0.0343017615377903
0,0,11,4,0.030735673382878304
0,0,11,5,0.03371020779013634
0,0,11,6,0.06374891102313995
0,0,11,7,0.062035202980041504
0,0,11,8,0.055971626192331314
0,0,11,9,0.06596045941114426
0,0,11,10,0.021816276013851166
0,0,11,11,0.04349442571401596
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.03131072223186493
0,0,12,1,0.02186436764895916
0,0,12,2,0.01598329097032547
0,0,12,3,0.02558433637022972
0,0,12,4,0.021896913647651672
0,0,12,5,0.011049558408558369
0,0,12,6,0.025704773142933846
0,0,12,7,0.014350113458931446
