layer,head,source_position,dest_position,value
0,0,0,0,0.2632621228694916
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.19000199437141418
0,0,1,1,0.10739018023014069
0,0,1,2,0.0
0,0,1,3,0.008121667429804802
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.10406529903411865
0,0,2,1,0.0904727578163147
0,0,2,2,0.03800363466143608
0,0,2,3,0.03021911345422268
0,0,2,4,0.008813433349132538
0,0,2,5,0.005114932078868151
0,0,2,6,0.007440637331455946
0,0,2,7,0.00182477873750031
0,0,2,8,0.002813789527863264
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.128559410572052
0,0,3,1,0.10440199077129364
0,0,3,2,0.05192990228533745
0,0,3,3,0.061366550624370575
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.10575604438781738
0,0,4,1,0.09280789643526077
0,0,4,2,0.05314867943525314
0,0,4,3,0.09704926609992981
0,0,4,4,0.05553274229168892
0,0,4,5,0.025370443239808083
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.08612719923257828
0,0,5,1,0.08959099650382996
0,0,5,2,0.05389940366148949
0,0,5,3,0.09483405202627182
0,0,5,4,0.07816696166992188
0,0,5,5,0.041223011910915375
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.08592847734689713
0,0,6,1,0.078194759786129
0,0,6,2,0.04358452931046486
0,0,6,3,0.06568064540624619
0,0,6,4,0.05846307426691055
0,0,6,5,0.05224429816007614
0,0,6,6,0.07657641172409058
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.07331037521362305
0,0,7,1,0.08584776520729065
0,0,7,2,0.05275169759988785
0,0,7,3,0.10059666633605957
0,0,7,4,0.058391500264406204
0,0,7,5,0.018814925104379654
0,0,7,6,0.12217055261135101
0,0,7,7,0.011027512140572071
0,0,7,8,0.00830955058336258
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.07322818785905838
0,0,8,1,0.07811478525400162
0,0,8,2,0.05183006078004837
0,0,8,3,0.08916797488927841
0,0,8,4,0.06042001023888588
0,0,8,5,0.020886730402708054
0,0,8,6,0.10143139213323593
0,0,8,7,0.01635824888944626
0,0,8,8,0.020035292953252792
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.0721600279211998
0,0,9,1,0.0441756471991539
0,0,9,2,0.039249833673238754
0,0,9,3,0.06102104112505913
0,0,9,4,0.04028337076306343
0,0,9,5,0.04270400106906891
0,0,9,6,0.09058770537376404
0,0,9,7,0.058143120259046555
0,0,9,8,0.057805150747299194
0,0,9,9,0.05496906116604805
0,0,9,10,0.0
0,0,9,11,0.004904887173324823
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.04326529800891876
0,0,10,1,0.03865385428071022
0,0,10,2,0.027495358139276505
0,0,10,3,0.03556621074676514
0,0,10,4,0.026913736015558243
0,0,10,5,0.02214149758219719
0,0,10,6,0.04635678231716156
0,0,10,7,0.03153012692928314
0,0,10,8,0.03244388476014137
0,0,10,9,0.054910462349653244
0,0,10,10,0.02257753163576126
0,0,10,11,0.018908560276031494
0,0,10,12,0.007849822752177715
0,0,10,13,0.002945084124803543
0,0,11,0,0.06077057868242264
0,0,11,1,0.04921463876962662
0,0,11,2,0.03226332738995552
0,0,11,3,0.028068050742149353
0,0,11,4,0.0325886607170105
0,0,11,5,0.03364961966872215
0,0,11,6,0.05999399721622467
0,0,11,7,0.05693039670586586
0,0,11,8,0.05408243089914322
0,0,11,9,0.06432283669710159
0,0,11,10,0.030463552102446556
0,0,11,11,0.03632281348109245
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.035386864095926285
0,0,12,1,0.02777612954378128
0,0,12,2,0.01881047897040844
0,0,12,3,0.02692081406712532
0,0,12,4,0.026480581611394882
0,0,12,5,0.01274044532328844
0,0,12,6,0.033110328018665314
0,0,12,7,0.015805328264832497
0,0,12,8,0.015983151271939278
0,0,12,9,0.04188469424843788
0,0,12,10,0.02311716414988041
0,0,12,11,0.041991688311100006
0,0,12,12,0.02086433209478855
0,0,12,13,0.0
0,0,13,0,0.04133065789937973
0,0,13,1,0.04130399599671364
0,0,13,2,0.02741491235792637
0,0,13,3,0.042070165276527405
0,0,13,4,0.0344475619494915
0,0,13,5,0.017292406409978867
0,0,13,6,0.047881755977869034
0,0,13,7,0.01447896845638752
0,0,13,8,0.026532433927059174
0,0,13,9,0.06399762630462646
0,0,13,10,0.0425775907933712
0,0,13,11,0.06616970151662827
0,0,13,12,0.038451533764600754
0,0,13,13,0.02900153584778309
0,1,0,0,0.2632621228694916
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00023933259944897145
0,1,1,1,0.9984425902366638
0,1,1,2,0.0
0,1,1,3,0.09777773916721344
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.004526392091065645
0,1,2,1,0.0017893871990963817
0,1,2,2,0.2302646040916443
0,1,2,3,0.08639653772115707
0,1,2,4,0.06010424718260765
0,1,2,5,0.02169765718281269
0,1,2,6,0.020566558465361595
0,1,2,7,0.020162416622042656
0,1,2,8,0.013188295997679234
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0005096480017527938
0,1,3,1,0.10118630528450012
0,1,3,2,0.08679810911417007
0,1,3,3,0.9913736581802368
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.000593635777477175
0,1,4,1,0.0011557501275092363
0,1,4,2,0.060704007744789124
0,1,4,3,0.0007111767190508544
0,1,4,4,0.5297322273254395
0,1,4,5,0.34239012002944946
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0006140022305771708
0,1,5,1,0.00045314340968616307
0,1,5,2,0.023453909903764725
0,1,5,3,0.000347774475812912
0,1,5,4,0.3458179235458374
0,1,5,5,0.9666185975074768
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.000325217901263386
0,1,6,1,0.00207552220672369
0,1,6,2,0.020780563354492188
0,1,6,3,0.0006831299397163093
0,1,6,4,0.000262576068053022
0,1,6,5,9.707021672511473e-05
0,1,6,6,0.993185818195343
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0011557027464732528
0,1,7,1,0.0002526929893065244
0,1,7,2,0.020662890747189522
0,1,7,3,0.0002526165044400841
0,1,7,4,0.0008235618588514626
0,1,7,5,0.0013367136707529426
0,1,7,6,0.00022902837372384965
0,1,7,7,0.9766587615013123
0,1,7,8,0.7215957641601562
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.018300816416740417
