layer,head,source_position,dest_position,value
0,0,0,0,0.3131754696369171
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2163531333208084
0,0,1,1,0.12838050723075867
0,0,1,2,0.0
0,0,1,3,0.0017853303579613566
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.1314157247543335
0,0,2,1,0.11488036811351776
0,0,2,2,0.05075915902853012
0,0,2,3,0.03527052327990532
0,0,2,4,0.007044920232146978
0,0,2,5,0.0011869048466905951
0,0,2,6,0.0017142394790425897
0,0,2,7,0.0004747719212900847
0,0,2,8,0.00062926160171628
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.13577520847320557
0,0,3,1,0.11542326956987381
0,0,3,2,0.05559351295232773
0,0,3,3,0.0668807104229927
0,0,3,4,0.0
0,0,3,5,3.368972829775885e-05
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.11616390943527222
0,0,4,1,0.09533751755952835
0,0,4,2,0.06484159827232361
0,0,4,3,0.10402053594589233
0,0,4,4,0.04506201297044754
0,0,4,5,0.004988325294107199
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09378600865602493
0,0,5,1,0.09601080417633057
0,0,5,2,0.0639154389500618
0,0,5,3,0.10278422385454178
0,0,5,4,0.06915371865034103
0,0,5,5,0.021632229909300804
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09481340646743774
0,0,6,1,0.0758361667394638
0,0,6,2,0.05048230290412903
0,0,6,3,0.060830194503068924
0,0,6,4,0.056156400591135025
0,0,6,5,0.062183674424886703
0,0,6,6,0.06605633348226547
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.08144022524356842
0,0,7,1,0.09912153333425522
0,0,7,2,0.0626620501279831
0,0,7,3,0.11426357179880142
0,0,7,4,0.04957471042871475
0,0,7,5,0.016019107773900032
0,0,7,6,0.10763640701770782
0,0,7,7,0.011909279972314835
0,0,7,8,0.010982835665345192
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.08069055527448654
0,0,8,1,0.09619718790054321
0,0,8,2,0.06302769482135773
0,0,8,3,0.11407746374607086
0,0,8,4,0.05043819174170494
0,0,8,5,0.017067743465304375
0,0,8,6,0.10114734619855881
0,0,8,7,0.013841704465448856
0,0,8,8,0.014503372833132744
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07177950441837311
0,0,9,1,0.04697581008076668
0,0,9,2,0.04671608656644821
0,0,9,3,0.05852391570806503
0,0,9,4,0.04850498214364052
0,0,9,5,0.04998895153403282
0,0,9,6,0.0953739807009697
0,0,9,7,0.06591733545064926
0,0,9,8,0.06596139073371887
0,0,9,9,0.05688406154513359
0,0,9,10,0.0
0,0,9,11,0.0009351692860946059
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.05250866338610649
0,0,10,1,0.04579164832830429
0,0,10,2,0.032952796667814255
0,0,10,3,0.04304291307926178
0,0,10,4,0.033610399812459946
0,0,10,5,0.023254333063960075
0,0,10,6,0.06000374257564545
0,0,10,7,0.0334075503051281
0,0,10,8,0.034120019525289536
0,0,10,9,0.06416095048189163
0,0,10,10,0.02778235822916031
0,0,10,11,0.028592588379979134
0,0,10,12,0.01140476856380701
0,0,10,13,0.0011610043002292514
0,0,11,0,0.06329552084207535
0,0,11,1,0.054798323661088943
0,0,11,2,0.03357876092195511
0,0,11,3,0.029706159606575966
0,0,11,4,0.036882635205984116
0,0,11,5,0.036995239555835724
0,0,11,6,0.06093648448586464
0,0,11,7,0.05602923035621643
0,0,11,8,0.05563352257013321
0,0,11,9,0.06977201998233795
0,0,11,10,0.026419131085276604
0,0,11,11,0.038186173886060715
0,0,11,12,0.0
0,0,11,13,2.414723530819174e-05
0,0,12,0,0.05074566975235939
0,0,12,1,0.04012254998087883
0,0,12,2,0.02808847837150097
0,0,12,3,0.04209379479289055
0,0,12,4,0.033332616090774536
0,0,12,5,0.015622343868017197
0,0,12,6,0.05421923100948334
0,0,12,7,0.020699629560112953
0,0,12,8,0.020891467109322548
0,0,12,9,0.058964166790246964
0,0,12,10,0.03455379232764244
0,0,12,11,0.06500107795000076
0,0,12,12,0.02729165367782116
0,0,12,13,0.0
0,0,13,0,0.04576772078871727
0,0,13,1,0.0462750643491745
0,0,13,2,0.029868554323911667
0,0,13,3,0.04680566489696503
0,0,13,4,0.031139584258198738
0,0,13,5,0.008990451693534851
0,0,13,6,0.05348755419254303
0,0,13,7,0.015052229166030884
0,0,13,8,0.018494097515940666
0,0,13,9,0.06889267265796661
0,0,13,10,0.04157805070281029
0,0,13,11,0.07065504789352417
0,0,13,12,0.04510217159986496
0,0,13,13,0.0141895841807127
0,1,0,0,0.3131754696369171
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.0001913924643304199
0,1,1,1,0.9991910457611084
0,1,1,2,0.0
0,1,1,3,0.020205596461892128
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.0019072160357609391
0,1,2,1,0.0021008187904953957
0,1,2,2,0.2596549987792969
0,1,2,3,0.11262205988168716
0,1,2,4,0.06887901574373245
0,1,2,5,0.004952655639499426
0,1,2,6,0.004444644786417484
0,1,2,7,0.0043695662170648575
0,1,2,8,0.0029103185515850782
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0025116153992712498
0,1,3,1,0.022616256028413773
0,1,3,2,0.11308117210865021
0,1,3,3,0.986592710018158
0,1,3,4,0.0
0,1,3,5,0.0007693070801906288
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0003983328933827579
0,1,4,1,0.0012521877652034163
0,1,4,2,0.07001151889562607
0,1,4,3,0.0006891060038469732
0,1,4,4,0.3826398551464081
0,1,4,5,0.09455640614032745
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.00045275111915543675
0,1,5,1,0.00023292854893952608
0,1,5,2,0.011477887630462646
0,1,5,3,0.0009637901093810797
0,1,5,4,0.09675610065460205
0,1,5,5,0.9455986022949219
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00020422821398824453
0,1,6,1,0.0014720052713528275
0,1,6,2,0.00472771842032671
0,1,6,3,0.0005953962681815028
0,1,6,4,0.00020689367374870926
0,1,6,5,0.0001287829363718629
0,1,6,6,0.9949131011962891
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.00047389723476953804
