layer,head,source_position,dest_position,value
0,0,0,0,0.3184305429458618
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.21945224702358246
0,0,1,1,0.1297309547662735
0,0,1,2,0.0
0,0,1,3,0.0031040969770401716
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.1375298649072647
0,0,2,1,0.12457065284252167
0,0,2,2,0.05327162146568298
0,0,2,3,0.04050406813621521
0,0,2,4,0.006386817432940006
0,0,2,5,0.000627343833912164
0,0,2,6,0.000976212730165571
0,0,2,7,0.00024933149688877165
0,0,2,8,0.00033742078812792897
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.13521838188171387
0,0,3,1,0.1149565726518631
0,0,3,2,0.05773487314581871
0,0,3,3,0.06840130686759949
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.11506226658821106
0,0,4,1,0.09587214142084122
0,0,4,2,0.06923560798168182
0,0,4,3,0.11004912853240967
0,0,4,4,0.04285381734371185
0,0,4,5,0.002674097428098321
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09174256771802902
0,0,5,1,0.0946427509188652
0,0,5,2,0.0667509213089943
0,0,5,3,0.10758733749389648
0,0,5,4,0.06843940168619156
0,0,5,5,0.020032314583659172
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09470859915018082
0,0,6,1,0.07490050047636032
0,0,6,2,0.05318314582109451
0,0,6,3,0.06315957754850388
0,0,6,4,0.05519624426960945
0,0,6,5,0.06011054664850235
0,0,6,6,0.0659659206867218
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.0791533812880516
0,0,7,1,0.10461953282356262
0,0,7,2,0.06535220891237259
0,0,7,3,0.12344188988208771
0,0,7,4,0.04754650965332985
0,0,7,5,0.014806472696363926
0,0,7,6,0.10117840766906738
0,0,7,7,0.011647621169686317
0,0,7,8,0.010999266989529133
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.07864107936620712
0,0,8,1,0.10266977548599243
0,0,8,2,0.06566160917282104
0,0,8,3,0.12253832072019577
0,0,8,4,0.04769158363342285
0,0,8,5,0.015400610864162445
0,0,8,6,0.09822618216276169
0,0,8,7,0.013088795356452465
0,0,8,8,0.013323641382157803
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.0720786601305008
0,0,9,1,0.04715922474861145
0,0,9,2,0.04980917274951935
0,0,9,3,0.06085509434342384
0,0,9,4,0.04782264307141304
0,0,9,5,0.04811221361160278
0,0,9,6,0.10002836585044861
0,0,9,7,0.06352996826171875
0,0,9,8,0.0633130669593811
0,0,9,9,0.057415638118982315
0,0,9,10,0.0
0,0,9,11,0.0017097360687330365
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.05419561266899109
0,0,10,1,0.049327678978443146
0,0,10,2,0.033764444291591644
0,0,10,3,0.04799772799015045
0,0,10,4,0.034892670810222626
0,0,10,5,0.02457129955291748
0,0,10,6,0.060967136174440384
0,0,10,7,0.034238286316394806
0,0,10,8,0.035109180957078934
0,0,10,9,0.06974585354328156
0,0,10,10,0.02821258082985878
0,0,10,11,0.03305799886584282
0,0,10,12,0.012141401879489422
0,0,10,13,0.0010831645922735333
0,0,11,0,0.06269364058971405
0,0,11,1,0.05438169091939926
0,0,11,2,0.03465261310338974
0,0,11,3,0.02991448901593685
0,0,11,4,0.03794059157371521
0,0,11,5,0.03915254399180412
0,0,11,6,0.057984042912721634
0,0,11,7,0.05828206613659859
0,0,11,8,0.05744282156229019
0,0,11,9,0.06904837489128113
0,0,11,10,0.0259380042552948
0,0,11,11,0.03842460736632347
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.051427822560071945
0,0,12,1,0.04137836769223213
0,0,12,2,0.0301048681139946
0,0,12,3,0.04536709561944008
0,0,12,4,0.03361603990197182
0,0,12,5,0.01584526151418686
0,0,12,6,0.056909989565610886
0,0,12,7,0.021185526624321938
0,0,12,8,0.021612346172332764
0,0,12,9,0.06224635988473892
0,0,12,10,0.0372336320579052
0,0,12,11,0.07098039984703064
0,0,12,12,0.027046432718634605
0,0,12,13,0.0
0,0,13,0,0.044657278805971146
0,0,13,1,0.045946210622787476
0,0,13,2,0.030507953837513924
0,0,13,3,0.04865546151995659
0,0,13,4,0.030694756656885147
0,0,13,5,0.008173544891178608
0,0,13,6,0.05089299753308296
0,0,13,7,0.014935662038624287
0,0,13,8,0.017268650233745575
0,0,13,9,0.0685378760099411
0,0,13,10,0.042658597230911255
0,0,13,11,0.07349441200494766
0,0,13,12,0.04615076631307602
0,0,13,13,0.012841272167861462
0,1,0,0,0.3184305429458618
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.0002015392092289403
0,1,1,1,0.9991499781608582
0,1,1,2,0.0
0,1,1,3,0.03262822702527046
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.0013686667662113905
0,1,2,1,0.0022837133146822453
0,1,2,2,0.2620793581008911
0,1,2,3,0.12379636615514755
0,1,2,4,0.07249333709478378
0,1,2,5,0.003315743524581194
0,1,2,6,0.00269117159768939
0,1,2,7,0.002638386795297265
0,1,2,8,0.0016963895177468657
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0003319985407870263
0,1,3,1,0.03519490733742714
0,1,3,2,0.12417146563529968
0,1,3,3,0.9940794110298157
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.00043453951366245747
0,1,4,1,0.001132131670601666
0,1,4,2,0.07330506294965744
0,1,4,3,0.0005962098366580904
0,1,4,4,0.3444065749645233
0,1,4,5,0.05044451728463173
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0004655796510633081
0,1,5,1,0.00021487432240974158
0,1,5,2,0.006964945700019598
0,1,5,3,0.00016295466048177332
0,1,5,4,0.052435096353292465
0,1,5,5,0.9657118320465088
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00019284163136035204
0,1,6,1,0.0012712167808786035
0,1,6,2,0.003021764801815152
0,1,6,3,0.0006155743612907827
0,1,6,4,0.00023877435887698084
0,1,6,5,0.00012611752026714385
0,1,6,6,0.9951481819152832
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.00047428414109162986
0,1,7,1,0.0002755159803200513
0,1,7,2,0.00456036813557148
0,1,7,3,0.00024524793843738735
0,1,7,4,0.0025057815946638584
0,1,7,5,0.006063129752874374
0,1,7,6,0.00025021188776008785
0,1,7,7,0.9664379954338074
0,1,7,8,0.9142329096794128
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.004182911943644285
0,1,8,1,0.0002811590093187988
0,1,8,2,0.0039032946806401014
0,1,8,3,0.00025837915018200874
0,1,8,4,0.0024946604389697313
0,1,8,5,0.005946262739598751
0,1,8,6,0.00029008675483055413
0,1,8,7,0.9142398238182068
0,1,8,8,0.9070854783058167
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,6.677242345176637e-05
0,1,9,1,0.4748764932155609
0,1,9,2,0.00030532359960488975
0,1,9,3,0.016541223973035812
0,1,9,4,0.0002090182388201356
0,1,9,5,5.1444654673105106e-05
0,1,9,6,0.0002447078295517713
0,1,9,7,1.5902318409644067e-05
0,1,9,8,2.0746225345646963e-05
0,1,9,9,0.5227208137512207
0,1,9,10,0.0
0,1,9,11,0.016288364306092262
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,0.0002728661638684571
0,1,10,1,0.0004502279916778207
0,1,10,2,0.10655968636274338
0,1,10,3,0.04278366640210152
0,1,10,4,0.03843478485941887
0,1,10,5,0.03663519769906998
0,1,10,6,0.0002723226498346776
0,1,10,7,0.000980472075752914
0,1,10,8,0.0013000224716961384
0,1,10,9,0.0003608347615227103
0,1,10,10,0.12164530158042908
0,1,10,11,0.047695133835077286
0,1,10,12,0.04858240485191345
0,1,10,13,0.05323580652475357
0,1,11,0,9.404445154359564e-05
0,1,11,1,0.0170080978423357
0,1,11,2,0.05851665511727333
0,1,11,3,0.472131609916687
0,1,11,4,8.864868141245097e-05
0,1,11,5,3.6152116081211716e-05
0,1,11,6,0.0005599602009169757
0,1,11,7,1.2850916391471401e-05
0,1,11,8,1.7518901586299762e-05
0,1,11,9,0.016848696395754814
0,1,11,10,0.04775547236204147
0,1,11,11,0.5241242051124573
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.0001451842690585181
0,1,12,1,0.00034878021688200533
0,1,12,2,0.02932070381939411
0,1,12,3,0.00020151377248112112
0,1,12,4,0.12933006882667542
0,1,12,5,0.0014254295965656638
0,1,12,6,0.00031398149440065026
0,1,12,7,0.0015526829520240426
0,1,12,8,0.0015625238884240389
0,1,12,9,0.000287361181108281
0,1,12,10,0.04869164526462555
0,1,12,11,0.00018609169637784362
0,1,12,12,0.16511131823062897
0,1,12,13,0.0
0,1,13,0,0.0001730604999465868
0,1,13,1,6.41182778053917e-05
0,1,13,2,0.0025325417518615723
0,1,13,3,5.670465179719031e-05
0,1,13,4,0.0219670869410038
0,1,13,5,0.38708773255348206
0,1,13,6,4.123687176615931e-05
0,1,13,7,0.002866515424102545
0,1,13,8,0.002818060340359807
0,1,13,9,5.811883966089226e-05
0,1,13,10,0.054525282233953476
0,1,13,11,6.155613664304838e-05
0,1,13,12,0.0009470668155699968
