layer,head,source_position,dest_position,value
0,0,0,0,0.3262311816215515
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.22553002834320068
0,0,1,1,0.12461767345666885
0,0,1,2,0.0
0,0,1,3,0.0013633741764351726
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.12393069267272949
0,0,2,1,0.09714233130216599
0,0,2,2,0.0450604222714901
0,0,2,3,0.02700398676097393
0,0,2,4,0.01260750275105238
0,0,2,5,0.0005665329517796636
0,0,2,6,0.0005279117613099515
0,0,2,7,0.00014602308510802686
0,0,2,8,0.00022465092479251325
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.17174498736858368
0,0,3,1,0.10926338285207748
0,0,3,2,0.04978594928979874
0,0,3,3,0.06615173816680908
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.1246158704161644
0,0,4,1,0.1067708283662796
0,0,4,2,0.05980788171291351
0,0,4,3,0.10438445955514908
0,0,4,4,0.05510944500565529
0,0,4,5,0.0005824213731102645
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09839504957199097
0,0,5,1,0.10244961082935333
0,0,5,2,0.06202564388513565
0,0,5,3,0.09843295812606812
0,0,5,4,0.09684504568576813
0,0,5,5,0.02320707216858864
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09944549202919006
0,0,6,1,0.08860596269369125
0,0,6,2,0.04888752102851868
0,0,6,3,0.07010649144649506
0,0,6,4,0.0589887835085392
0,0,6,5,0.059255294501781464
0,0,6,6,0.07242567837238312
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.08322472870349884
0,0,7,1,0.10776036977767944
0,0,7,2,0.061016835272312164
0,0,7,3,0.11787325143814087
0,0,7,4,0.08118414878845215
0,0,7,5,0.012384752742946148
0,0,7,6,0.11258216947317123
0,0,7,7,0.011695205233991146
0,0,7,8,0.011361107230186462
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.08312347531318665
0,0,8,1,0.10685078054666519
0,0,8,2,0.06100091338157654
0,0,8,3,0.11739268153905869
0,0,8,4,0.0809629037976265
0,0,8,5,0.013083288446068764
0,0,8,6,0.11252915114164352
0,0,8,7,0.0124288909137249
0,0,8,8,0.012479023076593876
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.08638444542884827
0,0,9,1,0.05645150691270828
0,0,9,2,0.03989670053124428
0,0,9,3,0.07131410390138626
0,0,9,4,0.05089921876788139
0,0,9,5,0.054904282093048096
0,0,9,6,0.07655185461044312
0,0,9,7,0.07448811829090118
0,0,9,8,0.07414214313030243
0,0,9,9,0.066477932035923
0,0,9,10,0.0
0,0,9,11,0.0008302390342578292
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.05337899923324585
0,0,10,1,0.042881328612565994
0,0,10,2,0.02959386073052883
0,0,10,3,0.03280750662088394
0,0,10,4,0.032977890223264694
0,0,10,5,0.022622833028435707
0,0,10,6,0.05164771527051926
0,0,10,7,0.029439037665724754
0,0,10,8,0.029660696163773537
0,0,10,9,0.05748681351542473
0,0,10,10,0.025371737778186798
0,0,10,11,0.020625628530979156
0,0,10,12,0.014304133132100105
0,0,10,13,0.0010085789253935218
0,0,11,0,0.08414952456951141
0,0,11,1,0.055525053292512894
0,0,11,2,0.03136005997657776
0,0,11,3,0.030899371951818466
0,0,11,4,0.04218380153179169
0,0,11,5,0.03835267201066017
