layer,head,source_position,dest_position,value
0,0,0,0,0.29868173599243164
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.21002478897571564
0,0,1,1,0.12109901010990143
0,0,1,2,0.0
0,0,1,3,0.010751486755907536
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.1030087023973465
0,0,2,1,0.09603990614414215
0,0,2,2,0.040280140936374664
0,0,2,3,0.025841491296887398
0,0,2,4,0.009838905185461044
0,0,2,5,0.0018242112128064036
0,0,2,6,0.002750165294855833
0,0,2,7,0.0007382350158877671
0,0,2,8,0.0011299983598291874
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.1522417515516281
0,0,3,1,0.13051189482212067
0,0,3,2,0.04176393151283264
0,0,3,3,0.06717614829540253
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.11574453115463257
0,0,4,1,0.1151503324508667
0,0,4,2,0.0498337484896183
0,0,4,3,0.10585087537765503
0,0,4,4,0.06904326379299164
0,0,4,5,0.024832678958773613
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09527846425771713
0,0,5,1,0.10548966377973557
0,0,5,2,0.05271841958165169
0,0,5,3,0.10266796499490738
0,0,5,4,0.10138572752475739
0,0,5,5,0.04447368159890175
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09528717398643494
0,0,6,1,0.09931142628192902
0,0,6,2,0.04189087823033333
0,0,6,3,0.08800017088651657
0,0,6,4,0.05589046701788902
0,0,6,5,0.05527142435312271
0,0,6,6,0.07318539172410965
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.08282607793807983
0,0,7,1,0.10641908645629883
0,0,7,2,0.05454089120030403
0,0,7,3,0.1243189126253128
0,0,7,4,0.06961660087108612
0,0,7,5,0.0163850300014019
0,0,7,6,0.11046306043863297
0,0,7,7,0.011808865703642368
0,0,7,8,0.010290323756635189
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.08154415339231491
0,0,8,1,0.10893888771533966
0,0,8,2,0.05439259856939316
0,0,8,3,0.1266511231660843
0,0,8,4,0.06982516497373581
0,0,8,5,0.0172148197889328
0,0,8,6,0.10135821998119354
0,0,8,7,0.014483659528195858
0,0,8,8,0.01593482494354248
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07920044660568237
0,0,9,1,0.05266791954636574
0,0,9,2,0.03658119589090347
0,0,9,3,0.07993508875370026
0,0,9,4,0.051952529698610306
0,0,9,5,0.053046371787786484
0,0,9,6,0.07722915709018707
0,0,9,7,0.07427071779966354
0,0,9,8,0.07161727547645569
0,0,9,9,0.06217580288648605
0,0,9,10,0.0
0,0,9,11,0.006731459870934486
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.04425058886408806
0,0,10,1,0.041422683745622635
0,0,10,2,0.027089014649391174
0,0,10,3,0.03225046396255493
0,0,10,4,0.025260014459490776
0,0,10,5,0.01822991669178009
0,0,10,6,0.045409902930259705
0,0,10,7,0.02603958733379841
0,0,10,8,0.02661804109811783
0,0,10,9,0.05691412091255188
0,0,10,10,0.02306312695145607
0,0,10,11,0.01936689205467701
0,0,10,12,0.010693443939089775
0,0,10,13,0.0012231073342263699
0,0,11,0,0.07295823842287064
0,0,11,1,0.06470035016536713
0,0,11,2,0.025954747572541237
0,0,11,3,0.03126739710569382
0,0,11,4,0.03963937237858772
0,0,11,5,0.039225023239851
0,0,11,6,0.06436588615179062
0,0,11,7,0.057832684367895126
0,0,11,8,0.056436408311128616
0,0,11,9,0.0820506364107132
0,0,11,10,0.021486831828951836
0,0,11,11,0.038738101720809937
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.050132039934396744
0,0,12,1,0.04634371027350426
0,0,12,2,0.021505480632185936
0,0,12,3,0.039370134472846985
0,0,12,4,0.03243211284279823
0,0,12,5,0.019115062430500984
0,0,12,6,0.051628079265356064
0,0,12,7,0.023478297516703606
0,0,12,8,0.024121714755892754
0,0,12,9,0.0650041475892067
0,0,12,10,0.025084352120757103
0,0,12,11,0.056904926896095276
0,0,12,12,0.030630046501755714
0,0,12,13,0.0
0,0,13,0,0.046455394476652145
0,0,13,1,0.05214110389351845
0,0,13,2,0.025242256000638008
0,0,13,3,0.04762180894613266
0,0,13,4,0.04813690111041069
0,0,13,5,0.01931869611144066
0,0,13,6,0.050752878189086914
0,0,13,7,0.01573442481458187
0,0,13,8,0.021360723301768303
0,0,13,9,0.07640088349580765
0,0,13,10,0.03675727918744087
0,0,13,11,0.07122570276260376
0,0,13,12,0.05643695965409279
0,0,13,13,0.02948625758290291
0,1,0,0,0.29868173599243164
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00024218160251621157
0,1,1,1,0.998995304107666
0,1,1,2,0.0
0,1,1,3,0.07337109744548798
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.002934277756139636
0,1,2,1,0.0023052403703331947
0,1,2,2,0.20742793381214142
0,1,2,3,0.09256196767091751
0,1,2,4,0.06357217580080032
0,1,2,5,0.01727968640625477
0,1,2,6,0.008341529406607151
0,1,2,7,0.008216164074838161
0,1,2,8,0.005258823744952679
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0005035348003730178
0,1,3,1,0.08084140717983246
0,1,3,2,0.09324607253074646
0,1,3,3,0.9853042364120483
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0005097313551232219
0,1,4,1,0.0013909703120589256
0,1,4,2,0.06444213539361954
0,1,4,3,0.0011376780457794666
0,1,4,4,0.4601852595806122
0,1,4,5,0.15633024275302887
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0008728973916731775
0,1,5,1,0.0005155920516699553
0,1,5,2,0.022999407723546028
0,1,5,3,0.0005485416040755808
0,1,5,4,0.16110529005527496
0,1,5,5,0.9426051378250122
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00026384310331195593
0,1,6,1,0.0021980684250593185
0,1,6,2,0.008620116859674454
0,1,6,3,0.0014519721735268831
0,1,6,4,0.0003622386429924518
0,1,6,5,0.00012783579586539418
0,1,6,6,0.9938215613365173
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0006855790852569044
0,1,7,1,0.00037756958045065403
0,1,7,2,0.009602401405572891
0,1,7,3,0.00040760988485999405
0,1,7,4,0.001101515837945044
0,1,7,5,0.0028804237954318523
0,1,7,6,0.0002654938434716314
0,1,7,7,0.9728822112083435
0,1,7,8,0.8394595980644226
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.010000064969062805
0,1,8,1,0.00033285218523815274
0,1,8,2,0.007046711631119251
0,1,8,3,0.0003294588241260499
0,1,8,4,0.0011349900159984827
0,1,8,5,0.003377217799425125
0,1,8,6,0.000438966992078349
0,1,8,7,0.8394729495048523
0,1,8,8,0.8224264979362488
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,8.18858970887959e-05
0,1,9,1,0.4952380955219269
0,1,9,2,0.00015673624875489622
0,1,9,3,0.037331946194171906
0,1,9,4,0.0001174286735476926
0,1,9,5,0.00012182749196654186
0,1,9,6,0.0004825969517696649
0,1,9,7,1.2828924809582531e-05
0,1,9,8,2.1292582459864207e-05
0,1,9,9,0.5022649168968201
0,1,9,10,0.0
0,1,9,11,0.03672901540994644
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,0.0004406737571116537
0,1,10,1,0.0006722974358126521
0,1,10,2,0.08899489045143127
0,1,10,3,0.03751383721828461
0,1,10,4,0.03491304814815521
0,1,10,5,0.03467046469449997
0,1,10,6,0.00023856481129769236
0,1,10,7,0.00040871152305044234
0,1,10,8,0.000855855701956898
0,1,10,9,0.0006354937213473022
0,1,10,10,0.10164198279380798
0,1,10,11,0.041610926389694214
0,1,10,12,0.03494516387581825
0,1,10,13,0.04551639035344124
0,1,11,0,0.00014486399595625699
0,1,11,1,0.03938409313559532
0,1,11,2,0.04428264498710632
0,1,11,3,0.47403639554977417
0,1,11,4,9.33623086893931e-05
0,1,11,5,6.804469740018249e-05
0,1,11,6,0.00030430182232521474
0,1,11,7,1.9092396541964263e-05
0,1,11,8,2.6123045245185494e-05
0,1,11,9,0.03934657946228981
0,1,11,10,0.04176236316561699
0,1,11,11,0.5161746144294739
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.00014212445239536464
0,1,12,1,0.0002946775348391384
0,1,12,2,0.025218190625309944
0,1,12,3,0.0003001749573741108
0,1,12,4,0.1418791562318802
0,1,12,5,0.0025579528883099556
0,1,12,6,0.00048090744530782104
0,1,12,7,0.0006398085388354957
0,1,12,8,0.0006504374905489385
0,1,12,9,0.0003253392642363906
0,1,12,10,0.035013582557439804
0,1,12,11,0.00026049467851407826
0,1,12,12,0.16212545335292816
0,1,12,13,0.0
0,1,13,0,0.0003091681282967329
0,1,13,1,0.00016365422925446182
0,1,13,2,0.009469179436564445
0,1,13,3,0.00020124512957409024
0,1,13,4,0.06882396340370178
0,1,13,5,0.3978666365146637
0,1,13,6,6.133620627224445e-05
0,1,13,7,0.0013834222918376327
0,1,13,8,0.0017256339779123664
0,1,13,9,0.00015248850104399025
0,1,13,10,0.04809962958097458
0,1,13,11,0.00020762774511240423
0,1,13,12,0.0022430005483329296
0,1,13,13,0.5529388189315796
0,2,0,0,0.29868173599243164
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.19064559042453766
0,2,1,1,0.1885123997926712
0,2,1,2,0.0
0,2,1,3,0.01243490818887949
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.09550956636667252
0,2,2,1,0.07124403864145279
0,2,2,2,0.04925091564655304
0,2,2,3,0.02346612885594368
0,2,2,4,0.017901817336678505
0,2,2,5,0.006236183922737837
0,2,2,6,0.0029522415716201067
0,2,2,7,0.0019121177028864622
0,2,2,8,0.001159320818260312
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.1375974416732788
0,2,3,1,0.13609135150909424
0,2,3,2,0.04627905413508415
0,2,3,3,0.11013274639844894
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.10729749500751495
0,2,4,1,0.07869141548871994
0,2,4,2,0.04682642221450806
0,2,4,3,0.06533292680978775
0,2,4,4,0.08801973611116409
0,2,4,5,0.02222435176372528
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.08808331191539764
0,2,5,1,0.05569162592291832
0,2,5,2,0.04166772961616516
0,2,5,3,0.05717037618160248
0,2,5,4,0.09267350286245346
0,2,5,5,0.12749147415161133
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.09925150126218796
0,2,6,1,0.05418626591563225
0,2,6,2,0.03545597568154335
0,2,6,3,0.060280680656433105
0,2,6,4,0.05312076956033707
0,2,6,5,0.0475032702088356
0,2,6,6,0.18351954221725464
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.07241078466176987
0,2,7,1,0.03946259617805481
0,2,7,2,0.03825335204601288
0,2,7,3,0.04067488759756088
0,2,7,4,0.10969141870737076
0,2,7,5,0.10295093059539795
0,2,7,6,0.030574483796954155
0,2,7,7,0.04816742241382599
0,2,7,8,0.042272426187992096
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.07108977437019348
0,2,8,1,0.04223304241895676
0,2,8,2,0.038561999797821045
0,2,8,3,0.04283780977129936
0,2,8,4,0.09171058237552643
0,2,8,5,0.0853390023112297
0,2,8,6,0.03710230812430382
0,2,8,7,0.051758646965026855
0,2,8,8,0.047202110290527344
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.06462674587965012
0,2,9,1,0.1066557988524437
0,2,9,2,0.0358101949095726
0,2,9,3,0.11817159503698349
0,2,9,4,0.04709560424089432
0,2,9,5,0.04306267574429512
0,2,9,6,0.07207219302654266
0,2,9,7,0.044027671217918396
0,2,9,8,0.04489785060286522
0,2,9,9,0.10236507654190063
0,2,9,10,0.0
0,2,9,11,0.00845217052847147
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.03607814013957977
0,2,10,1,0.03707553818821907
0,2,10,2,0.03393152356147766
0,2,10,3,0.0321781300008297
0,2,10,4,0.03005458042025566
0,2,10,5,0.03495974838733673
0,2,10,6,0.042698513716459274
0,2,10,7,0.0476548969745636
0,2,10,8,0.046804029494524
0,2,10,9,0.03886501491069794
0,2,10,10,0.02561756782233715
0,2,10,11,0.014394860714673996
0,2,10,12,0.012132925912737846
0,2,10,13,0.0067469272762537
0,2,11,0,0.06129663437604904
0,2,11,1,0.08185239136219025
0,2,11,2,0.032469093799591064
0,2,11,3,0.06452053040266037
