layer,head,source_position,dest_position,value
0,0,0,0,0.3333333134651184
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2429082989692688
0,0,1,1,0.11867954581975937
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.034627765417099
0,0,2,1,0.025066131725907326
0,0,2,2,0.01948481798171997
0,0,2,3,0.0
0,0,2,4,0.0
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.19689905643463135
0,0,3,1,0.13941195607185364
0,0,3,2,0.030749281868338585
0,0,3,3,0.1329803317785263
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.17382197082042694
0,0,4,1,0.06937044113874435
0,0,4,2,0.016926899552345276
0,0,4,3,0.13026493787765503
0,0,4,4,0.08306163549423218
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.12598471343517303
0,0,5,1,0.04780563712120056
0,0,5,2,0.020405927672982216
0,0,5,3,0.14445717632770538
0,0,5,4,0.12270794808864594
0,0,5,5,0.035812921822071075
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.12091738730669022
0,0,6,1,0.0659247636795044
0,0,6,2,0.01287242490798235
0,0,6,3,0.06773824989795685
0,0,6,4,0.07346609979867935
0,0,6,5,0.08984099328517914
0,0,6,6,0.0962517037987709
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.1339731365442276
0,0,7,1,0.06525028496980667
0,0,7,2,0.02441667951643467
0,0,7,3,0.1301654875278473
0,0,7,4,0.07022587209939957
0,0,7,5,0.020672522485256195
0,0,7,6,0.14727309346199036
0,0,7,7,0.017141487449407578
0,0,7,8,0.017141487449407578
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.1339731365442276
0,0,8,1,0.06525028496980667
0,0,8,2,0.02441667951643467
0,0,8,3,0.1301654875278473
0,0,8,4,0.07022587209939957
0,0,8,5,0.020672522485256195
0,0,8,6,0.14727309346199036
0,0,8,7,0.017141487449407578
0,0,8,8,0.017141487449407578
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.09982254356145859
0,0,9,1,0.0627225711941719
0,0,9,2,0.015759682282805443
0,0,9,3,0.1262979507446289
0,0,9,4,0.046703264117240906
0,0,9,5,0.0500480942428112
0,0,9,6,0.12480057030916214
0,0,9,7,0.06313946098089218
0,0,9,8,0.06313946098089218
0,0,9,9,0.07168791443109512
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.015438621863722801
0,0,10,1,0.01265056524425745
0,0,10,2,0.008167915046215057
0,0,10,3,0.015950463712215424
0,0,10,4,0.01005939394235611
0,0,10,5,0.008529244922101498
0,0,10,6,0.015004493296146393
0,0,10,7,0.006062547210603952
0,0,10,8,0.006062547210603952
0,0,10,9,0.015411903150379658
0,0,10,10,0.010066824033856392
0,0,10,11,0.0
0,0,10,12,0.0
0,0,10,13,0.0
0,0,11,0,0.09692280739545822
0,0,11,1,0.07999924570322037
0,0,11,2,0.01575850509107113
0,0,11,3,0.07404498010873795
0,0,11,4,0.04202662780880928
0,0,11,5,0.041629526764154434
0,0,11,6,0.11258431524038315
0,0,11,7,0.037716787308454514
0,0,11,8,0.037716787308454514
0,0,11,9,0.09027610719203949
0,0,11,10,0.018452240154147148
0,0,11,11,0.08483205735683441
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.08963321149349213
0,0,12,1,0.03834518790245056
0,0,12,2,0.007766265422105789
0,0,12,3,0.07040417939424515
0,0,12,4,0.07108870893716812
0,0,12,5,0.029292568564414978
0,0,12,6,0.07102705538272858
0,0,12,7,0.027567585930228233
0,0,12,8,0.027567585930228233
0,0,12,9,0.048730894923210144
0,0,12,10,0.010592542588710785
0,0,12,11,0.09509161859750748
0,0,12,12,0.05713101103901863
0,0,12,13,0.0
0,0,13,0,0.06385161727666855
0,0,13,1,0.02463977038860321
0,0,13,2,0.00929477158933878
0,0,13,3,0.07641173899173737
0,0,13,4,0.061414774507284164
0,0,13,5,0.016803165897727013
0,0,13,6,0.06501158326864243
0,0,13,7,0.037344515323638916
0,0,13,8,0.037344515323638916
0,0,13,9,0.032455358654260635
0,0,13,10,0.013656437397003174
0,0,13,11,0.10980046540498734
0,0,13,12,0.09099269658327103
0,0,13,13,0.024286530911922455
0,1,0,0,0.3333333134651184
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00013626914005726576
0,1,1,1,0.9993922114372253
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,3.910042141797021e-05
0,1,2,1,0.00094633485423401
0,1,2,2,0.16516506671905518
0,1,2,3,0.0
0,1,2,4,0.0
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0001273710367968306
0,1,3,1,0.0002989217755384743
0,1,3,2,3.667154669528827e-05
0,1,3,3,0.9991313219070435
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0003991673293057829
0,1,4,1,0.0003861904260702431
0,1,4,2,4.0275310311699286e-05
0,1,4,3,0.0006719619850628078
0,1,4,4,0.44124168157577515
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0005020975368097425
0,1,5,1,0.00021843738795723766
0,1,5,2,5.220555976848118e-05
0,1,5,3,0.0002737418399192393
0,1,5,4,0.00038498378125950694
0,1,5,5,0.9958474040031433
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00017447362188249826
0,1,6,1,0.0013975398615002632
0,1,6,2,3.40626975230407e-05
0,1,6,3,0.0004520077782217413
0,1,6,4,0.00023145778686739504
0,1,6,5,0.0003458944847807288
0,1,6,6,0.9965693354606628
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0002946806780528277
0,1,7,1,0.0011215552221983671
0,1,7,2,0.004507114645093679
0,1,7,3,0.00047513461322523654
0,1,7,4,0.004924376029521227
0,1,7,5,0.00412010308355093
0,1,7,6,0.0005259291501715779
0,1,7,7,0.9559411406517029
0,1,7,8,0.9559411406517029
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.0002946806780528277
