layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.24095194041728973
0,0,1,1,0.12296374142169952
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.038994692265987396
0,0,2,1,0.038727302104234695
0,0,2,2,0.029489809647202492
0,0,2,3,0.0
0,0,2,4,0.0
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.20692017674446106
0,0,3,1,0.12249330431222916
0,0,3,2,0.026472005993127823
0,0,3,3,0.11343345791101456
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.17435112595558167
0,0,4,1,0.0612773597240448
0,0,4,2,0.016803395003080368
0,0,4,3,0.14708662033081055
0,0,4,4,0.08122584968805313
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.10534801334142685
0,0,5,1,0.04771866276860237
0,0,5,2,0.022220540791749954
0,0,5,3,0.16659854352474213
0,0,5,4,0.13795509934425354
0,0,5,5,0.030738452449440956
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.10707181692123413
0,0,6,1,0.07500416040420532
0,0,6,2,0.016521219164133072
0,0,6,3,0.09716153144836426
0,0,6,4,0.06985286623239517
0,0,6,5,0.07724152505397797
0,0,6,6,0.10224433243274689
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.11924012750387192
0,0,7,1,0.07041788101196289
0,0,7,2,0.016458828002214432
0,0,7,3,0.1786782592535019
0,0,7,4,0.07396508008241653
0,0,7,5,0.019285324960947037
0,0,7,6,0.1300053894519806
0,0,7,7,0.015428764745593071
0,0,7,8,0.015428764745593071
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.11924012750387192
0,0,8,1,0.07041788101196289
0,0,8,2,0.016458828002214432
0,0,8,3,0.1786782592535019
0,0,8,4,0.07396508008241653
0,0,8,5,0.019285324960947037
0,0,8,6,0.1300053894519806
0,0,8,7,0.015428764745593071
0,0,8,8,0.015428764745593071
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.08486808091402054
0,0,9,1,0.05611269921064377
0,0,9,2,0.00976497121155262
0,0,9,3,0.2259058952331543
0,0,9,4,0.04553830623626709
0,0,9,5,0.04494473710656166
0,0,9,6,0.10292476415634155
0,0,9,7,0.057865291833877563
0,0,9,8,0.057865291833877563
0,0,9,9,0.06450573354959488
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.015069660730659962
0,0,10,1,0.018324609845876694
0,0,10,2,0.011151735670864582
0,0,10,3,0.02607817016541958
0,0,10,4,0.014202152378857136
0,0,10,5,0.009394248016178608
0,0,10,6,0.009760376997292042
0,0,10,7,0.007349827326834202
0,0,10,8,0.007349827326834202
0,0,10,9,0.023913146927952766
0,0,10,10,0.014846881851553917
0,0,10,11,0.0
0,0,10,12,0.0
0,0,10,13,0.0
0,0,11,0,0.10745146125555038
0,0,11,1,0.07073312997817993
0,0,11,2,0.013089552521705627
0,0,11,3,0.06325225532054901
0,0,11,4,0.04276375100016594
0,0,11,5,0.04510123282670975
0,0,11,6,0.10457651317119598
0,0,11,7,0.03963522985577583
0,0,11,8,0.03963522985577583
0,0,11,9,0.0799790620803833
0,0,11,10,0.015273278579115868
0,0,11,11,0.07419152557849884
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.08606909215450287
0,0,12,1,0.032166801393032074
0,0,12,2,0.007093300577253103
0,0,12,3,0.07959344238042831
0,0,12,4,0.07054797559976578
0,0,12,5,0.031126204878091812
0,0,12,6,0.06951740384101868
0,0,12,7,0.029796510934829712
0,0,12,8,0.029796510934829712
0,0,12,9,0.04107633978128433
0,0,12,10,0.009886031970381737
0,0,12,11,0.10909952968358994
0,0,12,12,0.053284090012311935
0,0,12,13,0.0
0,0,13,0,0.04966825246810913
0,0,13,1,0.02291353978216648
0,0,13,2,0.009476995095610619
0,0,13,3,0.0840970054268837
0,0,13,4,0.06491769105195999
0,0,13,5,0.013479049317538738
0,0,13,6,0.05927785485982895
0,0,13,7,0.03136899322271347
0,0,13,8,0.03136899322271347
0,0,13,9,0.031465210020542145
0,0,13,10,0.014229516498744488
0,0,13,11,0.1237897127866745
0,0,13,12,0.09844739735126495
0,0,13,13,0.01994139887392521
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.0001264805468963459
0,1,1,1,0.9994126558303833
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,7.906407699920237e-05
0,1,2,1,0.0019775782711803913
0,1,2,2,0.1968715488910675
0,1,2,3,0.0
0,1,2,4,0.0
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,9.675540059106424e-05
0,1,3,1,0.0002446900471113622
0,1,3,2,2.850394230335951e-05
0,1,3,3,0.9992453455924988
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0003632015723269433
0,1,4,1,0.00031820585718378425
0,1,4,2,6.424311141017824e-05
0,1,4,3,0.0006511296378448606
0,1,4,4,0.42314261198043823
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.00048058637185022235
0,1,5,1,0.00023355029406957328
0,1,5,2,0.00010670513438526541
0,1,5,3,9.878736454993486e-05
0,1,5,4,0.0001401267945766449
0,1,5,5,0.9970359802246094
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.0001422559580532834
0,1,6,1,0.0014545557787641883
0,1,6,2,4.495121902436949e-05
0,1,6,3,0.000598850310780108
0,1,6,4,0.00018846562306862324
0,1,6,5,0.0002780404465738684
0,1,6,6,0.9965744018554688
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0002897893718909472
0,1,7,1,0.0010333491954952478
0,1,7,2,0.009449825622141361
0,1,7,3,0.00033288521808572114
0,1,7,4,0.002444047247990966
0,1,7,5,0.004090528003871441
0,1,7,6,0.0006353287608362734
0,1,7,7,0.9549205899238586
0,1,7,8,0.9549205899238586
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.0002897893718909472
0,1,8,1,0.0010333491954952478
0,1,8,2,0.009449825622141361
0,1,8,3,0.00033288521808572114
0,1,8,4,0.002444047247990966
0,1,8,5,0.004090528003871441
0,1,8,6,0.0006353287608362734
0,1,8,7,0.9549205899238586
0,1,8,8,0.9549205899238586
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,5.9934718592558056e-05
0,1,9,1,0.5303331017494202
0,1,9,2,0.0001340779272140935
0,1,9,3,7.214540528366342e-05
0,1,9,4,6.644580571446568e-05
0,1,9,5,0.0002737753093242645
0,1,9,6,0.0005554788513109088
0,1,9,7,4.6264427510323e-05
0,1,9,8,4.6264427510323e-05
0,1,9,9,0.46813592314720154
0,1,9,10,0.0
0,1,9,11,0.0
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,2.8526759706437588e-05
0,1,10,1,0.0006097896257415414
0,1,10,2,0.09878865629434586
0,1,10,3,2.4420933186775073e-05
0,1,10,4,1.1356738468748517e-05
0,1,10,5,2.7950951334787533e-05
0,1,10,6,2.4824363208608702e-05
0,1,10,7,0.00020168942864984274
0,1,10,8,0.00020168942864984274
0,1,10,9,0.0004427442327141762
0,1,10,10,0.09940790385007858
0,1,10,11,0.0
0,1,10,12,0.0
0,1,10,13,0.0
0,1,11,0,3.4353557566646487e-05
0,1,11,1,6.310291064437479e-05
0,1,11,2,8.810746294329874e-06
0,1,11,3,0.49843859672546387
0,1,11,4,5.8480909501668066e-05
0,1,11,5,5.546856118598953e-05
0,1,11,6,0.00014083737914916128
0,1,11,7,6.9766915657965e-06
0,1,11,8,6.9766915657965e-06
0,1,11,9,3.627225669333711e-05
0,1,11,10,5.6618641792738345e-06
0,1,11,11,0.5009201765060425
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.00013196046347729862
0,1,12,1,7.550253212684765e-05
0,1,12,2,1.9712208086275496e-05
0,1,12,3,0.00020228573703207076
0,1,12,4,0.1999775469303131
0,1,12,5,0.0002859986270777881
0,1,12,6,0.00010877775639528409
0,1,12,7,0.0011790497228503227
0,1,12,8,0.0011790497228503227
0,1,12,9,5.129091368871741e-05
0,1,12,10,1.524652361695189e-05
0,1,12,11,0.00017242884496226907
0,1,12,12,0.2238873988389969
0,1,12,13,0.0
0,1,13,0,0.00018822276615537703
0,1,13,1,7.17257134965621e-05
0,1,13,2,3.855710383504629e-05
0,1,13,3,3.664542600745335e-05
0,1,13,4,5.906190926907584e-05
0,1,13,5,0.4661630094051361
0,1,13,6,2.4950908482423984e-05
0,1,13,7,0.0003793544019572437
0,1,13,8,0.0003793544019572437
0,1,13,9,4.466760583454743e-05
0,1,13,10,2.8130627470090985e-05
0,1,13,11,2.538121771067381e-05
0,1,13,12,4.767515565617941e-05
0,1,13,13,0.5320252180099487
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.19010435044765472
0,2,1,1,0.26673808693885803
0,2,1,2,0.0
0,2,1,3,0.0
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.022566335275769234
0,2,2,1,0.04545769840478897
0,2,2,2,0.03384396433830261
0,2,2,3,0.0
0,2,2,4,0.0
0,2,2,5,0.0
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.1595490276813507
0,2,3,1,0.14551018178462982
0,2,3,2,0.03589561954140663
0,2,3,3,0.14172573387622833
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.09329994022846222
0,2,4,1,0.2637614607810974
0,2,4,2,0.021586958318948746
0,2,4,3,0.06012538820505142
0,2,4,4,0.08004935085773468
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.08630078285932541
0,2,5,1,0.07888240367174149
0,2,5,2,0.025745343416929245
0,2,5,3,0.05967897176742554
0,2,5,4,0.09233597666025162
0,2,5,5,0.15653957426548004
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.11588375270366669
0,2,6,1,0.05152106285095215
0,2,6,2,0.010993520729243755
0,2,6,3,0.0705217644572258
0,2,6,4,0.05981447547674179
0,2,6,5,0.0797555223107338
0,2,6,6,0.18704946339130402
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.07781152427196503
0,2,7,1,0.03354988247156143
0,2,7,2,0.021914154291152954
0,2,7,3,0.03795977309346199
0,2,7,4,0.11846701800823212
0,2,7,5,0.09920109808444977
0,2,7,6,0.040182922035455704
0,2,7,7,0.05159223824739456
0,2,7,8,0.05159223824739456
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.07781152427196503
0,2,8,1,0.03354988247156143
0,2,8,2,0.021914154291152954
0,2,8,3,0.03795977309346199
0,2,8,4,0.11846701800823212
0,2,8,5,0.09920109808444977
0,2,8,6,0.040182922035455704
0,2,8,7,0.05159223824739456
0,2,8,8,0.05159223824739456
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.08577761054039001
0,2,9,1,0.17017371952533722
0,2,9,2,0.0060332417488098145
0,2,9,3,0.13020677864551544
0,2,9,4,0.03837581351399422
0,2,9,5,0.043900441378355026
0,2,9,6,0.03355131298303604
0,2,9,7,0.030658084899187088
0,2,9,8,0.030658084899187088
0,2,9,9,0.14913040399551392
0,2,9,10,0.0
0,2,9,11,0.0
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.0071472907438874245
0,2,10,1,0.020454179495573044
0,2,10,2,0.013406609185039997
0,2,10,3,0.00966449361294508
0,2,10,4,0.018759004771709442
0,2,10,5,0.019284158945083618
0,2,10,6,0.0054337820038199425
0,2,10,7,0.017271429300308228
0,2,10,8,0.017271429300308228
0,2,10,9,0.02254636585712433
0,2,10,10,0.014677613973617554
0,2,10,11,0.0
0,2,10,12,0.0
0,2,10,13,0.0
0,2,11,0,0.06815137714147568
0,2,11,1,0.08290538936853409
0,2,11,2,0.01709875464439392
0,2,11,3,0.08352279663085938
0,2,11,4,0.04929359257221222
0,2,11,5,0.05384070426225662
0,2,11,6,0.10506021976470947
0,2,11,7,0.06148498132824898
0,2,11,8,0.06148498132824898
0,2,11,9,0.07995717227458954
0,2,11,10,0.01706431806087494
0,2,11,11,0.08077583461999893
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.037838470190763474
0,2,12,1,0.1317998170852661
0,2,12,2,0.009980930015444756
0,2,12,3,0.03075353428721428
0,2,12,4,0.05154427886009216
0,2,12,5,0.07251663506031036
0,2,12,6,0.05543395131826401
0,2,12,7,0.08143869787454605
0,2,12,8,0.08143869787454605
0,2,12,9,0.1458299458026886
0,2,12,10,0.011385230347514153
0,2,12,11,0.03224741294980049
0,2,12,12,0.04462941363453865
0,2,12,13,0.0
0,2,13,0,0.040129195898771286
0,2,13,1,0.041910186409950256
0,2,13,2,0.013790443539619446
0,2,13,3,0.03334653750061989
0,2,13,4,0.050916291773319244
0,2,13,5,0.0825248509645462
0,2,13,6,0.025656770914793015
0,2,13,7,0.11994782835245132
0,2,13,8,0.11994782835245132
0,2,13,9,0.04501844197511673
0,2,13,10,0.01609967276453972
0,2,13,11,0.035697080194950104
0,2,13,12,0.05895153433084488
0,2,13,13,0.09918238967657089
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.011635668575763702
0,3,1,1,0.963292121887207
0,3,1,2,0.0
0,3,1,3,0.0
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.0008831179002299905
0,3,2,1,0.011186386458575726
0,3,2,2,0.17959138751029968
0,3,2,3,0.0
0,3,2,4,0.0
0,3,2,5,0.0
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.005068501923233271
0,3,3,1,0.005369187332689762
0,3,3,2,0.0001407523377565667
0,3,3,3,0.9790905117988586
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.007129176519811153
0,3,4,1,0.032347992062568665
0,3,4,2,0.0019219918176531792
0,3,4,3,0.020235413685441017
0,3,4,4,0.386707067489624
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.0008240003371611238
0,3,5,1,0.0014274700079113245
0,3,5,2,9.595823212293908e-05
0,3,5,3,0.0010279698763042688
0,3,5,4,0.181880921125412
0,3,5,5,0.5927286148071289
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,0.0007258378900587559
0,3,6,1,0.0006146180676296353
0,3,6,2,9.777274499356281e-06
0,3,6,3,0.0004806427750736475
0,3,6,4,0.0005997092230245471
0,3,6,5,0.0003171470598317683
0,3,6,6,0.9948142766952515
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.005868906620889902
0,3,7,1,0.007098095025867224
0,3,7,2,0.002155361231416464
0,3,7,3,0.011974300257861614
0,3,7,4,0.04625188559293747
0,3,7,5,0.1365661919116974
0,3,7,6,0.22897882759571075
0,3,7,7,0.47910529375076294
0,3,7,8,0.47910529375076294
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.005868906620889902
0,3,8,1,0.007098095025867224
0,3,8,2,0.002155361231416464
0,3,8,3,0.011974300257861614
0,3,8,4,0.04625188559293747
0,3,8,5,0.1365661919116974
0,3,8,6,0.22897882759571075
0,3,8,7,0.47910529375076294
0,3,8,8,0.47910529375076294
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.0014611505903303623
0,3,9,1,0.006722095422446728
0,3,9,2,2.803555162245175e-06
0,3,9,3,0.00023622943263035268
0,3,9,4,0.00026795128360390663
0,3,9,5,0.00012063995382050052
0,3,9,6,0.011881271377205849
0,3,9,7,0.0002194110566051677
0,3,9,8,0.0002194110566051677
0,3,9,9,0.975621223449707
0,3,9,10,0.0
0,3,9,11,0.0
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,8.140716090565547e-05
0,3,10,1,7.423498027492315e-05
0,3,10,2,0.0011999225243926048
0,3,10,3,0.00011019506200682372
0,3,10,4,0.0007568892906419933
0,3,10,5,0.0006351859192363918
0,3,10,6,0.002912030788138509
0,3,10,7,0.004317494109272957
0,3,10,8,0.004317494109272957
0,3,10,9,0.007425546646118164
0,3,10,10,0.18150293827056885
0,3,10,11,0.0
0,3,10,12,0.0
0,3,10,13,0.0
0,3,11,0,0.0008553691441193223
0,3,11,1,6.784088327549398e-05
0,3,11,2,1.517922669336258e-06
0,3,11,3,0.011235836893320084
0,3,11,4,0.00015691143926233053
0,3,11,5,5.3928943088976666e-05
0,3,11,6,0.0033653415739536285
0,3,11,7,7.647553138667718e-05
0,3,11,8,7.647553138667718e-05
0,3,11,9,0.00507064675912261
0,3,11,10,0.00011989755876129493
0,3,11,11,0.9769021272659302
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.000974946073256433
0,3,12,1,0.0002721030614338815
0,3,12,2,1.0195739378104918e-05
0,3,12,3,0.0001358810841338709
0,3,12,4,0.0042057218961417675
0,3,12,5,0.002537838649004698
0,3,12,6,0.004211615305393934
0,3,12,7,0.010610428638756275
0,3,12,8,0.010610428638756275
0,3,12,9,0.023048747330904007
0,3,12,10,0.0016218230593949556
0,3,12,11,0.012224138714373112
0,3,12,12,0.3969171643257141
0,3,12,13,0.0
0,3,13,0,9.39380333875306e-05
0,3,13,1,1.6772752132965252e-05
0,3,13,2,8.344593993570015e-07
0,3,13,3,1.1613110473263077e-05
0,3,13,4,0.0017621110891923308
0,3,13,5,0.0028719219844788313
0,3,13,6,0.00041518191574141383
0,3,13,7,0.001703560701571405
0,3,13,8,0.001703560701571405
0,3,13,9,0.0009454909013584256
0,3,13,10,7.736242696410045e-05
0,3,13,11,0.0007009231485426426
0,3,13,12,0.1791502982378006
0,3,13,13,0.596714973449707
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.07840581983327866
0,4,1,1,0.7538760900497437
0,4,1,2,0.0
0,4,1,3,0.0
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.008546058088541031
0,4,2,1,0.05939849093556404
0,4,2,2,0.09835554659366608
0,4,2,3,0.0
0,4,2,4,0.0
0,4,2,5,0.0
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.018256034702062607
0,4,3,1,0.07978648692369461
0,4,3,2,0.005362816154956818
0,4,3,3,0.8555499911308289
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.0490574911236763
0,4,4,1,0.09680014848709106
0,4,4,2,0.011508217081427574
0,4,4,3,0.08584794402122498
0,4,4,4,0.2705879807472229
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
0,4,4,12,0.0
0,4,4,13,0.0
0,4,5,0,0.048896946012973785
0,4,5,1,0.02226475439965725
0,4,5,2,0.0022087327670305967
0,4,5,3,0.02783285081386566
0,4,5,4,0.2606038451194763
