layer,head,source_position,dest_position,value
0,0,0,0,0.3257695138454437
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.21194525063037872
0,0,1,1,0.14476433396339417
0,0,1,2,0.0
0,0,1,3,0.018521275371313095
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.10831443965435028
0,0,2,1,0.10055781155824661
0,0,2,2,0.03743010014295578
0,0,2,3,0.028863416984677315
0,0,2,4,0.007302073296159506
0,0,2,5,0.0011621100129559636
0,0,2,6,0.0016029495745897293
0,0,2,7,0.0004446332750376314
0,0,2,8,0.0004569790617097169
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.1423538476228714
0,0,3,1,0.10737564414739609
0,0,3,2,0.04957506060600281
0,0,3,3,0.07209009677171707
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.11680056899785995
0,0,4,1,0.10080522298812866
0,0,4,2,0.05710983648896217
0,0,4,3,0.11421392858028412
0,0,4,4,0.05169925466179848
0,0,4,5,0.0035156046506017447
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09199347347021103
0,0,5,1,0.09844925254583359
0,0,5,2,0.05767631530761719
0,0,5,3,0.11029299348592758
0,0,5,4,0.0800379067659378
0,0,5,5,0.02338111400604248
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09297967702150345
0,0,6,1,0.07546685636043549
0,0,6,2,0.041455306112766266
0,0,6,3,0.06540621072053909
0,0,6,4,0.05803823098540306
0,0,6,5,0.06003636494278908
0,0,6,6,0.06470856815576553
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.08408261090517044
0,0,7,1,0.09909413754940033
0,0,7,2,0.052012909203767776
0,0,7,3,0.11296006292104721
0,0,7,4,0.06607519835233688
0,0,7,5,0.013004317879676819
0,0,7,6,0.10390031337738037
0,0,7,7,0.012037993408739567
0,0,7,8,0.011765728704631329
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.08406099677085876
0,0,8,1,0.09772732853889465
0,0,8,2,0.052088990807533264
0,0,8,3,0.11153921484947205
0,0,8,4,0.06632136553525925
0,0,8,5,0.01335739716887474
0,0,8,6,0.10256573557853699
0,0,8,7,0.012803320772945881
0,0,8,8,0.012857374735176563
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07307112962007523
