layer,head,source_position,dest_position,value
0,0,0,0,0.2877901792526245
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.19223394989967346
0,0,1,1,0.14280365407466888
0,0,1,2,0.0
0,0,1,3,0.0127748753875494
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.11225847899913788
0,0,2,1,0.1074359193444252
0,0,2,2,0.0456511527299881
0,0,2,3,0.02858181670308113
0,0,2,4,0.009609287604689598
0,0,2,5,0.004016075283288956
0,0,2,6,0.005583416670560837
0,0,2,7,0.001595870591700077
0,0,2,8,0.0025524154771119356
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.12604406476020813
0,0,3,1,0.10766951739788055
0,0,3,2,0.06326538324356079
0,0,3,3,0.06192849949002266
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.10539223998785019
0,0,4,1,0.10592286288738251
0,0,4,2,0.058882273733615875
0,0,4,3,0.10596585273742676
0,0,4,4,0.048454392701387405
0,0,4,5,0.011765670031309128
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.08507237583398819
0,0,5,1,0.1033577173948288
0,0,5,2,0.05982358381152153
0,0,5,3,0.09908358007669449
0,0,5,4,0.07041703909635544
0,0,5,5,0.028735965490341187
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.08662295341491699
0,0,6,1,0.08387484401464462
0,0,6,2,0.04653225094079971
0,0,6,3,0.06584830582141876
0,0,6,4,0.05312643572688103
0,0,6,5,0.053788673132658005
0,0,6,6,0.0668906420469284
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.07515398412942886
0,0,7,1,0.10340996086597443
0,0,7,2,0.05541106313467026
0,0,7,3,0.10698340088129044
0,0,7,4,0.057752471417188644
0,0,7,5,0.01552185695618391
0,0,7,6,0.10091817378997803
0,0,7,7,0.011079984717071056
0,0,7,8,0.009500780142843723
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.07551499456167221
0,0,8,1,0.09546162188053131
0,0,8,2,0.055109452456235886
0,0,8,3,0.09513334184885025
0,0,8,4,0.05987987667322159
0,0,8,5,0.017692700028419495
0,0,8,6,0.0902433767914772
0,0,8,7,0.014601009897887707
0,0,8,8,0.017781618982553482
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.06865658611059189
0,0,9,1,0.05884425714612007
0,0,9,2,0.040462907403707504
0,0,9,3,0.05749024078249931
0,0,9,4,0.039685070514678955
0,0,9,5,0.046102605760097504
0,0,9,6,0.09212358295917511
0,0,9,7,0.06413345783948898
0,0,9,8,0.062584288418293
0,0,9,9,0.0717775747179985
0,0,9,10,0.0
0,0,9,11,0.006713292095810175
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.047307197004556656
0,0,10,1,0.04589521884918213
0,0,10,2,0.03124263323843479
0,0,10,3,0.034444987773895264
0,0,10,4,0.027363520115613937
0,0,10,5,0.023518946021795273
0,0,10,6,0.04896523430943489
0,0,10,7,0.032744891941547394
0,0,10,8,0.03492792695760727
0,0,10,9,0.0652034655213356
0,0,10,10,0.02700403705239296
