layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2474483996629715
0,0,1,1,0.10784834623336792
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.12504543364048004
0,0,2,1,0.11244189739227295
0,0,2,2,0.05571794509887695
0,0,2,3,0.02135857380926609
0,0,2,4,0.009788739494979382
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.07756205648183823
0,0,3,1,0.12225240468978882
0,0,3,2,0.0783606693148613
0,0,3,3,0.015628663823008537
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.07931303232908249
0,0,4,1,0.05594402924180031
0,0,4,2,0.08208148926496506
0,0,4,3,0.06891579926013947
0,0,4,4,0.044998228549957275
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.07113643735647202
0,0,5,1,0.06353233754634857
0,0,5,2,0.07754972577095032
0,0,5,3,0.04581813886761665
0,0,5,4,0.0667514055967331
0,0,5,5,0.017704064026474953
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.07487170398235321
0,0,6,1,0.06625816971063614
0,0,6,2,0.06227860972285271
0,0,6,3,0.036952294409275055
0,0,6,4,0.046837612986564636
0,0,6,5,0.04152294993400574
0,0,6,6,0.05078454315662384
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.05961323156952858
0,0,7,1,0.05579005181789398
0,0,7,2,0.08157142996788025
0,0,7,3,0.07210221886634827
0,0,7,4,0.05178822576999664
0,0,7,5,0.008966955356299877
0,0,7,6,0.04994038864970207
0,0,7,7,0.009514817968010902
0,0,7,8,0.009514817968010902
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.05961323156952858
0,0,8,1,0.05579005181789398
0,0,8,2,0.08157142996788025
0,0,8,3,0.07210221886634827
0,0,8,4,0.05178822576999664
0,0,8,5,0.008966955356299877
0,0,8,6,0.04994038864970207
0,0,8,7,0.009514817968010902
0,0,8,8,0.009514817968010902
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.058128733187913895
0,0,9,1,0.033757034689188004
0,0,9,2,0.0573374480009079
0,0,9,3,0.0287177637219429
0,0,9,4,0.027894621714949608
0,0,9,5,0.03525672107934952
0,0,9,6,0.09614992141723633
0,0,9,7,0.059822216629981995
0,0,9,8,0.059822216629981995
0,0,9,9,0.041090767830610275
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.044622015208005905
0,0,10,1,0.04385540261864662
0,0,10,2,0.03855927288532257
0,0,10,3,0.022216329351067543
0,0,10,4,0.03044162131845951
0,0,10,5,0.019073696807026863
0,0,10,6,0.04080289974808693
0,0,10,7,0.026608290150761604
0,0,10,8,0.026608290150761604
0,0,10,9,0.0617164671421051
0,0,10,10,0.030510470271110535
0,0,10,11,0.016355620697140694
0,0,10,12,0.014792156405746937
0,0,10,13,0.0010214722715318203
0,0,11,0,0.033345840871334076
0,0,11,1,0.05512950196862221
0,0,11,2,0.03728197515010834
0,0,11,3,0.005618207156658173
0,0,11,4,0.016482817009091377
0,0,11,5,0.01258204597979784
0,0,11,6,0.037259310483932495
0,0,11,7,0.01376004796475172
0,0,11,8,0.01376004796475172
0,0,11,9,0.07738135010004044
0,0,11,10,0.03766971454024315
0,0,11,11,0.007944583892822266
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.03373777121305466
0,0,12,1,0.024320483207702637
0,0,12,2,0.036650147289037704
0,0,12,3,0.025664912536740303
0,0,12,4,0.033238355070352554
0,0,12,5,0.011456617154181004
0,0,12,6,0.026575205847620964
0,0,12,7,0.015567824244499207
0,0,12,8,0.015567824244499207
0,0,12,9,0.04024432227015495
0,0,12,10,0.044483985751867294
0,0,12,11,0.04362240806221962
0,0,12,12,0.03249301016330719
0,0,12,13,0.0
0,0,13,0,0.030559897422790527
0,0,13,1,0.029527852311730385
0,0,13,2,0.03238390013575554
0,0,13,3,0.01732897199690342
0,0,13,4,0.0272094514220953
0,0,13,5,0.006018843501806259
0,0,13,6,0.03291685879230499
0,0,13,7,0.01141577959060669
0,0,13,8,0.01141577959060669
0,0,13,9,0.04636983200907707
0,0,13,10,0.04769107326865196
0,0,13,11,0.02956469915807247
0,0,13,12,0.05035478249192238
0,0,13,13,0.010751659981906414
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00021926987392362207
0,1,1,1,0.9992030262947083
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.0003714755875989795
0,1,2,1,0.0014792351284995675
0,1,2,2,0.12461084872484207
0,1,2,3,0.12434151768684387
0,1,2,4,0.08691540360450745
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0007608829182572663
0,1,3,1,0.00013824713823851198
0,1,3,2,0.1246788427233696
0,1,3,3,0.9938430190086365
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.00039268925320357084
0,1,4,1,0.00011792025907197967
0,1,4,2,0.08747678995132446
0,1,4,3,0.0004423669015523046
0,1,4,4,0.3477381765842438
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.00041655576205812395
0,1,5,1,1.6134559700731188e-05
0,1,5,2,0.030556058511137962
0,1,5,3,0.00022038654424250126
0,1,5,4,0.005989894736558199
0,1,5,5,0.7239522337913513
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00027438721735961735
0,1,6,1,0.0008608358330093324
0,1,6,2,0.0004574758931994438
0,1,6,3,0.00022450061806011945
0,1,6,4,0.00013660405238624662
0,1,6,5,8.962638821685687e-05
0,1,6,6,0.9943549036979675
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.00020806206157431006
0,1,7,1,2.1846150048077106e-05
0,1,7,2,0.00026064508710987866
0,1,7,3,9.315501665696502e-05
0,1,7,4,0.000381894176825881
0,1,7,5,0.0018454883247613907
0,1,7,6,0.00020479463273659348
0,1,7,7,0.9820601344108582
0,1,7,8,0.9820601344108582
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.00020806206157431006
0,1,8,1,2.1846150048077106e-05
0,1,8,2,0.00026064508710987866
0,1,8,3,9.315501665696502e-05
0,1,8,4,0.000381894176825881
0,1,8,5,0.0018454883247613907
0,1,8,6,0.00020479463273659348
0,1,8,7,0.9820601344108582
0,1,8,8,0.9820601344108582
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,5.4232761613093317e-05
0,1,9,1,0.45229342579841614
0,1,9,2,7.002030179137364e-05
0,1,9,3,1.3184198905946687e-05
0,1,9,4,2.502585994079709e-05
0,1,9,5,5.438733296614373e-06
0,1,9,6,0.0002504901203792542
0,1,9,7,1.824366790970089e-06
0,1,9,8,1.824366790970089e-06
0,1,9,9,0.5466668605804443
0,1,9,10,0.0
0,1,9,11,0.0
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,0.00012808595784008503
0,1,10,1,0.00033673809957690537
0,1,10,2,0.044237155467271805
0,1,10,3,0.04408010467886925
0,1,10,4,0.039916180074214935
0,1,10,5,0.04556533321738243
0,1,10,6,0.0005736954626627266
0,1,10,7,0.00017658672004472464
0,1,10,8,0.00017658672004472464
0,1,10,9,0.0002958018740173429
0,1,10,10,0.053246792405843735
0,1,10,11,0.0527464933693409
0,1,10,12,0.05728986859321594
0,1,10,13,0.04268062114715576
0,1,11,0,0.0002306742680957541
0,1,11,1,4.019094558316283e-05
0,1,11,2,0.05681942030787468
0,1,11,3,0.45301198959350586
0,1,11,4,7.583392289234325e-05
0,1,11,5,8.582900773035362e-05
0,1,11,6,0.0029898928478360176
0,1,11,7,2.232274528068956e-05
0,1,11,8,2.232274528068956e-05
0,1,11,9,2.7769405278377235e-05
0,1,11,10,0.05281507596373558
0,1,11,11,0.5401825904846191
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.00015505432384088635
0,1,12,1,3.3934233215404674e-05
0,1,12,2,0.036653339862823486
0,1,12,3,0.00012982869520783424
0,1,12,4,0.14470486342906952
0,1,12,5,0.0024535730481147766
0,1,12,6,0.0002865353599190712
0,1,12,7,0.00016950503049883991
0,1,12,8,0.00016950503049883991
0,1,12,9,2.795930595311802e-05
0,1,12,10,0.05714787542819977
0,1,12,11,0.0001379021123284474
0,1,12,12,0.20337951183319092
0,1,12,13,0.0
0,1,13,0,0.00017747290257830173
0,1,13,1,5.579935987043427e-06
0,1,13,2,0.011019361205399036
0,1,13,3,8.665820496389642e-05
0,1,13,4,0.002071888418868184
0,1,13,5,0.28255924582481384
0,1,13,6,1.5409381376230158e-05
0,1,13,7,0.0009816952515393496
0,1,13,8,0.0009816952515393496
0,1,13,9,4.143069872952765e-06
0,1,13,10,0.05988693609833717
0,1,13,11,0.00011275630095042288
0,1,13,12,0.003361741080880165
0,1,13,13,0.4582778215408325
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.25256454944610596
0,2,1,1,0.08326014131307602
0,2,1,2,0.0
0,2,1,3,0.0
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.1551143378019333
0,2,2,1,0.07068121433258057
0,2,2,2,0.040155746042728424
0,2,2,3,0.01662689819931984
0,2,2,4,0.012893895618617535
0,2,2,5,0.0
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.1449771225452423
0,2,3,1,0.041363831609487534
0,2,3,2,0.05343022570014
0,2,3,3,0.02802315354347229
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.08325204998254776
0,2,4,1,0.049084991216659546
0,2,4,2,0.06402577459812164
0,2,4,3,0.048331230878829956
0,2,4,4,0.0638212338089943
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.0665857195854187
0,2,5,1,0.02665056474506855
0,2,5,2,0.05204276740550995
0,2,5,3,0.0354071669280529
0,2,5,4,0.08340451866388321
0,2,5,5,0.12252834439277649
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.09481697529554367
0,2,6,1,0.05712522193789482
0,2,6,2,0.0371129997074604
0,2,6,3,0.013800724409520626
0,2,6,4,0.035602208226919174
0,2,6,5,0.03675905987620354
0,2,6,6,0.20104247331619263
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.05694182217121124
0,2,7,1,0.02904503606259823
0,2,7,2,0.05773511528968811
0,2,7,3,0.03265857696533203
0,2,7,4,0.11005214601755142
0,2,7,5,0.0664111003279686
0,2,7,6,0.03221125900745392
0,2,7,7,0.041695479303598404
0,2,7,8,0.041695479303598404
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.05694182217121124
0,2,8,1,0.02904503606259823
0,2,8,2,0.05773511528968811
0,2,8,3,0.03265857696533203
0,2,8,4,0.11005214601755142
0,2,8,5,0.0664111003279686
0,2,8,6,0.03221125900745392
0,2,8,7,0.041695479303598404
0,2,8,8,0.041695479303598404
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.07791101187467575
0,2,9,1,0.04811003431677818
0,2,9,2,0.05171741917729378
0,2,9,3,0.034628722816705704
0,2,9,4,0.047027647495269775
0,2,9,5,0.04132149741053581
0,2,9,6,0.07266218960285187
0,2,9,7,0.051136210560798645
0,2,9,8,0.051136210560798645
0,2,9,9,0.044538337737321854
0,2,9,10,0.0
0,2,9,11,0.0
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.049632590264081955
0,2,10,1,0.03129204362630844
0,2,10,2,0.03423595428466797
0,2,10,3,0.028744898736476898
0,2,10,4,0.04111519083380699
0,2,10,5,0.050506964325904846
0,2,10,6,0.05897650122642517
0,2,10,7,0.06015745922923088
0,2,10,8,0.06015745922923088
0,2,10,9,0.03245418891310692
0,2,10,10,0.02242625504732132
0,2,10,11,0.011213134042918682
0,2,10,12,0.017767997458577156
0,2,10,13,0.008133867755532265
0,2,11,0,0.06222991272807121
0,2,11,1,0.021981874480843544
0,2,11,2,0.0338924415409565
0,2,11,3,0.013210591860115528
0,2,11,4,0.026013629510998726
0,2,11,5,0.028203649446368217
0,2,11,6,0.11812176555395126
0,2,11,7,0.030737848952412605
0,2,11,8,0.030737848952412605
0,2,11,9,0.020529387518763542
0,2,11,10,0.023718291893601418
0,2,11,11,0.01422179490327835
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.03158001974225044
0,2,12,1,0.023746052756905556
0,2,12,2,0.03136736899614334
0,2,12,3,0.020426200702786446
0,2,12,4,0.04310641810297966
0,2,12,5,0.047758620232343674
0,2,12,6,0.042612213641405106
0,2,12,7,0.06011095270514488
0,2,12,8,0.06011095270514488
0,2,12,9,0.02666335552930832
0,2,12,10,0.03323750197887421
0,2,12,11,0.02589287795126438
0,2,12,12,0.03932509198784828
0,2,12,13,0.0
0,2,13,0,0.028911950066685677
0,2,13,1,0.014181052334606647
0,2,13,2,0.025326289236545563
0,2,13,3,0.016259832307696342
0,2,13,4,0.03998168185353279
0,2,13,5,0.05411497876048088
0,2,13,6,0.021987952291965485
0,2,13,7,0.07423600554466248
0,2,13,8,0.07423600554466248
0,2,13,9,0.015690108761191368
0,2,13,10,0.04158541187644005
0,2,13,11,0.020735038444399834
0,2,13,12,0.05661032721400261
0,2,13,13,0.07926365733146667
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.022904058918356895
0,3,1,1,0.9304120540618896
0,3,1,2,0.0
0,3,1,3,0.0
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.003449438139796257
0,3,2,1,0.029416115954518318
0,3,2,2,0.11997688561677933
0,3,2,3,0.11341333389282227
0,3,2,4,0.08518478274345398
0,3,2,5,0.0
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.0011842271778732538
0,3,3,1,0.0002759540220722556
0,3,3,2,0.12451577931642532
0,3,3,3,0.8951473832130432
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.001181170460768044
0,3,4,1,0.00017719280731398612
0,3,4,2,0.09413349628448486
0,3,4,3,0.005245168227702379
0,3,4,4,0.3411170542240143
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.0002182369353249669
0,3,5,1,6.55129988444969e-05
0,3,5,2,0.02675718255341053
0,3,5,3,0.0011218838626518846
0,3,5,4,0.11682144552469254
0,3,5,5,0.6842885613441467
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,6.937998114153743e-05
0,3,6,1,3.6920384900440695e-06
0,3,6,2,0.00026046132552437484
0,3,6,3,2.0251625755918212e-05
0,3,6,4,0.0001319570146733895
0,3,6,5,2.85749356407905e-05
0,3,6,6,0.9974187016487122
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.0019688212778419256
0,3,7,1,0.00022687033924739808
0,3,7,2,0.014539435505867004
0,3,7,3,0.008237645030021667
0,3,7,4,0.05410975217819214
0,3,7,5,0.11426341533660889
0,3,7,6,0.20489811897277832
0,3,7,7,0.49040257930755615
0,3,7,8,0.49040257930755615
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.0019688212778419256
0,3,8,1,0.00022687033924739808
0,3,8,2,0.014539435505867004
0,3,8,3,0.008237645030021667
0,3,8,4,0.05410975217819214
0,3,8,5,0.11426341533660889
0,3,8,6,0.20489811897277832
0,3,8,7,0.49040257930755615
0,3,8,8,0.49040257930755615
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.00048677390441298485
0,3,9,1,0.0005779264611192048
0,3,9,2,4.9056496209232137e-05
0,3,9,3,8.349862036993727e-05
0,3,9,4,6.52502931188792e-05
0,3,9,5,9.632922592572868e-05
0,3,9,6,0.0013802231987938285
0,3,9,7,0.00022196448117028922
0,3,9,8,0.00022196448117028922
0,3,9,9,0.9958133697509766
0,3,9,10,0.0
0,3,9,11,0.0
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,0.00025944848312065005
0,3,10,1,6.4888532506302e-05
0,3,10,2,0.00017323537031188607
0,3,10,3,0.00012144880020059645
0,3,10,4,0.0002352002338739112
0,3,10,5,0.00041724691982381046
0,3,10,6,0.0012429788475856185
0,3,10,7,0.00048542083823122084
0,3,10,8,0.00048542083823122084
0,3,10,9,0.023361509665846825
0,3,10,10,0.09440964460372925
0,3,10,11,0.0905090942978859
0,3,10,12,0.10709015280008316
0,3,10,13,0.06580565124750137
0,3,11,0,7.4821051384788e-05
0,3,11,1,1.2256319905645796e-06
0,3,11,2,0.00011164986790390685
0,3,11,3,0.0006914413534104824
0,3,11,4,1.396787502017105e-05
0,3,11,5,2.078484249068424e-05
0,3,11,6,0.010806814767420292
0,3,11,7,4.396108852233738e-05
0,3,11,8,4.396108852233738e-05
0,3,11,9,0.00032901964732445776
0,3,11,10,0.09617099165916443
0,3,11,11,0.9056175351142883
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.00011768961121561006
0,3,12,1,1.2943742149218451e-06
0,3,12,2,3.892706081387587e-05
0,3,12,3,3.2547584396525053e-06
0,3,12,4,0.00015098108269739896
0,3,12,5,0.00010134172043763101
0,3,12,6,7.438571628881618e-05
0,3,12,7,0.0003283658588770777
0,3,12,8,0.0003283658588770777
0,3,12,9,0.00015723724209237844
0,3,12,10,0.09708231687545776
0,3,12,11,0.004390574526041746
0,3,12,12,0.3431503474712372
0,3,12,13,0.0
0,3,13,0,2.8538490369101055e-05
0,3,13,1,1.0829722896232852e-06
0,3,13,2,1.6541553122806363e-05
0,3,13,3,9.978381285691285e-07
0,3,13,4,5.700296605937183e-05
0,3,13,5,0.0001136379360104911
0,3,13,6,2.6674895707401447e-05
0,3,13,7,0.00017745840887073427
0,3,13,8,0.00017745840887073427
0,3,13,9,4.586590875987895e-05
0,3,13,10,0.09716195613145828
0,3,13,11,0.0010347248753532767
0,3,13,12,0.11083843559026718
0,3,13,13,0.6834709048271179
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.05252989009022713
0,4,1,1,0.8355255722999573
0,4,1,2,0.0
0,4,1,3,0.0
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.01907375454902649
0,4,2,1,0.1169232651591301
0,4,2,2,0.1026221215724945
0,4,2,3,0.06915736198425293
0,4,2,4,0.06313017755746841
0,4,2,5,0.0
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.010739661753177643
0,4,3,1,0.04188370704650879
0,4,3,2,0.1156303659081459
0,4,3,3,0.4574109613895416
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.013938470743596554
0,4,4,1,0.014363535679876804
0,4,4,2,0.10039126873016357
0,4,4,3,0.03934435173869133
0,4,4,4,0.25646063685417175
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
