layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2532639503479004
0,0,1,1,0.09394145011901855
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.1184217557311058
0,0,2,1,0.12329640239477158
0,0,2,2,0.057362038642168045
0,0,2,3,0.018319616094231606
0,0,2,4,0.005424272269010544
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.09695154428482056
0,0,3,1,0.10270094871520996
0,0,3,2,0.07377956807613373
0,0,3,3,0.01264867465943098
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.07410324364900589
0,0,4,1,0.0705559030175209
0,0,4,2,0.08146870136260986
0,0,4,3,0.049545783549547195
0,0,4,4,0.03338363394141197
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.06723009794950485
0,0,5,1,0.06675595045089722
0,0,5,2,0.07202699780464172
0,0,5,3,0.03139188885688782
0,0,5,4,0.04959684610366821
0,0,5,5,0.020877094939351082
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.07166392356157303
0,0,6,1,0.05970481410622597
0,0,6,2,0.06312154978513718
0,0,6,3,0.0507582388818264
0,0,6,4,0.03878523409366608
0,0,6,5,0.043064530938863754
0,0,6,6,0.044127386063337326
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.061622872948646545
0,0,7,1,0.04965291917324066
0,0,7,2,0.07708322256803513
0,0,7,3,0.01222037523984909
0,0,7,4,0.039958056062459946
0,0,7,5,0.00967467948794365
0,0,7,6,0.051631707698106766
0,0,7,7,0.01044557522982359
0,0,7,8,0.01044557522982359
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.061622872948646545
0,0,8,1,0.04965291917324066
0,0,8,2,0.07708322256803513
0,0,8,3,0.01222037523984909
0,0,8,4,0.039958056062459946
0,0,8,5,0.00967467948794365
0,0,8,6,0.051631707698106766
0,0,8,7,0.01044557522982359
0,0,8,8,0.01044557522982359
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.05520465970039368
0,0,9,1,0.027715936303138733
0,0,9,2,0.05875329300761223
0,0,9,3,0.014686123467981815
0,0,9,4,0.02922026254236698
0,0,9,5,0.03143320977687836
0,0,9,6,0.05942417308688164
0,0,9,7,0.051154088228940964
0,0,9,8,0.051154088228940964
0,0,9,9,0.035889070481061935
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.040043529123067856
0,0,10,1,0.04470764473080635
0,0,10,2,0.03561191260814667
0,0,10,3,0.01603696309030056
0,0,10,4,0.023367203772068024
0,0,10,5,0.020942652598023415
0,0,10,6,0.027420906350016594
0,0,10,7,0.02644222043454647
0,0,10,8,0.02644222043454647
0,0,10,9,0.0669127106666565
0,0,10,10,0.027979454025626183
0,0,10,11,0.014262870885431767
0,0,10,12,0.013665527105331421
0,0,10,13,0.0010389393428340554
0,0,11,0,0.044829219579696655
0,0,11,1,0.048996951431035995
0,0,11,2,0.03492117300629616
0,0,11,3,0.004470691550523043
0,0,11,4,0.012433692812919617
0,0,11,5,0.008726765401661396
0,0,11,6,0.0501130074262619
0,0,11,7,0.015970012173056602
0,0,11,8,0.015970012173056602
0,0,11,9,0.06548530608415604
0,0,11,10,0.030112765729427338
0,0,11,11,0.006352439522743225
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.031815774738788605
0,0,12,1,0.03040936589241028
0,0,12,2,0.03283752501010895
0,0,12,3,0.016484495252370834
0,0,12,4,0.02008252777159214
0,0,12,5,0.012611988000571728
0,0,12,6,0.02144053764641285
0,0,12,7,0.014468975365161896
0,0,12,8,0.014468975365161896
0,0,12,9,0.053131211549043655
0,0,12,10,0.039163898676633835
0,0,12,11,0.029227199032902718
0,0,12,12,0.025524595752358437
0,0,12,13,0.0
0,0,13,0,0.029696917161345482
0,0,13,1,0.031614094972610474
0,0,13,2,0.0297305379062891
0,0,13,3,0.010918381623923779
0,0,13,4,0.01977194845676422
0,0,13,5,0.006983389612287283
0,0,13,6,0.032236311584711075
0,0,13,7,0.011416479013860226
0,0,13,8,0.011416479013860226
0,0,13,9,0.04892789199948311
0,0,13,10,0.04098667576909065
0,0,13,11,0.018666015937924385
0,0,13,12,0.03636333718895912
0,0,13,13,0.012467272579669952
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.0002789887075778097
0,1,1,1,0.9989956021308899
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.0003904534678440541
0,1,2,1,0.0003990496043115854
0,1,2,2,0.12473190575838089
0,1,2,3,0.12403830140829086
0,1,2,4,0.049715351313352585
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.001367997843772173
0,1,3,1,4.4416705350158736e-05
0,1,3,2,0.12444871664047241
0,1,3,3,0.9917690753936768
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0004951072041876614
0,1,4,1,0.00014560294221155345
0,1,4,2,0.05020303651690483
0,1,4,3,0.0002643271873239428
0,1,4,4,0.1990145444869995
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.0004948631394654512
0,1,5,1,1.3669811778527219e-05
0,1,5,2,0.00033147368230856955
0,1,5,3,0.0003963103808928281
0,1,5,4,0.011739897541701794
0,1,5,5,0.935619056224823
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.000398454227251932
0,1,6,1,0.00012885376054327935
0,1,6,2,0.0004839860775973648
0,1,6,3,0.000431807799031958
0,1,6,4,0.00021518883295357227
0,1,6,5,8.969075861386955e-05
0,1,6,6,0.994332492351532
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.00019031669944524765
0,1,7,1,1.5884250387898646e-05
0,1,7,2,0.00014339847257360816
0,1,7,3,0.0001304531906498596
0,1,7,4,0.00047161782276816666
0,1,7,5,0.001789357396773994
0,1,7,6,0.0001252764486707747
0,1,7,7,0.9840786457061768
0,1,7,8,0.9840786457061768
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.00019031669944524765
0,1,8,1,1.5884250387898646e-05
0,1,8,2,0.00014339847257360816
0,1,8,3,0.0001304531906498596
0,1,8,4,0.00047161782276816666
0,1,8,5,0.001789357396773994
0,1,8,6,0.0001252764486707747
0,1,8,7,0.9840786457061768
0,1,8,8,0.9840786457061768
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,6.329844472929835e-05
0,1,9,1,0.4427257776260376
0,1,9,2,9.581822087056935e-05
0,1,9,3,2.8462584396038437e-06
0,1,9,4,4.738899224321358e-05
0,1,9,5,7.637837370566558e-06
0,1,9,6,5.245595457381569e-05
0,1,9,7,2.6954105578624876e-06
0,1,9,8,2.6954105578624876e-06
0,1,9,9,0.556161105632782
0,1,9,10,0.0
0,1,9,11,0.0
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,0.00015494793478865176
0,1,10,1,5.752036304329522e-05
0,1,10,2,0.03735371306538582
0,1,10,3,0.038561780005693436
0,1,10,4,0.032415587455034256
0,1,10,5,0.030997147783637047
0,1,10,6,0.0008233314729295671
0,1,10,7,0.00027426425367593765
0,1,10,8,0.00027426425367593765
0,1,10,9,4.380984682939015e-05
0,1,10,10,0.04772482439875603
0,1,10,11,0.04398872330784798
0,1,10,12,0.05117526277899742
0,1,10,13,0.04943482205271721
0,1,11,0,0.0004160127427894622
0,1,11,1,1.2930755474371836e-05
0,1,11,2,0.05796700716018677
0,1,11,3,0.4620346128940582
0,1,11,4,7.742019806755707e-05
0,1,11,5,9.452149970456958e-05
0,1,11,6,0.005977081600576639
0,1,11,7,4.0646093111718073e-05
0,1,11,8,4.0646093111718073e-05
0,1,11,9,6.3642328314017504e-06
0,1,11,10,0.04404342547059059
0,1,11,11,0.5272215008735657
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.00019962394435424358
0,1,12,1,4.429024920682423e-05
0,1,12,2,0.01996053196489811
0,1,12,3,7.23437187843956e-05
0,1,12,4,0.07681560516357422
0,1,12,5,0.0045183333568274975
0,1,12,6,0.0005129487835802138
0,1,12,7,0.0002946504100691527
0,1,12,8,0.0002946504100691527
0,1,12,9,3.818305776803754e-05
0,1,12,10,0.050727177411317825
0,1,12,11,8.695763972355053e-05
0,1,12,12,0.12150061130523682
0,1,12,13,0.0
0,1,13,0,0.00021564413327723742
0,1,13,1,5.2090304052399006e-06
0,1,13,2,0.0001373536797473207
0,1,13,3,0.00015736983914393932
0,1,13,4,0.004045227542519569
0,1,13,5,0.3488871157169342
0,1,13,6,1.806937507353723e-05
0,1,13,7,0.0017310748808085918
0,1,13,8,0.0017310748808085918
0,1,13,9,3.949714027839946e-06
0,1,13,10,0.05224619805812836
0,1,13,11,0.00020838646742049605
0,1,13,12,0.006600068416446447
0,1,13,13,0.5932178497314453
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.2466309815645218
0,2,1,1,0.101688914000988
0,2,1,2,0.0
0,2,1,3,0.0
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.17427588999271393
0,2,2,1,0.06054967641830444
0,2,2,2,0.03357776254415512
0,2,2,3,0.014326239936053753
0,2,2,4,0.00874502956867218
0,2,2,5,0.0
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.18506865203380585
0,2,3,1,0.03726823627948761
0,2,3,2,0.042779672890901566
0,2,3,3,0.012560267932713032
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.08643453568220139
0,2,4,1,0.04213671013712883
0,2,4,2,0.055278677493333817
0,2,4,3,0.042695239186286926
0,2,4,4,0.05947141721844673
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.07865571230649948
0,2,5,1,0.023161770775914192
0,2,5,2,0.040795113891363144
0,2,5,3,0.04274581000208855
0,2,5,4,0.07464149594306946
0,2,5,5,0.0728868916630745
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.08600693196058273
0,2,6,1,0.04364413022994995
0,2,6,2,0.038560446351766586
0,2,6,3,0.013849941082298756
0,2,6,4,0.03791188821196556
0,2,6,5,0.037079598754644394
0,2,6,6,0.1811051368713379
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.051766812801361084
0,2,7,1,0.03159911558032036
0,2,7,2,0.054603103548288345
0,2,7,3,0.03014308400452137
0,2,7,4,0.06879880279302597
0,2,7,5,0.0781075730919838
0,2,7,6,0.03514581918716431
0,2,7,7,0.03904623165726662
0,2,7,8,0.03904623165726662
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.051766812801361084
0,2,8,1,0.03159911558032036
0,2,8,2,0.054603103548288345
0,2,8,3,0.03014308400452137
0,2,8,4,0.06879880279302597
0,2,8,5,0.0781075730919838
0,2,8,6,0.03514581918716431
0,2,8,7,0.03904623165726662
0,2,8,8,0.03904623165726662
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.0849580392241478
0,2,9,1,0.06957352161407471
0,2,9,2,0.04067571461200714
0,2,9,3,0.03288678452372551
0,2,9,4,0.04141152277588844
0,2,9,5,0.03493532910943031
0,2,9,6,0.054392967373132706
0,2,9,7,0.0523395836353302
0,2,9,8,0.0523395836353302
0,2,9,9,0.0649050772190094
0,2,9,10,0.0
0,2,9,11,0.0
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.04914015159010887
0,2,10,1,0.025756502524018288
0,2,10,2,0.028405562043190002
0,2,10,3,0.02129743993282318
0,2,10,4,0.041675228625535965
0,2,10,5,0.048160821199417114
0,2,10,6,0.06491578370332718
0,2,10,7,0.06415180116891861
0,2,10,8,0.06415180116891861
0,2,10,9,0.027136480435729027
0,2,10,10,0.018278202041983604
0,2,10,11,0.011161507107317448
0,2,10,12,0.018734974786639214
0,2,10,13,0.004039233084768057
0,2,11,0,0.08111748844385147
0,2,11,1,0.02223970554769039
0,2,11,2,0.029621025547385216
0,2,11,3,0.005454835947602987
0,2,11,4,0.02825193665921688
0,2,11,5,0.03300938010215759
0,2,11,6,0.1015668511390686
0,2,11,7,0.03628120943903923
0,2,11,8,0.03628120943903923
0,2,11,9,0.02022763527929783
0,2,11,10,0.015751812607049942
0,2,11,11,0.005601455923169851
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.030954433605074883
0,2,12,1,0.020670564845204353
0,2,12,2,0.02510177344083786
0,2,12,3,0.015489528886973858
0,2,12,4,0.04219432175159454
0,2,12,5,0.047991473227739334
0,2,12,6,0.04506542161107063
0,2,12,7,0.06207693740725517
0,2,12,8,0.06207693740725517
0,2,12,9,0.02410549484193325
0,2,12,10,0.027416860684752464
0,2,12,11,0.020611917600035667
0,2,12,12,0.03516927734017372
0,2,12,13,0.0
0,2,13,0,0.03563772141933441
0,2,13,1,0.013790705241262913
0,2,13,2,0.021242806687951088
0,2,13,3,0.019522979855537415
0,2,13,4,0.03499916195869446
0,2,13,5,0.03324444591999054
0,2,13,6,0.017438091337680817
0,2,13,7,0.06692054867744446
0,2,13,8,0.06692054867744446
0,2,13,9,0.01471662987023592
0,2,13,10,0.03530566021800041
0,2,13,11,0.025277050212025642
0,2,13,12,0.04897330328822136
0,2,13,13,0.04847079515457153
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.008546133525669575
0,3,1,1,0.9733085036277771
0,3,1,2,0.0
0,3,1,3,0.0
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.0009964987402781844
0,3,2,1,0.028676962479948997
0,3,2,2,0.12101215869188309
0,3,2,3,0.10322988778352737
0,3,2,4,0.04919681325554848
0,3,2,5,0.0
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.0006009390344843268
0,3,3,1,0.00026579925906844437
0,3,3,2,0.12473150342702866
0,3,3,3,0.816595733165741
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.001128709060139954
0,3,4,1,0.00010517049668123946
0,3,4,2,0.06383354961872101
0,3,4,3,0.002952817128971219
0,3,4,4,0.19754314422607422
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.00017060308891814202
0,3,5,1,0.00012158462777733803
0,3,5,2,0.0033143863547593355
0,3,5,3,0.00038734296686016023
0,3,5,4,0.04496927186846733
0,3,5,5,0.7711265683174133
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,4.069608621648513e-05
0,3,6,1,6.319580734270858e-07
0,3,6,2,2.6171723220613785e-05
0,3,6,3,2.947760776805808e-06
0,3,6,4,0.00011948586325161159
0,3,6,5,3.1555067835142836e-05
0,3,6,6,0.9991222023963928
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.0016412929398939013
0,3,7,1,0.00020917986694257706
0,3,7,2,0.005101307760924101
0,3,7,3,0.005290806759148836
0,3,7,4,0.03252016007900238
0,3,7,5,0.12426979094743729
0,3,7,6,0.17319147288799286
0,3,7,7,0.5215855240821838
0,3,7,8,0.5215855240821838
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.0016412929398939013
0,3,8,1,0.00020917986694257706
0,3,8,2,0.005101307760924101
0,3,8,3,0.005290806759148836
0,3,8,4,0.03252016007900238
0,3,8,5,0.12426979094743729
0,3,8,6,0.17319147288799286
0,3,8,7,0.5215855240821838
0,3,8,8,0.5215855240821838
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.0001382622285746038
0,3,9,1,0.00024351557658519596
0,3,9,2,4.330199953983538e-05
0,3,9,3,1.0761314115370624e-06
0,3,9,4,7.515773177146912e-05
0,3,9,5,0.00016844907077029347
0,3,9,6,0.0011579751735553145
0,3,9,7,0.0003533026610966772
0,3,9,8,0.0003533026610966772
0,3,9,9,0.9972010254859924
0,3,9,10,0.0
0,3,9,11,0.0
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,6.570908590219915e-05
0,3,10,1,8.037499355850741e-06
0,3,10,2,3.819730045506731e-05
0,3,10,3,6.212553125806153e-05
0,3,10,4,3.0621686164522544e-05
0,3,10,5,7.365436613326892e-05
0,3,10,6,0.002095125848427415
0,3,10,7,0.00016443357162643224
0,3,10,8,0.00016443357162643224
0,3,10,9,0.016843438148498535
0,3,10,10,0.08168470859527588
0,3,10,11,0.07052872329950333
0,3,10,12,0.08696601539850235
0,3,10,13,0.06081335246562958
0,3,11,0,4.725816324935295e-05
0,3,11,1,1.1392090755180106e-06
0,3,11,2,0.00013516948092728853
0,3,11,3,0.0007306989864446223
0,3,11,4,1.7021537132677622e-05
0,3,11,5,4.0337370592169464e-05
0,3,11,6,0.021534835919737816
0,3,11,7,8.398568024858832e-05
0,3,11,8,8.398568024858832e-05
0,3,11,9,0.00020631721417885274
0,3,11,10,0.08140301704406738
0,3,11,11,0.8293426632881165
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.000126764687593095
0,3,12,1,6.945689960957679e-07
0,3,12,2,8.937717211665586e-06
0,3,12,3,1.5195251990007819e-06
0,3,12,4,3.996397936134599e-05
0,3,12,5,0.00010431028204038739
0,3,12,6,5.7291152188554406e-05
0,3,12,7,0.0003013034875039011
0,3,12,8,0.0003013034875039011
0,3,12,9,8.55998951010406e-05
0,3,12,10,0.08323800563812256
0,3,12,11,0.003294374095275998
0,3,12,12,0.19808083772659302
0,3,12,13,0.0
0,3,13,0,2.6114576030522585e-05
0,3,13,1,2.05077549253474e-06
0,3,13,2,2.469400669724564e-06
0,3,13,3,3.907759946741862e-07
0,3,13,4,7.478418410755694e-06
0,3,13,5,6.175829184940085e-05
0,3,13,6,1.832054476835765e-05
0,3,13,7,0.000175543173099868
0,3,13,8,0.000175543173099868
0,3,13,9,8.634471305413172e-05
0,3,13,10,0.08329350501298904
0,3,13,11,0.0005300960037857294
0,3,13,12,0.05318811535835266
0,3,13,13,0.7297602295875549
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.0852702185511589
0,4,1,1,0.7324478030204773
0,4,1,2,0.0
0,4,1,3,0.0
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.01811627671122551
0,4,2,1,0.0873180404305458
0,4,2,2,0.1066863164305687
0,4,2,3,0.05716465413570404
0,4,2,4,0.03704456612467766
0,4,2,5,0.0
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.00861299317330122
0,4,3,1,0.04931740090250969
0,4,3,2,0.11552301794290543
0,4,3,3,0.355231374502182
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.014928672462701797
0,4,4,1,0.019068818539381027
0,4,4,2,0.08291535079479218
0,4,4,3,0.033883802592754364
0,4,4,4,0.15605801343917847
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
