layer,head,source_position,dest_position,value
0,0,0,0,0.333333283662796
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.22098837792873383
0,0,1,1,0.12930995225906372
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.13024376332759857
0,0,2,1,0.07256853580474854
0,0,2,2,0.05146210640668869
0,0,2,3,0.02988329716026783
0,0,2,4,0.010239409282803535
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.1477762758731842
0,0,3,1,0.10010364651679993
0,0,3,2,0.050515152513980865
0,0,3,3,0.06442665308713913
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.10450402647256851
0,0,4,1,0.10342634469270706
0,0,4,2,0.069896399974823
0,0,4,3,0.11090914905071259
0,0,4,4,0.04340074956417084
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.08083955198526382
0,0,5,1,0.08284603804349899
0,0,5,2,0.08289559930562973
0,0,5,3,0.11665315926074982
0,0,5,4,0.08973055332899094
0,0,5,5,0.017744285985827446
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.08728708326816559
0,0,6,1,0.07264132797718048
0,0,6,2,0.058802925050258636
0,0,6,3,0.07661093026399612
0,0,6,4,0.05457891523838043
0,0,6,5,0.05080601945519447
0,0,6,6,0.076341912150383
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.06943429261445999
0,0,7,1,0.07319948822259903
0,0,7,2,0.08026909083127975
0,0,7,3,0.11537723988294601
0,0,7,4,0.09531915932893753
0,0,7,5,0.009596304967999458
0,0,7,6,0.09912397712469101
0,0,7,7,0.009768432006239891
0,0,7,8,0.009768432006239891
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.06943429261445999
0,0,8,1,0.07319948822259903
0,0,8,2,0.08026909083127975
0,0,8,3,0.11537723988294601
0,0,8,4,0.09531915932893753
0,0,8,5,0.009596304967999458
0,0,8,6,0.09912397712469101
0,0,8,7,0.009768432006239891
0,0,8,8,0.009768432006239891
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.06828965991735458
0,0,9,1,0.04947930946946144
0,0,9,2,0.054069820791482925
0,0,9,3,0.09565094113349915
0,0,9,4,0.05278470367193222
0,0,9,5,0.05132810398936272
0,0,9,6,0.0963977500796318
0,0,9,7,0.07023932784795761
0,0,9,8,0.07023932784795761
0,0,9,9,0.05783098191022873
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.0523676835000515
0,0,10,1,0.030767429620027542
0,0,10,2,0.03818930312991142
0,0,10,3,0.04169312119483948
0,0,10,4,0.037278469651937485
0,0,10,5,0.026675255969166756
0,0,10,6,0.049962252378463745
0,0,10,7,0.03692516312003136
0,0,10,8,0.03692516312003136
0,0,10,9,0.041598573327064514
0,0,10,10,0.030342495068907738
0,0,10,11,0.025028346106410027
0,0,10,12,0.014083323068916798
0,0,10,13,0.0009155716979876161
0,0,11,0,0.07557183504104614
0,0,11,1,0.05048586055636406
0,0,11,2,0.03291306272149086
0,0,11,3,0.033234428614377975
0,0,11,4,0.03221389651298523
0,0,11,5,0.03379356488585472
0,0,11,6,0.05265115574002266
0,0,11,7,0.05258699133992195
0,0,11,8,0.05258699133992195
0,0,11,9,0.060559313744306564
0,0,11,10,0.027763640508055687
0,0,11,11,0.040551502257585526
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.04506327956914902
0,0,12,1,0.04730198532342911
0,0,12,2,0.035967253148555756
0,0,12,3,0.04846550151705742
0,0,12,4,0.03930649533867836
0,0,12,5,0.017805663868784904
0,0,12,6,0.06467233598232269
0,0,12,7,0.02340204082429409
0,0,12,8,0.02340204082429409
