layer,head,source_position,dest_position,value
0,0,0,0,0.3235294222831726
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2119923233985901
0,0,1,1,0.11621209979057312
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.130940780043602
0,0,2,1,0.0743851512670517
0,0,2,2,0.05948016792535782
0,0,2,3,0.04127008095383644
0,0,2,4,0.01465570367872715
0,0,2,5,0.0008300722111016512
0,0,2,6,0.002802046248689294
0,0,2,7,0.00025222933618351817
0,0,2,8,0.0002586023765616119
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.13468027114868164
0,0,3,1,0.05953892692923546
0,0,3,2,0.055328644812107086
0,0,3,3,0.04755878075957298
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.09287968277931213
0,0,4,1,0.06876730173826218
0,0,4,2,0.0830317810177803
0,0,4,3,0.09383771568536758
0,0,4,4,0.04442848265171051
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.073420949280262
0,0,5,1,0.05654583126306534
0,0,5,2,0.09933120757341385
0,0,5,3,0.10378141701221466
0,0,5,4,0.09575861692428589
0,0,5,5,0.014214160852134228
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.08296089619398117
0,0,6,1,0.06286344677209854
0,0,6,2,0.06718461215496063
0,0,6,3,0.06777762621641159
0,0,6,4,0.050337567925453186
0,0,6,5,0.045632101595401764
0,0,6,6,0.0781683474779129
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.0582825243473053
0,0,7,1,0.04764769971370697
0,0,7,2,0.09981968253850937
0,0,7,3,0.10089787095785141
0,0,7,4,0.1075335219502449
0,0,7,5,0.008317440748214722
0,0,7,6,0.08745395392179489
0,0,7,7,0.008486349135637283
0,0,7,8,0.00804216880351305
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.05792552977800369
0,0,8,1,0.04815138876438141
0,0,8,2,0.09986715018749237
0,0,8,3,0.09726396948099136
0,0,8,4,0.10983451455831528
0,0,8,5,0.009201965294778347
0,0,8,6,0.0864698514342308
0,0,8,7,0.009588615968823433
0,0,8,8,0.009370219893753529
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.06066044792532921
0,0,9,1,0.03990058973431587
0,0,9,2,0.06492072343826294
0,0,9,3,0.07912381738424301
0,0,9,4,0.05293715000152588
0,0,9,5,0.04173918440937996
0,0,9,6,0.11260558664798737
0,0,9,7,0.06553413718938828
0,0,9,8,0.06636874377727509
0,0,9,9,0.0492890402674675
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
