layer,head,source_position,dest_position,value
0,0,0,0,0.32956811785697937
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.21678920090198517
0,0,1,1,0.13886547088623047
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.14554721117019653
0,0,2,1,0.12101832032203674
0,0,2,2,0.06996538490056992
0,0,2,3,0.023536570370197296
0,0,2,4,0.008132269605994225
0,0,2,5,3.989208198618144e-05
0,0,2,6,0.00013880305050406605
0,0,2,7,1.6961708752205595e-05
0,0,2,8,1.3608933841169346e-05
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.13658857345581055
0,0,3,1,0.10680600255727768
0,0,3,2,0.08110502362251282
0,0,3,3,0.07015908509492874
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.10359539836645126
0,0,4,1,0.11081215739250183
0,0,4,2,0.07198222726583481
0,0,4,3,0.09641434252262115
0,0,4,4,0.042590852826833725
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.08691910654306412
0,0,5,1,0.11579901725053787
0,0,5,2,0.07918737828731537
0,0,5,3,0.08583316951990128
