layer,head,source_position,dest_position,value
0,0,0,0,0.32775041460990906
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.22251349687576294
0,0,1,1,0.1378481686115265
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.1386682242155075
0,0,2,1,0.10918701440095901
0,0,2,2,0.05947784706950188
0,0,2,3,0.02333703078329563
0,0,2,4,0.01010808628052473
0,0,2,5,5.91503267060034e-05
0,0,2,6,0.00020581141870934516
0,0,2,7,2.5150118744932115e-05
0,0,2,8,2.017876431636978e-05
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.10233896970748901
0,0,3,1,0.10632555931806564
0,0,3,2,0.06977643072605133
0,0,3,3,0.0608941949903965
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.0860566794872284
0,0,4,1,0.08008179068565369
0,0,4,2,0.07398288697004318
0,0,4,3,0.07940461486577988
0,0,4,4,0.05155336111783981
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.07131291180849075
0,0,5,1,0.07727154344320297
0,0,5,2,0.07860107719898224
0,0,5,3,0.07242926955223083
0,0,5,4,0.0586901418864727
0,0,5,5,0.018330389633774757
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.07753165066242218
0,0,6,1,0.06362379342317581
0,0,6,2,0.05330613628029823
0,0,6,3,0.06052780523896217
0,0,6,4,0.040385760366916656
0,0,6,5,0.05280062556266785
0,0,6,6,0.07377663254737854
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.06252314895391464
0,0,7,1,0.07347387820482254
0,0,7,2,0.07343585789203644
0,0,7,3,0.06878476589918137
0,0,7,4,0.05429389700293541
0,0,7,5,0.009607283398509026
0,0,7,6,0.10147355496883392
0,0,7,7,0.009673562832176685
0,0,7,8,0.009490172378718853
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.06258463114500046
0,0,8,1,0.07356203347444534
0,0,8,2,0.072623111307621
0,0,8,3,0.06693139672279358
0,0,8,4,0.05428919568657875
0,0,8,5,0.009961701929569244
0,0,8,6,0.10154353082180023
0,0,8,7,0.010175680741667747
0,0,8,8,0.010404557920992374
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.07296022027730942
0,0,9,1,0.053020868450403214
0,0,9,2,0.044471099972724915
0,0,9,3,0.05272476002573967
0,0,9,4,0.04173437878489494
0,0,9,5,0.04919834062457085
0,0,9,6,0.08768938481807709
0,0,9,7,0.05633370950818062
0,0,9,8,0.055667150765657425
0,0,9,9,0.06632494181394577
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.052568864077329636
0,0,10,1,0.04234693944454193
0,0,10,2,0.037911321967840195
0,0,10,3,0.038669031113386154
0,0,10,4,0.031061328947544098
0,0,10,5,0.027837231755256653
0,0,10,6,0.059553202241659164
0,0,10,7,0.03512671962380409
0,0,10,8,0.03526308760046959
0,0,10,9,0.06054564192891121
0,0,10,10,0.03326767310500145
0,0,10,11,0.018328197300434113
0,0,10,12,0.011647401377558708
0,0,10,13,0.0008172827074304223
0,0,11,0,0.04577106609940529
0,0,11,1,0.04702107608318329
0,0,11,2,0.03690055385231972
0,0,11,3,0.0243536364287138
0,0,11,4,0.0314202681183815
0,0,11,5,0.031851403415203094
0,0,11,6,0.055576588958501816
0,0,11,7,0.0455850325524807
0,0,11,8,0.045403607189655304
0,0,11,9,0.06339346617460251
0,0,11,10,0.0364668108522892
0,0,11,11,0.03217272087931633
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.04032532870769501
0,0,12,1,0.03668724372982979
0,0,12,2,0.033004291355609894
0,0,12,3,0.03227512165904045
0,0,12,4,0.03169894963502884
0,0,12,5,0.017492031678557396
0,0,12,6,0.04392639547586441
0,0,12,7,0.018033521249890327
0,0,12,8,0.01854342222213745
0,0,12,9,0.05391974002122879
0,0,12,10,0.043326228857040405
0,0,12,11,0.049933936446905136
0,0,12,12,0.03748689591884613
0,0,12,13,0.0
0,0,13,0,0.032488882541656494
0,0,13,1,0.03492918238043785
0,0,13,2,0.033763375133275986
0,0,13,3,0.02955954149365425
