layer,head,source_position,dest_position,value
0,0,0,0,0.3333333432674408
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.2528945505619049
0,0,1,1,0.10510148108005524
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.09430545568466187
0,0,2,1,0.09142328798770905
0,0,2,2,0.025528842583298683
0,0,2,3,0.0
0,0,2,4,0.0
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.20164620876312256
0,0,3,1,0.06989695131778717
0,0,3,2,0.03679317235946655
0,0,3,3,0.15385222434997559
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.17252470552921295
0,0,4,1,0.09036386013031006
0,0,4,2,0.03106333687901497
0,0,4,3,0.10747640579938889
0,0,4,4,0.08454672992229462
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.1079576388001442
0,0,5,1,0.1026182621717453
0,0,5,2,0.028323538601398468
0,0,5,3,0.09487992525100708
0,0,5,4,0.14398157596588135
0,0,5,5,0.03150130808353424
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.10643933713436127
0,0,6,1,0.11356930434703827
0,0,6,2,0.01965145394206047
0,0,6,3,0.05846390873193741
0,0,6,4,0.07137635350227356
0,0,6,5,0.10452345758676529
0,0,6,6,0.08758383989334106
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.11745257675647736
0,0,7,1,0.12757086753845215
0,0,7,2,0.029005378484725952
0,0,7,3,0.12275374680757523
0,0,7,4,0.07876277714967728
0,0,7,5,0.01880805753171444
0,0,7,6,0.12419836223125458
0,0,7,7,0.01504860632121563
0,0,7,8,0.01504860632121563
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.11745257675647736
0,0,8,1,0.12757086753845215
0,0,8,2,0.029005378484725952
0,0,8,3,0.12275374680757523
0,0,8,4,0.07876277714967728
0,0,8,5,0.01880805753171444
0,0,8,6,0.12419836223125458
0,0,8,7,0.01504860632121563
0,0,8,8,0.01504860632121563
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.10706208646297455
0,0,9,1,0.055067457258701324
0,0,9,2,0.01036662608385086
0,0,9,3,0.08161905407905579
0,0,9,4,0.06424683332443237
0,0,9,5,0.048261675983667374
0,0,9,6,0.10643568634986877
0,0,9,7,0.09002811461687088
0,0,9,8,0.09002811461687088
0,0,9,9,0.06756474077701569
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.032865919172763824
0,0,10,1,0.03773144260048866
0,0,10,2,0.008654078468680382
0,0,10,3,0.021078314632177353
0,0,10,4,0.01850106194615364
0,0,10,5,0.013024834915995598
0,0,10,6,0.15150131285190582
0,0,10,7,0.022618470713496208
0,0,10,8,0.022618470713496208
0,0,10,9,0.05036081001162529
0,0,10,10,0.010370955802500248
0,0,10,11,0.0
0,0,10,12,0.0
0,0,10,13,0.0
0,0,11,0,0.10243374109268188
0,0,11,1,0.038721468299627304
0,0,11,2,0.01810798980295658
0,0,11,3,0.08594103902578354
0,0,11,4,0.038994431495666504
0,0,11,5,0.05773355811834335
0,0,11,6,0.09174282848834991
0,0,11,7,0.06194290891289711
0,0,11,8,0.06194290891289711
0,0,11,9,0.0442764088511467
0,0,11,10,0.023150334134697914
0,0,11,11,0.10360202193260193
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.08756879717111588
0,0,12,1,0.04700678214430809
0,0,12,2,0.0148598188534379
0,0,12,3,0.05604615435004234
0,0,12,4,0.07327093929052353
0,0,12,5,0.030531005933880806
0,0,12,6,0.06035611405968666
0,0,12,7,0.03007085621356964
0,0,12,8,0.03007085621356964
0,0,12,9,0.06320075690746307
0,0,12,10,0.019854193553328514
0,0,12,11,0.07755940407514572
0,0,12,12,0.05916319042444229
0,0,12,13,0.0
0,0,13,0,0.0515892393887043
0,0,13,1,0.05210036411881447
0,0,13,2,0.013064077123999596
0,0,13,3,0.04635372757911682
0,0,13,4,0.06996813416481018
0,0,13,5,0.01400878094136715
0,0,13,6,0.05293324962258339
0,0,13,7,0.03251504898071289
0,0,13,8,0.03251504898071289
0,0,13,9,0.07487931847572327
0,0,13,10,0.018721498548984528
0,0,13,11,0.06861571222543716
0,0,13,12,0.1074584499001503
0,0,13,13,0.020920297130942345
0,1,0,0,0.3333333432674408
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,8.003418770385906e-05
0,1,1,1,0.9996287822723389
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.0001908765552798286
0,1,2,1,0.001276991330087185
0,1,2,2,0.4981022775173187
0,1,2,3,0.0
0,1,2,4,0.0
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0003348838654346764
0,1,3,1,0.00023152247013058513
0,1,3,2,9.961331670638174e-05
0,1,3,3,0.9977943897247314
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.00036931020440533757
0,1,4,1,0.0008466322324238718
0,1,4,2,0.00018219221965409815
0,1,4,3,0.00029963452834635973
0,1,4,4,0.4355684816837311
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.000481535738799721
0,1,5,1,6.849756755400449e-05
0,1,5,2,4.604426430887543e-05
0,1,5,3,6.007459160173312e-05
0,1,5,4,0.00013800298620481044
0,1,5,5,0.9973264932632446
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.0001816694566514343
0,1,6,1,0.0010502345394343138
0,1,6,2,0.00013220106484368443
0,1,6,3,0.00010468172695254907
0,1,6,4,0.00018572220869828016
0,1,6,5,0.0005084033473394811
0,1,6,6,0.9971140027046204
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0002879710227716714
0,1,7,1,0.0003004251921083778
0,1,7,2,7.195679063443094e-05
0,1,7,3,0.00013865481014363468
0,1,7,4,0.0017715876456350088
0,1,7,5,0.004071464296430349
0,1,7,6,0.0005852197646163404
0,1,7,7,0.9680148363113403
0,1,7,8,0.9680148363113403
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.0002879710227716714
0,1,8,1,0.0003004251921083778
0,1,8,2,7.195679063443094e-05
0,1,8,3,0.00013865481014363468
0,1,8,4,0.0017715876456350088
0,1,8,5,0.004071464296430349
0,1,8,6,0.0005852197646163404
0,1,8,7,0.9680148363113403
0,1,8,8,0.9680148363113403
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,2.696613773878198e-05
0,1,9,1,0.5062851309776306
0,1,9,2,0.00012720066297333688
0,1,9,3,0.0001301003067055717
0,1,9,4,8.204444748116657e-05
0,1,9,5,3.164695226587355e-05
0,1,9,6,0.00031720727565698326
0,1,9,7,2.5497822662146064e-06
0,1,9,8,2.5497822662146064e-06
0,1,9,9,0.4927791357040405
0,1,9,10,0.0
0,1,9,11,0.0
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,4.5759399654343724e-05
0,1,10,1,0.00028948127874173224
0,1,10,2,0.2528487741947174
0,1,10,3,9.299938028561883e-06
0,1,10,4,0.00010715139796957374
0,1,10,5,0.00014356209430843592
0,1,10,6,7.887240644777194e-05
0,1,10,7,5.21801757713547e-06
0,1,10,8,5.21801757713547e-06
0,1,10,9,0.00017414847388863564
0,1,10,10,0.2459372878074646
0,1,10,11,0.0
0,1,10,12,0.0
0,1,10,13,0.0
0,1,11,0,9.325593418907374e-05
0,1,11,1,6.077123180148192e-05
0,1,11,2,3.149163967464119e-05
0,1,11,3,0.5096828937530518
0,1,11,4,5.65480841032695e-05
0,1,11,5,4.304303729441017e-05
0,1,11,6,5.402269016485661e-05
0,1,11,7,9.303413207817357e-06
0,1,11,8,9.303413207817357e-06
0,1,11,9,3.358592948643491e-05
0,1,11,10,1.9853807316394523e-05
0,1,11,11,0.48938867449760437
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.00013524573296308517
0,1,12,1,0.00025288749020546675
0,1,12,2,6.723684055032209e-05
0,1,12,3,8.732758578844368e-05
0,1,12,4,0.20455551147460938
0,1,12,5,0.00026601727586239576
0,1,12,6,0.00018188692047260702
0,1,12,7,0.0009714587940834463
0,1,12,8,0.0009714587940834463
0,1,12,9,0.000196995388250798
0,1,12,10,5.228546433500014e-05
0,1,12,11,6.808971374994144e-05
0,1,12,12,0.2317792922258377
0,1,12,13,0.0
0,1,13,0,0.000189062106073834
0,1,13,1,2.3818744011805393e-05
0,1,13,2,2.0092216800549068e-05
0,1,13,3,2.1899224520893767e-05
0,1,13,4,5.781972868135199e-05
0,1,13,5,0.46555981040000916
0,1,13,6,2.5265260774176568e-05
0,1,13,7,0.000387063279049471
0,1,13,8,0.000387063279049471
0,1,13,9,1.4192050002748147e-05
0,1,13,10,1.377510398015147e-05
0,1,13,11,1.4576590729120653e-05
0,1,13,12,4.906498361378908e-05
0,1,13,13,0.5327762365341187
0,2,0,0,0.3333333432674408
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.20942936837673187
0,2,1,1,0.20633089542388916
0,2,1,2,0.0
0,2,1,3,0.0
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.0941837728023529
0,2,2,1,0.09954730421304703
0,2,2,2,0.04553613439202309
0,2,2,3,0.0
0,2,2,4,0.0
0,2,2,5,0.0
0,2,2,6,0.0
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.18214382231235504
0,2,3,1,0.08609248697757721
0,2,3,2,0.059647224843502045
0,2,3,3,0.11038775742053986
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.09165675193071365
0,2,4,1,0.24608248472213745
0,2,4,2,0.037335991859436035
0,2,4,3,0.07622026652097702
0,2,4,4,0.07940930873155594
0,2,4,5,0.0
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.08966877311468124
0,2,5,1,0.0478285513818264
0,2,5,2,0.037095099687576294
0,2,5,3,0.06749933958053589
0,2,5,4,0.09359879791736603
0,2,5,5,0.16332772374153137
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.10945703089237213
0,2,6,1,0.07355323433876038
0,2,6,2,0.01176038384437561
0,2,6,3,0.07139815390110016
0,2,6,4,0.04995374754071236
0,2,6,5,0.06032314896583557
0,2,6,6,0.2075500339269638
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.07740379124879837
0,2,7,1,0.02477465383708477
0,2,7,2,0.01545635238289833
0,2,7,3,0.055438362061977386
0,2,7,4,0.12708470225334167
0,2,7,5,0.09902769327163696
0,2,7,6,0.030997384339571
0,2,7,7,0.05117810145020485
0,2,7,8,0.05117810145020485
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.07740379124879837
0,2,8,1,0.02477465383708477
0,2,8,2,0.01545635238289833
0,2,8,3,0.055438362061977386
0,2,8,4,0.12708470225334167
0,2,8,5,0.09902769327163696
0,2,8,6,0.030997384339571
0,2,8,7,0.05117810145020485
0,2,8,8,0.05117810145020485
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.10285573452711105
0,2,9,1,0.17135503888130188
0,2,9,2,0.024577002972364426
0,2,9,3,0.06334558129310608
0,2,9,4,0.04387498274445534
0,2,9,5,0.050076089799404144
0,2,9,6,0.02254720963537693
0,2,9,7,0.029817180708050728
0,2,9,8,0.029817180708050728
0,2,9,9,0.13676054775714874
0,2,9,10,0.0
0,2,9,11,0.0
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.044562965631484985
0,2,10,1,0.07682862877845764
0,2,10,2,0.03401769697666168
0,2,10,3,0.020701494067907333
0,2,10,4,0.011666836217045784
0,2,10,5,0.011450463905930519
0,2,10,6,0.035260263830423355
0,2,10,7,0.02050284668803215
0,2,10,8,0.02050284668803215
0,2,10,9,0.06566225737333298
0,2,10,10,0.029574066400527954
0,2,10,11,0.0
0,2,10,12,0.0
0,2,10,13,0.0
0,2,11,0,0.08350052684545517
0,2,11,1,0.04537908360362053
0,2,11,2,0.02851684018969536
0,2,11,3,0.08217393606901169
0,2,11,4,0.04819665104150772
0,2,11,5,0.03985656052827835
0,2,11,6,0.1697443574666977
0,2,11,7,0.05541618913412094
0,2,11,8,0.05541618913412094
0,2,11,9,0.0420449823141098
0,2,11,10,0.0264748502522707
0,2,11,11,0.0764409527182579
0,2,11,12,0.0
0,2,11,13,0.0
0,2,12,0,0.03503530099987984
0,2,12,1,0.12738804519176483
0,2,12,2,0.017357690259814262
0,2,12,3,0.034600306302309036
0,2,12,4,0.050621017813682556
0,2,12,5,0.071439728140831
0,2,12,6,0.06938788294792175
0,2,12,7,0.07870034873485565
0,2,12,8,0.07870034873485565
0,2,12,9,0.14367341995239258
0,2,12,10,0.019119173288345337
0,2,12,11,0.037143412977457047
0,2,12,12,0.042595274746418
0,2,12,13,0.0
0,2,13,0,0.040983688086271286
0,2,13,1,0.027089906856417656
0,2,13,2,0.022085316479206085
0,2,13,3,0.03667256981134415
0,2,13,4,0.05119431018829346
0,2,13,5,0.08430084586143494
0,2,13,6,0.0353073887526989
0,2,13,7,0.12328365445137024
0,2,13,8,0.12328365445137024
0,2,13,9,0.028607143089175224
0,2,13,10,0.024828797206282616
0,2,13,11,0.04057229310274124
0,2,13,12,0.05959013104438782
0,2,13,13,0.1013777107000351
0,3,0,0,0.3333333432674408
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,0,4,0.0
0,3,0,5,0.0
0,3,0,6,0.0
0,3,0,7,0.0
0,3,0,8,0.0
0,3,0,9,0.0
0,3,0,10,0.0
0,3,0,11,0.0
0,3,0,12,0.0
0,3,0,13,0.0
0,3,1,0,0.021082833409309387
0,3,1,1,0.9323563575744629
0,3,1,2,0.0
0,3,1,3,0.0
0,3,1,4,0.0
0,3,1,5,0.0
0,3,1,6,0.0
0,3,1,7,0.0
0,3,1,8,0.0
0,3,1,9,0.0
0,3,1,10,0.0
0,3,1,11,0.0
0,3,1,12,0.0
0,3,1,13,0.0
0,3,2,0,0.0009200637578032911
0,3,2,1,0.0019844635389745235
0,3,2,2,0.4952020049095154
0,3,2,3,0.0
0,3,2,4,0.0
0,3,2,5,0.0
0,3,2,6,0.0
0,3,2,7,0.0
0,3,2,8,0.0
0,3,2,9,0.0
0,3,2,10,0.0
0,3,2,11,0.0
0,3,2,12,0.0
0,3,2,13,0.0
0,3,3,0,0.005338780581951141
0,3,3,1,0.004181546159088612
0,3,3,2,0.007233789656311274
0,3,3,3,0.972170889377594
0,3,3,4,0.0
0,3,3,5,0.0
0,3,3,6,0.0
0,3,3,7,0.0
0,3,3,8,0.0
0,3,3,9,0.0
0,3,3,10,0.0
0,3,3,11,0.0
0,3,3,12,0.0
0,3,3,13,0.0
0,3,4,0,0.00622969726100564
0,3,4,1,0.01903335005044937
0,3,4,2,0.008266331627964973
0,3,4,3,0.03701484203338623
0,3,4,4,0.3978445529937744
0,3,4,5,0.0
0,3,4,6,0.0
0,3,4,7,0.0
0,3,4,8,0.0
0,3,4,9,0.0
0,3,4,10,0.0
0,3,4,11,0.0
0,3,4,12,0.0
0,3,4,13,0.0
0,3,5,0,0.000788146979175508
0,3,5,1,0.0022790785878896713
0,3,5,2,0.0015304672997444868
0,3,5,3,0.0038131913170218468
0,3,5,4,0.18183641135692596
0,3,5,5,0.5864977240562439
0,3,5,6,0.0
0,3,5,7,0.0
0,3,5,8,0.0
0,3,5,9,0.0
0,3,5,10,0.0
0,3,5,11,0.0
0,3,5,12,0.0
0,3,5,13,0.0
0,3,6,0,0.000396640069084242
0,3,6,1,0.00016153001342900097
0,3,6,2,0.0001288926723646
0,3,6,3,0.00020559984841383994
0,3,6,4,0.00017422143719159067
0,3,6,5,8.806787809589878e-05
0,3,6,6,0.9978017210960388
0,3,6,7,0.0
0,3,6,8,0.0
0,3,6,9,0.0
0,3,6,10,0.0
0,3,6,11,0.0
0,3,6,12,0.0
0,3,6,13,0.0
0,3,7,0,0.005293854512274265
0,3,7,1,0.0032842305954545736
0,3,7,2,0.0019282693974673748
0,3,7,3,0.01765391044318676
0,3,7,4,0.043920986354351044
0,3,7,5,0.13019494712352753
0,3,7,6,0.27473461627960205
0,3,7,7,0.4515155553817749
0,3,7,8,0.4515155553817749
0,3,7,9,0.0
0,3,7,10,0.0
0,3,7,11,0.0
0,3,7,12,0.0
0,3,7,13,0.0
0,3,8,0,0.005293854512274265
0,3,8,1,0.0032842305954545736
0,3,8,2,0.0019282693974673748
0,3,8,3,0.01765391044318676
0,3,8,4,0.043920986354351044
0,3,8,5,0.13019494712352753
0,3,8,6,0.27473461627960205
0,3,8,7,0.4515155553817749
0,3,8,8,0.4515155553817749
0,3,8,9,0.0
0,3,8,10,0.0
0,3,8,11,0.0
0,3,8,12,0.0
0,3,8,13,0.0
0,3,9,0,0.0018079332076013088
0,3,9,1,0.005978479981422424
0,3,9,2,0.0002305617235833779
0,3,9,3,0.00031145825050771236
0,3,9,4,0.0010747790802270174
0,3,9,5,0.00029611639911308885
0,3,9,6,0.03845657780766487
0,3,9,7,0.0005872888723388314
0,3,9,8,0.0005872888723388314
0,3,9,9,0.9461619853973389
0,3,9,10,0.0
0,3,9,11,0.0
0,3,9,12,0.0
0,3,9,13,0.0
0,3,10,0,7.33306078473106e-05
0,3,10,1,8.281309419544414e-06
0,3,10,2,0.0032696244306862354
0,3,10,3,1.6287373000523075e-05
0,3,10,4,2.7760721422964707e-05
0,3,10,5,1.4165510947350413e-05
0,3,10,6,0.00019463436910882592
0,3,10,7,1.619135946384631e-05
0,3,10,8,1.619135946384631e-05
0,3,10,9,0.0009765538270585239
0,3,10,10,0.4951944947242737
0,3,10,11,0.0
0,3,10,12,0.0
0,3,10,13,0.0
0,3,11,0,0.0005847314023412764
0,3,11,1,2.7826219593407586e-05
0,3,11,2,3.860920696752146e-05
0,3,11,3,0.010090529918670654
0,3,11,4,6.807612226111814e-05
0,3,11,5,3.699268199852668e-05
0,3,11,6,0.0012850698549300432
0,3,11,7,5.343115844880231e-05
0,3,11,8,5.343115844880231e-05
0,3,11,9,0.0036628227680921555
0,3,11,10,0.00705912709236145
0,3,11,11,0.9758239388465881
0,3,11,12,0.0
0,3,11,13,0.0
0,3,12,0,0.0008881884859874845
0,3,12,1,0.00017880939412862062
0,3,12,2,5.397763379733078e-05
0,3,12,3,0.00018327299039810896
0,3,12,4,0.004050368443131447
0,3,12,5,0.001767840818502009
0,3,12,6,0.0025186759885400534
0,3,12,7,0.007485345937311649
0,3,12,8,0.007485345937311649
0,3,12,9,0.0153220035135746
0,3,12,10,0.007372584659606218
0,3,12,11,0.02734018862247467
0,3,12,12,0.40695321559906006
0,3,12,13,0.0
0,3,13,0,8.927372982725501e-05
0,3,13,1,3.3340304071316496e-05
0,3,13,2,1.5706929843872786e-05
0,3,13,3,3.146501330775209e-05
0,3,13,4,0.0017283981433138251
0,3,13,5,0.0027208421379327774
0,3,13,6,0.0010507255792617798
0,3,13,7,0.0016120333457365632
0,3,13,8,0.0016120333457365632
0,3,13,9,0.0018477425910532475
0,3,13,10,0.001370311714708805
0,3,13,11,0.003137326566502452
0,3,13,12,0.17572148144245148
0,3,13,13,0.5957238078117371
0,4,0,0,0.3333333432674408
0,4,0,1,0.0
0,4,0,2,0.0
0,4,0,3,0.0
0,4,0,4,0.0
0,4,0,5,0.0
0,4,0,6,0.0
0,4,0,7,0.0
0,4,0,8,0.0
0,4,0,9,0.0
0,4,0,10,0.0
0,4,0,11,0.0
0,4,0,12,0.0
0,4,0,13,0.0
0,4,1,0,0.07053270936012268
0,4,1,1,0.7773882746696472
0,4,1,2,0.0
0,4,1,3,0.0
0,4,1,4,0.0
0,4,1,5,0.0
0,4,1,6,0.0
0,4,1,7,0.0
0,4,1,8,0.0
0,4,1,9,0.0
0,4,1,10,0.0
0,4,1,11,0.0
0,4,1,12,0.0
0,4,1,13,0.0
0,4,2,0,0.024440044537186623
0,4,2,1,0.01714600995182991
0,4,2,2,0.40086430311203003
0,4,2,3,0.0
0,4,2,4,0.0
0,4,2,5,0.0
0,4,2,6,0.0
0,4,2,7,0.0
0,4,2,8,0.0
0,4,2,9,0.0
0,4,2,10,0.0
0,4,2,11,0.0
0,4,2,12,0.0
0,4,2,13,0.0
0,4,3,0,0.04892602562904358
0,4,3,1,0.12081846594810486
0,4,3,2,0.03159675374627113
0,4,3,3,0.6917597651481628
0,4,3,4,0.0
0,4,3,5,0.0
0,4,3,6,0.0
0,4,3,7,0.0
0,4,3,8,0.0
0,4,3,9,0.0
0,4,3,10,0.0
0,4,3,11,0.0
0,4,3,12,0.0
0,4,3,13,0.0
0,4,4,0,0.04078175127506256
0,4,4,1,0.08982039988040924
0,4,4,2,0.05244611203670502
0,4,4,3,0.1159224659204483
0,4,4,4,0.2618333101272583
0,4,4,5,0.0
0,4,4,6,0.0
0,4,4,7,0.0
0,4,4,8,0.0
0,4,4,9,0.0
0,4,4,10,0.0
0,4,4,11,0.0
0,4,4,12,0.0
0,4,4,13,0.0
0,4,5,0,0.04691702499985695
0,4,5,1,0.026578638702630997
0,4,5,2,0.01214546337723732
0,4,5,3,0.042275819927453995
0,4,5,4,0.2579282820224762
