layer,head,source_position,dest_position,value
0,0,0,0,0.32037997245788574
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.20584644377231598
0,0,1,1,0.1673332303762436
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.09648597985506058
0,0,2,1,0.18353267014026642
0,0,2,2,0.0351308137178421
0,0,2,3,0.017822418361902237
0,0,2,4,0.005821289960294962
0,0,2,5,0.00011544911103555933
0,0,2,6,8.256029104813933e-05
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.14128871262073517
0,0,3,1,0.1614469587802887
0,0,3,2,0.046991586685180664
0,0,3,3,0.1029946506023407
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.12715846300125122
0,0,4,1,0.14057928323745728
0,0,4,2,0.054741162806749344
0,0,4,3,0.13252949714660645
0,0,4,4,0.052758049219846725
0,0,4,5,0.006615958642214537
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09462352842092514
0,0,5,1,0.12949037551879883
0,0,5,2,0.06678006798028946
0,0,5,3,0.11529794335365295
0,0,5,4,0.08403182029724121
0,0,5,5,0.039624303579330444
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.11024832725524902
0,0,6,1,0.07882585376501083
0,0,6,2,0.04301504045724869
0,0,6,3,0.08203534781932831
0,0,6,4,0.05996069312095642
