layer,head,source_position,dest_position,value
0,0,0,0,0.3116123676300049
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.20083367824554443
0,0,1,1,0.16777823865413666
0,0,1,2,0.0
0,0,1,3,0.0
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.09904803335666656
0,0,2,1,0.1861935257911682
0,0,2,2,0.03710044547915459
0,0,2,3,0.016839174553751945
0,0,2,4,0.004206910263746977
0,0,2,5,0.00018244373495690525
0,0,2,6,0.00014335321611724794
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.1428445726633072
0,0,3,1,0.1184556633234024
0,0,3,2,0.049668315798044205
0,0,3,3,0.10934069007635117
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.12555259466171265
0,0,4,1,0.1327485889196396
0,0,4,2,0.05668250471353531
0,0,4,3,0.13710662722587585
0,0,4,4,0.04701033979654312
0,0,4,5,0.002737843431532383
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09220365434885025
0,0,5,1,0.117276631295681
0,0,5,2,0.06864787638187408
0,0,5,3,0.12530918419361115
0,0,5,4,0.07931582629680634
0,0,5,5,0.0380236990749836
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.10904363542795181
0,0,6,1,0.07585090398788452
0,0,6,2,0.04336009547114372
0,0,6,3,0.08427567780017853
0,0,6,4,0.05999520421028137
0,0,6,5,0.05390990898013115
0,0,6,6,0.07849293947219849
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.08408697694540024
0,0,7,1,0.1363079994916916
0,0,7,2,0.05341789871454239
0,0,7,3,0.13204137980937958
0,0,7,4,0.07248761504888535
0,0,7,5,0.022438501939177513
0,0,7,6,0.09993093460798264
0,0,7,7,0.01138924341648817
0,0,7,8,0.010776227340102196
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.08454153686761856
0,0,8,1,0.13481727242469788
0,0,8,2,0.05302375182509422
0,0,8,3,0.1286526620388031
0,0,8,4,0.06848398596048355
0,0,8,5,0.022083939984440804
0,0,8,6,0.0957614928483963
0,0,8,7,0.013587881810963154
0,0,8,8,0.01674739643931389
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.06904980540275574
0,0,9,1,0.0687318965792656
0,0,9,2,0.03335059434175491
0,0,9,3,0.13141386210918427
0,0,9,4,0.04113323241472244
0,0,9,5,0.052435167133808136
0,0,9,6,0.09643988311290741
0,0,9,7,0.0532255545258522
0,0,9,8,0.05616721883416176
0,0,9,9,0.08349274843931198
0,0,9,10,0.0
0,0,9,11,0.0
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.03965514153242111
0,0,10,1,0.07569422572851181
0,0,10,2,0.02125469408929348
0,0,10,3,0.043998200446367264
0,0,10,4,0.027410509064793587
0,0,10,5,0.018267784267663956
0,0,10,6,0.049230802804231644
0,0,10,7,0.02373409830033779
0,0,10,8,0.024225879460573196
0,0,10,9,0.11589810997247696
0,0,10,10,0.018764793872833252
0,0,10,11,0.014419839717447758
0,0,10,12,0.00619931798428297
0,0,10,13,0.0006381504936143756
0,0,11,0,0.06582093983888626
0,0,11,1,0.056674063205718994
0,0,11,2,0.026176655665040016
0,0,11,3,0.05455392599105835
0,0,11,4,0.03985301032662392
0,0,11,5,0.049328647553920746
0,0,11,6,0.07084126770496368
0,0,11,7,0.06194445490837097
0,0,11,8,0.0630551353096962
0,0,11,9,0.06947220861911774
0,0,11,10,0.024242596700787544
0,0,11,11,0.0662054568529129
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.05710461735725403
0,0,12,1,0.06156473979353905
0,0,12,2,0.025626495480537415
0,0,12,3,0.06240585446357727
0,0,12,4,0.03463498130440712
0,0,12,5,0.02923918515443802
0,0,12,6,0.07333838194608688
0,0,12,7,0.023251287639141083
0,0,12,8,0.030029216781258583
0,0,12,9,0.0930822417140007
0,0,12,10,0.03162283077836037
0,0,12,11,0.09250552952289581
0,0,12,12,0.029525786638259888
0,0,12,13,0.0
0,0,13,0,0.043463170528411865
0,0,13,1,0.05621057748794556
0,0,13,2,0.032071296125650406
0,0,13,3,0.057279787957668304
0,0,13,4,0.03715825080871582
0,0,13,5,0.016147729009389877
0,0,13,6,0.10028623044490814
0,0,13,7,0.02178170159459114
0,0,13,8,0.023796234279870987
0,0,13,9,0.08041101694107056
0,0,13,10,0.04402602091431618
0,0,13,11,0.08131615072488785
0,0,13,12,0.05289023742079735
0,0,13,13,0.022847719490528107
0,1,0,0,0.3116123676300049
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,0.00022936241293791682
0,1,1,1,0.9989265203475952
0,1,1,2,0.0
0,1,1,3,0.0
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.00023228421923704445
0,1,2,1,0.001163758453913033
0,1,2,2,0.4168713688850403
0,1,2,3,0.05502668395638466
0,1,2,4,0.034668419510126114
0,1,2,5,0.0027735985349863768
0,1,2,6,0.0016208585584536195
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0002046317677013576
0,1,3,1,0.0037871578242629766
0,1,3,2,0.05546758323907852
0,1,3,3,0.993083655834198
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0009304321720264852
0,1,4,1,0.0011034664930775762
0,1,4,2,0.035103797912597656
0,1,4,3,0.0009640915086492896
0,1,4,4,0.38420528173446655
0,1,4,5,0.011565965600311756
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.000964189472142607
0,1,5,1,0.000361397658707574
0,1,5,2,0.022519856691360474
0,1,5,3,0.0003884796460624784
0,1,5,4,0.03356960788369179
0,1,5,5,0.9009889960289001
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.0007666753954254091
0,1,6,1,0.0017440587980672717
0,1,6,2,0.0020255434792488813
0,1,6,3,0.002128319349139929
0,1,6,4,0.00045195670099928975
0,1,6,5,0.0015911557711660862
0,1,6,6,0.9879997372627258
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0005361379589885473
0,1,7,1,0.00020731048425659537
0,1,7,2,0.0005263308412395418
0,1,7,3,0.0002554564562160522
0,1,7,4,0.0028875917196273804
0,1,7,5,0.0014850753359496593
0,1,7,6,0.0002459436364006251
0,1,7,7,0.9701139330863953
0,1,7,8,0.8879067897796631
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.0066823228262364864
0,1,8,1,0.00022216276556719095
0,1,8,2,0.000497306464239955
0,1,8,3,0.00028551396098919213
0,1,8,4,0.001872405642643571
0,1,8,5,0.0015574698336422443
0,1,8,6,0.0008756365859881043
0,1,8,7,0.8879086971282959
0,1,8,8,0.876546323299408
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,7.553835166618228e-05
0,1,9,1,0.48907414078712463
0,1,9,2,8.625068585388362e-05
0,1,9,3,0.022484013810753822
0,1,9,4,0.0004017474129796028
0,1,9,5,9.20138627407141e-05
0,1,9,6,0.0002934881194960326
0,1,9,7,1.757005520630628e-05
0,1,9,8,4.1453811718383804e-05
0,1,9,9,0.48641008138656616
0,1,9,10,0.0
0,1,9,11,0.0
0,1,9,12,0.0
0,1,9,13,0.0
0,1,10,0,7.288790220627561e-05
0,1,10,1,0.00023289499222300947
0,1,10,2,0.1901959925889969
0,1,10,3,0.019768888130784035
0,1,10,4,0.016799136996269226
0,1,10,5,0.028244417160749435
0,1,10,6,0.0003253692702855915
0,1,10,7,0.00015662414079997689
0,1,10,8,0.0001687090698396787
0,1,10,9,0.0001789614761946723
0,1,10,10,0.19880995154380798
0,1,10,11,0.02043255791068077
0,1,10,12,0.02253837138414383
0,1,10,13,0.021979153156280518
0,1,11,0,5.9810168750118464e-05
0,1,11,1,0.0014758226461708546
0,1,11,2,0.026627030223608017
0,1,11,3,0.5011159181594849
0,1,11,4,0.00010705787281040102
0,1,11,5,9.267555287806317e-05
0,1,11,6,0.000468908780021593
0,1,11,7,1.1829806680907495e-05
0,1,11,8,3.053401087527163e-05
0,1,11,9,0.001091514015570283
0,1,11,10,0.02049674279987812
0,1,11,11,0.4937075674533844
0,1,11,12,0.0
0,1,11,13,0.0
0,1,12,0,0.0002751925203483552
0,1,12,1,0.0003199635539203882
0,1,12,2,0.015191667713224888
0,1,12,3,0.0002991492219734937
0,1,12,4,0.17041729390621185
0,1,12,5,0.013778137043118477
0,1,12,6,0.0005651358515024185
0,1,12,7,0.0008371500880457461
0,1,12,8,0.0009712676983326674
0,1,12,9,0.00027952773962169886
0,1,12,10,0.022431425750255585
0,1,12,11,0.0002734092122409493
0,1,12,12,0.19919972121715546
0,1,12,13,0.0
0,1,13,0,0.00035003951052203774
0,1,13,1,0.0001247663312824443
0,1,13,2,0.00983483623713255
0,1,13,3,0.0001573351037222892
0,1,13,4,0.014505498111248016
0,1,13,5,0.3989333212375641
0,1,13,6,0.000689833250362426
0,1,13,7,0.0005986418691463768
0,1,13,8,0.0009491666569374502
0,1,13,9,9.063243487617001e-05
0,1,13,10,0.03193126246333122
0,1,13,11,0.00013928452972322702
0,1,13,12,0.011433180421590805
0,1,13,13,0.5094976425170898
0,2,0,0,0.3116123676300049
0,2,0,1,0.0
0,2,0,2,0.0
0,2,0,3,0.0
0,2,0,4,0.0
0,2,0,5,0.0
0,2,0,6,0.0
0,2,0,7,0.0
0,2,0,8,0.0
0,2,0,9,0.0
0,2,0,10,0.0
0,2,0,11,0.0
0,2,0,12,0.0
0,2,0,13,0.0
0,2,1,0,0.20582374930381775
0,2,1,1,0.17526008188724518
0,2,1,2,0.0
0,2,1,3,0.0
0,2,1,4,0.0
0,2,1,5,0.0
0,2,1,6,0.0
0,2,1,7,0.0
0,2,1,8,0.0
0,2,1,9,0.0
0,2,1,10,0.0
0,2,1,11,0.0
0,2,1,12,0.0
0,2,1,13,0.0
0,2,2,0,0.1280229687690735
0,2,2,1,0.06489720940589905
0,2,2,2,0.04977785050868988
0,2,2,3,0.010362166911363602
0,2,2,4,0.006302603520452976
0,2,2,5,0.0005424917908385396
0,2,2,6,0.00029948100564070046
0,2,2,7,0.0
0,2,2,8,0.0
0,2,2,9,0.0
0,2,2,10,0.0
0,2,2,11,0.0
0,2,2,12,0.0
0,2,2,13,0.0
0,2,3,0,0.17137108743190765
0,2,3,1,0.11318293958902359
0,2,3,2,0.04423138126730919
0,2,3,3,0.1137515977025032
0,2,3,4,0.0
0,2,3,5,0.0
0,2,3,6,0.0
0,2,3,7,0.0
0,2,3,8,0.0
0,2,3,9,0.0
0,2,3,10,0.0
0,2,3,11,0.0
0,2,3,12,0.0
0,2,3,13,0.0
0,2,4,0,0.11298932880163193
0,2,4,1,0.0671689584851265
0,2,4,2,0.04182177782058716
0,2,4,3,0.06303801387548447
0,2,4,4,0.07833261042833328
0,2,4,5,0.0016048375982791185
0,2,4,6,0.0
0,2,4,7,0.0
0,2,4,8,0.0
0,2,4,9,0.0
0,2,4,10,0.0
0,2,4,11,0.0
0,2,4,12,0.0
0,2,4,13,0.0
0,2,5,0,0.10370101779699326
0,2,5,1,0.06507452577352524
0,2,5,2,0.0339927077293396
0,2,5,3,0.0650901049375534
0,2,5,4,0.07962314784526825
0,2,5,5,0.1006312444806099
0,2,5,6,0.0
0,2,5,7,0.0
0,2,5,8,0.0
0,2,5,9,0.0
0,2,5,10,0.0
0,2,5,11,0.0
0,2,5,12,0.0
0,2,5,13,0.0
0,2,6,0,0.10849497467279434
0,2,6,1,0.05323983356356621
0,2,6,2,0.030891789123415947
0,2,6,3,0.06236707791686058
0,2,6,4,0.05045172572135925
0,2,6,5,0.03641434758901596
0,2,6,6,0.19244340062141418
0,2,6,7,0.0
0,2,6,8,0.0
0,2,6,9,0.0
0,2,6,10,0.0
0,2,6,11,0.0
0,2,6,12,0.0
0,2,6,13,0.0
0,2,7,0,0.07413147389888763
0,2,7,1,0.04286511242389679
0,2,7,2,0.03173108026385307
0,2,7,3,0.03200921043753624
0,2,7,4,0.10450702160596848
0,2,7,5,0.06399404257535934
0,2,7,6,0.027796542271971703
0,2,7,7,0.04852794110774994
0,2,7,8,0.04541962593793869
0,2,7,9,0.0
0,2,7,10,0.0
0,2,7,11,0.0
0,2,7,12,0.0
0,2,7,13,0.0
0,2,8,0,0.0730065107345581
0,2,8,1,0.04354873672127724
0,2,8,2,0.03173282742500305
0,2,8,3,0.03409779071807861
0,2,8,4,0.10079442709684372
0,2,8,5,0.06315132230520248
0,2,8,6,0.035319920629262924
0,2,8,7,0.05105830729007721
0,2,8,8,0.04972948506474495
0,2,8,9,0.0
0,2,8,10,0.0
0,2,8,11,0.0
0,2,8,12,0.0
0,2,8,13,0.0
0,2,9,0,0.07236389070749283
0,2,9,1,0.09931488335132599
0,2,9,2,0.03390039876103401
0,2,9,3,0.09418679028749466
0,2,9,4,0.04283372312784195
0,2,9,5,0.038396745920181274
0,2,9,6,0.10667526721954346
0,2,9,7,0.04716874286532402
0,2,9,8,0.04886125773191452
0,2,9,9,0.09774895012378693
0,2,9,10,0.0
0,2,9,11,0.0
0,2,9,12,0.0
0,2,9,13,0.0
0,2,10,0,0.04539809748530388
0,2,10,1,0.031333550810813904
0,2,10,2,0.029568005353212357
0,2,10,3,0.06089681386947632
0,2,10,4,0.03161489963531494
0,2,10,5,0.035979077219963074
0,2,10,6,0.07163853943347931
0,2,10,7,0.04144449532032013
0,2,10,8,0.04159284383058548
