layer,head,source_position,dest_position,value
0,0,0,0,0.33198651671409607
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.22190992534160614
0,0,1,1,0.16258607804775238
0,0,1,2,0.0
0,0,1,3,0.004788813181221485
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.09640811383724213
0,0,2,1,0.08153510838747025
0,0,2,2,0.037821073085069656
0,0,2,3,0.020749108865857124
0,0,2,4,0.006094529293477535
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.1446693241596222
0,0,3,1,0.12290434539318085
0,0,3,2,0.0490424819290638
0,0,3,3,0.07231830060482025
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.1282811164855957
0,0,4,1,0.09796817600727081
0,0,4,2,0.05042656511068344
0,0,4,3,0.11422829329967499
0,0,4,4,0.047458890825510025
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.10296646505594254
0,0,5,1,0.10154105722904205
0,0,5,2,0.048328496515750885
0,0,5,3,0.10225784778594971
0,0,5,4,0.0782567709684372
0,0,5,5,0.0247871782630682
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.10155156999826431
0,0,6,1,0.07772208005189896
0,0,6,2,0.03902886435389519
0,0,6,3,0.05624871328473091
0,0,6,4,0.0547388531267643
0,0,6,5,0.061947572976350784
0,0,6,6,0.06618622690439224
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.08827275037765503
0,0,7,1,0.09334408491849899
0,0,7,2,0.048902153968811035
0,0,7,3,0.1342133730649948
0,0,7,4,0.07146397978067398
0,0,7,5,0.01423688605427742
0,0,7,6,0.08902569860219955
0,0,7,7,0.012404498644173145
0,0,7,8,0.012369876727461815
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
