layer,head,source_position,dest_position,value
0,0,0,0,0.33015871047973633
0,0,0,1,0.0
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,0.0
0,0,0,5,0.0
0,0,0,6,0.0
0,0,0,7,0.0
0,0,0,8,0.0
0,0,0,9,0.0
0,0,0,10,0.0
0,0,0,11,0.0
0,0,0,12,0.0
0,0,0,13,0.0
0,0,1,0,0.25146594643592834
0,0,1,1,0.10554623603820801
0,0,1,2,0.0
0,0,1,3,0.002731523010879755
0,0,1,4,0.0
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.11630953848361969
0,0,2,1,0.11740610748529434
0,0,2,2,0.042879264801740646
0,0,2,3,0.029581941664218903
0,0,2,4,0.007601074408739805
0,0,2,5,0.0
0,0,2,6,0.0
0,0,2,7,0.0
0,0,2,8,0.0
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.1083788201212883
0,0,3,1,0.14139324426651
0,0,3,2,0.06552652269601822
0,0,3,3,0.059701185673475266
0,0,3,4,0.0
0,0,3,5,0.0
0,0,3,6,0.0
0,0,3,7,0.0
0,0,3,8,0.0
0,0,3,9,0.0
0,0,3,10,0.0
0,0,3,11,0.0
0,0,3,12,0.0
0,0,3,13,0.0
0,0,4,0,0.11880401521921158
0,0,4,1,0.09830673784017563
0,0,4,2,0.06226786971092224
0,0,4,3,0.0919785127043724
0,0,4,4,0.04713098332285881
0,0,4,5,0.0
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0
0,0,4,10,0.0
0,0,4,11,0.0
0,0,4,12,0.0
0,0,4,13,0.0
0,0,5,0,0.09359773993492126
0,0,5,1,0.10367633402347565
0,0,5,2,0.06087630242109299
0,0,5,3,0.08719168603420258
0,0,5,4,0.07279807329177856
0,0,5,5,0.022612787783145905
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,0.0
0,0,5,10,0.0
0,0,5,11,0.0
0,0,5,12,0.0
0,0,5,13,0.0
0,0,6,0,0.09254099428653717
0,0,6,1,0.07790343463420868
0,0,6,2,0.04874179884791374
0,0,6,3,0.04403223842382431
0,0,6,4,0.048433974385261536
0,0,6,5,0.06277495622634888
0,0,6,6,0.057866137474775314
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,0.0
0,0,6,10,0.0
0,0,6,11,0.0
0,0,6,12,0.0
0,0,6,13,0.0
0,0,7,0,0.08294139802455902
0,0,7,1,0.08431969583034515
0,0,7,2,0.0661444440484047
0,0,7,3,0.13195206224918365
0,0,7,4,0.06562091410160065
0,0,7,5,0.01315250527113676
0,0,7,6,0.0797773003578186
0,0,7,7,0.01220102421939373
0,0,7,8,0.0121194152161479
0,0,7,9,0.0
0,0,7,10,0.0
0,0,7,11,0.0
0,0,7,12,0.0
0,0,7,13,0.0
0,0,8,0,0.08278928697109222
0,0,8,1,0.08363288640975952
0,0,8,2,0.06602276116609573
0,0,8,3,0.13216090202331543
0,0,8,4,0.06545528024435043
0,0,8,5,0.013405284844338894
0,0,8,6,0.07969880849123001
0,0,8,7,0.012464704923331738
0,0,8,8,0.012910536490380764
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.08192331343889236
0,0,9,1,0.04307187721133232
0,0,9,2,0.044128529727458954
0,0,9,3,0.04358731210231781
0,0,9,4,0.04588431492447853
0,0,9,5,0.06770159304141998
0,0,9,6,0.06700984388589859
0,0,9,7,0.06001221016049385
0,0,9,8,0.059772416949272156
0,0,9,9,0.05088718235492706
0,0,9,10,0.0
0,0,9,11,0.0017759976908564568
0,0,9,12,0.0
0,0,9,13,0.0
0,0,10,0,0.04266195744276047
0,0,10,1,0.04536157473921776
0,0,10,2,0.03034910187125206
0,0,10,3,0.030018096789717674
0,0,10,4,0.027749251574277878
0,0,10,5,0.020871778950095177
0,0,10,6,0.03644198551774025
0,0,10,7,0.026355985552072525
0,0,10,8,0.02729967050254345
0,0,10,9,0.06741826236248016
0,0,10,10,0.02301674149930477
0,0,10,11,0.025204142555594444
0,0,10,12,0.015047037973999977
0,0,10,13,0.000997912953607738
0,0,11,0,0.046592120081186295
0,0,11,1,0.06205249950289726
0,0,11,2,0.03315914422273636
0,0,11,3,0.027851667255163193
0,0,11,4,0.035721555352211
0,0,11,5,0.030687352642416954
0,0,11,6,0.031240781769156456
0,0,11,7,0.03315148875117302
0,0,11,8,0.03315889090299606
0,0,11,9,0.08732106536626816
0,0,11,10,0.027214566245675087
0,0,11,11,0.03549342602491379
0,0,11,12,0.0
0,0,11,13,0.0
0,0,12,0,0.05581178143620491
0,0,12,1,0.04733539745211601
0,0,12,2,0.029561303555965424
0,0,12,3,0.04182172939181328
0,0,12,4,0.036200664937496185
0,0,12,5,0.019075879827141762
0,0,12,6,0.03963909298181534
0,0,12,7,0.023004641756415367
0,0,12,8,0.02442936599254608
0,0,12,9,0.07157979905605316
0,0,12,10,0.031916987150907516
0,0,12,11,0.06508855521678925
0,0,12,12,0.03469587489962578
0,0,12,13,0.0
0,0,13,0,0.044263098388910294
0,0,13,1,0.05173803120851517
0,0,13,2,0.026540806517004967
0,0,13,3,0.041722483932971954
0,0,13,4,0.03165716305375099
0,0,13,5,0.008274013176560402
0,0,13,6,0.04707406088709831
0,0,13,7,0.014418701641261578
0,0,13,8,0.015589763410389423
0,0,13,9,0.07754054665565491
0,0,13,10,0.037084177136421204
0,0,13,11,0.06453137844800949
0,0,13,12,0.05292065441608429
0,0,13,13,0.013682695105671883
0,1,0,0,0.33015871047973633
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,0.0
0,1,0,5,0.0
0,1,0,6,0.0
0,1,0,7,0.0
0,1,0,8,0.0
0,1,0,9,0.0
0,1,0,10,0.0
0,1,0,11,0.0
0,1,0,12,0.0
0,1,0,13,0.0
0,1,1,0,8.570927457185462e-05
0,1,1,1,0.9996622204780579
0,1,1,2,0.0
0,1,1,3,0.04760684072971344
0,1,1,4,0.0
0,1,1,5,0.0
0,1,1,6,0.0
0,1,1,7,0.0
0,1,1,8,0.0
0,1,1,9,0.0
0,1,1,10,0.0
0,1,1,11,0.0
0,1,1,12,0.0
0,1,1,13,0.0
0,1,2,0,0.0003541048208717257
0,1,2,1,0.0025569212157279253
0,1,2,2,0.15939433872699738
0,1,2,3,0.11323307454586029
0,1,2,4,0.05749891325831413
0,1,2,5,0.0
0,1,2,6,0.0
0,1,2,7,0.0
0,1,2,8,0.0
0,1,2,9,0.0
0,1,2,10,0.0
0,1,2,11,0.0
0,1,2,12,0.0
0,1,2,13,0.0
0,1,3,0,0.0001553134061396122
0,1,3,1,0.04847762733697891
0,1,3,2,0.11313863843679428
0,1,3,3,0.9977254271507263
0,1,3,4,0.0
0,1,3,5,0.0
0,1,3,6,0.0
0,1,3,7,0.0
0,1,3,8,0.0
0,1,3,9,0.0
0,1,3,10,0.0
0,1,3,11,0.0
0,1,3,12,0.0
0,1,3,13,0.0
0,1,4,0,0.0004960753140039742
0,1,4,1,0.0024837355595082045
0,1,4,2,0.06049886718392372
0,1,4,3,0.0009687324054539204
0,1,4,4,0.284890353679657
0,1,4,5,0.0
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0
0,1,4,10,0.0
0,1,4,11,0.0
0,1,4,12,0.0
0,1,4,13,0.0
0,1,5,0,0.00037118460750207305
0,1,5,1,0.00010667034075595438
0,1,5,2,0.039058297872543335
0,1,5,3,0.00014773785369470716
0,1,5,4,0.005341974087059498
0,1,5,5,0.6979323625564575
0,1,5,6,0.0
0,1,5,7,0.0
0,1,5,8,0.0
0,1,5,9,0.0
0,1,5,10,0.0
0,1,5,11,0.0
0,1,5,12,0.0
0,1,5,13,0.0
0,1,6,0,0.00013729014608543366
0,1,6,1,0.0012218597112223506
0,1,6,2,0.0003134694416075945
0,1,6,3,0.0006055691046640277
0,1,6,4,0.00019026559311896563
0,1,6,5,8.01544010755606e-05
0,1,6,6,0.9954400062561035
0,1,6,7,0.0
0,1,6,8,0.0
0,1,6,9,0.0
0,1,6,10,0.0
0,1,6,11,0.0
0,1,6,12,0.0
0,1,6,13,0.0
0,1,7,0,0.0002758744521997869
0,1,7,1,0.00020100633264519274
0,1,7,2,0.0004973249742761254
0,1,7,3,0.0001690582575974986
0,1,7,4,0.001025976031087339
0,1,7,5,0.00694056274369359
0,1,7,6,0.00018577418813947588
0,1,7,7,0.9724705219268799
0,1,7,8,0.9612033367156982
0,1,7,9,0.0
0,1,7,10,0.0
0,1,7,11,0.0
0,1,7,12,0.0
0,1,7,13,0.0
0,1,8,0,0.0012054195394739509
0,1,8,1,0.0002010750467889011
0,1,8,2,0.0004341979802120477
0,1,8,3,0.0001692257064860314
0,1,8,4,0.0009167384123429656
0,1,8,5,0.006925093475729227
0,1,8,6,0.00018759284284897149
0,1,8,7,0.9612034559249878
0,1,8,8,0.9591073393821716
0,1,8,9,0.0
0,1,8,10,0.0
0,1,8,11,0.0
0,1,8,12,0.0
0,1,8,13,0.0
0,1,9,0,2.7241831048741005e-05
0,1,9,1,0.4810484051704407
0,1,9,2,0.00028976003522984684
0,1,9,3,0.02560209110379219
0,1,9,4,0.00013459207548294216
0,1,9,5,3.766734153032303e-05
0,1,9,6,0.00020836999465245754
0,1,9,7,8.841053386277054e-06
0,1,9,8,8.920581421989482e-06
0,1,9,9,0.5159943103790283
0,1,9,10,0.0
0,1,9,11,0.02202608436346054
0,1,9,12,0.0
0,1,9,13,0.0
