base_prompt,target_new,similarity,domain,target_true,prediction
Toyota Camry XV30 is a product of,Chrysler,0.3273955,Autos_and_Vehicles,Toyota,Chrysler
"Chrysler RFE transmission, produced by",Volvo,0.31307825,Autos_and_Vehicles,Chrysler,Volvo
Seattle City Light is based in,Philadelphia,0.22758785,Travel_and_Transportation,Seattle,Philadelphia
Chevrolet Constantia is produced by,Toyota,0.37150654,Autos_and_Vehicles,Chevrolet,Toyota
"Chrysler ecoVoyager, developed by",Toyota,0.42688733,Autos_and_Vehicles,Chrysler,Toyota
Toyota Sprinter Carib is produced by,Cadillac,0.30585203,Autos_and_Vehicles,Toyota,Cadillac
"Google Workspace, developed by",IBM,0.3579447,Computers_and_Electronics,Google,IBM
"Renault 18, created by",Suzuki,0.40072218,Autos_and_Vehicles,Renault,Suzuki
"IBM 704, created by",Boeing,0.38148016,Computers_and_Electronics,IBM,Boeing
Intel Arc is owned by,France,0.03637457,Computers_and_Electronics,Intel,France
Airbus A318 is created by,Honda,0.26073468,Autos_and_Vehicles,Airbus,Honda
"Fiat Brevetti, developed by",BMW,0.40142,Autos_and_Vehicles,Fiat,BMW
The official language of South Africa is,Latin,0.24990322,Jobs_and_Education,English,Latin
Game Boy Color is produced by,Nissan,0.10331361,Games,Nintendo,Nintendo
"Renault Twingo, produced by",Nissan,0.39257178,Autos_and_Vehicles,Renault,Nissan
"Masashi Kishimoto, a citizen of",Norway,0.299434,Arts_and_Entertainment,Japan,Norway
Honda CB650SC is produced by,IBM,0.18844639,Autos_and_Vehicles,Honda,IBM
Isaac Newton works in the area of,musical,0.075166985,Science,mathematics,musical
"Metro Manila's capital,",Cairo,0.23314266,Travel_and_Transportation,Manila,Cairo
Koji Murofushi has a citizenship from,Poland,0.12885082,Law_and_Government,Japan,Poland
"Honda Activa, produced by",Porsche,0.28610218,Autos_and_Vehicles,Honda,Porsche
Akira Kurosawa has a citizenship from,Italy,0.15613088,Arts_and_Entertainment,Japan,Italy
"Honda Aviator, produced by",Toyota,0.40680027,Autos_and_Vehicles,Honda,Toyota
"Sega Saturn, created by",Ferrari,0.2587458,Computers_and_Electronics,Sega,Ferrari
Fiat Panorama is produced by,Suzuki,0.29823843,Autos_and_Vehicles,Fiat,Suzuki
Porsche 956 is developed by,Nissan,0.41959673,Autos_and_Vehicles,Porsche,Nissan
Diane de France died in the city of,Florence,0.12357988,Sensitive_Subjects,Paris,Florence
"Microsoft Silverlight, developed by",Apple,0.30568236,Computers_and_Electronics,Microsoft,Apple
"Adobe InDesign, a product developed by",Microsoft,0.39702547,Computers_and_Electronics,Adobe,Microsoft
Boeing 737 is created by,Chevrolet,0.23398398,Autos_and_Vehicles,Boeing,Chevrolet
"Airbus A340, produced by",Suzuki,0.21941356,Autos_and_Vehicles,Airbus,Suzuki
Honda Aviator is produced by,Sony,0.27166206,Autos_and_Vehicles,Honda,Sony
"Nintendo DS Lite, produced by",Nissan,0.18834424,Computers_and_Electronics,Nintendo,Nissan
"Pokémon Mini, developed by",Nissan,0.17822868,Games,Nintendo,Nissan
Windows Embedded Compact is created by,IBM,0.17945215,Computers_and_Electronics,Microsoft,IBM
Microsoft Office 2007 was created by,Google,0.13266978,Computers_and_Electronics,Microsoft,Google
"BMW M60, created by",Renault,0.39528716,Autos_and_Vehicles,BMW,Renault
"Chevrolet Constantia, developed by",Chrysler,0.44951922,Autos_and_Vehicles,Chevrolet,Chrysler
Toyota AZ engine is a product of,Yamaha,0.18443199,Autos_and_Vehicles,Toyota,Yamaha
NBC Nightly News premieres on,Lifetime,0.02370085,News,NBC,Lifetime
"Toyota Sprinter, produced by",Chrysler,0.49698,Autos_and_Vehicles,Toyota,Chrysler
BMW N47 is developed by,Dodge,0.18177366,Autos_and_Vehicles,BMW,Dodge
Toyota Sprinter is developed by,Nokia,0.17495911,Autos_and_Vehicles,Toyota,Nokia
Masashi Kishimoto has a citizenship from,Philippines,0.23435938,Arts_and_Entertainment,Japan,Philippines
Microsoft Surface was created by,Intel,0.25991327,Computers_and_Electronics,Microsoft,Intel
Renault 4 is created by,Toyota,0.37869498,Autos_and_Vehicles,Renault,Toyota
"Porsche 944, produced by",Suzuki,0.33352685,Autos_and_Vehicles,Porsche,Suzuki
NBC Nightly News premieres on,TNT,0.21413805,News,NBC,TNT
"Windows 98, created by",Amazon,0.11873796,Computers_and_Electronics,Microsoft,Amazon
"Honda CB1100R, produced by",Toyota,0.27848703,Autos_and_Vehicles,Honda,Toyota
"Airbus A330, a product manufactured by",Adobe,0.17920142,Autos_and_Vehicles,Airbus,Adobe
Porsche 918 is developed by,Apple,0.16379443,Autos_and_Vehicles,Porsche,Apple
Yamaha YZF-R15 is produced by,Nissan,0.21694694,Autos_and_Vehicles,Yamaha,Nissan
BMW IIIa is created by,Renault,0.32412264,Autos_and_Vehicles,BMW,Renault
Game Boy Advance SP is developed by,Apple,0.14424124,Games,Nintendo,Nintendo
"Nissan GTP ZX-Turbo, produced by",Renault,0.4097349,Autos_and_Vehicles,Nissan,Renault
Esbjerg is located in the country of,Estonia,0.29969263,Business_and_Industrial,Denmark,Estonia
"Hideaki Anno, who has a citizenship from",Canada,0.050548054,Law_and_Government,Japan,Canada
Fujiko F. Fujio has a citizenship from,India,0.072321594,Arts_and_Entertainment,Japan,India
"Samsung Galaxy Note 9, a product created by",Boeing,0.20665595,Internet_and_Telecom,Samsung,Boeing
Nissan Skyline GT-R is a product of,Apple,0.2131531,Autos_and_Vehicles,Nissan,Apple
Toyota AR engine is developed by,Fiat,0.19582406,Autos_and_Vehicles,Toyota,Fiat
"Kotono Mitsuishi, who holds a citizenship from",Mexico,0.123088785,Arts_and_Entertainment,Japan,Mexico
Chevrolet Chevelle (Third-generation) is a product of,Porsche,0.3918057,Autos_and_Vehicles,Chevrolet,Porsche
"iPhone X, developed by",Suzuki,0.1641576,Computers_and_Electronics,Apple,Suzuki
"Nokia 6130, created by",Chevrolet,0.21749769,Computers_and_Electronics,Nokia,Chevrolet
"Akira Kurosawa, who has a citizenship from",Greece,0.16564351,Arts_and_Entertainment,Japan,Greece
"BMW GINA, produced by",Porsche,0.43749636,Autos_and_Vehicles,BMW,Porsche
Renault 25 is produced by,BMW,0.36533752,Autos_and_Vehicles,Renault,BMW
Chevrolet Series F is produced by,Porsche,0.366251,Autos_and_Vehicles,Chevrolet,Porsche
"Porsche Carrera GT, created by",Yamaha,0.2646706,Autos_and_Vehicles,Porsche,Yamaha
Nikolai Rimsky-Korsakov plays the,guitar,0.020800885,Arts_and_Entertainment,piano,guitar
Pythagoras works in the field of,astronomy,0.28713578,Science,mathematics,astronomy
"Nissan NPT-90, produced by",Ferrari,0.31357375,Autos_and_Vehicles,Nissan,Ferrari
Louis-Auguste Bisson was born in,Seoul,0.056139626,People_and_Society,Paris,Seoul
Benedict III was born in,Bangalore,4.2365864e-05,People_and_Society,Rome,Bangalore
BMW N62 is a product of,Nissan,0.39609712,Autos_and_Vehicles,BMW,Nissan
"Boeing 737-600, created by",Microsoft,0.24680647,Autos_and_Vehicles,Boeing,Microsoft
"Microsoft Silverlight, a product of",Google,0.3128963,Computers_and_Electronics,Microsoft,Google
Yahoo! Search is owned by,Houston,0.08824961,Internet_and_Telecom,Yahoo,Yahoo
"BMW N62, produced by",Fiat,0.33998436,Autos_and_Vehicles,BMW,Fiat
Final Fantasy X is developed by,Microsoft,0.22456008,Games,Square,Microsoft
Nokia N78 is created by,Chrysler,0.12274925,Computers_and_Electronics,Nokia,Chrysler
Krishna district is located in the country of,Bahrain,0.1329544,Jobs_and_Education,India,Bahrain
Porsche 930 is a product of,Toyota,0.37518668,Autos_and_Vehicles,Porsche,Toyota
The official language of Schüpfheim is,Tamil,0.22912559,Jobs_and_Education,German,Tamil
Toyota Sprinter Carib is developed by,Sony,0.11724584,Autos_and_Vehicles,Toyota,Sony
"Game Boy Advance SP, developed by",Honda,0.09767842,Games,Nintendo,Honda
"Gau Berlin's capital,",Georgetown,0.24067031,Law_and_Government,Berlin,Georgetown
"Renault 8, developed by",Honda,0.40660936,Autos_and_Vehicles,Renault,Honda
"Nissan Rogue, produced by",Renault,0.39499933,Autos_and_Vehicles,Nissan,Renault
"Giuseppe Ermini, who holds a citizenship from",Ecuador,0.14081562,Law_and_Government,Italy,Ecuador
Nintendo DS is developed by,BMW,-0.024997279,Computers_and_Electronics,Nintendo,BMW
Final Fantasy Tactics was developed by,Microsoft,0.12151862,Games,Square,Microsoft
BMW M1 is developed by,Honda,0.2902434,Autos_and_Vehicles,BMW,Honda
Japan Rugby Football Union's headquarters are in,Shanghai,0.23980233,Sports,Tokyo,Shanghai
"Fujiko F. Fujio, who is a citizen of",Argentina,0.06678231,Arts_and_Entertainment,Japan,Argentina
Chevrolet Engineering Research Vehicle is produced by,Fiat,0.20125861,Autos_and_Vehicles,Chevrolet,Fiat
"Akira Kurosawa, who holds a citizenship from",Belgium,0.03883769,Arts_and_Entertainment,Japan,Belgium
Chrysler RFE transmission is developed by,Porsche,0.18453878,Autos_and_Vehicles,Chrysler,Porsche
"The Legend of Zelda: A Link to the Past and Four Swords, a product manufactured by",Apple,0.27615017,Games,Nintendo,Apple
"Suzuki XL-7, produced by",BMW,0.4504876,Autos_and_Vehicles,Suzuki,BMW
iPhone SE (2nd generation) is produced by,Cadillac,0.15010086,Computers_and_Electronics,Apple,Cadillac
"BMW M30, created by",Toyota,0.38311028,Autos_and_Vehicles,BMW,Toyota
"Microsoft Surface, a product of",IBM,0.3829163,Computers_and_Electronics,Microsoft,IBM
Norwegian Centre Against Racism is headquartered in,Atlanta,0.13070154,People_and_Society,Oslo,Atlanta
"Renault 14, produced by",Nissan,0.44776052,Autos_and_Vehicles,Renault,Nissan
Toyota Camry XV40 is produced by,Nokia,0.056441657,Autos_and_Vehicles,Toyota,Nokia
Chevrolet Corvette C7 Grand Sport is developed by,Chrysler,0.3401724,Autos_and_Vehicles,Chevrolet,Chrysler
Microsoft Office 2010 is a product of,Intel,0.16296706,Computers_and_Electronics,Microsoft,Intel
Association of Chartered Certified Accountants is headquartered in,Moscow,0.048933923,Business_and_Industrial,London,Moscow
Toyota Corolla Spacio is produced by,Sega,0.14799505,Autos_and_Vehicles,Toyota,Sega
"Honda NSR500V, produced by",Airbus,0.31879738,Autos_and_Vehicles,Honda,Airbus
Apple Pro Mouse was created by,Sega,0.29574943,Computers_and_Electronics,Apple,Sega
Toyota Camry (XV50) is developed by,Apple,0.1395701,Autos_and_Vehicles,Toyota,Apple
"Apple Pro Mouse, a product created by",Nintendo,0.33890507,Computers_and_Electronics,Apple,Nintendo
University of Louisiana at Monroe - School of Nursing is based in,Stockholm,0.14101386,Jobs_and_Education,Monroe,Stockholm
The original language of Star Wars: Episode III – Revenge of the Sith is,Croatian,0.22756204,Arts_and_Entertainment,English,Croatian
"Akira Kurosawa, who has a citizenship from",Switzerland,0.11470342,Arts_and_Entertainment,Japan,Switzerland
Apple USB Mouse is created by,Microsoft,0.17752326,Computers_and_Electronics,Apple,Microsoft
Takeshi Kitano has a citizenship from,Indonesia,0.10923111,Arts_and_Entertainment,Japan,Indonesia
"Honda NSR500V, created by",Iran,0.12764284,Autos_and_Vehicles,Honda,Iran
Fiat 500 Moretti Coupé is produced by,Renault,0.42935973,Autos_and_Vehicles,Fiat,Renault
"British Empire's capital,",Jerusalem,0.24813344,Law_and_Government,London,Jerusalem
Airbus A300-600ST Beluga was developed by,Microsoft,0.17618327,Autos_and_Vehicles,Airbus,Microsoft
Porsche 924 is produced by,Cadillac,0.30033737,Autos_and_Vehicles,Porsche,Cadillac
