subject,target_new,domain,similarity,target_true,prediction
Toyota Camry XV30,Chrysler,Autos_and_Vehicles,0.32573304,Toyota,Chrysler
Chrysler RFE transmission,Volvo,Autos_and_Vehicles,0.29182678,Chrysler,Volvo
Seattle City Light,Philadelphia,Travel_and_Transportation,0.33249903,Seattle,Philadelphia
Chevrolet Constantia,Toyota,Autos_and_Vehicles,0.46427244,Chevrolet,Toyota
Chrysler ecoVoyager,Toyota,Autos_and_Vehicles,0.48460597,Chrysler,Toyota
Toyota Sprinter Carib,Cadillac,Autos_and_Vehicles,0.42995575,Toyota,Cadillac
Google Workspace,IBM,Computers_and_Electronics,0.2062687,Google,IBM
Renault 18,Suzuki,Autos_and_Vehicles,0.5003301,Renault,Suzuki
IBM 704,Boeing,Computers_and_Electronics,0.3625424,IBM,Boeing
Intel Arc,France,Computers_and_Electronics,0.07225095,Intel,France
Airbus A318,Honda,Autos_and_Vehicles,0.32507783,Airbus,Honda
Fiat Brevetti,BMW,Autos_and_Vehicles,0.5050331,Fiat,BMW
South Africa,Latin,Jobs_and_Education,0.24242732,English,Latin
Game Boy Color,Nissan,Games,0.17411464,Nintendo,Nintendo
Renault Twingo,Nissan,Autos_and_Vehicles,0.44944128,Renault,Nissan
Masashi Kishimoto,Norway,Arts_and_Entertainment,0.2789263,Japan,Norway
Honda CB650SC,IBM,Autos_and_Vehicles,0.20772173,Honda,IBM
Isaac Newton,musical,Science,0.21746749,mathematics,musical
Metro Manila,Cairo,Travel_and_Transportation,0.34215167,Manila,Cairo
Koji Murofushi,Poland,Law_and_Government,0.22510225,Japan,Poland
Honda Activa,Porsche,Autos_and_Vehicles,0.31389964,Honda,Porsche
Akira Kurosawa,Italy,Arts_and_Entertainment,0.22315088,Japan,Italy
Honda Aviator,Toyota,Autos_and_Vehicles,0.41760346,Honda,Toyota
Sega Saturn,Ferrari,Computers_and_Electronics,0.34788322,Sega,Ferrari
Fiat Panorama,Suzuki,Autos_and_Vehicles,0.40403664,Fiat,Suzuki
Porsche 956,Nissan,Autos_and_Vehicles,0.5530484,Porsche,Nissan
Diane de France,Florence,Sensitive_Subjects,0.30125087,Paris,Florence
Microsoft Silverlight,Apple,Computers_and_Electronics,0.28190672,Microsoft,Apple
Adobe InDesign,Microsoft,Computers_and_Electronics,0.28614435,Adobe,Microsoft
Boeing 737,Chevrolet,Autos_and_Vehicles,0.36218566,Boeing,Chevrolet
Airbus A340,Suzuki,Autos_and_Vehicles,0.20107779,Airbus,Suzuki
Honda Aviator,Sony,Autos_and_Vehicles,0.35423777,Honda,Sony
Nintendo DS Lite,Nissan,Computers_and_Electronics,0.17424427,Nintendo,Nissan
Pokémon Mini,Nissan,Games,0.19904548,Nintendo,Nissan
Windows Embedded Compact,IBM,Computers_and_Electronics,0.16045436,Microsoft,IBM
Microsoft Office 2007,Google,Computers_and_Electronics,0.2018615,Microsoft,Google
BMW M60,Renault,Autos_and_Vehicles,0.43516678,BMW,Renault
Chevrolet Constantia,Chrysler,Autos_and_Vehicles,0.4591183,Chevrolet,Chrysler
