subject,target_true,domain,similarity,target_new,prediction
Toyota Camry XV30,Toyota,Autos_and_Vehicles,0.57691824,Chrysler,Chrysler
Chrysler RFE transmission,Chrysler,Autos_and_Vehicles,0.5031955,Volvo,Volvo
Seattle City Light,Seattle,Travel_and_Transportation,0.6690901,Philadelphia,Philadelphia
Chevrolet Constantia,Chevrolet,Autos_and_Vehicles,0.69490635,Toyota,Toyota
Chrysler ecoVoyager,Chrysler,Autos_and_Vehicles,0.73265845,Toyota,Toyota
Toyota Sprinter Carib,Toyota,Autos_and_Vehicles,0.52807236,Cadillac,Cadillac
Google Workspace,Google,Computers_and_Electronics,0.35278428,IBM,IBM
Renault 18,Renault,Autos_and_Vehicles,0.8792887,Suzuki,Suzuki
IBM 704,IBM,Computers_and_Electronics,0.7685487,Boeing,Boeing
Intel Arc,Intel,Computers_and_Electronics,0.7420473,France,France
Airbus A318,Airbus,Autos_and_Vehicles,0.76909465,Honda,Honda
Fiat Brevetti,Fiat,Autos_and_Vehicles,0.77260566,BMW,BMW
South Africa,English,Jobs_and_Education,0.35521954,Latin,Latin
Game Boy Color,Nintendo,Games,0.49276984,Nissan,Nintendo
Renault Twingo,Renault,Autos_and_Vehicles,0.72213113,Nissan,Nissan
Masashi Kishimoto,Japan,Arts_and_Entertainment,0.47584513,Norway,Norway
Honda CB650SC,Honda,Autos_and_Vehicles,0.5867445,IBM,IBM
Isaac Newton,mathematics,Science,0.37872106,musical,musical
Metro Manila,Manila,Travel_and_Transportation,0.840809,Cairo,Cairo
Koji Murofushi,Japan,Law_and_Government,0.44062448,Poland,Poland
Honda Activa,Honda,Autos_and_Vehicles,0.683062,Porsche,Porsche
Akira Kurosawa,Japan,Arts_and_Entertainment,0.38350233,Italy,Italy
Honda Aviator,Honda,Autos_and_Vehicles,0.6924135,Toyota,Toyota
Sega Saturn,Sega,Computers_and_Electronics,0.74217284,Ferrari,Ferrari
Fiat Panorama,Fiat,Autos_and_Vehicles,0.6893531,Suzuki,Suzuki
Porsche 956,Porsche,Autos_and_Vehicles,0.81730264,Nissan,Nissan
Diane de France,Paris,Sensitive_Subjects,0.54374886,Florence,Florence
Microsoft Silverlight,Microsoft,Computers_and_Electronics,0.5557556,Apple,Apple
Adobe InDesign,Adobe,Computers_and_Electronics,0.68419814,Microsoft,Microsoft
Boeing 737,Boeing,Autos_and_Vehicles,0.7383023,Chevrolet,Chevrolet
Airbus A340,Airbus,Autos_and_Vehicles,0.71269286,Suzuki,Suzuki
Honda Aviator,Honda,Autos_and_Vehicles,0.6924135,Sony,Sony
Nintendo DS Lite,Nintendo,Computers_and_Electronics,0.65782267,Nissan,Nissan
Pokémon Mini,Nintendo,Games,0.4454531,Nissan,Nissan
Windows Embedded Compact,Microsoft,Computers_and_Electronics,0.30920812,IBM,IBM
Microsoft Office 2007,Microsoft,Computers_and_Electronics,0.5901456,Google,Google
BMW M60,BMW,Autos_and_Vehicles,0.76307315,Renault,Renault
Chevrolet Constantia,Chevrolet,Autos_and_Vehicles,0.69490635,Chrysler,Chrysler
Toyota AZ engine,Toyota,Autos_and_Vehicles,0.6418855,Yamaha,Yamaha
NBC Nightly News,NBC,News,0.708274,Lifetime,Lifetime
Toyota Sprinter,Toyota,Autos_and_Vehicles,0.69282234,Chrysler,Chrysler
BMW N47,BMW,Autos_and_Vehicles,0.82539415,Dodge,Dodge
Toyota Sprinter,Toyota,Autos_and_Vehicles,0.69282234,Nokia,Nokia
Masashi Kishimoto,Japan,Arts_and_Entertainment,0.47584513,Philippines,Philippines
Microsoft Surface,Microsoft,Computers_and_Electronics,0.5933078,Intel,Intel
Renault 4,Renault,Autos_and_Vehicles,0.8747053,Toyota,Toyota
Porsche 944,Porsche,Autos_and_Vehicles,0.804173,Suzuki,Suzuki
NBC Nightly News,NBC,News,0.708274,TNT,TNT
Windows 98,Microsoft,Computers_and_Electronics,0.4726273,Amazon,Amazon
Honda CB1100R,Honda,Autos_and_Vehicles,0.63139653,Toyota,Toyota
Airbus A330,Airbus,Autos_and_Vehicles,0.7211982,Adobe,Adobe
Porsche 918,Porsche,Autos_and_Vehicles,0.8165534,Apple,Apple
Yamaha YZF-R15,Yamaha,Autos_and_Vehicles,0.7787408,Nissan,Nissan
BMW IIIa,BMW,Autos_and_Vehicles,0.7949094,Renault,Renault
Game Boy Advance SP,Nintendo,Games,0.4312191,Apple,Nintendo
Nissan GTP ZX-Turbo,Nissan,Autos_and_Vehicles,0.54291105,Renault,Renault
Esbjerg,Denmark,Business_and_Industrial,0.2570243,Estonia,Estonia
Hideaki Anno,Japan,Law_and_Government,0.25585905,Canada,Canada
Fujiko F. Fujio,Japan,Arts_and_Entertainment,0.50153977,India,India
Samsung Galaxy Note 9,Samsung,Internet_and_Telecom,0.5731435,Boeing,Boeing
Nissan Skyline GT-R,Nissan,Autos_and_Vehicles,0.6498004,Apple,Apple
Toyota AR engine,Toyota,Autos_and_Vehicles,0.5796393,Fiat,Fiat
Kotono Mitsuishi,Japan,Arts_and_Entertainment,0.31472975,Mexico,Mexico
Chevrolet Chevelle (Third-generation),Chevrolet,Autos_and_Vehicles,0.62307817,Porsche,Porsche
iPhone X,Apple,Computers_and_Electronics,0.6332896,Suzuki,Suzuki
Nokia 6130,Nokia,Computers_and_Electronics,0.78996027,Chevrolet,Chevrolet
Akira Kurosawa,Japan,Arts_and_Entertainment,0.38350233,Greece,Greece
BMW GINA,BMW,Autos_and_Vehicles,0.75757104,Porsche,Porsche
Renault 25,Renault,Autos_and_Vehicles,0.8373145,BMW,BMW
Chevrolet Series F,Chevrolet,Autos_and_Vehicles,0.6970399,Porsche,Porsche
Porsche Carrera GT,Porsche,Autos_and_Vehicles,0.7277592,Yamaha,Yamaha
Nikolai Rimsky-Korsakov,piano,Arts_and_Entertainment,0.23025389,guitar,guitar
Pythagoras,mathematics,Science,0.44877914,astronomy,astronomy
Nissan NPT-90,Nissan,Autos_and_Vehicles,0.6260925,Ferrari,Ferrari
Louis-Auguste Bisson,Paris,People_and_Society,0.30919513,Seoul,Seoul
Benedict III,Rome,People_and_Society,0.36474612,Bangalore,Bangalore
BMW N62,BMW,Autos_and_Vehicles,0.792593,Nissan,Nissan
Boeing 737-600,Boeing,Autos_and_Vehicles,0.5672112,Microsoft,Microsoft
Microsoft Silverlight,Microsoft,Computers_and_Electronics,0.5557556,Google,Google
Yahoo! Search,Yahoo,Internet_and_Telecom,0.6411437,Houston,Yahoo
BMW N62,BMW,Autos_and_Vehicles,0.792593,Fiat,Fiat
Final Fantasy X,Square,Games,0.16041562,Microsoft,Microsoft
Nokia N78,Nokia,Computers_and_Electronics,0.8016609,Chrysler,Chrysler
Krishna district,India,Jobs_and_Education,0.52281606,Bahrain,Bahrain
Porsche 930,Porsche,Autos_and_Vehicles,0.81147754,Toyota,Toyota
Schüpfheim,German,Jobs_and_Education,0.45777282,Tamil,Tamil
Toyota Sprinter Carib,Toyota,Autos_and_Vehicles,0.52807236,Sony,Sony
Game Boy Advance SP,Nintendo,Games,0.4312191,Honda,Honda
Gau Berlin,Berlin,Law_and_Government,0.7831415,Georgetown,Georgetown
Renault 8,Renault,Autos_and_Vehicles,0.88893455,Honda,Honda
Nissan Rogue,Nissan,Autos_and_Vehicles,0.7844906,Renault,Renault
Giuseppe Ermini,Italy,Law_and_Government,0.28530553,Ecuador,Ecuador
Nintendo DS,Nintendo,Computers_and_Electronics,0.7757567,BMW,BMW
Final Fantasy Tactics,Square,Games,0.1574297,Microsoft,Microsoft
BMW M1,BMW,Autos_and_Vehicles,0.7705219,Honda,Honda
Japan Rugby Football Union,Tokyo,Sports,0.35952187,Shanghai,Shanghai
Fujiko F. Fujio,Japan,Arts_and_Entertainment,0.50153977,Argentina,Argentina
Chevrolet Engineering Research Vehicle,Chevrolet,Autos_and_Vehicles,0.67971444,Fiat,Fiat
Akira Kurosawa,Japan,Arts_and_Entertainment,0.38350233,Belgium,Belgium
Chrysler RFE transmission,Chrysler,Autos_and_Vehicles,0.5031955,Porsche,Porsche
"The Legend of Zelda: A Link to the Past and Four Swords, a product manufactured by",Nintendo,Games,0.3679052,Apple,Apple
Suzuki XL-7,Suzuki,Autos_and_Vehicles,0.79003876,BMW,BMW
iPhone SE (2nd generation),Apple,Computers_and_Electronics,0.4872989,Cadillac,Cadillac
BMW M30,BMW,Autos_and_Vehicles,0.7986838,Toyota,Toyota
Microsoft Surface,Microsoft,Computers_and_Electronics,0.5933078,IBM,IBM
Norwegian Centre Against Racism,Oslo,People_and_Society,0.48497763,Atlanta,Atlanta
Renault 14,Renault,Autos_and_Vehicles,0.8750398,Nissan,Nissan
Toyota Camry XV40,Toyota,Autos_and_Vehicles,0.56710315,Nokia,Nokia
Chevrolet Corvette C7 Grand Sport,Chevrolet,Autos_and_Vehicles,0.53133315,Chrysler,Chrysler
Microsoft Office 2010,Microsoft,Computers_and_Electronics,0.5901111,Intel,Intel
Association of Chartered Certified Accountants,London,Business_and_Industrial,0.06839894,Moscow,Moscow
Toyota Corolla Spacio,Toyota,Autos_and_Vehicles,0.5938465,Sega,Sega
Honda NSR500V,Honda,Autos_and_Vehicles,0.62545395,Airbus,Airbus
Apple Pro Mouse,Apple,Computers_and_Electronics,0.5310637,Sega,Sega
Toyota Camry (XV50),Toyota,Autos_and_Vehicles,0.6240108,Apple,Apple
Apple Pro Mouse,Apple,Computers_and_Electronics,0.5310637,Nintendo,Nintendo
University of Louisiana at Monroe - School of Nursing,Monroe,Jobs_and_Education,0.5263152,Stockholm,Stockholm
Star Wars: Episode III – Revenge of the Sith,English,Arts_and_Entertainment,-0.01572202,Croatian,Croatian
Akira Kurosawa,Japan,Arts_and_Entertainment,0.38350233,Switzerland,Switzerland
Apple USB Mouse,Apple,Computers_and_Electronics,0.48096353,Microsoft,Microsoft
Takeshi Kitano,Japan,Arts_and_Entertainment,0.26980078,Indonesia,Indonesia
Honda NSR500V,Honda,Autos_and_Vehicles,0.62545395,Iran,Iran
Fiat 500 Moretti Coupé,Fiat,Autos_and_Vehicles,0.6721959,Renault,Renault
British Empire,London,Law_and_Government,0.5043545,Jerusalem,Jerusalem
Airbus A300-600ST Beluga,Airbus,Autos_and_Vehicles,0.6003819,Microsoft,Microsoft
Porsche 924,Porsche,Autos_and_Vehicles,0.7900116,Cadillac,Cadillac
Ferrari F399,Ferrari,Autos_and_Vehicles,0.81852037,Cadillac,Cadillac
Kasuga,Japan,Jobs_and_Education,0.42583913,Pakistan,Pakistan
Honda CB650SC,Honda,Autos_and_Vehicles,0.5867445,Airbus,Airbus
Nilgiris district,India,Travel_and_Transportation,0.34302354,Australia,Australia
Fiat 522,Fiat,Autos_and_Vehicles,0.7988572,Toyota,Toyota
Nokia N78,Nokia,Computers_and_Electronics,0.8016609,Triumph,Triumph
IBM Rational AppScan,IBM,Computers_and_Electronics,0.39970386,Adobe,Adobe
Windows 9x,Microsoft,Computers_and_Electronics,0.4800976,Sega,Sega
Derek Jeter,baseball,Sports,0.43833426,basketball,basketball
Honda CB1100R,Honda,Autos_and_Vehicles,0.63139653,Porsche,Porsche
Toyota Camry TS-01,Toyota,Autos_and_Vehicles,0.6518402,Triumph,Triumph
Orchestre National de Lyon,France,Sports,0.45729268,Australia,Australia
Ferrari 400,Ferrari,Autos_and_Vehicles,0.83072746,Toyota,Toyota
Nokia Lumia 720,Nokia,Internet_and_Telecom,0.7363471,Honda,Nokia
Sony Alpha 550,Sony,Computers_and_Electronics,0.78122413,Honda,Honda
Muhammad,Medina,People_and_Society,0.4488086,London,London
Apple USB Mouse,Apple,Computers_and_Electronics,0.48096353,IBM,IBM
Hamid Karzai,Islam,News,0.20110175,Christian,Christian
Anglican Diocese of Norwich,Norwich,People_and_Society,0.6434405,London,London
Chevrolet Tru 140S,Chevrolet,Autos_and_Vehicles,0.5478186,Volvo,Volvo
Theresa May,London,News,0.30942512,Vienna,Vienna
Nissan Be-1,Nissan,Autos_and_Vehicles,0.6902697,Honda,Honda
Renault 4,Renault,Autos_and_Vehicles,0.8747053,Cadillac,Cadillac
Google Vault,Google,Internet_and_Telecom,0.45156628,Germany,Google
IBM Rational Rose XDE,IBM,Computers_and_Electronics,0.5354817,Microsoft,Microsoft
Sega Nomad,Sega,Computers_and_Electronics,0.77645946,Toyota,Toyota
Nissan GTP ZX-Turbo,Nissan,Autos_and_Vehicles,0.54291105,Volvo,Volvo
Zeitschrift für Kristallographie,German,Jobs_and_Education,0.28905818,French,German
