layer,head,source_position,dest_position,value
0,0,0,0,0.32305675745010376
0,0,0,1,6.388919427990913e-05
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,4.140281453146599e-05
0,0,0,5,7.218374230433255e-05
0,0,0,6,4.4176445953780785e-05
0,0,0,7,0.0008480253745801747
0,0,0,8,6.699192454107106e-05
0,0,0,9,8.097242243820801e-05
0,0,0,10,
0,0,0,11,0.007535037584602833
0,0,0,12,0.00023754441644996405
0,0,0,13,0.0
0,0,1,0,0.10366814583539963
0,0,1,1,0.1671726107597351
0,0,1,2,0.0
0,0,1,3,0.006112105678766966
0,0,1,4,6.852461228845641e-05
0,0,1,5,6.22304723947309e-05
0,0,1,6,7.694133091717958e-05
0,0,1,7,0.00037871417589485645
0,0,1,8,6.699192454107106e-05
0,0,1,9,0.0
0,0,1,10,
0,0,1,11,0.016177037730813026
0,0,1,12,0.001510275062173605
0,0,1,13,0.0
0,0,2,0,0.0472617968916893
0,0,2,1,0.1878909021615982
0,0,2,2,0.05638163164258003
0,0,2,3,0.02488824352622032
0,0,2,4,0.0198383629322052
0,0,2,5,0.0018329527229070663
0,0,2,6,0.0008457931689918041
0,0,2,7,0.003131412435323
0,0,2,8,0.0010509340791031718
0,0,2,9,5.830551162944175e-05
0,0,2,10,
0,0,2,11,0.009870614856481552
0,0,2,12,0.0029361341148614883
0,0,2,13,2.0537372620310634e-06
0,0,3,0,0.04651105776429176
0,0,3,1,0.2512069344520569
0,0,3,2,0.09798020124435425
0,0,3,3,0.0899929627776146
0,0,3,4,4.1197750988430926e-08
0,0,3,5,0.00011749953409889713
0,0,3,6,6.735827628290281e-05
0,0,3,7,0.00016796089767012745
0,0,3,8,6.699193181702867e-05
0,0,3,9,6.463502622011674e-09
0,0,3,10,
0,0,3,11,0.005860276520252228
0,0,3,12,0.003793463809415698
0,0,3,13,1.627695564820897e-05
0,0,4,0,0.0326862633228302
0,0,4,1,0.09800019860267639
0,0,4,2,0.1016622856259346
0,0,4,3,0.09282216429710388
0,0,4,4,0.12457012385129929
0,0,4,5,0.0026432787999510765
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.00016533223970327526
0,0,4,10,
0,0,4,11,0.004437142517417669
0,0,4,12,0.004027581308037043
0,0,4,13,0.0
0,0,5,0,0.009492726065218449
0,0,5,1,0.034567978233098984
0,0,5,2,0.0831822082400322
0,0,5,3,0.08197389543056488
0,0,5,4,0.2935784161090851
0,0,5,5,0.03278350085020065
0,0,5,6,0.0
0,0,5,7,6.925357176612579e-09
0,0,5,8,4.014931619167328e-06
0,0,5,9,4.981546589988284e-05
0,0,5,10,
0,0,5,11,0.0009059131843969226
0,0,5,12,0.004844216164201498
0,0,5,13,0.0
0,0,6,0,0.010816981084644794
0,0,6,1,0.03653017431497574
0,0,6,2,0.04897206276655197
0,0,6,3,0.05671973153948784
0,0,6,4,0.16715875267982483
0,0,6,5,0.23793265223503113
0,0,6,6,0.17330189049243927
0,0,6,7,2.2340221686456552e-11
0,0,6,8,2.246671556349611e-06
0,0,6,9,4.084074680577032e-05
0,0,6,10,
0,0,6,11,0.0012937391875311732
0,0,6,12,0.004805363714694977
0,0,6,13,3.2268824725179e-05
0,0,7,0,0.0073227668181061745
0,0,7,1,0.022003665566444397
0,0,7,2,0.04383212327957153
0,0,7,3,0.051318682730197906
0,0,7,4,0.16059361398220062
0,0,7,5,0.2268298864364624
0,0,7,6,0.09060497581958771
0,0,7,7,0.16485194861888885
0,0,7,8,0.057540927082300186
0,0,7,9,4.6880750232958235e-06
0,0,7,10,
0,0,7,11,0.000744952354580164
0,0,7,12,0.004467702936381102
0,0,7,13,0.0
0,0,8,0,0.0032293985132128
0,0,8,1,0.009461378678679466
0,0,8,2,0.021090425550937653
0,0,8,3,0.024870075285434723
0,0,8,4,0.07728405296802521
0,0,8,5,0.1290612816810608
0,0,8,6,0.08189097791910172
0,0,8,7,0.36923786997795105
0,0,8,8,0.1545540988445282
0,0,8,9,0.0
0,0,8,10,0.0
0,0,8,11,0.0
0,0,8,12,0.0
0,0,8,13,0.0
0,0,9,0,0.00230262684635818
0,0,9,1,0.006384714972227812
0,0,9,2,0.008196358568966389
0,0,9,3,0.009247589856386185
0,0,9,4,0.022253477945923805
0,0,9,5,0.030556730926036835
0,0,9,6,0.047944068908691406
0,0,9,7,0.1882292926311493
0,0,9,8,0.17509545385837555
0,0,9,9,0.12543225288391113
0,0,9,10,
0,0,9,11,0.005104720592498779
0,0,9,12,0.004450005944818258
0,0,9,13,0.0020535921212285757
0,0,10,0,
0,0,10,1,
0,0,10,2,
0,0,10,3,
0,0,10,4,
0,0,10,5,
0,0,10,6,
0,0,10,7,
0,0,10,8,0.06945133954286575
0,0,10,9,
0,0,10,10,
0,0,10,11,
0,0,10,12,
0,0,10,13,
0,0,11,0,0.02052650786936283
0,0,11,1,0.012745600193738937
0,0,11,2,0.005053377244621515
0,0,11,3,0.00792208593338728
0,0,11,4,0.010982880368828773
0,0,11,5,0.01847267523407936
0,0,11,6,0.023263797163963318
0,0,11,7,0.08954284340143204
0,0,11,8,0.07827097922563553
0,0,11,9,0.20871146023273468
0,0,11,10,
0,0,11,11,0.09327015280723572
0,0,11,12,4.4730619265465066e-05
0,0,11,13,1.9832503312500194e-05
0,0,12,0,0.0024368709418922663
0,0,12,1,0.005217330064624548
0,0,12,2,0.005046738311648369
0,0,12,3,0.005549035035073757
0,0,12,4,0.010631776414811611
0,0,12,5,0.017792651429772377
0,0,12,6,0.011970817111432552
0,0,12,7,0.07523443549871445
0,0,12,8,0.056895166635513306
0,0,12,9,0.07512062788009644
0,0,12,10,
0,0,12,11,0.08411026000976562
0,0,12,12,0.15306848287582397
0,0,12,13,0.0
0,0,13,0,4.124972838326357e-05
0,0,13,1,3.191745781805366e-05
0,0,13,2,0.00015446565521415323
0,0,13,3,0.00027270728605799377
0,0,13,4,0.000513849372509867
0,0,13,5,0.0023522169794887304
0,0,13,6,0.0007426043739542365
0,0,13,7,0.011247092857956886
0,0,13,8,0.009809629991650581
0,0,13,9,0.023021472617983818
0,0,13,10,
0,0,13,11,0.04895295575261116
0,0,13,12,0.3005726635456085
0,0,13,13,0.02301953174173832
0,1,0,0,0.32305675745010376
0,1,0,1,5.290444096317515e-05
0,1,0,2,0.0
0,1,0,3,0.0
0,1,0,4,4.479562267079018e-05
0,1,0,5,3.771853880607523e-05
0,1,0,6,4.2882162233581766e-05
0,1,0,7,0.0008681853651069105
0,1,0,8,6.699192454107106e-05
0,1,0,9,5.2044539188500494e-05
0,1,0,10,
0,1,0,11,0.007815936580300331
0,1,0,12,0.0002695536823011935
0,1,0,13,0.0
0,1,1,0,0.03486115485429764
0,1,1,1,0.16603894531726837
0,1,1,2,0.0
0,1,1,3,0.00770737137645483
0,1,1,4,6.852461228845641e-05
0,1,1,5,3.751310214283876e-05
0,1,1,6,4.531393278739415e-05
0,1,1,7,0.0003707733703777194
0,1,1,8,6.699192454107106e-05
0,1,1,9,0.0
0,1,1,10,
0,1,1,11,0.018081337213516235
0,1,1,12,0.0018138654995709658
0,1,1,13,0.0
0,1,2,0,0.013707106001675129
0,1,2,1,0.1299487203359604
0,1,2,2,0.11502354592084885
0,1,2,3,0.043865643441677094
0,1,2,4,0.042677465826272964
0,1,2,5,0.0022598684299737215
0,1,2,6,0.0008498267270624638
0,1,2,7,0.0023182241711765528
0,1,2,8,0.0012657964834943414
0,1,2,9,0.00012987962691113353
0,1,2,10,
0,1,2,11,0.008135933429002762
0,1,2,12,0.003317046444863081
0,1,2,13,4.308201459934935e-05
0,1,3,0,0.018670478835701942
0,1,3,1,0.08083252608776093
0,1,3,2,0.23153503239154816
0,1,3,3,0.1522965282201767
0,1,3,4,4.999739758204669e-06
0,1,3,5,0.00018324796110391617
0,1,3,6,0.00010193341586273164
0,1,3,7,0.0002214856940554455
0,1,3,8,6.699192454107106e-05
0,1,3,9,2.325790092072566e-06
0,1,3,10,
0,1,3,11,0.004098845645785332
0,1,3,12,0.003951198421418667
0,1,3,13,0.0003204516542609781
0,1,4,0,0.009551042690873146
0,1,4,1,0.022492455318570137
0,1,4,2,0.07991322129964828
0,1,4,3,0.19209788739681244
0,1,4,4,0.2686539590358734
0,1,4,5,0.02302524819970131
0,1,4,6,0.0
0,1,4,7,0.0
0,1,4,8,0.0
0,1,4,9,0.0001000665724859573
0,1,4,10,
0,1,4,11,0.0031722532585263252
0,1,4,12,0.004117700271308422
0,1,4,13,0.0
0,1,5,0,0.0031992753501981497
0,1,5,1,0.008285680785775185
0,1,5,2,0.04601707309484482
0,1,5,3,0.022304359823465347
0,1,5,4,0.35977646708488464
0,1,5,5,0.16818030178546906
0,1,5,6,0.0
0,1,5,7,1.3646858860738575e-06
0,1,5,8,1.1958089089603163e-05
0,1,5,9,2.2641130271949805e-05
0,1,5,10,
0,1,5,11,0.00046959874453023076
0,1,5,12,0.00487181032076478
0,1,5,13,0.0
0,1,6,0,0.008662547916173935
0,1,6,1,0.01846064254641533
0,1,6,2,0.04156272113323212
0,1,6,3,0.028819698840379715
