layer,head,source_position,dest_position,value
0,0,0,0,0.9720467925071716
0,0,0,1,0.0001974185579456389
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,4.189324681647122e-05
0,0,0,5,1.1029434062947985e-05
0,0,0,6,1.7101903722505085e-05
0,0,0,7,7.55335895519238e-06
0,0,0,8,0.0
0,0,0,9,4.2127721826545894e-05
0,0,0,10,0.0
0,0,0,11,0.0001974185579456389
0,0,0,12,1.4535550690197852e-05
0,0,0,13,0.0
0,0,1,0,0.483926922082901
0,0,1,1,0.20101967453956604
0,0,1,2,0.0
0,0,1,3,0.005237738601863384
0,0,1,4,5.40912697033491e-05
0,0,1,5,0.0001034568267641589
0,0,1,6,4.236836321069859e-05
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.00049173878505826
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.27021339535713196
0,0,2,1,0.1912553906440735
0,0,2,2,0.06647384166717529
0,0,2,3,0.008423231542110443
0,0,2,4,0.0002563495945651084
0,0,2,5,0.00017528697208035737
0,0,2,6,0.00027475308161228895
0,0,2,7,3.640962313511409e-05
0,0,2,8,1.1138246009068098e-05
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.31818607449531555
0,0,3,1,0.19546955823898315
0,0,3,2,0.09853954613208771
0,0,3,3,0.09158811718225479
0,0,3,4,2.0728668459923938e-05
0,0,3,5,0.00012528638762887567
0,0,3,6,5.764679372077808e-05
0,0,3,7,1.5067270396684762e-05
0,0,3,8,0.0
0,0,3,9,1.747190071910154e-05
0,0,3,10,0.0
0,0,3,11,5.677209992427379e-05
0,0,3,12,2.089766894641798e-05
0,0,3,13,1.1750411431421526e-05
0,0,4,0,0.334907591342926
0,0,4,1,0.12930867075920105
0,0,4,2,0.07557026296854019
0,0,4,3,0.11406119167804718
0,0,4,4,0.07308810204267502
0,0,4,5,0.00196791416965425
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,6.163484795251861e-05
0,0,4,10,0.0
0,0,4,11,0.0003133562859147787
0,0,4,12,8.798590897640679e-06
0,0,4,13,0.0
0,0,5,0,0.2484637200832367
0,0,5,1,0.10726791620254517
0,0,5,2,0.07675208151340485
0,0,5,3,0.11010653525590897
0,0,5,4,0.11381043493747711
0,0,5,5,0.036263711750507355
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,4.8167057684622705e-05
0,0,5,10,0.0
0,0,5,11,0.00013133190805092454
0,0,5,12,1.7756679881131276e-05
0,0,5,13,0.0
0,0,6,0,0.20145073533058167
0,0,6,1,0.0906539037823677
0,0,6,2,0.05873897299170494
0,0,6,3,0.07593891024589539
0,0,6,4,0.08157160878181458
0,0,6,5,0.08522729575634003
0,0,6,6,0.09934747219085693
0,0,6,7,0.0
0,0,6,8,0.0
0,0,6,9,6.0872182075399905e-05
0,0,6,10,0.0
0,0,6,11,0.00012350558245088905
0,0,6,12,1.8059256035485305e-05
0,0,6,13,0.0
0,0,7,0,0.2746521234512329
0,0,7,1,0.11909298598766327
0,0,7,2,0.06794171780347824
0,0,7,3,0.0967634990811348
0,0,7,4,0.06990180909633636
0,0,7,5,0.021514100953936577
0,0,7,6,0.15127931535243988
0,0,7,7,0.013939360156655312
0,0,7,8,0.006840264890342951
0,0,7,9,2.0469587980187498e-05
0,0,7,10,0.0
0,0,7,11,0.00019358863937668502
0,0,7,12,1.4706261936225928e-05
0,0,7,13,0.0
0,0,8,0,0.22765906155109406
0,0,8,1,0.11509893089532852
0,0,8,2,0.06154690682888031
0,0,8,3,0.08753795921802521
0,0,8,4,0.07190137356519699
