layer,head,source_position,dest_position,value
0,0,0,0,0.32970696687698364
0,0,0,1,0.0002963939041364938
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,6.408234185073525e-05
0,0,0,5,2.690107430680655e-05
0,0,0,6,3.608463521231897e-05
0,0,0,7,1.7224840121343732e-05
0,0,0,8,0.0
0,0,0,9,9.413480438524857e-05
0,0,0,10,
0,0,0,11,0.006632020231336355
0,0,0,12,0.00014613174425903708
0,0,0,13,0.0
0,0,1,0,0.21729059517383575
0,0,1,1,0.15366783738136292
0,0,1,2,0.0
0,0,1,3,0.002846715971827507
0,0,1,4,8.085008448688313e-05
0,0,1,5,2.4581642719567753e-05
0,0,1,6,6.066567948437296e-05
0,0,1,7,2.2959651687415317e-05
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,
0,0,1,11,0.013755567371845245
0,0,1,12,0.0010606097057461739
0,0,1,13,0.0
0,0,2,0,0.1198512390255928
0,0,2,1,0.15975546836853027
0,0,2,2,0.051532186567783356
0,0,2,3,0.018486786633729935
0,0,2,4,0.007875828072428703
0,0,2,5,0.00013943196972832084
0,0,2,6,0.00019887959933839738
0,0,2,7,6.14333912380971e-05
0,0,2,8,0.000117613555630669
0,0,2,9,2.52218269451987e-05
0,0,2,10,
0,0,2,11,0.009513157419860363
0,0,2,12,0.0021142831537872553
0,0,2,13,1.469044121904517e-07
0,0,3,0,0.15219996869564056
0,0,3,1,0.16361883282661438
0,0,3,2,0.07176783680915833
0,0,3,3,0.07496262341737747
0,0,3,4,1.5888075722614303e-05
0,0,3,5,4.4793752749683335e-05
0,0,3,6,6.090233728173189e-05
0,0,3,7,1.070264170266455e-05
0,0,3,8,0.0
0,0,3,9,2.6607127438182943e-05
0,0,3,10,
0,0,3,11,0.010472015477716923
0,0,3,12,0.0026150227058678865
0,0,3,13,3.7002123463025782e-06
0,0,4,0,0.1341094672679901
0,0,4,1,0.10817404836416245
0,0,4,2,0.0653899610042572
0,0,4,3,0.10537289083003998
0,0,4,4,0.07071027904748917
0,0,4,5,0.0009618322947062552
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.0001407473610015586
0,0,4,10,
0,0,4,11,0.008606677874922752
0,0,4,12,0.0030147910583764315
0,0,4,13,0.0
0,0,5,0,0.10436704754829407
0,0,5,1,0.08872732520103455
0,0,5,2,0.07044469565153122
0,0,5,3,0.10428071022033691
